Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.125	0.43898556	2.0	0.0	124.375	157.80415	503.0	0.0	1000.0	3844.0	0.12813333333333332	-0.24722084	0.26369512	1.0091038	-1.6211631	-0.16409047	0.47004825	1.9904327	-1.4529926	7.683411e-09	0.009169993	-1.7881393e-07	0.008447198	0.2806545	-0.15195692	547.09296	-378.61517	0	0	1.0	1.837877	0.022887021	30000	67.58929562568665
1	0.45833334	1.8252664	9.0	0.0	88.125	141.28232	439.0	0.0	1000.0	6878.0	0.11463333333333334	-0.2888035	0.3094053	1.1687243	-1.3081809	10.439518	11.777124	32.162884	-13.956474	3.1664968e-08	0.06901899	-5.9604645e-08	-0.020558354	0.20130295	-0.08410119	105.641846	-56.713352	0	0	1.0	1.8383827	0.113639876	60000	142.11577558517456
2	0.25	0.595119	2.0	0.0	96.666664	112.522095	346.0	0.0	1000.0	10166.0	0.11295555555555556	-0.25233978	0.2683136	1.3523364	-1.3663735	10.623748	14.543379	41.255394	-15.303162	0.0	-0.0026171042	3.7252903e-08	-6.557442e-05	0.16775292	-0.08230237	100.90909	-47.437756	0	0	3.0	1.8392121	0.0039651315	90000	210.42788577079773
3	0.083333336	0.2763854	1.0	0.0	113.541664	143.4085	599.0	0.0	1000.0	13542.0	0.11285	-0.268978	0.33523273	1.7328491	-1.0656519	11.058683	12.267294	40.574238	-11.200826	1.3038516e-08	-0.015206905	-5.9604645e-08	0.017600939	0.09057996	-0.031892553	152.82071	-57.11959	0	0	79.0	1.8402297	0.008452647	120000	289.6611030101776
4	0.45833334	0.8650225	3.0	0.0	173.0	129.50836	526.0	0.0	1000.0	18650.0	0.12433333333333334	-0.16825634	0.31947753	1.113443	-0.95195764	15.546662	12.028274	46.795338	-14.490678	-4.656613e-10	-0.0024086502	-1.4901161e-08	0.0018707365	0.09493512	-0.047378264	196.37823	-86.867226	0	0	6.0	1.842474	0.0039087646	150000	356.70249485969543
5	0.45833334	0.8154327	2.0	0.0	151.5	124.105125	465.0	0.0	1000.0	23423.0	0.1301277777777778	-0.07083882	0.31762633	1.0884341	-0.7858079	15.743118	13.08285	52.58397	-14.777023	9.313226e-10	-0.0024311417	-6.7055225e-08	0.0020808568	0.08538091	-0.03976336	181.08752	-77.56768	0	0	1.0	1.8432058	0.0015295565	180000	428.5212371349335
6	0.75	1.0897248	4.0	0.0	125.458336	108.84009	404.0	0.0	1000.0	27161.0	0.12933809523809522	-0.11089225	0.36054042	1.6086454	-0.8907941	14.755498	13.267425	50.189106	-13.242301	-1.8626451e-09	-0.0014422562	0.0	-0.004673492	0.09533202	-0.039001253	147.94739	-75.620094	0	0	1.0	1.8434033	0.007573693	210000	507.17821979522705
7	0.041666668	0.1998263	1.0	0.0	148.125	111.45639	383.0	0.0	1000.0	31506.0	0.131275	-0.02820236	0.31813946	1.3512162	-0.7605447	14.666052	12.27767	49.312027	-13.630753	3.7252903e-09	-0.01629561	2.9802322e-08	0.0045848833	0.056900837	-0.03506709	207.92038	-92.3709	0	0	79.0	1.8435707	0.006678829	240000	586.8515150547028
8	0.5416667	1.0399987	4.0	0.0	204.04167	89.027374	374.0	94.0	1000.0	37814.0	0.14005185185185184	-0.0015629893	0.25901374	0.9412576	-0.7013273	18.862034	11.525157	52.11988	-6.5037055	8.381903e-09	-0.017052317	8.940697e-08	0.0034459904	0.08343745	-0.041026153	312.86316	-170.80228	0	0	79.0	1.8358743	0.0074958745	270000	660.1027624607086
9	0.6666667	0.98601323	3.0	0.0	173.79167	80.00832	320.0	0.0	1000.0	43017.0	0.14339	0.046804957	0.30086437	1.6908561	-0.83894914	18.359058	10.1749735	52.11603	-6.157839	-1.21071935e-08	-0.017480329	-2.2351742e-08	0.019404884	0.0945631	-0.045170564	233.92413	-122.224106	0	0	79.0	1.8049545	0.0074362177	300000	742.0834405422211
10	1.0	0.95742714	3.0	0.0	215.25	95.80851	407.0	35.0	1000.0	49103.0	0.1487969696969697	0.07079299	0.30435246	1.6474955	-0.6483912	21.958735	9.824791	55.498325	-2.889059	0.0	-0.017799463	7.4505806e-08	-0.0045482414	0.09320587	-0.04875843	224.1426	-107.26961	0	0	79.0	1.7909036	0.00765609	330000	814.9058933258057
11	1.25	1.3307266	5.0	0.0	211.33333	95.20534	401.0	20.0	1000.0	55454.0	0.1540388888888889	0.2581893	0.27232838	1.8829514	-0.562631	21.231165	7.9820037	55.31116	-1.7431159	-1.1175871e-08	-0.015841527	-4.4703484e-08	-0.014048093	0.12506768	-0.054433927	194.39388	-97.09813	0	0	79.0	1.7523887	0.009461853	360000	897.7982223033905
12	0.875	0.6653633	3.0	0.0	230.41667	92.917046	443.0	48.0	1000.0	62048.0	0.15909743589743588	0.20386124	0.3512455	1.8442589	-0.5320475	20.6017	9.401895	51.79399	-0.05433418	-6.9849193e-09	-0.0036980384	7.4505806e-08	0.00071893656	0.07904564	-0.04390944	198.91153	-92.74455	0	0	4.0	1.7215011	0.0019405792	390000	962.0655152797699
13	1.1666666	0.9860133	3.0	0.0	234.45833	86.17956	380.0	67.0	1000.0	68603.0	0.1633404761904762	0.2519497	0.28619128	1.8122811	-0.36304876	23.581179	8.899025	56.575794	-3.867972	-2.7939677e-09	-0.0016597859	-3.3527613e-08	0.004490234	0.09937092	-0.052494787	223.72295	-124.22424	0	0	3.0	1.7202351	0.0042154454	420000	1028.8947236537933
14	1.2916666	1.1718634	4.0	0.0	285.41666	114.75296	646.0	139.0	1000.0	76660.0	0.17035555555555557	0.27644363	0.30388045	2.1851242	-0.5978567	23.66803	10.120342	52.138626	-1.4791528	3.7252903e-09	0.0003333683	5.9604645e-08	-0.0057405233	0.10244902	-0.05469145	254.61748	-150.03708	0	0	1.0	1.7182747	0.0055718888	450000	1099.4959423542023
15	1.4583334	1.0399987	4.0	0.0	232.04167	88.26592	423.0	70.0	1000.0	83801.0	0.17458541666666666	0.32596335	0.3928542	1.9135886	-0.49931917	27.148588	10.382849	59.264397	0.2767281	0.0	0.0047416673	7.450581e-09	0.010041889	0.08132442	-0.04530748	258.90106	-146.67776	0	0	1.0	1.7171301	0.012900304	480000	1160.2101964950562
16	1.7083334	1.5673535	6.0	0.0	272.45834	161.73228	691.0	72.0	1000.0	92004.0	0.1804	0.3480328	0.3348373	1.7601966	-0.48200178	25.521606	10.696878	60.541084	-3.2191203	0.0	-0.0018320571	-1.7881393e-07	0.00043545477	0.124655865	-0.06636685	343.29248	-226.7943	0	0	1.0	1.7160888	0.0021801924	510000	1222.971678495407
17	1.2916666	1.2068957	4.0	0.0	266.58334	133.87367	710.0	124.0	1000.0	99703.0	0.18463518518518518	0.34777412	0.42510843	2.3615215	-0.42384237	26.144049	11.964362	66.40079	-4.417126	3.7252903e-09	-0.0013078273	-2.9802322e-08	0.0010521263	0.092557505	-0.053548016	275.95563	-179.211	0	0	1.0	1.7152328	0.0021110312	540000	1297.7545657157898
18	2.25	2.1065373	7.0	0.0	255.95833	118.41189	651.0	71.0	1000.0	107894.0	0.18928771929824562	0.3367666	0.36109906	2.0310106	-0.47987938	26.794157	10.628227	66.414024	2.649452	-5.5879354e-09	-0.0007951487	-2.9802322e-08	0.0016395906	0.18118052	-0.0947323	294.0887	-202.04263	0	0	1.0	1.7145982	0.0018348898	570000	1366.4994757175446
19	1.125	1.9216421	7.0	0.0	331.04166	148.37045	783.0	94.0	1000.0	117250.0	0.19541666666666666	0.32024837	0.43394724	2.8574145	-0.53240013	28.885855	12.432747	70.18873	-2.105366	0.0	-0.0012647165	1.4901161e-07	0.0082923025	0.14356606	-0.09565043	364.61963	-277.66187	0	0	1.0	1.7141039	0.0015007106	600000	1434.790020942688
20	2.3333333	2.2669117	10.0	0.0	291.5	87.73397	454.0	102.0	1000.0	125725.0	0.19956349206349205	0.35702473	0.43015745	2.8282216	-0.5341613	30.27314	13.454052	65.87933	-7.220546	-9.313226e-10	-0.0008542857	-2.2351742e-08	0.00024359953	0.19557236	-0.10103883	222.37685	-152.12248	0	0	1.0	1.7136375	0.0013934341	630000	1505.7077927589417
21	1.375	1.602407	8.0	0.0	277.45834	96.28169	459.0	115.0	1000.0	134018.0	0.20305757575757577	0.37366652	0.4769043	2.9653256	-0.5438802	28.993876	11.667019	64.55834	-4.5410633	9.313226e-09	-0.0017399408	-1.4901161e-08	-0.0010069984	0.19553886	-0.12090804	204.57275	-131.40318	0	0	1.0	1.7132165	0.0018588159	660000	1577.164793252945
22	1.8333334	1.6499158	8.0	0.0	306.58334	132.66026	520.0	40.0	1000.0	142651.0	0.20674057971014492	0.41778016	0.4427218	2.140301	-0.52942187	29.215837	10.946652	59.21129	-3.430091	-9.313226e-10	-0.0011871563	8.940697e-08	-0.0021515964	0.15161139	-0.08812364	217.50229	-140.25623	0	0	1.0	1.7127241	0.0019386195	690000	1646.0184938907623
23	2.2916667	1.9467744	6.0	0.0	266.20834	124.672226	488.0	47.0	1000.0	150769.0	0.2094013888888889	0.4755748	0.44848052	2.6332123	-0.5491827	30.543892	12.716469	63.799137	-10.165821	7.450581e-09	-0.0013194659	0.0	0.0028156657	0.14552876	-0.085298	205.50305	-147.2965	0	0	1.0	1.7118907	0.0012114415	720000	1709.7364611625671
24	2.25	1.9418633	9.0	0.0	268.75	121.459274	588.0	78.0	1000.0	158898.0	0.211864	0.42115977	0.46141526	2.7063432	-0.36135703	29.89335	13.199923	64.15349	-6.594028	-1.1175871e-08	-0.0015541906	1.4901161e-08	-0.00042962376	0.14897394	-0.08532314	196.77536	-133.82599	0	0	1.0	1.7109344	0.00086149207	750000	1779.1373808383942
25	1.875	1.4807796	6.0	0.0	304.70834	120.52195	576.0	130.0	1000.0	167894.0	0.21524871794871794	0.50241363	0.43551087	2.9402544	-0.5322064	27.066925	13.615543	67.020615	-6.478406	-1.3038516e-08	-0.0010981562	2.9802322e-08	0.00071224116	0.14972508	-0.09157559	285.09863	-212.45587	0	0	1.0	1.7100253	0.0010416302	780000	1853.9188623428345
26	1.9583334	2.1501777	11.0	0.0	311.625	106.7063	596.0	105.0	1000.0	177776.0	0.21947654320987656	0.42146298	0.40394515	2.369935	-0.44145522	32.890835	12.772032	65.68533	-2.230594	-1.4901161e-08	-0.0013963499	-5.9604645e-08	-0.0029015392	0.14982507	-0.09337505	258.80447	-194.3435	0	0	1.0	1.7091314	0.0008325174	810000	1920.060442686081
27	1.5416666	1.2903218	4.0	0.0	317.33334	97.16682	461.0	115.0	1000.0	186826.0	0.22241190476190476	0.3960215	0.43319333	2.6583643	-0.5724019	32.063072	12.809216	67.19947	-7.631542	-5.5879354e-09	-0.00091738475	-4.0978193e-08	-0.002071294	0.13661557	-0.097830854	234.02786	-174.25676	0	0	1.0	1.7084476	0.00058598525	840000	1982.6382694244385
28	1.875	1.5629166	5.0	0.0	337.5	122.92037	547.0	116.0	1000.0	196355.0	0.22569540229885057	0.38671777	0.3755525	2.366006	-0.62045133	33.313084	13.298898	67.62692	-4.3276734	-6.0535967e-09	-0.0013929724	1.4901161e-08	-0.0019352078	0.16908464	-0.1003463	180.27908	-136.27893	0	0	1.0	1.7079854	0.000692636	870000	2059.9033319950104
29	1.2916666	1.3686724	5.0	0.0	368.04166	111.26301	646.0	177.0	1000.0	206570.0	0.2295222222222222	0.34587848	0.4428753	2.4330301	-0.62714946	36.5061	13.478154	72.20424	2.2036374	-3.7252903e-09	-0.016108785	-7.4505806e-08	-0.033425897	0.1310029	-0.08410809	207.94382	-152.36485	0	0	79.0	1.7073643	0.006704157	900000	2133.88774228096
30	2.125	1.423391	5.0	0.0	289.04166	127.850975	666.0	119.0	1000.0	215327.0	0.23153440860215055	0.45328423	0.4538062	2.4549448	-0.5426477	30.892538	12.946413	67.60783	-1.4363887	-1.1175871e-08	-0.018234055	1.4901161e-07	-0.04546391	0.14410697	-0.095851704	240.64932	-185.78589	0	0	79.0	1.6768558	0.0070060873	930000	2209.9490878582
31	2.0416667	1.5405402	6.0	0.0	298.04166	121.35055	497.0	56.0	1000.0	224258.0	0.23360208333333332	0.40850034	0.45277357	2.2808108	-0.5165369	31.365606	11.896363	67.52032	-1.3614832	-2.7939677e-09	-0.01772431	2.9802322e-08	-0.03239595	0.13682854	-0.09983527	210.72449	-165.96635	0	0	79.0	1.6558712	0.0074475138	960000	2282.460988998413
32	2.8333333	2.2852182	10.0	0.0	343.41666	122.408775	532.0	126.0	1000.0	234358.0	0.23672525252525253	0.41053078	0.45144224	2.1880074	-0.49144223	32.53826	13.678787	63.616627	-6.9371686	3.7252903e-09	0.0006727502	5.9604645e-08	0.008766858	0.2384512	-0.16063206	224.84695	-174.83069	0	0	6.0	1.6402912	0.009611731	990000	2348.902451276779
33	1.9166666	1.7775608	6.0	0.0	349.25	103.87543	544.0	124.0	1000.0	244467.0	0.2396735294117647	0.60597837	0.52511376	3.281023	-0.49643484	32.62083	11.673906	71.05326	1.7226739	-7.450581e-09	0.003739822	-2.9802322e-08	-0.020778101	0.25702852	-0.19207856	233.76819	-189.95111	0	0	1.0	1.6392547	0.011379796	1020000	2417.8347477912903
34	2.75	1.7618645	7.0	0.0	284.16666	125.47333	528.0	61.0	1000.0	253042.0	0.24099238095238096	0.46865943	0.49395424	2.723715	-0.62373865	33.117493	13.063676	67.759094	-1.3546478	5.5879354e-09	0.0001934648	1.0803342e-07	-0.017335176	0.18059686	-0.12554088	174.48651	-133.24875	0	0	1.0	1.638782	0.007646909	1050000	2478.820057153702
35	2.9583333	2.3713424	10.0	0.0	284.5	123.68677	549.0	52.0	1000.0	261896.0	0.2424962962962963	0.50594634	0.47951087	2.6222622	-0.6672845	30.410044	14.2412	69.37855	-4.695867	9.313226e-09	-0.00022716657	2.9802322e-08	-0.008866958	0.18717201	-0.13019839	232.10431	-177.66449	0	0	1.0	1.6384277	0.0026585122	1080000	2541.822112560272
36	2.7916667	1.6067349	7.0	0.0	255.125	112.6685	464.0	60.0	1000.0	269562.0	0.24284864864864864	0.6071914	0.49686235	2.3921156	-0.5714843	29.92718	12.761346	66.11318	-4.6063824	-3.7252903e-09	-0.00068755634	-7.450581e-09	-0.0030533532	0.16341531	-0.10730999	212.08765	-166.19186	0	0	1.0	1.6384096	0.0017539276	1110000	2613.9592776298523
37	2.4166667	1.9982631	9.0	0.0	296.79166	111.56798	501.0	71.0	1000.0	278709.0	0.2444815789473684	0.52716833	0.44363067	2.4857643	-0.51259494	28.01295	12.501634	58.514515	-4.860155	-5.5879354e-09	-0.0011007958	1.6391277e-07	-0.002713548	0.1851138	-0.11640922	241.32196	-194.3141	0	0	1.0	1.6384757	0.002344606	1140000	2673.604218482971
