Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.125	0.43898556	2.0	0.0	124.375	157.80415	503.0	0.0	1000.0	3844.0	0.12813333333333332	-0.24722084	0.26369512	1.0091038	-1.6211631	-0.16409047	0.47004825	1.9904327	-1.4529926	-7.4505806e-08	-0.035396054	-1.7881393e-07	-0.06893742	0.2806545	-0.15195692	547.09296	-378.61517	0.99999994	0.03189546	0.5503596	0.0	1.837877	0.008882377	30000	60.9103479385376
1	0.041666668	0.1998263	1.0	0.0	61.291668	105.49426	490.0	0.0	1000.0	6178.0	0.10296666666666666	-0.3234513	0.2888778	1.1106468	-1.2410754	7.40736	11.113489	32.345062	-14.445093	1.4901161e-08	-0.03042997	4.4703484e-08	-0.058779463	0.17819181	-0.042230163	102.01364	-50.006477	1.0318954	0.02869749	0.6607601	0.0	1.8392062	0.008749815	60000	154.29422330856323
2	0.125	0.43898556	2.0	0.0	86.291664	135.9597	429.0	0.0	1000.0	8991.0	0.0999	-0.33377013	0.31209967	0.9549523	-1.40995	8.2976	13.19357	37.012894	-12.762997	1.3969839e-08	-0.026046112	3.7252903e-09	-0.051050223	0.20634381	-0.045814417	66.13129	-24.846437	1.0605929	0.030047894	0.7608701	0.0	1.8557283	0.008648653	90000	241.20614743232727
3	0.125	0.3307189	1.0	0.0	105.75	115.98788	403.0	0.0	1000.0	12110.0	0.10091666666666667	-0.369665	0.33943972	1.7331728	-1.4223039	8.859364	13.345205	41.79724	-14.644123	3.5390258e-08	-0.02970943	4.8428774e-08	-0.05673509	0.16478033	-0.056408126	86.04724	-40.475624	1.0906408	0.031579018	0.6742577	0.0	1.8739088	0.008879481	120000	335.05732250213623
4	0.083333336	0.2763854	1.0	0.0	38.416668	45.255676	168.0	0.0	1000.0	13192.0	0.08794666666666667	-0.39248258	0.32986745	1.4964203	-1.7600083	4.8704615	9.817857	40.304424	-15.025865	2.514571e-08	-0.028133746	5.7742e-08	-0.05289125	0.1656872	-0.06727722	63.571594	-35.79739	1.1222198	0.028660893	0.72090024	0.0	1.8828049	0.0090296175	150000	429.7387490272522
5	0.041666668	0.1998263	1.0	0.0	84.333336	129.04607	474.0	0.0	1000.0	15632.0	0.08684444444444445	-0.43972212	0.33734775	1.2661651	-1.5045458	6.4626193	9.925253	37.429924	-11.232992	2.9802322e-08	-0.02746326	8.940697e-08	-0.050287932	0.13064614	-0.044289038	93.87948	-49.042755	1.1508807	0.029946923	0.73623776	0.0	1.8848267	0.008857372	180000	513.3221487998962
6	0.16666667	0.62360954	3.0	0.0	64.958336	73.19067	218.0	0.0	1000.0	18099.0	0.08618571428571428	-0.3703282	0.32402557	0.9364273	-1.2653561	7.731862	12.013612	43.446712	-16.226377	-1.1175871e-08	-0.03585624	-1.4901161e-08	-0.065978654	0.10172304	-0.034442186	90.589294	-45.6577	1.1808276	0.030018568	0.5552477	0.0	1.9086119	0.008739554	210000	604.6868078708649
7	0.083333336	0.3996526	2.0	0.0	32.458332	39.510525	122.0	0.0	1000.0	19468.0	0.08111666666666667	-0.3771229	0.30908808	1.034729	-1.20743	4.9387894	8.513957	44.81927	-9.021803	7.450581e-09	-0.024925971	7.450581e-09	-0.045004506	0.12341431	-0.049595878	54.095528	-28.762493	1.2108462	0.027560234	0.76928526	0.0	1.9112014	0.008241804	240000	692.2517759799957
8	0.45833334	1.8022941	9.0	0.0	95.875	99.42263	350.0	0.0	1000.0	21809.0	0.08077407407407407	-0.3810368	0.3388161	0.8218805	-1.2245661	5.842452	9.611012	45.362473	-20.083385	1.3038516e-08	-0.030193863	2.2351742e-08	-0.052511983	0.22077417	-0.106721625	82.16116	-38.5099	1.2384064	0.029657722	0.6547111	0.0	1.9332187	0.008491595	270000	782.0318648815155
9	0.0	0.0	0.0	0.0	40.916668	49.750977	179.0	0.0	1000.0	23240.0	0.07746666666666667	-0.432589	0.40165493	2.207041	-1.2981733	4.1623764	8.267538	45.11467	-13.595135	-1.1175871e-08	-0.025334831	-1.4901161e-08	-0.04358992	0.12667	-0.055775523	56.98947	-27.236189	1.2680641	0.028223515	0.7784683	0.0	1.9539156	0.0083495565	300000	884.2345681190491
10	0.20833333	0.57584476	2.0	0.0	49.75	66.02288	306.0	0.0	1000.0	24960.0	0.07563636363636364	-0.4850957	0.30894634	0.76161647	-1.4731544	4.695745	7.0632567	48.837597	-12.197055	4.0978193e-08	-0.031490438	6.3329935e-08	-0.054850344	0.1673516	-0.09395051	69.79774	-38.74906	1.2962877	0.027736664	0.65808094	0.0	1.9439678	0.008274049	330000	973.8107368946075
