Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.125	0.43898556	2.0	0.0	139.125	196.1862	864.0	0.0	1000.0	4010.0	0.13366666666666666	-0.25120437	0.27605006	0.9685175	-1.7269744	-0.11049203	0.474195	1.5748154	-1.4798238	5.5879354e-09	0.0014653567	5.662441e-07	-0.06967376	0.3224333	-0.18404499	598.58954	-399.17047	0.2796435	0.0	0.006269988	-0.030926177	0.114125	0.00644023	-0.0065984777	0.25575286	0.0	0.2796435	0.0	0.0	0.0	1.837877	0.0089586815	30000	88.38115286827087
1	0.0	0.0	0.0	0.0	85.666664	93.12253	353.0	0.0	1000.0	7516.0	0.12526666666666667	-0.285369	0.36641356	1.4794806	-1.4949776	10.097173	11.661437	33.51876	-15.066805	-6.519258e-09	-0.0009999336	-2.9802322e-08	-0.0592127	0.1608574	-0.02906512	124.72313	-50.630188	0.9014502	0.0	0.007933742	0.0010349961	0.060666665	0.008184405	-0.00697459	0.19406503	2.7686603	0.9014502	1.0	0.0	0.0	1.8449271	0.008849135	60000	185.89995408058167
2	0.083333336	0.3996526	2.0	0.0	80.041664	113.40506	455.0	0.0	1000.0	9786.0	0.10873333333333333	-0.30122918	0.28159815	1.0531855	-1.1362917	7.0538735	10.438317	36.050232	-13.450152	-3.7252903e-09	-0.0032941569	-2.9802322e-08	-0.05373671	0.1721038	-0.052709755	104.12328	-41.93502	0.5546451	0.0	0.00805821	0.002819603	0.055041663	0.008186473	-0.004755817	0.17633963	1.6905395	0.5546451	1.0	0.0	0.0	1.8501353	0.008339921	90000	286.9332273006439
3	0.083333336	0.2763854	1.0	0.0	84.208336	98.42636	368.0	0.0	1000.0	12778.0	0.10648333333333333	-0.2944531	0.38632622	1.2886628	-1.4650412	9.386726	12.683102	39.666996	-11.945283	1.1175871e-08	-0.005592567	-5.9604645e-08	-0.05712299	0.13574561	-0.05911573	163.23422	-65.403305	0.22155643	0.0	0.007226211	0.008214522	0.059208337	0.0075877486	-0.010370173	0.2974531	0.9379165	0.22155643	1.0	0.0	0.0	1.8517115	0.009395534	120000	384.49908804893494
4	0.125	0.43898556	2.0	0.0	75.166664	98.56414	336.0	0.0	1000.0	15015.0	0.1001	-0.2946558	0.3214617	1.9361967	-1.0793347	9.061288	11.613705	41.784252	-11.632184	-2.6077032e-08	-0.0038361242	4.4703484e-08	-0.048471697	0.13137151	-0.040824786	92.51245	-47.231186	0.4412788	0.0	0.0070286714	0.0042607784	0.050166663	0.007263477	-0.0061274213	0.15989953	1.2843759	0.4412788	1.0	0.0	0.0	1.8732235	0.0088116145	150000	479.4895353317261
5	0.041666668	0.1998263	1.0	0.0	79.875	83.138596	272.0	0.0	1000.0	18063.0	0.10035	-0.20133014	0.3105922	1.4072555	-1.1777864	8.447379	10.440745	40.47703	-12.920938	8.381903e-09	-0.004528178	-3.7252903e-08	-0.056943692	0.085639805	-0.026861306	114.86226	-40.5413	0.37451866	0.0	0.00750305	0.005060555	0.054875	0.007876117	-0.008671629	0.20156476	1.2176427	0.37451866	1.0	0.0	0.0	1.855206	0.00873117	180000	570.5083591938019
6	0.125	0.3307189	1.0	0.0	98.291664	107.36638	353.0	0.0	1000.0	20918.0	0.09960952380952381	-0.18001875	0.33934024	1.2235856	-1.2716044	8.558267	10.468089	41.957184	-11.497911	3.7252903e-09	0.004677865	-5.9604645e-08	-0.057880063	0.094501674	-0.033554696	119.39969	-60.25946	0.341346	0.0	0.0074250777	-0.011294557	0.07329167	0.009086932	-0.016889494	0.17164864	0.0	0.341346	0.0	0.0	0.0	1.8655825	0.008822226	210000	667.0507946014404
7	0.0	0.0	0.0	0.0	84.583336	102.55117	430.0	0.0	1000.0	23126.0	0.09635833333333334	-0.2018957	0.28570276	1.0750947	-1.0057749	7.7683864	10.770679	44.715633	-15.747323	-7.450581e-09	0.0019743093	-4.4703484e-08	-0.05507414	0.07253731	-0.036359396	114.032326	-59.268112	0.35561952	0.0	0.007156993	-0.0024486827	0.059583336	0.0073959036	-0.006146773	0.1581462	0.0	0.35561952	0.0	0.0	0.0	1.8736513	0.009012546	240000	769.5208556652069
8	0.041666668	0.1998263	1.0	0.0	83.958336	148.81097	720.0	0.0	1000.0	25262.0	0.09356296296296296	-0.21013376	0.2542561	0.78960454	-0.87843627	4.0470786	7.3365903	39.2257	-10.776157	1.1175871e-08	-0.0037497848	-2.9802322e-08	-0.060893565	0.085924	-0.03370663	223.4561	-162.5407	0.508988	0.0	0.008129186	0.0029094918	0.058958337	0.008250809	-0.004973669	0.20339274	1.671533	0.508988	1.0	0.0	0.0	1.8871393	0.008802264	270000	858.5153727531433
9	0.20833333	0.49826086	2.0	0.0	44.625	73.71783	341.0	0.0	1000.0	26984.0	0.08994666666666666	-0.2938429	0.29983315	1.2349116	-0.9846015	7.795759	13.501668	62.895153	-17.286062	-1.3038516e-08	-0.012012372	2.9802322e-08	-0.0134421205	0.08915336	-0.02973182	155.8574	-106.37649	0.014020422	0.0	0.0071491245	0.018610677	0.019625	0.0073962407	0.008276733	0.27721474	0.6197911	0.014020422	1.0	0.0	0.0	1.8986635	0.009202675	300000	955.941032409668
