Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.125	0.43898556	2.0	0.0	139.125	196.1862	864.0	0.0	1000.0	4010.0	0.13366666666666666	-0.25120437	0.27605006	0.9685175	-1.7269744	-0.11049203	0.474195	1.5748154	-1.4798238	2.8312206e-07	0.010739936	5.662441e-07	-0.16347834	0.3224333	-0.18404499	598.58954	-399.17047	0.99999994	0.032004416	1.0	1.837877	0.55408156	30000	104.23130822181702
1	0.0	0.0	0.0	0.0	50.25	114.5503	517.0	0.0	1000.0	5274.0	0.0879	-0.1520492	0.42962822	1.8453193	-1.5233833	20.31428	8.063766	33.396854	-8.135143	-1.4901161e-08	-0.0058593396	-5.9604645e-08	-0.040437117	0.18183538	-0.16956143	471.18994	-299.07288	1.0320044	0.02663827	1.0	1.8383121	0.051781952	60000	190.7617530822754
2	0.0	0.0	0.0	0.0	71.625	129.75163	451.0	0.0	1000.0	7010.0	0.07788888888888888	-0.05513989	0.07347838	0.27889675	-0.29397574	7.2900352	3.9719222	26.569544	-9.11757	-2.9802322e-08	-0.007030488	-2.9802322e-08	-0.019499738	0.013668738	-0.0047322167	242.2737	-80.46895	1.0586426	0.027272463	2.0	1.8390191	0.013221244	90000	294.62892150878906
3	0.041666668	0.1998263	1.0	0.0	50.458332	96.22715	391.0	0.0	1000.0	8358.0	0.06965	-0.035431333	0.07740793	0.24347411	-0.35201952	7.7757373	6.776466	32.296425	-10.686309	2.9802322e-08	-0.008678767	5.9604645e-08	-0.024158958	0.01709107	-0.0060832305	202.54596	-85.111145	1.0859151	0.026049018	2.0	1.8398126	0.015615532	120000	391.4516444206238
4	0.0	0.0	0.0	0.0	64.541664	127.76181	563.0	0.0	1000.0	10138.0	0.06758666666666667	-0.02111856	0.07484248	0.32628912	-0.33498544	5.1418643	4.3926706	26.286177	-9.319182	-5.9604645e-08	-0.009015037	-1.4901161e-07	-0.019935105	0.009876648	-0.0037468304	210.70544	-115.949455	1.1119641	0.026773214	2.0	1.8406106	0.009413116	150000	493.17910146713257
5	0.083333336	0.3996526	2.0	0.0	42.25	62.109615	221.0	0.0	1000.0	11198.0	0.06221111111111111	-0.021607999	0.05356799	0.18553758	-0.26433298	5.480778	6.4174924	36.51739	-12.142648	-7.450581e-09	-0.0024994283	-1.4901161e-08	-0.012071825	0.015853267	-0.005241286	93.30662	-46.74315	1.1387373	0.025399566	1.0	1.8411084	0.019881003	180000	595.245169878006
6	0.041666668	0.1998263	1.0	0.0	20.791666	31.206274	113.0	0.0	1000.0	11985.0	0.05707142857142857	-0.0033292794	0.051081274	0.24529655	-0.23053949	3.6157346	4.6169996	33.101456	-14.589183	1.4901161e-08	-0.0068674316	2.9802322e-08	-0.020249601	0.0113837775	-0.0047320025	62.500526	-21.45417	1.1641369	0.021968842	3.0	1.841196	0.016355393	210000	691.0978066921234
7	0.0	0.0	0.0	0.0	32.333332	50.34189	147.0	0.0	1000.0	13118.0	0.05465833333333334	-0.008190636	0.07265965	0.35263693	-0.29114336	3.04953	1.374696	9.770364	-3.9858582	7.450581e-09	-0.002348518	0.0	-0.0075072106	0.0108851325	-0.0045953346	78.200615	-10.515358	1.1861057	0.020411968	2.0	1.8414598	0.009407422	240000	797.828663110733
8	0.083333336	0.2763854	1.0	0.0	39.666668	70.781746	240.0	0.0	1000.0	14070.0	0.05211111111111111	0.0066825985	0.072295964	0.3161478	-0.27502942	4.158461	2.1516428	11.797156	-3.2232776	-3.7252903e-08	-0.008495999	-5.2154064e-08	-0.020862412	0.010527521	-0.0032736133	84.06085	-27.145649	1.2065177	0.020211577	7.0	1.8415465	0.018972538	270000	907.1996524333954
9	0.33333334	0.6871843	2.0	0.0	54.291668	69.93299	201.0	0.0	1000.0	15493.0	0.05164333333333333	0.02530396	0.061776534	0.34168446	-0.28304514	3.1153414	3.7868934	14.972878	-6.8471866	3.3527613e-08	-0.004949826	6.7055225e-08	-0.014053164	0.03684754	-0.014799696	100.506	-36.40172	1.2267293	0.021256447	2.0	1.841397	0.022892416	300000	1021.4970202445984
