Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.125	0.43898556	2.0	0.0	139.125	196.1862	864.0	0.0	1000.0	4010.0	0.13366666666666666	-0.25120437	0.27605006	0.9685175	-1.7269744	-0.11049203	0.474195	1.5748154	-1.4798238	5.5879354e-09	-0.01163136	5.662441e-07	0.011657665	0.3224333	-0.18404499	598.58954	-399.17047	0	0	1.7622355	0.0	1.837877	0.008709317	30000	95.64085555076599
1	0.041666668	0.1998263	1.0	0.0	88.958336	92.29142	294.0	0.0	1000.0	6991.0	0.11651666666666667	-0.3313147	0.32747456	1.6535292	-1.3268759	8.057829	10.539793	33.035877	-15.206719	-3.7252903e-09	-0.012537286	5.5879354e-08	0.0007752916	0.17034823	-0.034911007	165.26549	-61.690872	0	0	1.5917164	0.0	1.8363142	0.009254873	60000	181.1986062526703
2	0.0	0.0	0.0	0.0	97.125	104.026566	399.0	0.0	1000.0	9819.0	0.1091	-0.28892052	0.31402513	1.1010522	-1.2054876	9.910906	13.150806	39.13393	-13.35254	5.820766e-09	-0.012929214	5.2154064e-08	0.012185304	0.11928461	-0.035593446	112.50943	-39.40451	0	0	1.5275707	0.0	1.8755245	0.0089993235	90000	272.8283636569977
3	0.16666667	0.7993052	4.0	0.0	176.70833	130.09082	370.0	0.0	1000.0	14928.0	0.1244	-0.14555661	0.30195835	0.9313259	-1.0615046	14.298843	13.447413	41.199905	-14.239338	0.0	-0.012716074	-3.7252903e-08	0.010096604	0.12215416	-0.053155735	185.14117	-65.232414	0	0	1.5635692	0.0	1.8887854	0.008820833	120000	367.0789475440979
4	0.25	0.5204165	2.0	0.0	183.70833	102.78963	379.0	0.0	1000.0	20498.0	0.13665333333333332	-0.033169083	0.28608185	0.907468	-0.9729752	19.199959	11.386639	42.075264	-11.878348	6.519258e-09	-0.0128075015	-8.940697e-08	0.0020766668	0.08333801	-0.03702075	200.59361	-58.67033	0	0	1.547283	0.0	1.8881342	0.00891086	150000	455.5013997554779
5	0.375	0.7534642	3.0	0.0	230.45833	119.41174	408.0	15.0	1000.0	26947.0	0.14970555555555556	0.033722308	0.27108505	1.2417737	-0.9719419	21.741962	11.6139965	43.48533	-12.32247	-2.6077032e-08	-0.012179012	-1.4901161e-08	0.011266097	0.07750488	-0.029979367	192.44162	-73.94348	0	0	1.6529044	0.0	1.8636038	0.009065555	180000	549.2750813961029
6	0.75	0.8779711	3.0	0.0	256.75	112.95215	429.0	0.0	1000.0	34002.0	0.1619142857142857	0.07382969	0.3535178	1.5709721	-0.7906963	25.548676	12.96297	47.587254	-10.744851	-1.6763806e-08	-0.012224685	3.3527613e-08	0.0028641424	0.09020169	-0.035110027	255.25336	-124.89555	0	0	1.6098741	0.0	1.8551242	0.00896081	210000	637.1408638954163
7	0.5416667	0.9119195	3.0	0.0	262.375	86.15094	437.0	99.0	1000.0	41341.0	0.17225416666666668	0.14095455	0.2902212	1.391409	-0.8680399	25.200134	11.545278	49.1182	-8.769315	7.450581e-09	-0.011452266	8.195639e-08	0.005074434	0.08990837	-0.034990415	229.7648	-97.22517	0	0	1.716907	0.0	1.8215935	0.009053906	240000	729.7544300556183
8	0.7083333	0.934486	3.0	0.0	263.25	99.2989	434.0	22.0	1000.0	49106.0	0.18187407407407408	0.14766149	0.32090816	1.4705782	-0.8176047	25.968124	10.332242	52.121834	-4.273678	9.313226e-09	-0.013497878	1.8626451e-08	-0.0060788943	0.08005688	-0.03441577	213.73434	-77.1416	0	0	1.5369159	0.0	1.8033963	0.008818438	270000	818.135576248169
9	0.5416667	0.8650224	4.0	0.0	279.54166	124.91597	697.0	69.0	1000.0	57235.0	0.19078333333333333	0.1192721	0.33430752	1.738885	-0.7774328	27.220306	9.952828	48.79142	-7.164728	3.7252903e-09	-0.013720175	1.1920929e-07	0.0070949714	0.05438509	-0.024294633	289.59955	-127.33303	0	0	1.4982209	0.0	1.8016902	0.009526292	300000	912.7111413478851
