Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.125	0.3307189	1.0	0.0	12.875	15.327841	47.0	0.0	1000.0	384.0	0.0128	-0.22163492	0.25729516	0.8500842	-1.2870677	-0.12557861	0.46446887	1.7746054	-1.3025913	1.7695129e-08	0.011997117	-5.5879354e-09	0.00026142504	0.38011366	-0.17385773	13.590429	-7.695882	0	0	1.0	1.837877	0.021769784	30000	19.4578754901886
1	0.125	0.3307189	1.0	0.0	26.791666	30.915178	131.0	0.0	1000.0	1218.0	0.0203	-0.3419277	0.36304933	1.8209604	-1.866338	1.3591816	2.9694734	14.741496	-4.0918655	7.450581e-09	0.035314843	-7.450581e-09	-0.0006076116	0.21605921	-0.05984222	22.608105	-9.304031	0	0	1.0	1.838958	0.042308226	60000	37.366126537323
2	0.16666667	0.372678	1.0	0.0	13.875	18.287775	71.0	0.0	1000.0	1756.0	0.01951111111111111	-0.18748115	0.28394982	0.9854691	-1.7420886	1.5896703	4.487476	24.181309	-4.4493456	1.6763806e-08	0.0028992011	-7.450581e-09	0.0015789988	0.32212383	-0.06945769	10.593947	-5.210326	0	0	1.0	1.8396108	0.011779924	90000	55.957791328430176
3	0.125	0.3307189	1.0	0.0	13.166667	18.456406	70.0	0.0	1000.0	2187.0	0.018225	-0.34508404	0.38254344	1.0654304	-1.9966619	1.3362701	3.67313	22.926987	-5.170651	6.0535967e-09	-0.011400351	4.656613e-09	0.002475023	0.23693731	-0.056640938	8.910291	-4.5423307	0	0	79.0	1.8403046	0.005904684	120000	77.88584089279175
4	0.125	0.43898556	2.0	0.0	36.083332	33.51979	122.0	0.0	1000.0	3237.0	0.02158	-0.36440104	0.3600333	1.1928518	-1.6046935	1.6947813	3.9683583	24.662695	-7.1881204	-1.6763806e-08	-0.0126821445	-1.4901161e-08	-0.0017415024	0.20373797	-0.040024377	32.816406	-17.618917	0	0	79.0	1.8259406	0.0065122005	150000	102.78272414207458
5	0.33333334	0.5527708	2.0	0.0	27.25	22.918787	88.0	0.0	1000.0	4159.0	0.023105555555555556	-0.31582722	0.33707252	1.324527	-1.4127609	3.8225486	7.200398	33.52793	-8.865484	1.3038516e-08	0.001764626	1.3969839e-08	0.0015255712	0.17303197	-0.042831235	26.922888	-15.445937	0	0	2.0	1.8328323	0.0043049105	180000	125.83609366416931
6	0.375	0.6332785	2.0	0.0	24.5	26.5	89.0	0.0	1000.0	4851.0	0.0231	-0.206885	0.40662047	1.4444045	-1.4692574	2.6801019	4.968666	33.65401	-6.287875	0.0	-0.00056919595	-1.7695129e-08	0.00081860955	0.20601207	-0.07402639	18.715117	-9.120699	0	0	3.0	1.8325152	0.0048524644	210000	150.31647181510925
7	0.29166666	0.45452967	1.0	0.0	31.458334	28.763372	102.0	0.0	1000.0	5781.0	0.0240875	-0.071863726	0.40725037	1.4092841	-1.4178057	1.7516967	3.5318172	27.52706	-6.2581916	-4.656613e-09	-0.0018775522	-7.450581e-09	0.0009689062	0.22393602	-0.07487716	21.221867	-10.118689	0	0	1.0	1.8315647	0.0056268945	240000	182.8812873363495
8	0.33333334	0.62360954	2.0	0.0	30.166666	29.78068	91.0	0.0	1000.0	6940.0	0.025703703703703704	-0.14736465	0.53301233	1.6124791	-1.9212387	3.9328537	5.2991333	34.48355	-8.809975	-9.313226e-09	0.0018262228	3.3993274e-08	0.006639689	0.1758393	-0.06956638	28.043808	-11.013504	0	0	1.0	1.8312309	0.011717657	270000	208.50038695335388
9	0.875	1.0129372	3.0	0.0	52.25	47.96027	199.0	0.0	1000.0	8398.0	0.027993333333333332	-0.039663937	0.46004313	1.2942657	-1.3695776	5.0429077	5.715926	36.37955	-3.1580455	3.1664968e-08	0.0007647159	-3.3527613e-08	0.005598562	0.17215174	-0.06283966	47.387043	-18.159399	0	0	1.0	1.8310804	0.008436311	300000	249.23147320747375
