Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.125	0.3307189	1.0	0.0	12.875	15.327841	47.0	0.0	1000.0	384.0	0.0128	-0.22163492	0.25729516	0.8500842	-1.2870677	-0.12557861	0.46446887	1.7746054	-1.3025913	1.7695129e-08	-0.010535326	-5.5879354e-09	-0.00031805318	0.38011366	-0.17385773	13.590429	-7.695882	0.0	0.0	0.0056512984	0.0141509045	-0.012125	0.005652161	0.00014721349	0.02513476	0.53160894	0.0	2.0	0.0	0.0	1.837877	0.008832579	30000	21.29473304748535
1	0.0	0.0	0.0	0.0	14.208333	20.170067	67.0	0.0	1000.0	873.0	0.01455	-0.3464733	0.33194587	1.3368182	-1.9663539	0.937157	2.5574834	14.318741	-4.483287	-1.8626451e-09	-0.012375578	-3.7252903e-09	8.2279905e-05	0.19723526	-0.035452973	11.188794	-4.8954706	0.0	0.0	0.00753581	0.014741443	-0.010791667	0.0075455704	0.00046492787	0.022146774	0.61423004	0.0	2.0	0.0	0.0	1.8572673	0.008840291	60000	41.20796537399292
2	0.375	0.85695684	4.0	0.0	27.375	33.406353	103.0	0.0	1000.0	1695.0	0.018833333333333334	-0.2879025	0.3522662	1.0612589	-1.6488919	1.6421756	4.0418634	22.126966	-7.285653	0.0	-0.012776134	-3.7252903e-09	-0.0029239384	0.2660098	-0.08540486	21.318468	-8.881116	0.0637805	0.0	0.007606393	0.019850936	0.002375	0.0076299096	-0.0009433278	0.037840407	0.61901176	0.0637805	1.0	0.0	0.0	1.8920159	0.009707017	90000	60.86513543128967
3	0.41666666	0.6400955	2.0	0.0	40.041668	36.638412	134.0	0.0	1000.0	2970.0	0.02475	-0.18797097	0.50412804	1.5152775	-1.5801791	3.7380543	5.141978	27.75842	-5.160345	-1.1175871e-08	-0.01132936	1.4901161e-08	-0.017292835	0.18634081	-0.057060987	32.39023	-12.324692	0.24216515	0.0	0.008652507	0.016949264	0.015041668	0.009353956	-0.007212596	0.07416303	0.71448904	0.24216515	1.0	0.0	0.0	1.9066982	0.0088052275	120000	80.55753064155579
4	1.4583334	1.3533652	5.0	0.0	45.583332	38.64466	128.0	0.0	1000.0	4332.0	0.02888	0.049110018	0.46152416	1.4572326	-1.4690934	5.002643	5.460974	29.06134	-4.8497896	-1.3038516e-08	-0.010633248	2.9802322e-08	-0.022705397	0.22466101	-0.06424206	34.49392	-14.591976	0.25056338	0.0	0.008568988	0.015102104	0.020583332	0.009008997	-0.006169379	0.08650114	0.753262	0.25056338	1.0	0.0	0.0	1.9067669	0.008910285	150000	100.26877164840698
5	1.25	1.3919411	4.0	0.0	53.541668	43.687317	151.0	0.0	1000.0	6114.0	0.033966666666666666	0.19158383	0.55091125	1.7858453	-1.2721	5.7804	5.119865	31.136534	-4.912783	-1.4901161e-08	-0.008828029	2.142042e-08	-0.030983701	0.16847253	-0.040299993	50.95661	-15.637164	0.34344447	0.0	0.0076537095	0.010678072	0.028541667	0.008045191	-0.0058490057	0.08738824	0.846622	0.34344447	1.0	0.0	0.0	1.9093229	0.009047787	180000	119.95276236534119
6	1.625	1.3787826	5.0	0.0	49.458332	38.828663	155.0	0.0	1000.0	7491.0	0.03567142857142857	0.28271857	0.46565616	1.7575694	-1.1535065	5.7885895	5.7265754	36.03941	-7.0617776	1.6763806e-08	-0.008496907	-3.7252903e-08	-0.02788186	0.17667386	-0.04292835	39.452473	-13.356705	0.32060045	0.0	0.0073082927	0.011843845	0.024458332	0.00756058	-0.004301617	0.07334461	0.7855279	0.32060045	1.0	0.0	0.0	1.896981	0.008393761	210000	139.62444353103638
7	2.7916667	1.7315496	6.0	0.0	49.333332	35.417355	143.0	0.0	1000.0	8869.0	0.03695416666666667	0.41295865	0.5697668	1.8221272	-1.2811537	5.0848155	5.0345798	37.370213	-2.8338866	1.7695129e-08	-0.009982746	-4.8428774e-08	-0.024745084	0.20786193	-0.06463193	40.77179	-14.559746	0.2803541	0.0	0.0085054515	0.01278619	0.024333332	0.008627511	-0.0031652183	0.08208021	0.8156017	0.2803541	1.0	0.0	0.0	1.8919454	0.009136356	240000	159.21596312522888
8	2.7083333	1.6451739	6.0	0.0	39.083332	31.543509	102.0	0.0	1000.0	10284.0	0.03808888888888889	0.5577693	0.5625298	2.1597652	-1.1000375	4.335399	4.059017	39.32432	-4.0457225	4.656613e-09	-0.010393341	0.0	-0.015633836	0.17703956	-0.048729368	37.2481	-12.973774	0.20319842	0.0	0.007576233	0.01689474	0.014083332	0.0077732946	-0.0035477893	0.06387233	0.66965467	0.20319842	1.0	0.0	0.0	1.8529551	0.0087242015	270000	178.85671401023865
9	3.2916667	1.3378829	6.0	1.0	48.333332	37.332592	126.0	0.0	1000.0	11666.0	0.03888666666666667	0.6975875	0.6096837	2.200795	-0.8356223	5.2726464	4.8429666	35.27742	-2.8956828	-4.656613e-09	-0.009053699	2.9802322e-08	-0.02615605	0.17656821	-0.044752132	42.55541	-14.494406	0.38898107	0.0	0.008781545	0.011530736	0.023333332	0.009116878	-0.004642927	0.064284734	0.8726839	0.38898107	1.0	0.0	0.0	1.8362571	0.009378627	300000	198.5545949935913
