Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.125	0.3307189	1.0	0.0	12.875	15.327841	47.0	0.0	1000.0	384.0	0.0128	-0.22163492	0.25729516	0.8500842	-1.2870677	-0.12557861	0.46446887	1.7746054	-1.3025913	7.450581e-09	0.006652757	-5.5879354e-09	-0.010532408	0.38011366	-0.17385775	13.590429	-7.695881	0.99999994	-0.031173885	1.0	1.837877	0.036557004	30000	18.375316619873047
1	0.16666667	0.47140452	2.0	0.0	20.458334	32.1364	141.0	0.0	1000.0	963.0	0.01605	-0.36165455	0.36252943	1.451043	-2.0400853	1.1700698	2.733421	15.081125	-5.620278	3.7252903e-09	0.020084158	7.450581e-09	-0.009995144	0.19572224	-0.047254566	15.505634	-6.3521996	0.96882606	-0.027102113	1.0	1.8383566	0.06305644	60000	36.01277756690979
2	0.25	0.5204165	2.0	0.0	7.0416665	12.778494	54.0	0.0	1000.0	1299.0	0.014433333333333333	-0.24190103	0.2951212	1.4194362	-1.481006	0.76208234	3.26093	23.785933	-6.5809994	1.1175871e-08	-0.00019601441	7.450581e-09	-0.002044707	0.3639287	-0.11245019	6.8449354	-3.6745472	0.94172394	-0.027604401	1.0	1.8393486	0.009711504	90000	52.80550837516785
3	0.16666667	0.372678	1.0	0.0	17.208334	19.010916	70.0	0.0	1000.0	1822.0	0.015183333333333333	-0.43736973	0.41970485	1.8584241	-2.0115423	0.8847729	2.952713	23.84749	-6.058252	-9.313226e-10	-0.015594951	1.1175871e-08	-0.033881836	0.28449532	-0.054587197	8.318242	-4.5861325	0.91411954	-0.022872686	49.0	1.840271	0.012346121	120000	79.62895083427429
4	0.20833333	0.49826086	2.0	0.0	15.0	17.986105	53.0	0.0	1000.0	2242.0	0.014946666666666667	-0.39799765	0.39230323	1.5655421	-1.7808005	1.332416	3.4138048	24.618206	-6.794358	3.3527613e-08	-0.015048316	5.2154064e-08	-0.033707365	0.23836833	-0.04525869	12.706199	-7.582365	0.89124686	-0.02363205	29.0	1.8316047	0.012713471	150000	114.3894784450531
5	0.33333334	0.5527708	2.0	0.0	11.041667	13.827747	38.0	0.0	1000.0	2653.0	0.014738888888888888	-0.299489	0.4022067	1.6420085	-1.7159238	0.99684936	2.879465	23.765627	-7.6094017	3.7252903e-09	-0.008434175	3.7252903e-09	-0.017130878	0.2773874	-0.082686156	9.519862	-5.383838	0.8676148	-0.025759041	13.0	1.8315718	0.010965791	180000	163.30321788787842
6	0.5	0.7637626	3.0	0.0	15.583333	21.904938	97.0	0.0	1000.0	3085.0	0.014690476190476191	-0.20678154	0.44873008	1.3938088	-1.6177869	1.1314589	3.0589933	28.300722	-5.4993134	-9.313226e-09	-0.014455935	-2.2351742e-08	-0.030870907	0.20457143	-0.07310767	11.288443	-5.1883793	0.84185576	-0.024214745	29.0	1.8262401	0.013003106	210000	231.75489783287048
7	0.45833334	0.7626252	3.0	0.0	11.208333	17.233637	51.0	0.0	1000.0	3377.0	0.014070833333333333	-0.112769395	0.41010588	1.5698557	-1.2935429	1.2857343	2.5737762	23.186363	-2.7797332	7.450581e-09	-0.00017734454	-3.7252903e-09	-0.0023763357	0.16381264	-0.062086243	9.84732	-6.062418	0.817641	-0.02616322	2.0	1.823817	0.0037755952	240000	291.1281979084015
8	0.45833334	0.76262516	2.0	0.0	8.333333	17.484915	55.0	0.0	1000.0	3623.0	0.013418518518518519	-0.107603274	0.46560383	1.4704953	-1.662245	1.1190733	2.940255	26.421602	-11.352693	4.1909516e-09	-0.0010572805	2.2817403e-08	-0.0014454233	0.17427707	-0.052875943	7.778311	-4.472034	0.7914778	-0.026318252	1.0	1.8242781	0.0034797268	270000	349.11856603622437
9	0.7083333	0.8887804	3.0	0.0	26.208334	27.003054	99.0	0.0	1000.0	4277.0	0.014256666666666667	-0.058693912	0.5089767	1.4381605	-1.6505307	1.1918985	2.6849434	25.961878	-7.521657	-1.1175871e-08	-0.00070692354	-1.4901161e-08	-0.0044038137	0.16377291	-0.046639316	17.474667	-10.683351	0.76515955	-0.022567272	1.0	1.8246096	0.00828357	300000	411.2535321712494
