Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.125	0.3307189	1.0	0.0	12.875	15.327841	47.0	0.0	1000.0	384.0	0.0128	-0.22163492	0.25729516	0.8500842	-1.2870677	-0.12557861	0.46446887	1.7746054	-1.3025913	7.450581e-09	-0.011844577	-5.5879354e-09	-0.018328361	0.38011366	-0.17385775	13.590429	-7.695881	0.99999994	-0.031314015	1.6070225	0.0	1.837877	0.008282902	30000	19.668866872787476
1	0.125	0.3307189	1.0	0.0	17.166666	23.903742	88.0	0.0	1000.0	893.0	0.014883333333333333	-0.36760908	0.32030234	1.4328523	-1.8663379	0.8643136	2.4523847	14.387351	-5.175897	0.0	-0.011039301	-2.2351742e-08	-0.017125938	0.26733166	-0.03661432	12.323118	-5.173547	0.9686859	-0.029711306	1.7394515	0.0	1.8348067	0.008831918	60000	38.281521797180176
2	0.083333336	0.2763854	1.0	0.0	10.666667	13.792107	47.0	0.0	1000.0	1439.0	0.01598888888888889	-0.38920218	0.3112925	1.5910786	-1.5578125	1.4034036	4.0398755	22.788376	-8.645447	-9.313226e-09	-0.011437726	7.450581e-09	-0.017924258	0.18294948	-0.027896235	13.496267	-7.49672	0.9389746	-0.029562473	1.7692151	0.0	1.8445079	0.008902677	90000	56.44451880455017
3	0.125	0.3307189	1.0	0.0	14.75	17.122719	53.0	0.0	1000.0	1996.0	0.016633333333333333	-0.3981903	0.3487141	1.1940998	-1.810183	1.5325367	4.1503816	29.651136	-5.264077	-1.4901161e-08	-0.0125592165	-2.2351742e-08	-0.020406932	0.19882569	-0.047855206	16.998297	-8.349237	0.90941215	-0.028936625	1.2757804	1.0	1.8591841	0.006208214	120000	74.54872918128967
4	0.16666667	0.37267798	1.0	0.0	12.875	22.312763	85.0	0.0	1000.0	2354.0	0.015693333333333333	-0.3025103	0.32874125	1.1501765	-1.4263191	1.5045491	4.3948593	37.758698	-7.3332915	5.5879354e-09	-0.017561981	0.0	-0.031273432	0.15021098	-0.032182977	15.836397	-9.430215	0.8804755	-0.028581321	1.1543334	0.0	1.8491883	0.009188993	150000	100.46211647987366
5	0.20833333	0.40611646	1.0	0.0	17.375	20.852283	71.0	0.0	1000.0	2886.0	0.016033333333333333	-0.29800656	0.33484983	1.1502368	-1.5401772	1.5489614	3.1897604	33.036243	-6.533841	5.5879354e-09	-0.015315592	1.2340024e-08	-0.02921971	0.142108	-0.03642721	21.302773	-8.939648	0.8518942	-0.027338624	1.2356479	0.0	1.8563447	0.008576931	180000	131.73506832122803
6	0.25	0.6614378	3.0	0.0	6.75	19.201237	71.0	0.0	1000.0	3103.0	0.014776190476190476	-0.28801405	0.3516199	1.5301741	-1.3567854	0.9885982	2.3310547	24.54001	-8.387064	7.916242e-09	-0.01061767	5.5879354e-09	-0.0133795645	0.1344225	-0.03263544	8.807925	-4.694762	0.8245556	-0.027236223	1.8770152	0.0	1.877229	0.008880248	210000	186.0917673110962
7	0.20833333	0.57584476	2.0	0.0	17.791666	28.28424	104.0	0.0	1000.0	3594.0	0.014975	-0.23324843	0.33134663	1.1870894	-1.2431258	0.96629137	2.4439836	29.965729	-9.373042	-9.313226e-09	-0.012178438	-1.8626451e-08	-0.018469326	0.11815678	-0.037128825	29.201756	-13.131651	0.79731935	-0.025856018	1.6079663	0.0	1.9082029	0.008773578	240000	248.06864309310913
8	0.125	0.43898556	2.0	0.0	18.875	29.49903	101.0	0.0	1000.0	4165.0	0.015425925925925926	-0.20666146	0.36721662	1.0679182	-1.2442232	1.5999373	3.4004219	39.387684	-10.902689	1.8626451e-09	-0.015246672	1.4901161e-08	-0.02566494	0.099180244	-0.03465923	31.046328	-12.841756	0.77146333	-0.024446785	1.3046486	0.0	1.8970684	0.008988438	270000	311.59263730049133
9	0.375	0.7534642	3.0	0.0	17.833334	35.110146	157.0	0.0	1000.0	4745.0	0.015816666666666666	-0.12819122	0.3317331	0.99984354	-1.2239928	2.170951	4.147112	32.465733	-6.065948	1.3969839e-08	-0.013896586	3.4458935e-08	-0.025889345	0.10089187	-0.030977407	26.330114	-15.840858	0.74701655	-0.023504913	1.4278054	0.0	1.8914821	0.008656838	300000	368.3710768222809
