Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	mmd_entropy	alpha	Time
1	0.0	0.0	0.0	0.0	41.25	41.432926	88.0	0.0	0.7	0.90000004	3.0	0.0	99.1	156.978	508.0	0.0	1000.0	1000.0	3999	-0.29929277	-0.29931438	0.3095977	0.040220216	0.445793	0.100000024	84.75751948356628
2	0.0	0.0	0.0	0.0	69.25	86.58341	212.0	0.0	0.2	0.4	1.0	0.0	25.7	68.57412	230.0	0.0	1000.0	1000.0	7999	-0.27118456	-0.27126798	0.26078564	0.07009357	0.58577794	0.10000002	186.5802628993988
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.9433981	2.0	0.0	21.0	57.252075	192.0	0.0	1000.0	1000.0	11999	-0.2564942	-0.256469	0.24662255	0.09723196	0.71149945	0.10000002	288.8972976207733
4	1.0	1.7320508	4.0	0.0	8.0	10.222524	25.0	0.0	1.1	0.83066237	2.0	0.0	49.6	103.69011	345.0	0.0	1000.0	1000.0	15999	0.08640322	0.0863769	-0.08322493	0.078617446	0.6903577	0.10000002	392.77814865112305
5	1.75	2.4874685	6.0	0.0	23.5	31.658333	77.0	0.0	0.7	0.45825756	1.0	0.0	51.1	89.301125	296.0	0.0	1000.0	1000.0	19999	0.47985187	0.47978464	-0.4643355	0.09020708	0.79648143	0.10000002	497.3154556751251
6	2.5	1.8027756	5.0	0.0	117.0	198.05807	460.0	0.0	2.4	1.4966631	5.0	0.0	60.6	66.980896	194.0	0.0	1000.0	1000.0	23999	0.74247813	0.7425083	-0.7115397	0.15081719	0.869945	0.10000002	602.4026010036469
7	4.0	3.6742346	10.0	1.0	121.5	117.40848	258.0	0.0	2.4	1.6248076	5.0	0.0	60.7	139.78343	477.0	0.0	1000.0	1000.0	27999	0.93337756	0.933386	-0.9027016	0.20185734	1.1146235	0.10000002	706.6282770633698
8	3.5	2.5	7.0	0.0	52.0	90.06664	208.0	0.0	3.1	1.5132746	5.0	0.0	114.1	201.25082	687.0	0.0	1000.0	1000.0	31999	1.6674647	1.6675032	-1.6393847	0.2849699	1.2498816	0.10000002	812.1717023849487
9	2.25	1.9202864	5.0	0.0	53.5	47.161957	125.0	0.0	2.0	1.183216	4.0	1.0	89.9	171.71631	585.0	0.0	1000.0	1000.0	35999	2.5536785	2.55359	-2.5259929	0.31152576	1.3630459	0.10000002	917.1388695240021
10	2.5	2.291288	6.0	0.0	8.0	13.856406	32.0	0.0	1.6	1.6248076	4.0	0.0	16.0	33.373642	112.0	0.0	1000.0	1000.0	39999	3.642031	3.6420357	-3.6068847	0.35145104	1.4471483	0.10000002	1022.9695196151733
11	1.5	2.0615528	5.0	0.0	59.0	84.211044	204.0	0.0	4.1	2.624881	10.0	1.0	2.6	6.0695963	20.0	0.0	1000.0	1000.0	43999	4.5100355	4.510095	-4.4630904	0.3616906	1.4001429	0.10000002	1128.146365404129
12	4.75	3.49106	9.0	0.0	108.5	171.59326	405.0	0.0	6.2	3.6823905	12.0	1.0	12.4	16.119553	49.0	0.0	1000.0	1000.0	47999	5.1099687	5.1101933	-5.0589123	0.3964118	1.4283335	0.10000002	1234.085337638855
13	1.25	1.6393596	4.0	0.0	60.75	105.222084	243.0	0.0	1.0	1.264911	4.0	0.0	35.4	60.668278	180.0	0.0	1000.0	1000.0	51999	5.6813426	5.681387	-5.632421	0.41348833	1.4971849	0.10000002	1339.3495268821716
14	3.25	2.1650636	6.0	0.0	26.25	45.466335	105.0	0.0	2.7	2.368544	8.0	0.0	61.4	69.42939	208.0	0.0	1000.0	1000.0	55999	5.9842215	5.984144	-5.929542	0.44573972	1.4293008	0.10000002	1444.2045392990112
15	2.5	2.0615528	5.0	0.0	41.5	18.145247	63.0	13.0	4.8	4.4	14.0	0.0	34.8	45.422016	155.0	0.0	1000.0	1000.0	59999	6.3534007	6.3532786	-6.3073535	0.4703701	1.477864	0.10000002	1549.2164053916931
16	6.0	3.9370039	11.0	0.0	21.25	25.723288	63.0	0.0	4.5	2.6551836	9.0	2.0	47.5	69.931755	238.0	0.0	1000.0	1000.0	63999	6.854353	6.8544765	-6.8014984	0.47056317	1.4987593	0.10000002	1654.7055358886719
17	6.0	3.1622777	10.0	2.0	8.75	15.155444	35.0	0.0	3.0	3.2557642	8.0	0.0	63.4	123.19514	380.0	0.0	1000.0	1000.0	67999	7.0418973	7.042008	-6.9677553	0.49059954	1.4721861	0.10000002	1760.9839568138123
18	2.75	1.47902	5.0	1.0	72.0	48.176758	123.0	19.0	3.8	2.9257476	11.0	0.0	30.8	56.631794	192.0	0.0	1000.0	1000.0	71999	7.0473876	7.047162	-6.9630256	0.52162683	1.4943482	0.10000002	1866.3984396457672
19	3.5	2.0615528	7.0	2.0	0.0	0.0	0.0	0.0	6.4	4.4542117	14.0	0.0	34.7	67.61812	233.0	0.0	1000.0	1000.0	75999	7.063208	7.0630155	-6.97278	0.55703956	1.5118581	0.10000002	1971.087762594223
20	5.75	3.9607449	11.0	0.0	98.25	72.65802	200.0	0.0	4.4	3.3823068	11.0	0.0	102.7	139.31264	419.0	0.0	1000.0	1000.0	79999	6.982863	6.982666	-6.8792257	0.58720607	1.5181128	0.10000002	2076.0128331184387
21	6.75	4.81534	12.0	1.0	6.25	6.259992	13.0	0.0	4.7	4.267318	14.0	0.0	33.8	78.86672	269.0	0.0	1000.0	1000.0	83999	7.003459	7.003385	-6.904867	0.63168067	1.5869819	0.10000002	2181.1626477241516
22	6.75	2.6809514	11.0	4.0	45.25	46.397064	105.0	0.0	5.8	4.5343137	14.0	0.0	15.3	17.983604	55.0	0.0	1000.0	1000.0	87999	7.2624874	7.2624693	-7.162017	0.688178	1.6136243	0.10000002	2286.7669308185577
23	5.75	3.112475	9.0	1.0	75.0	51.744564	152.0	8.0	2.7	2.7586231	7.0	0.0	7.9	21.168137	71.0	0.0	1000.0	1000.0	91999	7.4917254	7.4918118	-7.377596	0.720624	1.6120614	0.10000002	2391.747742652893
24	5.5	2.1794496	8.0	2.0	20.75	29.422567	71.0	0.0	2.0	1.264911	5.0	0.0	14.2	24.235512	66.0	0.0	1000.0	1000.0	95999	7.2713733	7.2712755	-7.1397862	0.75348467	1.550537	0.10000002	2496.9113335609436
25	6.0	2.5495098	9.0	3.0	94.0	97.57305	225.0	0.0	3.0	2.144761	8.0	0.0	4.0	6.308724	17.0	0.0	1000.0	1000.0	99999	6.899407	6.899467	-6.7622128	0.7977885	1.539792	0.10000002	2603.329681634903
26	5.0	2.5495098	8.0	1.0	22.25	26.176086	64.0	0.0	4.5	2.974895	11.0	0.0	90.3	144.03615	445.0	0.0	1000.0	1000.0	103999	6.575806	6.576039	-6.435373	0.8250803	1.558023	0.10000002	2708.537173986435
27	5.75	3.269174	10.0	1.0	55.75	69.546295	175.0	0.0	4.1	2.6627054	10.0	1.0	116.4	214.59691	729.0	0.0	1000.0	1000.0	107999	6.2680326	6.268222	-6.1168633	0.8449281	1.547893	0.10000002	2813.7671403884888
28	4.25	3.112475	9.0	1.0	99.5	92.134415	226.0	0.0	3.1	3.0805843	10.0	0.0	17.0	34.082253	116.0	0.0	1000.0	1000.0	111999	5.831591	5.8320346	-5.6688523	0.86269736	1.5263484	0.10000002	2919.3266048431396
29	3.5	2.5	7.0	0.0	9.75	10.256096	24.0	0.0	5.3	3.7161808	11.0	1.0	35.4	59.92863	194.0	0.0	1000.0	1000.0	115999	5.2838926	5.284225	-5.1144733	0.8869227	1.5222682	0.10000002	3024.987941265106
30	5.5	3.640055	11.0	1.0	2.75	4.7631397	11.0	0.0	7.6	5.9025416	18.0	1.0	61.8	72.94765	227.0	0.0	1000.0	1000.0	119999	4.7168517	4.7169156	-4.541356	0.91296595	1.5148512	0.10000002	3130.9423594474792
31	3.75	3.8971143	10.0	0.0	18.0	19.091883	45.0	0.0	4.5	3.4132097	10.0	1.0	13.7	26.416094	90.0	0.0	1000.0	1000.0	123999	4.3850536	4.38522	-4.2094064	0.90445405	1.5197622	0.10000002	3235.5204014778137
32	4.75	1.9202864	7.0	2.0	109.0	90.87079	265.0	38.0	5.2	4.621688	15.0	0.0	64.7	121.12642	395.0	0.0	1000.0	1000.0	127999	4.0997868	4.0996537	-3.918287	0.89629406	1.5337123	0.10000002	3340.4741303920746
33	5.25	4.322904	10.0	0.0	12.75	13.808965	33.0	0.0	4.1	3.753665	12.0	0.0	38.2	80.91081	277.0	0.0	1000.0	1000.0	131999	3.7717676	3.7717087	-3.5884323	0.95045763	1.5537442	0.10000002	3444.9031205177307
34	4.0	1.8708287	6.0	1.0	45.5	39.651608	109.0	0.0	6.1	2.2561028	11.0	2.0	31.6	45.31711	142.0	0.0	1000.0	1000.0	135999	3.5145833	3.5145469	-3.3266635	0.97280365	1.553172	0.10000002	3550.2503311634064
35	4.5	2.0615528	6.0	1.0	21.0	13.946325	41.0	4.0	4.1	4.134005	15.0	0.0	20.8	28.968258	81.0	0.0	1000.0	1000.0	139999	3.3089635	3.3091538	-3.119295	0.94875693	1.5610535	0.10000002	3655.106656551361
36	4.0	1.2247449	5.0	2.0	48.25	41.038853	105.0	0.0	2.8	3.2802439	11.0	0.0	83.2	105.28419	346.0	0.0	1000.0	1000.0	143999	3.107419	3.1074338	-2.9161005	0.949641	1.5586623	0.10000002	3762.0080049037933
37	3.25	1.47902	5.0	1.0	5.75	3.8971143	11.0	0.0	3.9	3.3301651	9.0	0.0	43.2	54.377937	160.0	0.0	1000.0	1000.0	147999	2.8991327	2.899175	-2.7061071	0.94415796	1.5450681	0.10000002	3867.051910161972
38	1.25	1.6393596	4.0	0.0	0.75	1.299038	3.0	0.0	5.0	4.5387225	13.0	0.0	74.4	91.21316	295.0	0.0	1000.0	1000.0	151999	2.7073102	2.7073019	-2.5145793	0.96020037	1.547045	0.10000002	3971.720290184021
39	3.75	1.299038	5.0	2.0	22.25	32.49904	78.0	0.0	2.4	2.3748684	9.0	0.0	49.7	76.75422	255.0	0.0	1000.0	1000.0	155999	2.596929	2.5968184	-2.4026816	0.9280427	1.5470209	0.10000002	4076.832801103592
40	5.75	2.2776084	8.0	2.0	30.0	23.885141	65.0	0.0	4.4	2.8	8.0	0.0	11.9	11.0403805	29.0	0.0	1000.0	1000.0	159999	2.4643626	2.4643185	-2.2625914	0.9261874	1.5230527	0.10000002	4181.905245780945
41	2.5	2.6925824	7.0	0.0	60.75	86.20724	208.0	0.0	5.0	3.8987176	12.0	1.0	23.5	30.394901	76.0	0.0	1000.0	1000.0	163999	2.164778	2.164611	-1.9595217	0.94883287	1.498967	0.10000002	4287.053790092468
42	4.75	1.9202864	8.0	3.0	16.75	10.034316	33.0	6.0	4.3	3.3778694	10.0	0.0	47.1	66.536385	195.0	0.0	1000.0	1000.0	167999	1.8598994	1.8598518	-1.6508079	0.98170936	1.5093465	0.10000002	4391.926177024841
43	3.5	2.291288	6.0	0.0	8.75	15.155444	35.0	0.0	3.2	3.3105893	9.0	0.0	22.9	35.26032	118.0	0.0	1000.0	1000.0	171999	1.6121867	1.6120235	-1.4013267	0.9744975	1.5201347	0.10000002	4497.389101743698
44	5.5	0.5	6.0	5.0	39.75	43.94528	106.0	0.0	4.3	5.404628	16.0	0.0	39.6	100.406364	336.0	0.0	1000.0	1000.0	175999	1.4718317	1.4716628	-1.2611823	0.9834407	1.528602	0.10000002	4602.906255483627
45	5.75	3.49106	10.0	1.0	32.75	36.81966	96.0	4.0	5.0	3.660601	12.0	0.0	28.6	47.07696	155.0	0.0	1000.0	1000.0	179999	1.3099254	1.3098729	-1.0932564	0.9877918	1.515195	0.10000002	4708.286228179932
46	3.75	1.7853571	6.0	1.0	19.0	25.47548	62.0	0.0	2.1	1.9209373	5.0	0.0	8.7	14.690472	39.0	0.0	1000.0	1000.0	183999	1.0965612	1.0966452	-0.87855667	0.9791462	1.5271403	0.10000002	4813.61182808876
47	10.0	5.2440443	17.0	4.0	9.25	9.575359	22.0	0.0	4.5	3.8275318	11.0	0.0	26.6	35.168736	88.0	0.0	1000.0	1000.0	187999	0.8932235	0.8931634	-0.66692847	0.99965495	1.506383	0.10000002	4918.1800899505615
48	5.0	3.9370039	11.0	0.0	4.75	8.2272415	19.0	0.0	6.5	3.8535697	12.0	0.0	39.6	53.456898	178.0	0.0	1000.0	1000.0	191999	0.73200643	0.73194236	-0.50932604	0.9708323	1.508792	0.10000002	5024.160648584366
49	6.0	5.147815	14.0	1.0	49.25	40.929054	99.0	0.0	5.5	3.0083218	11.0	2.0	107.7	165.22714	443.0	0.0	1000.0	1000.0	195999	0.6508668	0.65088314	-0.43011922	0.9594894	1.5089295	0.10000002	5128.96378159523
50	7.75	2.2776084	10.0	4.0	3.25	5.629165	13.0	0.0	3.5	3.354102	9.0	0.0	34.4	66.29359	227.0	0.0	1000.0	1000.0	199999	0.58523464	0.5852388	-0.35976002	0.94486356	1.4892269	0.10000002	5233.665425539017
51	7.75	5.402546	16.0	2.0	34.75	19.765816	58.0	6.0	3.7	3.579106	11.0	0.0	20.5	26.90446	81.0	0.0	1000.0	1000.0	203999	0.44642228	0.4464625	-0.22075261	0.9627482	1.4782615	0.10000002	5339.44033741951
52	9.75	3.6996622	15.0	5.0	14.75	25.547749	59.0	0.0	5.9	3.9862266	15.0	2.0	55.4	83.79881	250.0	0.0	1000.0	1000.0	207999	0.34432995	0.34444726	-0.11171161	0.9786523	1.4825118	0.10000002	5445.14130115509
53	4.5	2.6925824	8.0	1.0	19.0	24.155745	60.0	0.0	6.2	4.0447497	13.0	0.0	39.8	62.151104	206.0	0.0	1000.0	1000.0	211999	0.27254575	0.2723866	-0.042059366	0.96001416	1.4804673	0.10000002	5550.029814004898
54	9.75	3.5619516	15.0	5.0	8.0	13.856406	32.0	0.0	5.0	4.427189	15.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	215999	0.2320129	0.23191573	-0.0030175734	0.95765275	1.48917	0.10000002	5657.230661869049
55	6.0	2.9154758	8.0	1.0	15.25	22.554102	54.0	0.0	8.0	5.8651514	17.0	0.0	6.7	13.711673	40.0	0.0	1000.0	1000.0	219999	0.25779778	0.2580458	-0.026117507	0.96753323	1.4817922	0.10000002	5762.935887336731
56	6.5	3.640055	11.0	1.0	2.25	3.8971143	9.0	0.0	3.6	2.6532998	9.0	0.0	60.6	115.37175	345.0	0.0	1000.0	1000.0	223999	0.29081747	0.2908566	-0.059136547	0.9564874	1.495224	0.10000002	5867.393228530884
57	5.5	3.2015622	10.0	1.0	24.25	12.871965	42.0	11.0	5.1	3.5902646	12.0	1.0	13.0	21.990908	74.0	0.0	1000.0	1000.0	227999	0.347305	0.34734747	-0.11261858	0.97239053	1.5065222	0.10000002	5972.7489647865295
58	5.75	4.81534	14.0	2.0	24.25	14.98958	41.0	0.0	6.2	3.789459	13.0	2.0	54.5	92.66958	297.0	0.0	1000.0	1000.0	231999	0.33630258	0.3359921	-0.09717253	0.9860819	1.485146	0.10000002	6077.469720363617
59	9.5	4.974937	14.0	2.0	5.5	5.6789083	13.0	0.0	4.7	4.172529	13.0	0.0	7.6	16.614452	53.0	0.0	1000.0	1000.0	235999	0.26081255	0.2609215	-0.021348419	0.99639124	1.4908745	0.10000002	6182.341444730759
60	3.25	2.2776084	7.0	1.0	25.75	32.698433	80.0	0.0	5.2	4.0447497	15.0	0.0	10.6	13.2981205	34.0	0.0	1000.0	1000.0	239999	0.2273048	0.2271991	0.014742467	0.9991634	1.4895203	0.10000002	6287.1988389492035
61	4.0	2.5495098	8.0	1.0	35.5	22.477766	61.0	0.0	3.8	2.7129319	8.0	0.0	9.2	21.623137	73.0	0.0	1000.0	1000.0	243999	0.19605955	0.19617231	0.042018227	0.99703	1.5014644	0.10000002	6392.1055290699005
62	7.5	3.5707142	13.0	3.0	0.0	0.0	0.0	0.0	3.0	3.0	9.0	0.0	10.7	14.96028	39.0	0.0	1000.0	1000.0	247999	0.21119237	0.21095346	0.031084968	0.98094153	1.5166179	0.10000002	6496.818690538406
63	8.0	3.535534	11.0	2.0	25.75	12.33643	38.0	6.0	4.8	4.4452224	16.0	0.0	12.4	21.717274	57.0	0.0	1000.0	1000.0	251999	0.30782682	0.30782813	-0.06350129	0.9790929	1.5243267	0.10000002	6602.11274266243
64	7.25	4.0233693	12.0	1.0	35.75	58.50801	137.0	0.0	4.8	3.1874754	12.0	0.0	14.9	20.486338	63.0	0.0	1000.0	1000.0	255999	0.2712011	0.2709756	-0.0256324	0.99428743	1.5333294	0.10000002	6706.654947757721
65	3.75	3.344772	8.0	0.0	13.0	13.019217	33.0	0.0	6.2	5.564171	17.0	0.0	20.4	22.087101	61.0	0.0	1000.0	1000.0	259999	0.2660346	0.26593408	-0.0199735	1.003282	1.5270805	0.10000002	6810.648945808411
66	5.25	1.7853571	8.0	3.0	68.0	36.35244	123.0	24.0	7.1	4.323193	14.0	2.0	108.8	182.74617	585.0	0.0	1000.0	1000.0	263999	0.24329148	0.24307862	0.007438353	1.0214396	1.5124269	0.10000002	6915.0633199214935
67	6.5	4.1533117	12.0	2.0	20.75	20.116846	54.0	0.0	7.8	3.9191835	17.0	3.0	17.9	17.3	50.0	0.0	1000.0	1000.0	267999	0.107240334	0.10714284	0.14469303	1.0360545	1.5167589	0.10000002	7019.859396696091
68	9.25	6.4951906	17.0	1.0	10.0	8.124039	22.0	0.0	6.5	4.387482	13.0	0.0	94.9	144.41708	467.0	0.0	1000.0	1000.0	271999	0.023659987	0.02382618	0.23126575	1.0435904	1.5060025	0.10000002	7124.8561017513275
69	7.75	3.269174	12.0	3.0	11.5	7.1589108	18.0	0.0	7.2	3.3704598	12.0	2.0	23.9	23.517864	65.0	0.0	1000.0	1000.0	275999	-0.058027763	-0.05793805	0.30899468	1.0295115	1.5315543	0.10000002	7230.427532672882
70	7.75	2.8613808	12.0	4.0	37.25	38.127254	86.0	0.0	7.2	4.643275	17.0	1.0	36.1	56.60821	182.0	0.0	1000.0	1000.0	279999	-0.01806222	-0.0178606	0.2720884	1.0366524	1.5298073	0.10000002	7335.215429782867
71	9.0	3.535534	12.0	3.0	9.0	9.949874	24.0	0.0	8.3	4.73392	15.0	0.0	33.2	39.18367	105.0	0.0	1000.0	1000.0	283999	0.011129294	0.011188233	0.24303952	1.0440896	1.547307	0.10000002	7440.238361597061
72	11.0	5.4313903	18.0	3.0	61.75	79.89485	199.0	0.0	7.0	4.8989797	15.0	1.0	8.9	15.990309	42.0	0.0	1000.0	1000.0	287999	0.005654269	0.0057722717	0.25214988	1.0388408	1.5409839	0.10000002	7545.674199581146
73	6.0	3.391165	10.0	1.0	36.75	16.663958	52.0	12.0	8.2	5.05569	16.0	2.0	7.6	7.539231	23.0	0.0	1000.0	1000.0	291999	-0.06816389	-0.06827449	0.3289218	1.0387508	1.5349047	0.10000002	7650.690047264099
74	6.5	2.1794496	9.0	3.0	65.0	67.52407	172.0	0.0	6.1	3.1128767	12.0	0.0	43.4	44.43692	147.0	0.0	1000.0	1000.0	295999	-0.1563472	-0.1562582	0.41964298	1.051889	1.5224112	0.10000002	7756.064106464386
75	11.5	5.7227616	18.0	4.0	5.5	5.894913	14.0	0.0	6.9	4.346263	17.0	3.0	13.9	18.511889	60.0	0.0	1000.0	1000.0	299999	-0.2912278	-0.29114264	0.5560599	1.0767788	1.5113665	0.10000002	7861.534149646759
76	3.25	1.7853571	6.0	1.0	59.25	62.81471	148.0	0.0	5.7	4.817676	17.0	0.0	104.9	162.08237	467.0	0.0	1000.0	1000.0	303999	-0.42594555	-0.42604047	0.6936239	1.0751147	1.506251	0.10000002	7966.837249755859
77	7.25	5.3560715	16.0	2.0	14.0	20.92845	50.0	0.0	8.8	4.749737	15.0	1.0	99.5	245.859	835.0	0.0	1000.0	1000.0	307999	-0.5242412	-0.52425027	0.79022735	1.0598413	1.5225432	0.10000002	8071.971528530121
78	7.25	4.968652	14.0	2.0	3.5	4.092676	10.0	0.0	5.8	5.173007	15.0	0.0	25.4	41.233967	128.0	0.0	1000.0	1000.0	311999	-0.53605795	-0.53625745	0.80017596	1.0780178	1.5136489	0.10000002	8178.1395354270935
79	10.75	3.8971143	16.0	5.0	21.5	21.546461	45.0	0.0	8.4	5.10294	16.0	1.0	5.1	8.490582	29.0	0.0	1000.0	1000.0	315999	-0.5714294	-0.5712024	0.8344417	1.087506	1.5235051	0.10000002	8284.133150339127
80	5.75	3.8971143	12.0	2.0	18.75	16.990807	44.0	0.0	9.4	5.083306	19.0	0.0	17.2	23.815123	62.0	0.0	1000.0	1000.0	319999	-0.46734816	-0.46743664	0.7290031	1.0488027	1.5330335	0.10000002	8389.531505823135
81	7.75	2.58602	11.0	4.0	17.75	13.699909	33.0	0.0	10.1	5.6648035	17.0	0.0	34.1	64.29844	223.0	0.0	1000.0	1000.0	323999	-0.48006997	-0.4801577	0.744221	1.0758054	1.5341189	0.10000002	8495.007387638092
82	6.0	6.745369	17.0	0.0	25.5	28.19131	68.0	0.0	7.8	4.2379246	14.0	0.0	5.7	7.5372405	22.0	0.0	1000.0	1000.0	327999	-0.5117661	-0.5119003	0.7803384	1.0671482	1.5170698	0.10000002	8599.8952190876
83	11.0	2.9154758	13.0	6.0	29.0	41.509037	100.0	0.0	9.3	4.712749	18.0	0.0	26.0	31.48333	90.0	0.0	1000.0	1000.0	331999	-0.5669768	-0.5671985	0.83655685	1.0628567	1.516697	0.10000002	8705.311755895615
84	6.0	3.9370039	12.0	1.0	38.0	26.172504	81.0	15.0	9.1	3.2078028	15.0	3.0	38.2	31.288336	102.0	0.0	1000.0	1000.0	335999	-0.65332013	-0.65343505	0.9267024	1.0560639	1.5096464	0.10000002	8810.809700250626
85	6.0	4.358899	13.0	1.0	39.5	28.60507	80.0	0.0	10.7	3.7161808	17.0	6.0	16.1	24.671644	67.0	0.0	1000.0	1000.0	339999	-0.7334714	-0.7335628	1.0068777	1.0702727	1.5322592	0.10000002	8916.640485525131
86	8.0	1.5811388	10.0	6.0	30.5	35.51408	91.0	0.0	6.6	3.8781438	12.0	0.0	23.3	27.651583	88.0	0.0	1000.0	1000.0	343999	-0.81893784	-0.8191278	1.0956469	1.0726588	1.5164136	0.10000002	9021.912276268005
87	13.5	4.769696	19.0	7.0	3.25	5.629165	13.0	0.0	8.7	4.583667	16.0	0.0	13.3	17.088299	45.0	0.0	1000.0	1000.0	347999	-0.8966831	-0.89695734	1.1739087	1.0686228	1.5121975	0.10000002	9127.367827177048
88	7.25	4.6029882	13.0	1.0	68.5	102.07963	245.0	0.0	6.9	5.4120235	18.0	1.0	16.7	27.188417	95.0	0.0	1000.0	1000.0	351999	-0.98916763	-0.9894451	1.2722429	1.0950993	1.5145484	0.10000002	9234.828459978104
89	6.75	3.9607449	12.0	2.0	32.75	37.69201	96.0	0.0	7.8	4.1904655	15.0	0.0	35.6	35.56459	112.0	0.0	1000.0	1000.0	355999	-1.1239047	-1.1244565	1.4096053	1.1231936	1.5174019	0.10000002	9340.644833564758
90	9.25	4.6029882	15.0	3.0	66.0	37.99342	118.0	11.0	3.6	3.826225	13.0	0.0	35.8	43.803654	149.0	0.0	1000.0	1000.0	359999	-1.3137503	-1.3138663	1.6016673	1.1246784	1.5110627	0.10000002	9446.138783931732
91	10.25	3.7666297	14.0	4.0	20.25	13.141062	43.0	12.0	8.7	5.7628117	17.0	1.0	35.2	58.644352	185.0	0.0	1000.0	1000.0	363999	-1.4834735	-1.4834261	1.7759216	1.1610844	1.5161027	0.10000002	9554.38589644432
