Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	mmd_entropy	alpha	Time
1	0.0	0.0	0.0	0.0	53.0	54.34611	123.0	0.0	0.7	1.0049876	3.0	0.0	402.0	307.25006	974.0	0.0	1000.0	1000.0	3999	0.097162426	0.097190395	-0.10077542	0.0039233374	0.39548266	0.100000024	76.55077505111694
2	0.0	0.0	0.0	0.0	143.25	98.639175	268.0	0.0	6.6	4.7159305	15.0	0.0	112.7	239.60095	824.0	0.0	1000.0	1000.0	7999	0.90930766	0.9093089	-0.9255808	0.0076365834	0.635876	0.10000002	169.30944275856018
3	5.5	5.315073	13.0	0.0	0.0	0.0	0.0	0.0	3.9	2.9816103	9.0	0.0	56.0	102.18121	342.0	0.0	1000.0	1000.0	11999	2.3180442	2.3180594	-2.3368447	0.07474235	1.0202671	0.10000002	269.03801226615906
4	8.25	1.7853571	10.0	6.0	75.0	56.661274	149.0	0.0	9.3	5.8660035	16.0	0.0	80.1	69.66843	237.0	0.0	1000.0	1000.0	15999	4.578278	4.5783377	-4.5765696	0.122717895	1.2579728	0.10000002	369.87692975997925
5	11.0	6.0	17.0	1.0	59.0	35.895683	95.0	0.0	7.9	3.2078028	13.0	4.0	115.5	87.82853	286.0	0.0	1000.0	1000.0	19999	7.2678823	7.2679667	-7.241834	0.14547485	1.4670981	0.10000002	471.8551049232483
6	12.5	2.598076	16.0	10.0	71.25	91.29999	228.0	0.0	12.5	3.5	18.0	5.0	83.9	48.23163	176.0	13.0	1000.0	1000.0	23999	9.699445	9.699481	-9.64463	0.18292776	1.5040659	0.10000002	572.5651223659515
7	8.75	2.9474566	13.0	6.0	60.25	45.32866	131.0	5.0	13.0	3.7682886	19.0	6.0	54.2	57.697144	169.0	0.0	1000.0	1000.0	27999	11.879558	11.879671	-11.807338	0.22242816	1.5957973	0.10000002	678.7278089523315
8	13.5	2.95804	17.0	9.0	74.5	48.716015	125.0	0.0	13.4	2.9393878	19.0	8.0	64.9	42.914917	131.0	14.0	1000.0	1000.0	31999	13.806348	13.806313	-13.716073	0.23284109	1.6293514	0.10000002	792.422446012497
9	14.25	1.47902	16.0	12.0	64.75	44.285297	131.0	22.0	15.2	2.2715633	18.0	10.0	66.0	53.68426	145.0	0.0	1000.0	1000.0	35999	15.53711	15.537091	-15.433205	0.26747456	1.6641097	0.10000002	901.0767345428467
10	15.25	2.046338	17.0	12.0	62.25	14.618053	84.0	43.0	15.0	1.67332	19.0	12.0	64.2	40.106857	120.0	0.0	1000.0	1000.0	39999	16.92693	16.92685	-16.801817	0.27606606	1.6381484	0.10000002	1012.8306193351746
11	14.25	2.772634	17.0	11.0	106.25	35.933098	156.0	60.0	15.4	3.006659	21.0	11.0	67.9	54.63781	159.0	0.0	1000.0	1000.0	43999	18.064758	18.064772	-17.927427	0.2890181	1.6494315	0.10000002	1121.2358694076538
12	12.0	0.70710677	13.0	11.0	68.25	16.887495	88.0	42.0	14.5	3.3241541	19.0	9.0	75.3	77.458435	210.0	0.0	1000.0	1000.0	47999	18.993748	18.993748	-18.840298	0.29867467	1.6498709	0.10000002	1228.5827383995056
13	15.25	0.4330127	16.0	15.0	103.5	70.44324	224.0	49.0	15.5	2.9068882	21.0	12.0	85.3	52.886765	177.0	0.0	1000.0	1000.0	51999	19.706875	19.706915	-19.545933	0.3044292	1.6682429	0.10000002	1336.5247104167938
