Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.16666667	0.372678	1.0	0.0	77.208336	100.79847	429.0	0.0	1000.0	2242.0	0.07473333333333333	-0.25134337	0.26569265	0.90805966	-1.3364698	-0.11758049	0.46769962	1.5420512	-1.3316692	5.122274e-09	-0.012525784	-4.4703484e-08	-0.0075957463	0.37133524	-0.17790003	307.12784	-160.84521	0	0	1.7066147	0.0	1.837877	0.009262888	30000	43.8401563167572
1	0.16666667	0.47140452	2.0	0.0	125.583336	123.38588	468.0	0.0	1000.0	5942.0	0.09903333333333333	-0.23599362	0.4351381	1.5670599	-2.2572064	7.213216	9.28377	30.517899	-11.054661	-1.3038516e-08	-0.012518332	-2.9802322e-08	0.008729719	0.20173706	-0.051977064	285.7948	-128.0062	0	0	1.6094921	0.0	1.8538666	0.009239236	60000	107.84341597557068
2	0.16666667	0.37267798	1.0	0.0	156.5	133.1531	499.0	0.0	1000.0	10171.0	0.11301111111111112	-0.1384016	0.40731233	1.4160571	-1.6521626	11.675868	15.364377	51.82647	-16.71801	7.450581e-09	-0.012079996	0.0	0.016518883	0.21434896	-0.048924293	183.55933	-69.389755	0	0	1.6382586	0.0	1.8885213	0.009181742	90000	186.5948247909546
3	0.25	0.595119	2.0	0.0	242.91667	148.3099	490.0	0.0	1000.0	17639.0	0.14699166666666666	-0.09455716	0.4764875	1.5162897	-1.5813098	20.14615	18.99757	63.323956	-26.201475	-9.313226e-10	-0.013777647	1.7881393e-07	0.022688426	0.19574031	-0.07173318	311.3528	-105.01694	0	0	1.4417346	0.0	1.8854008	0.009175212	120000	263.1588683128357
4	0.5	0.7637626	3.0	0.0	334.16666	137.7645	647.0	181.0	1000.0	27162.0	0.18108	0.02529026	0.4233399	1.1667582	-1.4242538	32.835247	20.585924	72.64862	-10.644557	5.5879354e-09	-0.012510885	0.0	0.030781973	0.16578266	-0.055183947	353.5331	-100.43944	0	0	1.5827037	0.0	1.8698134	0.008943973	150000	344.26928520202637
5	0.7083333	0.8887804	3.0	0.0	344.91666	151.57559	698.0	39.0	1000.0	37684.0	0.20935555555555554	0.100711234	0.4801232	1.5460349	-1.2933772	37.63084	19.652916	77.84636	-8.189585	7.450581e-09	-0.011945022	-1.0430813e-07	0.010216842	0.18808848	-0.06855488	364.91486	-97.388794	0	0	1.6713934	0.0	1.8512216	0.008684993	180000	426.6606328487396
6	1.125	0.97093165	3.0	0.0	324.29166	127.29214	556.0	100.0	1000.0	47970.0	0.22842857142857143	0.1391179	0.5121444	1.4139776	-1.3770454	36.878017	18.670238	83.28214	-4.5471206	1.4901161e-08	-0.012161501	0.0	0.0036420198	0.17319447	-0.05850102	355.79453	-94.56174	0	0	1.6251235	0.0	1.8407221	0.008904385	210000	512.5005822181702
7	1.25	0.96824586	4.0	0.0	403.20834	145.81808	664.0	148.0	1000.0	60203.0	0.2508458333333333	0.24506225	0.5155363	1.8006394	-1.3233604	39.86734	19.108088	87.75653	-5.496324	7.450581e-09	-0.013102749	1.1920929e-07	0.0042692237	0.16886297	-0.049401607	412.51175	-142.97786	0	0	1.5572681	0.0	1.8275459	0.008959001	240000	585.3537788391113
8	1.2916666	1.135751	4.0	0.0	336.25	107.43419	587.0	116.0	1000.0	70251.0	0.2601888888888889	0.32014441	0.49718893	1.7408625	-1.1518229	38.14155	17.69087	90.056786	0.5115436	1.1175871e-08	-0.013316004	2.9802322e-08	0.0029508523	0.16570725	-0.06456683	302.34653	-117.394966	0	0	1.5250221	0.0	1.8351884	0.009221224	270000	668.7538945674896
9	1.5416666	1.0793195	3.0	0.0	315.79166	109.64069	536.0	140.0	1000.0	79933.0	0.2664433333333333	0.33736435	0.5691396	1.8026994	-1.4889684	33.568817	16.756527	88.18604	0.98210335	3.7252903e-09	-0.012795167	7.4505806e-08	-0.00986604	0.15766765	-0.042786323	324.2017	-120.49153	0	0	1.5758377	0.0	1.8421559	0.009181088	300000	750.2346251010895
10	2.0	1.2247449	5.0	0.0	351.41666	153.81155	714.0	94.0	1000.0	90791.0	0.27512424242424244	0.46078217	0.51687616	1.8941721	-1.0480767	35.457626	16.434052	84.04435	1.1560867	-3.7252903e-09	-0.013139848	2.9802322e-08	-0.018212225	0.1654096	-0.056554053	371.0953	-153.14499	0	0	1.5258708	0.0	1.8369439	0.009084007	330000	830.1033890247345
11	2.4583333	1.3838102	6.0	1.0	298.79166	137.45453	549.0	60.0	1000.0	99644.0	0.27678888888888886	0.5477269	0.5374993	1.8484373	-1.0183663	34.721535	18.583807	92.34014	-1.4263207	1.1175871e-08	-0.0129936095	-1.0430813e-07	-0.017572533	0.17946315	-0.06582171	304.61493	-111.906784	0	0	1.5099423	0.0	1.8106524	0.009378159	360000	906.7313966751099
12	3.25	1.5612495	6.0	0.0	288.20834	121.3466	537.0	47.0	1000.0	108327.0	0.27776153846153845	0.75525314	0.532743	1.8823849	-1.0418806	30.196743	16.551796	80.67705	-0.95324993	-2.142042e-08	-0.012250798	1.4901161e-08	-0.011907093	0.16696154	-0.057641096	260.06183	-78.41147	0	0	1.5976365	0.0	1.796129	0.009103302	390000	988.3011431694031
13	3.2916667	1.6703085	7.0	0.0	320.91666	101.1875	544.0	124.0	1000.0	117674.0	0.28017619047619047	0.8437591	0.5841626	2.075965	-0.7367915	30.706646	17.272802	85.4792	1.3397036	7.450581e-09	-0.012535797	-5.9604645e-08	-0.008852415	0.18545938	-0.06660948	256.9359	-86.73727	0	0	1.5965014	0.0	1.7608268	0.0095067145	420000	1070.0227370262146
14	4.375	1.466643	7.0	1.0	292.0	144.94539	597.0	68.0	1000.0	126303.0	0.28067333333333333	1.0147222	0.5748326	2.275947	-0.9261612	31.779697	16.233803	87.7692	6.08124	-2.7939677e-09	-0.011062983	8.940697e-08	-0.009158468	0.17192896	-0.054346677	289.15747	-87.77503	0	0	1.7647126	0.0	1.7177805	0.009213895	450000	1156.4212617874146
