Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.0	0.0	0.0	0.0	19.083334	30.939344	103.0	0.0	1000.0	581.0	0.019366666666666667	-0.2430817	0.26962778	0.97401685	-1.6772244	-0.17068557	0.47270036	1.5846199	-1.4160714	-2.3283064e-08	0.002483916	-2.9802322e-08	-0.018645085	0.31237513	-0.15931731	46.288895	-25.805523	0.99999994	-0.031173289	1.0	1.837877	0.04424064	30000	44.19860553741455
1	0.0	0.0	0.0	0.0	18.125	31.459381	101.0	0.0	1000.0	1339.0	0.022316666666666665	-0.29390684	0.2999577	0.91330343	-1.8017927	3.450648	5.3023787	24.070951	-11.003047	0.0	0.0004496125	-1.4901161e-08	-0.009745711	0.14526132	-0.040602855	54.013557	-27.223238	0.96882665	-0.03055054	1.0	1.8390446	0.015785033	60000	101.32553267478943
2	0.0	0.0	0.0	0.0	11.375	38.833847	189.0	0.0	1000.0	1671.0	0.018566666666666665	-0.204845	0.236505	0.7628038	-1.4037359	0.86050993	4.021784	28.121815	-13.073191	7.450581e-09	0.0037194383	1.6763806e-08	-0.0007172113	0.1924857	-0.08630828	29.765156	-24.671242	0.9382761	-0.02878499	1.0	1.8401167	0.021314386	90000	171.31075501441956
3	0.0	0.0	0.0	0.0	20.041666	41.983604	175.0	0.0	1000.0	2472.0	0.0206	-0.40203938	0.3025505	0.94232076	-1.2553188	1.2701763	4.2794747	36.449345	-21.96598	1.8626451e-09	-0.025937185	1.1175871e-08	-0.061867096	0.086958945	-0.046815608	81.216034	-62.838673	0.9094911	-0.026441038	11.0	1.8411114	0.018101111	120000	239.3053207397461
4	0.0	0.0	0.0	0.0	21.125	41.86617	139.0	0.0	1000.0	3161.0	0.021073333333333333	-0.28884098	0.28281638	0.87690437	-1.2257916	3.8021183	9.88086	52.626293	-17.377441	-7.450581e-09	-0.012471916	1.8626451e-08	-0.035563506	0.07836878	-0.04088738	113.29219	-80.067276	0.8830501	-0.025004625	6.0	1.8472567	0.015801307	150000	301.60950756073
5	0.041666668	0.1998263	1.0	0.0	32.291668	91.50705	350.0	0.0	1000.0	4073.0	0.022627777777777778	-0.22309928	0.18639794	0.5117981	-0.73241806	3.2100766	7.7660217	53.790382	-11.399357	4.4703484e-08	-0.005589233	5.9604645e-08	-0.022453617	0.058382217	-0.019506563	171.80948	-123.16785	0.85804546	-0.0140751	2.0	1.8504652	0.016136484	180000	365.3286850452423
6	0.0	0.0	0.0	0.0	11.833333	33.3325	142.0	0.0	1000.0	4543.0	0.021633333333333334	-0.17880492	0.20368579	0.538737	-0.81457585	2.7609322	8.250473	65.287735	-21.62543	3.7252903e-09	-0.004214907	-1.4901161e-08	-0.008875435	0.041139647	-0.014734685	74.666504	-53.48031	0.84397036	-0.018062472	3.0	1.8513474	0.007638848	210000	433.88782000541687
7	0.0	0.0	0.0	0.0	0.875	4.1963525	21.0	0.0	1000.0	4769.0	0.019870833333333334	-0.17135055	0.19421358	0.42124337	-0.9587639	1.348777	3.7768478	42.089092	-9.718784	7.450581e-09	-0.0034895996	-7.450581e-09	-0.0071123266	0.035552975	-0.017822456	39.465668	-12.551082	0.8259079	-0.020748138	4.0	1.8517172	0.009469646	240000	499.273072719574
8	0.0	0.0	0.0	0.0	13.583333	37.384174	147.0	0.0	1000.0	5095.0	0.01887037037037037	-0.12961422	0.1581426	0.37968174	-0.5610885	0.7374586	0.7767427	14.611888	-3.066183	2.6077032e-08	-0.011778796	5.5879354e-08	-0.021462196	0.025451494	-0.012905714	33.74742	-14.874902	0.80515975	-0.020615399	27.0	1.8510494	0.011772344	270000	576.0331575870514
9	0.0	0.0	0.0	0.0	38.041668	90.888435	367.0	0.0	1000.0	6060.0	0.0202	-0.06026414	0.12183991	0.37976122	-0.43865755	1.2819204	2.2592835	36.228985	-33.980175	2.2351742e-08	-0.003959151	5.9604645e-08	-0.008251509	0.022973506	-0.011646751	157.77522	-92.182	0.78454435	-0.013145506	2.0	1.8468249	0.0046954644	300000	643.8880319595337
10	0.0	0.0	0.0	0.0	8.625	40.537857	203.0	0.0	1000.0	6267.0	0.01899090909090909	-0.005402183	0.121103324	0.47614807	-0.3738924	2.4656062	5.2083287	37.729954	-2.4925172	-2.9802322e-08	-0.010948725	-7.4505806e-08	-0.028702741	0.014953946	-0.008686249	60.19908	-36.114765	0.77139884	-0.015203834	10.0	1.8464243	0.011995979	330000	706.9629921913147
11	0.0	0.0	0.0	0.0	19.625	94.118195	471.0	0.0	1000.0	6738.0	0.018716666666666666	-0.021644881	0.09458264	0.4430198	-0.35281894	0.58424443	1.4757737	17.918358	-29.85374	0.0	-0.009936219	0.0	-0.023536973	0.01582004	-0.008547291	96.75903	-43.814754	0.756195	-0.014778078	11.0	1.8440589	0.012098326	360000	776.6921935081482
12	0.0	0.0	0.0	0.0	12.791667	42.554848	165.0	0.0	1000.0	7045.0	0.018064102564102565	-0.0022667327	0.08762142	0.4674179	-0.29566306	1.1546143	2.3851032	22.276232	-2.7915497	0.0	-0.011270193	0.0	-0.029724792	0.0126308715	-0.006516333	48.061394	-40.020184	0.74141693	-0.015784562	14.0	1.8422443	0.013373805	390000	842.2849116325378
13	0.0	0.0	0.0	0.0	30.208334	59.177685	223.0	0.0	1000.0	7803.0	0.018578571428571427	0.018867714	0.097493425	0.5329059	-0.32716432	1.2020394	4.1725926	58.17822	-6.5655055	-2.2351742e-08	-0.013511448	-7.4505806e-08	-0.039697785	0.01775672	-0.009300434	110.12457	-90.16948	0.72563237	-0.012531579	8.0	1.8380983	0.013407854	420000	905.3640441894531
14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	7803.0	0.01734	0.0017697342	0.091973975	0.37853622	-0.35489744	0.9103652	3.5976093	44.77073	-2.2542825	1.0244548e-08	-0.011873884	7.450581e-09	-0.02367134	0.012427311	-0.0060656	13.183352	-13.073734	0.7131008	-0.013049543	44.0	1.8351377	0.012143286	450000	983.171746969223
15	0.083333336	0.3996526	2.0	0.0	10.708333	39.70567	190.0	0.0	1000.0	8060.0	0.016791666666666667	-0.0021020826	0.0761156	0.49831575	-0.26931685	0.0861493	0.32051545	16.448242	-2.9210384	2.6077032e-08	-0.0034931942	7.4505806e-08	-0.006122358	0.020831015	-0.012519918	40.405376	-35.293785	0.70005125	-0.01698029	6.0	1.8366485	0.0064662024	480000	1043.1993346214294
