Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.0	0.0	0.0	0.0	19.083334	30.939344	103.0	0.0	1000.0	581.0	0.019366666666666667	-0.2430817	0.26962778	0.97401685	-1.6772244	-0.17068557	0.47270036	1.5846199	-1.4160714	-1.4901161e-08	-0.012565359	-2.9802322e-08	-0.0019105705	0.31237513	-0.15931731	46.288895	-25.805523	0	0	1.6272799	0.0	1.837877	0.008673381	30000	37.196966886520386
1	0.0	0.0	0.0	0.0	8.083333	19.805128	66.0	0.0	1000.0	975.0	0.01625	-0.34514207	0.2657657	0.72143024	-1.729435	1.4475888	4.0700383	24.476442	-8.3588085	-1.1175871e-08	-0.012443471	-2.6077032e-08	-0.0020684637	0.1805061	-0.03968609	19.563702	-10.75771	0	0	1.5728519	0.0	1.860804	0.008940201	60000	77.25475096702576
2	0.0	0.0	0.0	0.0	19.625	53.383682	245.0	0.0	1000.0	1780.0	0.019777777777777776	-0.25975668	0.3472321	1.0624251	-1.5882581	2.2226434	5.760785	30.620667	-11.029256	-1.1175871e-08	-0.012460617	3.7252903e-08	0.00387085	0.1659694	-0.061723374	50.89975	-29.103226	0	0	1.6165738	0.0	1.8791025	0.0093695875	90000	125.97446513175964
3	0.0	0.0	0.0	0.0	49.666668	60.80958	247.0	0.0	1000.0	3127.0	0.026058333333333333	-0.08379789	0.28439805	1.0398602	-0.9585192	5.425334	8.868362	46.6494	-8.637897	4.656613e-09	-0.011080766	7.450581e-09	0.004557587	0.11817929	-0.032513	82.86755	-46.024166	0	0	1.7544949	0.0	1.8999186	0.008643133	120000	175.53599166870117
4	0.0	0.0	0.0	0.0	69.166664	79.227875	255.0	0.0	1000.0	5452.0	0.036346666666666666	-0.053415317	0.3025556	0.9075996	-1.0418271	6.0525174	8.521992	45.16269	-8.562695	-7.450581e-09	-0.012393076	0.0	0.004560346	0.07611767	-0.030196127	130.7203	-56.571815	0	0	1.6566634	0.0	1.9124734	0.009167118	150000	226.29063963890076
5	0.083333336	0.2763854	1.0	0.0	81.916664	97.99274	395.0	0.0	1000.0	8267.0	0.045927777777777776	-0.011783	0.25903222	0.6794758	-0.77532136	9.313319	10.888319	48.771244	-12.401878	8.381903e-09	-0.011692625	-9.685755e-08	0.00968345	0.055248547	-0.020451114	180.4777	-83.84215	0	0	1.7603732	0.0	1.8967988	0.009219763	180000	281.05273485183716
6	0.041666668	0.1998263	1.0	0.0	135.54167	126.459465	439.0	0.0	1000.0	11856.0	0.05645714285714286	-0.011072209	0.24033624	0.5834118	-0.88713086	10.192966	13.289937	58.398792	-10.830875	-3.7252903e-09	-0.01224534	-7.4505806e-08	-0.0049050758	0.044462595	-0.019448835	246.42043	-135.76697	0	0	1.6307722	0.0	1.9291627	0.008958474	210000	326.7303385734558
7	0.0	0.0	0.0	0.0	87.375	76.43288	305.0	0.0	1000.0	14294.0	0.05955833333333333	0.011400428	0.23418847	0.69807243	-0.74947894	10.909414	12.924101	64.29872	-9.014186	-8.8475645e-09	-0.011595048	-8.195639e-08	-0.0008460493	0.044920042	-0.022818588	193.26422	-101.555534	0	0	1.7371036	0.0	1.9059198	0.009225944	240000	376.0288655757904
8	0.041666668	0.1998263	1.0	0.0	129.54167	100.5837	311.0	0.0	1000.0	17618.0	0.06525185185185185	0.06596953	0.21985865	0.9100022	-0.7736263	11.460651	13.910225	65.82797	-11.509908	-1.1175871e-08	-0.011337431	-1.4901161e-08	0.0065924795	0.05015903	-0.020612158	168.44456	-82.945694	0	0	1.7881507	0.0	1.8921719	0.009166169	270000	422.8232123851776
9	0.041666668	0.1998263	1.0	0.0	61.041668	85.74986	305.0	0.0	1000.0	19886.0	0.06628666666666666	0.003821954	0.20258912	0.72134054	-0.62419146	10.26949	13.221663	68.01282	-3.828357	-4.656613e-09	-0.011191919	-1.0803342e-07	-0.0010640197	0.04022093	-0.01631422	168.59625	-98.872086	0	0	1.7892622	0.0	1.8708293	0.008948982	300000	469.4218623638153
