Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.0	0.0	0.0	0.0	176.25	135.59937	455.0	0.0	1000.0	4596.0	0.1532	-0.25014484	0.2695141	0.9351475	-1.7395172	-0.15439422	0.47719935	1.8443897	-1.3543115	-7.450581e-09	0.013737255	-2.0861626e-07	-0.010176703	0.26712078	-0.14907837	510.34882	-372.41306	0	0	1.0	1.837877	0.023417825	30000	45.198487281799316
1	0.0	0.0	0.0	0.0	105.75	96.87373	297.0	0.0	1000.0	7821.0	0.13035	-0.21897559	0.27830794	1.2106792	-1.1880945	13.106415	10.611428	28.800308	-13.012482	-5.5879354e-09	0.04865889	1.4901161e-08	0.03457126	0.12543263	-0.030343667	134.20769	-47.479843	0	0	1.0	1.8389363	0.06591405	60000	86.38520312309265
2	0.0	0.0	0.0	0.0	101.666664	145.47728	445.0	0.0	1000.0	11327.0	0.12585555555555555	-0.16989721	0.24189758	0.8128649	-0.9538028	8.635265	11.64431	33.350956	-13.455362	1.8626451e-08	0.004973891	-5.9604645e-08	-0.005974266	0.25510126	-0.10738143	105.39945	-52.675346	0	0	1.0	1.839809	0.0141597	90000	137.58668613433838
3	0.0	0.0	0.0	0.0	113.541664	108.348976	427.0	0.0	1000.0	15179.0	0.12649166666666667	-0.30093476	0.4061605	1.0376352	-1.6743511	14.4134865	15.311486	42.24015	-13.497984	1.4901161e-08	-0.0016254536	-1.4901161e-07	3.7399586e-05	0.15735188	-0.06477497	148.163	-73.408844	0	0	1.0	1.8404672	0.0016548419	120000	191.3338747024536
4	0.0	0.0	0.0	0.0	152.5	129.82103	486.0	0.0	1000.0	19955.0	0.13303333333333334	-0.23803368	0.3215071	0.68272704	-1.4123853	15.317009	14.936025	45.90476	-11.001962	-3.7252903e-09	-0.01203155	-2.9802322e-08	-0.00056697056	0.13105291	-0.045673676	145.47212	-52.08543	0	0	79.0	1.8411789	0.0059972685	150000	253.1199290752411
5	0.0	0.0	0.0	0.0	203.04167	130.58792	396.0	0.0	1000.0	26176.0	0.14542222222222223	-0.13435267	0.23653717	0.9226889	-1.0037719	22.35146	16.41862	49.892838	-17.671236	1.9557774e-08	-0.014293691	-7.450581e-09	0.010321295	0.071710356	-0.029288504	136.31015	-52.293213	0	0	79.0	1.8192223	0.0067331064	180000	314.03424310684204
6	0.0	0.0	0.0	0.0	122.083336	108.0902	357.0	0.0	1000.0	29606.0	0.14098095238095237	-0.10903032	0.2601026	0.6755542	-0.9268275	16.318611	13.047201	45.41785	-12.365854	2.7939677e-08	-0.014660172	-8.940697e-08	0.019371023	0.09329961	-0.02548495	147.92493	-73.81288	0	0	79.0	1.801394	0.006759332	210000	384.21419858932495
7	0.0	0.0	0.0	0.0	192.33333	139.28917	435.0	0.0	1000.0	35068.0	0.14611666666666667	-0.026026586	0.24898502	0.6332171	-1.1218387	15.910273	13.321332	47.424538	-9.140667	-1.1175871e-08	-0.016841993	-8.940697e-08	0.005024333	0.0736552	-0.028070915	178.94449	-83.15052	0	0	79.0	1.7881789	0.006483848	240000	449.3658022880554
8	0.0	0.0	0.0	0.0	187.125	112.8636	416.0	0.0	1000.0	40515.0	0.15005555555555555	-0.00609752	0.20318359	0.6006307	-0.89835775	20.560242	15.591793	52.92308	-12.857175	-1.2572855e-08	-0.016003769	5.9604645e-08	-0.004156214	0.06050892	-0.02157595	159.92703	-69.17372	0	0	79.0	1.7701411	0.0061250096	270000	510.51038002967834
9	0.041666668	0.1998263	1.0	0.0	180.66667	140.98512	466.0	0.0	1000.0	46204.0	0.15401333333333334	-0.0032266865	0.1932523	0.7314683	-0.8239446	22.188913	15.135464	51.93814	-6.306934	-9.313226e-09	-0.016924035	0.0	0.0014546048	0.043006174	-0.017371425	209.67838	-125.37959	0	0	79.0	1.7379129	0.0059162145	300000	581.1633713245392
