Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.0	0.0	0.0	0.0	176.25	135.59937	455.0	0.0	1000.0	4596.0	0.1532	-0.25014484	0.2695141	0.9351475	-1.7395172	-0.15439422	0.47719935	1.8443897	-1.3543115	-7.450581e-09	0.00023378752	-2.0861626e-07	-0.05871941	0.26712078	-0.14907837	510.34882	-372.41306	0.34524095	0.0	0.006602938	-0.11633439	0.15125	0.006642817	-0.002586812	0.16779745	0.0	0.34524095	0.0	0.0	0.0	1.837877	0.009329874	30000	63.01626706123352
1	0.0	0.0	0.0	0.0	85.375	100.61056	329.0	0.0	1000.0	7320.0	0.122	-0.27216688	0.25031525	1.0553359	-1.1880945	10.022764	10.492255	28.702806	-13.6886425	-1.4901161e-08	0.0019015889	-5.9604645e-08	-0.056780316	0.16377395	-0.039300412	110.651505	-47.974766	0.35069045	0.0	0.006520151	-0.0024146638	0.060375	0.0066705616	-0.0049457247	0.16262303	0.0	0.35069045	0.0	0.0	0.0	1.8796505	0.009070513	60000	122.85564804077148
2	0.0	0.0	0.0	0.0	82.708336	129.37138	468.0	0.0	1000.0	9514.0	0.10571111111111112	-0.37211147	0.23865071	0.81417155	-1.176111	6.0001884	10.2825985	34.656643	-15.713129	-1.8626451e-09	0.0014552979	-2.9802322e-08	-0.051039517	0.15808684	-0.04171147	86.23442	-45.24282	0.3927196	0.0	0.006697989	-0.0056810225	0.057708334	0.0069048055	-0.0051787496	0.12967755	0.0	0.3927196	0.0	0.0	0.0	1.8874236	0.008641098	90000	179.76460671424866
3	0.0	0.0	0.0	0.0	89.791664	130.29294	394.0	0.0	1000.0	12263.0	0.10219166666666667	-0.26837197	0.36758262	1.0719866	-1.5635103	9.664154	13.693041	43.447895	-18.702267	-3.7252903e-09	0.0024470594	-4.4703484e-08	-0.06067993	0.13686232	-0.045006342	99.875336	-54.414932	0.32228488	0.0	0.0073094955	-0.0018015874	0.064791664	0.0076963524	-0.008630787	0.19255294	0.0	0.32228488	0.0	0.0	0.0	1.8810571	0.008904416	120000	235.40387797355652
4	0.0	0.0	0.0	0.0	43.5	65.841354	299.0	0.0	1000.0	13718.0	0.09145333333333333	-0.43233454	0.34099165	0.9029441	-1.5942552	3.9553275	7.408894	37.03175	-12.8897085	3.7252903e-09	-0.011477999	-2.2351742e-08	-0.020485867	0.12797531	-0.03842225	75.46584	-37.443325	0.11178958	0.0	0.0074019753	0.017169118	0.0185	0.007417458	-0.0013681473	0.12089872	0.6565984	0.11178958	1.0	0.0	0.0	1.876694	0.009211943	150000	296.8821313381195
5	0.0	0.0	0.0	0.0	31.583334	58.49353	248.0	0.0	1000.0	14694.0	0.08163333333333334	-0.42391425	0.2668452	0.7956356	-1.3593388	3.8396125	7.3906984	38.060127	-14.082924	0.0	-0.012134524	-2.2351742e-08	-0.0113057345	0.14730352	-0.04495967	62.282375	-26.93874	0.08438924	0.0	0.007207681	0.019649846	0.006583334	0.0075446405	-0.0064581065	0.12377489	0.60564506	0.08438924	1.0	0.0	0.0	1.921462	0.009234338	180000	344.43156361579895
6	0.0	0.0	0.0	0.0	37.0	51.48786	152.0	0.0	1000.0	15681.0	0.07467142857142857	-0.3519033	0.26210093	0.88660073	-1.3507183	4.0230823	6.0648756	30.061068	-9.298549	1.4901161e-08	-0.012037236	-6.7055225e-08	-0.011618111	0.10512912	-0.039587997	52.72367	-21.028584	0.11462215	0.0	0.0079944525	0.018036043	0.012	0.007996801	-0.00041502394	0.07332137	0.6657692	0.11462215	1.0	0.0	0.0	1.9617164	0.009287732	210000	410.56029868125916
7	0.0	0.0	0.0	0.0	39.166668	59.62848	178.0	0.0	1000.0	16858.0	0.07024166666666666	-0.23967895	0.25037903	0.814108	-0.90522796	2.9773846	5.0847635	27.786324	-7.3968673	7.450581e-09	-0.01149107	1.4901161e-08	-0.015648257	0.083693296	-0.028379085	86.667206	-38.40187	0.106746554	0.0	0.00704502	0.017982943	0.014166668	0.007075944	-0.0017541096	0.099498704	0.6259083	0.106746554	1.0	0.0	0.0	1.9583002	0.009710085	240000	472.54647612571716
8	0.0	0.0	0.0	0.0	43.375	82.97229	354.0	0.0	1000.0	18338.0	0.06791851851851852	-0.21502347	0.25234804	0.882672	-0.89705724	4.1986427	7.473378	39.27234	-16.678001	-1.8626451e-09	-0.011965954	4.4703484e-08	-0.018829761	0.0668859	-0.030574735	167.95915	-107.291176	0.08800441	0.0	0.008037261	0.017800603	0.018375	0.00804607	-0.001162934	0.1535151	0.67194957	0.08800441	1.0	0.0	0.0	1.9641426	0.009370912	270000	524.2607090473175
9	0.041666668	0.1998263	1.0	0.0	74.333336	84.17277	299.0	0.0	1000.0	20329.0	0.06776333333333333	-0.09755272	0.20691365	0.63720304	-0.72650737	5.7771325	8.877778	49.25933	-9.029346	-2.7939677e-09	-0.008648617	0.0	-0.04996853	0.04503609	-0.02003108	248.05641	-122.58568	0.20102642	0.0	0.0076584863	0.009596228	0.049333338	0.0076958053	-0.0029546765	0.23393226	0.8933491	0.20102642	1.0	0.0	0.0	1.9669508	0.009188034	300000	582.2980580329895
10	0.0	0.0	0.0	0.0	17.833334	32.409702	120.0	0.0	1000.0	20849.0	0.06317878787878788	-0.06160878	0.17683136	0.6857534	-0.92902195	6.8947897	8.163509	50.13406	-12.270655	-1.9557774e-08	-0.01297632	-2.9802322e-08	-0.0014461565	0.031625893	-0.013832059	107.41051	-77.93034	0.0	0.0	0.007979174	0.019662421	-0.007166666	0.007980937	0.0005178858	0.15214536	0.6317015	0.0	2.0	0.0	0.0	1.9851274	0.009297317	330000	637.4395689964294
11	0.0	0.0	0.0	0.0	54.125	70.723236	245.0	0.0	1000.0	22309.0	0.061969444444444445	-0.046145804	0.13906963	0.44775185	-0.55799663	2.2834375	1.8286376	11.921972	-5.7611256	-1.1175871e-08	-0.009512095	-5.9604645e-08	-0.02758447	0.030641865	-0.010509196	181.6711	-51.35508	0.22589993	0.0	0.008138031	0.012785578	0.029125	0.008232052	-0.0033249117	0.11757916	0.79780996	0.22589993	1.0	0.0	0.0	1.9966999	0.0091950055	360000	698.5090410709381
