Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.0	0.0	0.0	0.0	176.25	135.59937	455.0	0.0	1000.0	4596.0	0.1532	-0.25014484	0.2695141	0.9351475	-1.7395172	-0.15439422	0.47719935	1.8443897	-1.3543115	-8.940697e-08	-0.030193454	-2.0861626e-07	-0.05795741	0.26712078	-0.14907837	510.34882	-372.41306	0.99999994	0.03189546	0.67444336	0.0	1.837877	0.0093023	30000	81.47295808792114
1	0.0	0.0	0.0	0.0	45.541668	71.76407	243.0	0.0	1000.0	6600.0	0.11	-0.2537913	0.2384218	0.9110359	-1.1880946	10.041729	10.614962	28.832718	-13.894657	2.2351742e-08	-0.027957473	2.9802322e-08	-0.052893404	0.15265492	-0.033452887	100.97673	-46.633568	1.0318954	0.02475965	0.7225164	0.0	1.881149	0.009107372	60000	155.31088161468506
2	0.0	0.0	0.0	0.0	66.208336	92.73033	420.0	0.0	1000.0	8454.0	0.09393333333333333	-0.22423658	0.27954188	0.93868893	-1.3753653	5.180094	7.8501897	30.284035	-11.914461	0.0	-0.027169894	1.4901161e-08	-0.05239033	0.17950827	-0.060446918	90.326996	-38.008827	1.056655	0.024189949	0.70172334	0.0	1.9105685	0.008209396	90000	226.1849935054779
3	0.0	0.0	0.0	0.0	36.041668	58.0183	227.0	0.0	1000.0	9647.0	0.08039166666666667	-0.22788958	0.2934983	1.0841345	-1.12428	5.2867446	9.033561	36.79222	-14.43378	-1.4901161e-08	-0.028324064	-2.2351742e-08	-0.053195234	0.1595593	-0.0490618	78.06261	-37.414116	1.080845	0.021346211	0.70577836	0.0	1.9239883	0.008319542	120000	301.2403702735901
4	0.0	0.0	0.0	0.0	60.125	70.9309	294.0	0.0	1000.0	11318.0	0.07545333333333333	-0.30348974	0.35605168	0.8778295	-1.3564622	6.197638	7.638036	29.779282	-12.053171	5.5879354e-09	-0.02663507	1.3038516e-08	-0.048749343	0.1556999	-0.044164184	98.360954	-36.302326	1.1021912	0.0217731	0.7574233	0.0	1.9483448	0.009365434	150000	379.35991978645325
5	0.0	0.0	0.0	0.0	47.5	84.63205	357.0	0.0	1000.0	12953.0	0.07196111111111111	-0.34780556	0.24413233	0.71020544	-1.2886021	3.9339108	6.853427	32.86068	-11.686841	6.7055225e-08	-0.027699135	1.0430813e-07	-0.050547678	0.11160613	-0.030730333	140.14262	-87.32251	1.1239643	0.021217465	0.722265	0.0	1.9731828	0.009501715	180000	447.0068371295929
6	0.0	0.0	0.0	0.0	20.375	34.563725	125.0	0.0	1000.0	13610.0	0.0648095238095238	-0.43026686	0.23938993	0.57385874	-1.2683663	5.268438	9.51114	42.119015	-12.9621315	1.4901161e-08	-0.025248874	1.8626451e-08	-0.044036336	0.12904501	-0.035400353	92.68828	-60.94689	1.1451818	0.01820314	0.76762635	0.0	2.004611	0.008540697	210000	511.8429899215698
7	0.0	0.0	0.0	0.0	33.833332	64.65335	255.0	0.0	1000.0	14599.0	0.06082916666666666	-0.26707143	0.32599458	0.98703915	-0.97350425	2.106755	3.7014117	33.025734	-13.27176	-1.4901161e-08	-0.02054348	-1.4901161e-08	-0.035450373	0.10809928	-0.03163805	63.598	-28.559763	1.1633849	0.017076135	0.95480824	0.0	2.025481	0.008550252	240000	591.9159190654755
8	0.0	0.0	0.0	0.0	11.958333	44.708763	220.0	0.0	1000.0	14963.0	0.05541851851851852	-0.43070638	0.2577908	1.0007392	-1.315493	1.2632425	2.6631286	33.808914	-15.762956	-2.6077032e-08	-0.017437603	-2.2351742e-08	-0.02846788	0.10660271	-0.029313015	44.20836	-24.417702	1.180461	0.01386559	1.126443	0.0	2.044127	0.008366329	270000	665.161306142807
9	0.041666668	0.1998263	1.0	0.0	33.625	60.46956	205.0	0.0	1000.0	15922.0	0.053073333333333333	-0.39942846	0.2971004	1.1639863	-1.2759715	1.6859734	4.6670585	35.290043	-9.882047	-5.5879354e-09	-0.027648896	-2.7939677e-08	-0.047990594	0.0802999	-0.037856717	76.98659	-47.83458	1.1943266	0.013319969	0.7247621	0.0	2.0661035	0.008645537	300000	740.5335891246796
10	0.0	0.0	0.0	0.0	22.375	36.70015	110.0	0.0	1000.0	16541.0	0.050124242424242425	-0.4232519	0.25589046	0.5793029	-1.0139638	2.966671	5.566903	42.45576	-9.399168	-2.2351742e-08	-0.021240618	-4.4703484e-08	-0.036040228	0.08628503	-0.030281208	53.348373	-25.862974	1.2076466	0.011728883	0.92200476	0.0	2.0766082	0.008422404	330000	820.7435398101807
11	0.0	0.0	0.0	0.0	26.208334	54.99089	238.0	0.0	1000.0	17259.0	0.04794166666666667	-0.3282739	0.28952855	0.7807251	-1.2158034	1.7923996	3.8665547	36.489998	-7.8434386	-8.381903e-09	-0.021018775	-4.656613e-09	-0.034542024	0.083192974	-0.027956376	75.84978	-29.688526	1.2193755	0.010720372	0.90174973	0.0	2.1030521	0.008420448	360000	895.7560291290283
12	0.0	0.0	0.0	0.0	14.041667	45.951492	225.0	0.0	1000.0	17748.0	0.045507692307692305	-0.35290626	0.2943907	0.5867825	-1.2231346	1.5790246	2.6475363	20.586405	-16.426168	-1.8626451e-08	-0.018097028	-4.4703484e-08	-0.027488355	0.047665074	-0.02191882	71.45866	-41.40692	1.2300959	0.0085424185	1.0672352	0.0	2.1262295	0.00836967	390000	971.5615618228912
13	0.0	0.0	0.0	0.0	8.75	27.660517	133.0	0.0	1000.0	17996.0	0.04284761904761905	-0.40419105	0.26662856	0.7703765	-1.0477935	1.3522614	4.56111	44.945705	-11.482412	-1.3038516e-08	-0.014934499	-2.142042e-08	-0.021612719	0.044200912	-0.018215897	20.425205	-13.045706	1.2386383	0.0060105324	1.2754182	0.0	2.1494126	0.008441428	420000	1049.8193845748901
14	0.0	0.0	0.0	0.0	22.583334	54.801094	238.0	0.0	1000.0	18854.0	0.04189777777777778	-0.2879261	0.26737425	0.61413234	-0.79767007	0.9611541	3.8584607	45.597927	-25.786655	-2.9802322e-08	-0.021562833	-6.7055225e-08	-0.03430008	0.038727805	-0.0179018	83.710014	-55.953556	1.2446488	0.0051976442	0.92445385	0.0	2.150887	0.008896753	450000	1126.8614387512207
15	0.0	0.0	0.0	0.0	6.0833335	21.447449	107.0	0.0	1000.0	19172.0	0.03994166666666667	-0.27318677	0.2412863	0.5688763	-0.81803817	1.538211	4.1134396	44.4878	-8.901745	1.4901161e-08	-0.015148677	1.8626451e-08	-0.024430895	0.03966085	-0.019630171	38.506565	-15.389522	1.2498465	0.0026979446	1.2635688	0.0	2.1562338	0.008960928	480000	1201.7197351455688
16	0.0	0.0	0.0	0.0	17.25	40.35287	163.0	0.0	1000.0	19687.0	0.03860196078431372	-0.18889202	0.23739891	0.62651783	-0.81575054	1.5869397	2.2778869	39.457127	-30.936201	-1.1175871e-08	-0.021247031	-7.450581e-09	-0.034552455	0.050513767	-0.028211165	56.377605	-17.355293	1.2525444	0.0016258955	0.9184919	0.0	2.156937	0.008989224	510000	1282.3083610534668
17	0.0	0.0	0.0	0.0	10.041667	21.701536	95.0	0.0	1000.0	19985.0	0.03700925925925926	-0.08202632	0.19113646	0.4698899	-0.6074977	1.943411	2.6208172	34.787888	-6.026956	-1.8626451e-09	-0.014063574	-1.4901161e-08	-0.019700456	0.03151352	-0.014041422	18.871777	-7.479537	1.2541703	-0.00012254715	1.5016918	0.0	2.1496367	0.008866093	540000	1370.1434547901154
