Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.39285713	0.83833534	3.0	0.0	132.08928	107.25509	414.0	0.0	1000.0	8089.0	0.13481666666666667	-0.29519364	0.5075594	2.188254	-2.27363	0.011205449	0.65261835	2.4743054	-2.655081	-5.820766e-10	-0.036296785	-2.3841858e-07	-0.102633	0.4249822	-0.3002503	424.05908	-263.56235	0.111843094	0.0	0.08753672	0.014824046	0.10708928	0.0876064	0.012424845	2.2156522	2.4300308	0.111843094	1.0	0.0	0.0	11.027262	0.008976649	60000	124.13881540298462
1	0.3392857	0.6621606	3.0	0.0	166.42857	137.3776	507.0	0.0	1000.0	18164.0	0.15136666666666668	-0.09041358	0.18430741	0.7556662	-0.77901304	12.812004	10.111072	29.165035	-14.154566	-1.1175871e-08	-0.032148637	-1.1920929e-07	-0.13436747	0.109742455	-0.017471638	243.78017	-61.832474	0.13720806	0.0	0.08925078	0.013432385	0.14142857	0.090184174	-0.053316906	3.0455563	2.5776827	0.13720806	1.0	0.0	0.0	11.029161	0.009010039	120000	326.27767968177795
2	0.25	0.6879057	3.0	0.0	107.82143	128.56961	471.0	0.0	1000.0	24479.0	0.13599444444444445	-0.09051735	0.15137763	0.6406188	-0.5821345	12.124071	13.973786	40.13517	-16.519705	-1.8626451e-08	-0.038611025	2.0116568e-07	-0.08178389	0.0919939	-0.015065126	149.37979	-43.374077	0.08991745	0.0	0.087234676	0.017089143	0.08282143	0.08749496	-0.024766034	2.356484	2.2593548	0.08991745	1.0	0.0	0.0	11.021297	0.008994473	180000	559.4344153404236
3	0.21428572	0.45175394	2.0	0.0	125.66071	124.44969	443.0	0.0	1000.0	32060.0	0.13358333333333333	-0.13602592	0.17750111	0.82965964	-0.7467696	12.482623	12.576244	41.159027	-7.8989563	4.656613e-09	-0.03564296	5.2154064e-08	-0.098807074	0.08919361	-0.011257689	142.32603	-30.529987	0.11098565	0.0	0.08362399	0.01619161	0.10066071	0.0852875	-0.066527575	2.660594	2.2725866	0.11098565	1.0	0.0	0.0	11.009874	0.008947885	240000	797.2565970420837
4	0.5	1.0177004	4.0	0.0	140.69643	130.73636	505.0	0.0	1000.0	40265.0	0.13421666666666668	-0.1205302	0.17722757	0.67560595	-0.675239	11.300983	11.706121	44.206787	-8.927915	-1.21071935e-08	-0.03561448	5.2154064e-08	-0.11183229	0.10679684	-0.015701022	154.41432	-36.68083	0.12382522	0.0	0.08565852	0.015195071	0.11569642	0.0874304	-0.07025766	2.7858188	2.374291	0.12382522	1.0	0.0	0.0	11.010903	0.008979973	300000	983.857118844986
5	0.32142857	0.6298283	2.0	0.0	98.71429	87.73473	340.0	0.0	1000.0	46342.0	0.12872777777777777	-0.094961025	0.17430262	0.61609036	-0.64487374	11.721448	12.507925	47.554142	-16.501394	3.7252903e-09	-0.038272433	1.0430813e-07	-0.072201885	0.09045828	-0.015356635	114.62985	-38.4619	0.08303124	0.0	0.08488928	0.017750584	0.073714286	0.08553098	-0.039371658	2.415647	2.1868556	0.08303124	1.0	0.0	0.0	11.013184	0.008965472	360000	1208.6470358371735
6	0.3392857	0.6621606	3.0	0.0	128.58928	107.72896	406.0	0.0	1000.0	54046.0	0.12868095238095237	-0.08433641	0.17655405	0.83652127	-0.6637727	12.232623	11.887348	46.637535	-6.8942246	-1.6298145e-09	-0.034802526	5.9604645e-08	-0.102731176	0.09544958	-0.01649826	145.98973	-29.72674	0.11539288	0.0	0.08266401	0.015637293	0.10358928	0.08351138	-0.04565347	2.459652	2.2992036	0.11539288	1.0	0.0	0.0	11.010694	0.00894912	420000	1429.470422744751
7	0.35714287	0.7423075	3.0	0.0	113.48214	110.69003	417.0	0.0	1000.0	61107.0	0.12730625	-0.10060439	0.18159758	0.927332	-0.62850344	10.14104	11.35491	48.243866	-6.2269835	4.1909516e-09	-0.036793284	7.450581e-09	-0.08806308	0.09699858	-0.020937175	139.51462	-46.188084	0.10050665	0.0	0.0814467	0.016628249	0.08848214	0.08205386	-0.037547484	2.321965	2.2131634	0.10050665	1.0	0.0	0.0	11.0074005	0.008979071	480000	1661.610374212265
8	0.375	0.64260906	3.0	0.0	94.28571	87.386604	332.0	0.0	1000.0	67031.0	0.12413148148148148	-0.09912551	0.21127227	1.1570542	-0.8091679	10.6073675	12.082727	45.494812	-10.743964	9.313226e-10	-0.037114218	-4.4703484e-08	-0.06872602	0.09542371	-0.020907015	118.4085	-30.101978	0.08595215	0.0	0.07845332	0.017957056	0.06928571	0.07984324	-0.057149306	2.3498003	2.0902011	0.08595215	1.0	0.0	0.0	10.997843	0.009016942	540000	1865.1589665412903
9	0.25	0.60503834	3.0	0.0	144.94643	126.62578	473.0	0.0	1000.0	75545.0	0.12590833333333334	-0.07900117	0.19297889	0.7546807	-0.7937522	12.910112	10.646796	41.40161	-9.163383	5.5879354e-09	-0.031604804	0.0	-0.11572119	0.08041192	-0.018082345	146.99924	-30.249855	0.14102711	0.0	0.0814563	0.014044182	0.11994643	0.08256717	-0.051802177	2.4156456	2.4083195	0.14102711	1.0	0.0	0.0	10.99975	0.009008199	600000	2066.9704835414886
