Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.39285713	0.83833534	3.0	0.0	132.08928	107.25509	414.0	0.0	1000.0	8089.0	0.13481666666666667	-0.29519364	0.5075594	2.188254	-2.27363	0.011205449	0.65261835	2.4743054	-2.655081	-1.1920929e-07	-0.089545555	-2.3841858e-07	-0.26702523	0.4249822	-0.3002503	424.05908	-263.56235	0.99999994	0.03205675	1.0	11.027262	0.15298942	60000	100.80055594444275
1	0.53571427	1.0170736	4.0	0.0	148.16072	143.50098	486.0	0.0	1000.0	17061.0	0.142175	-0.09731992	0.18215623	0.75566596	-0.7733979	11.584153	10.246732	29.298765	-13.189278	5.9604645e-08	-0.052845456	1.0430813e-07	-0.16073343	0.1290182	-0.020468649	190.21608	-52.189545	1.0320567	0.032756567	1.0	11.027643	0.09181027	120000	208.02541255950928
2	0.25	0.54281014	2.0	0.0	106.375	128.70378	545.0	0.0	1000.0	23553.0	0.13085	-0.06838304	0.17594494	1.0325881	-0.78677183	11.208121	12.367227	39.831406	-12.570477	8.8475645e-09	-0.037910953	3.7252903e-09	-0.11712459	0.090831056	-0.013121808	161.58554	-32.557358	1.0648133	0.03253603	1.0	11.027021	0.06703318	180000	307.200377702713
3	0.35714287	0.71784824	3.0	0.0	120.96429	114.83994	525.0	0.0	1000.0	30867.0	0.1286125	-0.08479385	0.16852468	0.7538155	-0.6521067	11.336007	11.709075	41.284904	-9.313241	1.8626451e-08	-0.037550442	2.2351742e-08	-0.10621433	0.108068585	-0.015479781	156.73033	-26.949024	1.0973493	0.033117175	1.0	11.026955	0.060436416	240000	414.959260225296
4	0.25	0.5088502	2.0	0.0	119.0	107.30397	394.0	0.0	1000.0	37822.0	0.12607333333333334	-0.09225241	0.19885634	1.0810733	-0.62899905	11.349494	12.2724085	40.65848	-9.783432	-4.8428774e-08	-0.028302204	-9.313226e-08	-0.08644427	0.0889093	-0.0185062	125.11338	-27.920929	1.1304665	0.03364134	1.0	11.02655	0.054394923	300000	506.3305871486664
5	0.30357143	0.7299619	3.0	0.0	118.73214	113.32011	466.0	0.0	1000.0	45354.0	0.12598333333333334	-0.12571159	0.16284215	0.6078073	-0.63654095	11.329804	11.970333	43.233467	-8.072592	-5.5879354e-09	-0.029236708	-2.7939677e-09	-0.08029822	0.09401518	-0.014053687	126.24209	-29.118319	1.1641078	0.034157753	1.0	11.025557	0.047582626	360000	606.8361716270447
6	0.5	1.0522085	5.0	0.0	141.625	117.49006	495.0	0.0	1000.0	53873.0	0.12826904761904762	-0.11667264	0.19247334	0.75106657	-0.66881645	13.805381	12.345854	43.733303	-8.692457	-1.4901161e-08	-0.045379806	-4.4703484e-08	-0.11873865	0.13246338	-0.01845331	162.10477	-35.697388	1.1982656	0.0351398	2.0	11.024334	0.06805068	420000	710.10684466362
7	0.3392857	0.7386471	3.0	0.0	114.05357	105.07895	436.0	0.0	1000.0	60853.0	0.12677708333333335	-0.09077854	0.21431369	0.96308315	-0.65395665	11.646981	12.721701	48.170704	-10.79368	-7.4505806e-08	-0.048920233	-1.4901161e-07	-0.12616064	0.111828595	-0.02581224	136.13193	-36.358532	1.2334054	0.035462618	2.0	11.023612	0.06905387	480000	814.1032910346985
8	0.2857143	0.58901507	3.0	0.0	113.21429	95.15508	369.0	0.0	1000.0	67791.0	0.1255388888888889	-0.09839552	0.22310796	0.7817147	-0.84267735	12.311513	11.993541	46.047474	-8.334735	-7.450581e-09	-0.045143552	-3.7252903e-09	-0.11464627	0.10170856	-0.023648724	126.06731	-36.8697	1.268868	0.035794377	2.0	11.022423	0.06208157	540000	922.0369658470154
9	0.21428572	0.77261806	5.0	0.0	139.375	122.70356	479.0	0.0	1000.0	76215.0	0.127025	-0.114223845	0.16981158	0.5648645	-0.7142446	11.22082	10.9936075	44.798855	-11.6338625	-7.450581e-09	-0.057973634	-2.9802322e-08	-0.14173919	0.10031398	-0.019417467	180.0849	-50.881966	1.3046623	0.03667116	2.0	11.021088	0.07898767	600000	1012.7697086334229
10	0.42857143	0.8421304	3.0	0.0	152.60715	126.10139	443.0	0.0	1000.0	85453.0	0.12947424242424244	-0.07684173	0.20121364	0.9829808	-0.6274422	15.735375	12.684052	48.52789	-9.274755	5.2154064e-08	-0.05917569	8.940697e-08	-0.14109412	0.09415395	-0.020704553	183.24393	-47.261314	1.3413335	0.03765583	2.0	11.019777	0.07894169	660000	1119.9273664951324
11	0.26785713	0.64062107	3.0	0.0	126.73214	118.846306	414.0	0.0	1000.0	92969.0	0.12912361111111112	-0.07741955	0.18960892	1.115714	-0.6124124	13.095902	12.132173	47.509003	-8.551344	-2.7939677e-08	-0.05068689	-2.6077032e-08	-0.12590834	0.08662949	-0.021589361	152.26964	-43.861443	1.3789893	0.038091302	2.0	11.017223	0.07821662	720000	1219.6997649669647
12	0.6785714	1.3901072	6.0	0.0	126.91071	96.50838	365.0	0.0	1000.0	100634.0	0.12901794871794872	-0.091260254	0.1927968	1.0563921	-0.65890425	12.887035	12.162469	52.193054	-13.827437	1.6763806e-08	-0.06345005	2.4214387e-08	-0.14120212	0.14423363	-0.04039595	144.88184	-44.715466	1.4170806	0.03852153	2.0	11.014664	0.07558979	780000	1325.4345502853394
13	0.53571427	0.905623	4.0	0.0	104.44643	109.59046	507.0	0.0	1000.0	107009.0	0.12739166666666665	-0.037424777	0.23997821	1.5328087	-0.6946056	10.766693	10.872843	53.27749	-9.293716	0.0	-0.04129643	7.450581e-09	-0.10221345	0.12533964	-0.03085121	149.19762	-41.393013	1.4556022	0.038370013	2.0	11.0124655	0.07235497	840000	1429.5420846939087
14	0.25	0.7133923	4.0	0.0	82.78571	97.99976	386.0	0.0	1000.0	112324.0	0.12480444444444444	-0.07463942	0.21469902	1.2034289	-0.6525243	8.840306	10.072953	50.857918	-14.45661	-5.2154064e-08	-0.0377835	-8.940697e-08	-0.09347719	0.097720996	-0.024856899	115.42669	-44.000122	1.4939722	0.037581682	2.0	11.011028	0.06435007	900000	1525.512624502182
