Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.39285713	0.83833534	3.0	0.0	132.08928	107.25509	414.0	0.0	1000.0	8089.0	0.13481666666666667	-0.29519364	0.5075594	2.188254	-2.27363	0.011205449	0.65261835	2.4743054	-2.655081	-1.1920929e-07	-0.10377156	-2.3841858e-07	-0.19591904	0.4249822	-0.3002503	424.05908	-263.56235	0.99999994	0.03189546	0.18293047	0.0	11.027262	0.008962812	60000	108.09628319740295
1	0.4642857	0.7550848	3.0	0.0	117.0	109.25805	407.0	0.0	1000.0	15016.0	0.12513333333333335	-0.10056924	0.18403594	0.7829902	-0.7950367	10.737484	10.438826	29.184523	-16.078606	-5.9604645e-08	-0.10376562	-1.0430813e-07	-0.19612876	0.12148404	-0.02001931	147.63834	-30.095606	1.0318954	0.032245994	0.18156661	0.0	11.026333	0.009002342	120000	213.48447966575623
2	0.17857143	0.6841873	4.0	0.0	128.21428	127.62791	423.0	0.0	1000.0	22666.0	0.1259222222222222	-0.10620788	0.18614277	0.8457467	-0.7185374	10.41306	10.89478	36.180374	-9.785015	4.1909516e-08	-0.11329182	8.940697e-08	-0.21622515	0.11311348	-0.020306515	177.65784	-37.94036	1.0641414	0.03292358	0.1688595	0.0	11.026665	0.0089615425	180000	327.6176836490631
3	0.23214285	0.7068812	4.0	0.0	106.07143	117.61421	433.0	0.0	1000.0	29207.0	0.12169583333333334	-0.11070117	0.15935823	0.6950196	-0.6208279	12.441215	12.855696	40.88949	-15.448226	-1.1175871e-08	-0.11323726	-2.9802322e-08	-0.21155989	0.087767445	-0.010657729	134.21281	-32.227623	1.097065	0.033085585	0.17293082	0.0	11.03269	0.008946931	240000	441.80425930023193
4	0.39285713	0.81675696	3.0	0.0	126.30357	112.59503	366.0	0.0	1000.0	36431.0	0.12143666666666666	-0.110686004	0.14903967	0.5628273	-0.560055	11.840102	11.949701	42.21944	-9.845921	5.401671e-08	-0.11988217	9.685755e-08	-0.22004005	0.09658213	-0.0138721485	159.0853	-37.284805	1.1301506	0.03381312	0.16506335	0.0	11.023022	0.008986905	300000	544.8559439182281
5	0.26785713	0.66791445	3.0	0.0	126.51786	105.48036	370.0	0.0	1000.0	44410.0	0.12336111111111112	-0.09668716	0.18479553	0.7024425	-0.66097033	11.231369	11.100861	41.463245	-7.8401656	6.7055225e-08	-0.12489173	1.1920929e-07	-0.2271474	0.12037827	-0.018073922	175.24995	-40.240845	1.1639637	0.034472942	0.15426034	0.0	11.014105	0.00899741	360000	658.4618906974792
6	0.30357143	0.67927593	3.0	0.0	113.98214	96.888466	376.0	0.0	1000.0	51333.0	0.12222142857142858	-0.09196286	0.2008999	0.7992029	-0.63188595	12.281229	11.908885	44.32991	-13.078874	2.2351742e-08	-0.12202232	5.9604645e-08	-0.22032945	0.0946949	-0.019343311	137.93935	-42.84385	1.1984366	0.03484714	0.15960656	0.0	11.00456	0.008968105	420000	762.461245059967
7	0.2857143	0.74914914	3.0	0.0	128.51785	116.21562	459.0	0.0	1000.0	59203.0	0.12333958333333334	-0.113362186	0.1866157	0.68139726	-0.6395128	11.291594	12.508526	46.475056	-10.013341	2.6077032e-08	-0.12994897	3.3527613e-08	-0.2298387	0.08922732	-0.019424789	142.06023	-34.963753	1.2332838	0.035529137	0.1507432	0.0	11.004438	0.008965046	480000	870.7865152359009
8	0.3392857	0.68860066	4.0	0.0	127.10714	118.43951	456.0	0.0	1000.0	66928.0	0.12394074074074074	-0.08966709	0.19812097	0.7757048	-0.7622311	12.807336	12.389628	44.782993	-8.142583	-2.9802322e-08	-0.12273614	-8.940697e-08	-0.21474913	0.09563613	-0.02070882	146.69003	-36.038876	1.2688129	0.036138058	0.16072641	0.0	10.996366	0.00900827	540000	984.9945228099823
9	0.19642857	0.51476914	3.0	0.0	126.80357	113.99223	506.0	0.0	1000.0	74571.0	0.124285	-0.09708759	0.18034524	0.7569471	-0.6536029	13.136543	13.145549	48.990593	-10.981488	4.4703484e-08	-0.13245574	6.7055225e-08	-0.22975379	0.07369367	-0.019119551	147.24274	-38.910362	1.304951	0.03670883	0.14767182	0.0	10.992842	0.008983435	600000	1089.1368095874786
10	0.26785713	0.855467	5.0	0.0	98.75	101.810616	375.0	0.0	1000.0	80990.0	0.12271212121212122	-0.14212494	0.18387869	0.7357748	-0.61910534	10.2895975	12.03838	48.943172	-13.307211	9.313226e-10	-0.12360215	-3.7252903e-09	-0.21405528	0.092760146	-0.019207072	116.764435	-32.24592	1.3416598	0.036563993	0.16170187	0.0	10.986937	0.008997276	660000	1198.8723855018616
11	0.51785713	1.439135	9.0	0.0	136.0	118.06384	446.0	0.0	1000.0	89342.0	0.1240861111111111	-0.12271748	0.21544714	1.394021	-0.76385653	12.858088	13.088721	49.72373	-9.639691	4.4703484e-08	-0.14283347	7.4505806e-08	-0.24255447	0.1350837	-0.031583503	153.62682	-49.496014	1.3782238	0.037390947	0.13728115	0.0	10.973967	0.008999346	720000	1316.261875152588
12	0.44642857	0.98051816	4.0	0.0	119.85714	109.61726	412.0	0.0	1000.0	96587.0	0.12382948717948718	-0.07792347	0.25646904	1.771575	-0.73457396	11.409971	12.243532	50.404156	-13.371433	5.4948032e-08	-0.13626884	1.2107193e-07	-0.2298991	0.10204783	-0.023437947	117.335175	-33.638924	1.4156147	0.037808895	0.1461018	0.0	10.967702	0.009023431	780000	1421.2733540534973
13	0.5535714	1.6137758	11.0	0.0	91.71429	99.86521	467.0	0.0	1000.0	102475.0	0.12199404761904761	-0.10619811	0.23609398	1.4447117	-0.7171685	9.643727	11.513212	46.39622	-9.084596	-5.2154064e-08	-0.11790817	-8.195639e-08	-0.19676374	0.13391146	-0.035285212	103.41501	-26.320503	1.4534236	0.037424445	0.16798225	0.0	10.974852	0.008946145	840000	1535.2309815883636
14	0.3392857	0.98700094	6.0	0.0	115.94643	126.53055	479.0	0.0	1000.0	109573.0	0.12174777777777777	-0.08605407	0.2361161	1.0655433	-0.7490672	11.502774	12.345601	54.002663	-10.0569315	-7.450581e-09	-0.14875628	-1.1175871e-08	-0.24723154	0.12472395	-0.029597873	152.27568	-43.87098	1.4908481	0.03785503	0.13603647	0.0	10.980995	0.008951211	900000	1634.1602191925049
15	0.375	0.8976656	4.0	0.0	132.53572	105.575455	358.0	0.0	1000.0	117349.0	0.12223854166666667	-0.07985964	0.22758745	1.1103992	-0.72488296	12.11598	12.312194	53.444458	-13.143235	-4.4703484e-08	-0.14934927	-8.195639e-08	-0.24582538	0.09650262	-0.026788354	145.49867	-46.678955	1.5287031	0.038680196	0.13147812	0.0	10.97475	0.00901635	960000	1747.6998891830444
16	0.39285713	0.8167569	4.0	0.0	99.30357	106.88493	405.0	0.0	1000.0	123633.0	0.12120882352941177	-0.08807957	0.19545221	1.18598	-0.7482082	11.211444	11.947423	47.23185	-10.360261	-1.6763806e-08	-0.13087699	-3.7252903e-09	-0.21257222	0.08822824	-0.02122822	121.92178	-44.076195	1.5673833	0.038535595	0.15196653	0.0	10.990799	0.008917871	1020000	1863.8166048526764
