Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.17857143	0.42708072	2.0	0.0	150.01785	133.72447	556.0	0.0	1000.0	8991.0	0.14985	-0.2615123	0.5188211	2.0007136	-2.2891557	0.004936591	0.6560527	2.5652437	-2.5530171	-5.5879354e-09	0.0036106189	-1.4901161e-08	0.008300748	0.38814774	-0.29233533	515.3865	-319.74402	0	0	1.0	11.027262	0.028639339	60000	176.84565591812134
1	0.21428572	0.557875	3.0	0.0	159.75	117.57357	494.0	0.0	1000.0	18854.0	0.15711666666666665	-0.100589626	0.1548838	0.59146893	-0.79436094	14.248417	10.27299	31.128363	-14.001141	-4.656613e-09	0.014472172	0.0	0.011530882	0.10924925	-0.016967723	210.18109	-53.71318	0	0	1.0	11.029111	0.032658447	120000	362.32414507865906
2	0.21428572	0.69985425	4.0	0.0	165.16072	128.4117	430.0	0.0	1000.0	28793.0	0.1599611111111111	-0.08610493	0.1559794	0.8698251	-0.6582004	16.924747	12.224884	37.467976	-12.678035	-4.656613e-09	-0.04122059	-7.4505806e-08	0.021787565	0.0884271	-0.0125408	213.66528	-46.88458	0	0	17.0	11.031119	0.013334224	180000	541.8867199420929
3	0.17857143	0.7098074	4.0	0.0	158.07143	138.13501	468.0	0.0	1000.0	38280.0	0.1595	-0.088886835	0.15122904	1.0446867	-0.63678116	15.668075	12.931838	38.612972	-15.291512	-6.0535967e-09	-0.03913875	-1.1920929e-07	0.0091901235	0.09343819	-0.013864798	186.47324	-39.854706	0	0	17.0	11.00613	0.013442708	240000	741.0833368301392
4	0.42857143	1.5219482	11.0	0.0	150.10715	133.81447	493.0	0.0	1000.0	47454.0	0.15818	-0.1194202	0.17164578	0.90283537	-0.81727654	17.202171	14.18439	42.068077	-9.642813	1.0244548e-08	-0.037907973	-1.6763806e-08	0.008417324	0.10325754	-0.020033	169.0687	-43.849407	0	0	16.0	10.970095	0.0131735355	300000	915.3869423866272
5	0.4642857	0.8652887	4.0	0.0	151.33928	129.8692	482.0	0.0	1000.0	56500.0	0.15694444444444444	-0.07287272	0.1931889	0.97523195	-0.5716837	14.051125	12.084181	43.121098	-10.306741	-2.7939677e-09	-0.03721861	5.9604645e-08	0.05052136	0.09947901	-0.019739442	177.56078	-33.713947	0	0	15.0	10.958889	0.013245031	360000	1113.3985483646393
6	0.125	0.5022272	3.0	0.0	177.23215	113.633026	421.0	0.0	1000.0	67183.0	0.1599595238095238	-0.031679407	0.17145711	0.92390287	-0.58169574	18.261597	13.573429	41.98144	-10.1373005	8.1490725e-09	-0.037899222	-2.9802322e-08	0.034202583	0.08444254	-0.016526176	190.72156	-28.893711	0	0	15.0	10.939745	0.013556117	420000	1304.5467550754547
7	0.23214285	0.499681	2.0	0.0	149.21428	116.91216	462.0	0.0	1000.0	76066.0	0.15847083333333334	-0.086103156	0.17015716	0.72474736	-0.66632533	16.118334	12.160594	40.546757	-9.204047	1.9092113e-08	-0.038953174	0.0	0.040192943	0.069961645	-0.011095609	171.33514	-31.615463	0	0	15.0	10.913956	0.013741046	480000	1494.9880530834198
8	0.125	0.3307189	1.0	0.0	138.60715	108.29765	434.0	0.0	1000.0	84014.0	0.1555814814814815	-0.09858197	0.15562916	0.625493	-0.6124753	12.886805	11.830183	41.83121	-12.77088	-2.0489097e-08	-0.037406243	7.4505806e-08	0.042105824	0.0678909	-0.012317006	151.47269	-33.626667	0	0	14.0	10.899841	0.013038429	540000	1676.269867181778
9	0.35714287	0.85416144	5.0	0.0	161.91072	121.28954	465.0	0.0	1000.0	93443.0	0.15573833333333334	-0.09460408	0.15443905	0.5785861	-0.6525363	16.03901	12.221246	48.340927	-11.259747	1.3038516e-08	-0.03620493	-1.1175871e-07	0.03266838	0.104042694	-0.025951628	234.93512	-58.764603	0	0	15.0	10.883337	0.014117716	600000	1854.6920638084412
10	0.21428572	0.52489066	3.0	0.0	182.05357	133.44386	459.0	0.0	1000.0	104707.0	0.1586469696969697	-0.04230218	0.19508272	0.83788174	-0.7027027	16.273378	11.501863	49.069077	-9.101043	-1.9790605e-09	-0.036891267	0.0	0.03480076	0.085350156	-0.020686604	212.99545	-55.781963	0	0	15.0	10.853659	0.013042552	660000	2044.2018270492554
11	0.21428572	0.4517539	2.0	0.0	176.75	133.42618	521.0	0.0	1000.0	115662.0	0.16064166666666665	-0.03523229	0.17617919	0.73182195	-0.6213429	19.043213	14.435383	49.13308	-12.943542	1.0244548e-08	-0.039213344	-2.30968e-07	0.06712721	0.06501067	-0.011585331	250.85501	-59.757626	0	0	15.0	10.81937	0.013952343	720000	2223.9538917541504
12	0.32142857	0.6841873	3.0	0.0	163.41072	134.30653	440.0	0.0	1000.0	125466.0	0.16085384615384615	-0.074025765	0.15425918	0.6591627	-0.54896414	17.519388	13.75385	51.47522	-14.626409	-3.7252903e-09	-0.03656879	-3.7252903e-08	0.024872677	0.071813226	-0.015461183	208.73651	-49.979187	0	0	14.0	10.792034	0.013655358	780000	2422.6105484962463
13	0.3392857	0.7140625	4.0	0.0	171.42857	141.64832	502.0	0.0	1000.0	135661.0	0.16150119047619046	-0.030412385	0.1826228	0.79839724	-0.5302292	17.873184	11.220789	49.011147	-10.945809	7.450581e-09	-0.036303416	4.4703484e-08	0.051060125	0.08354362	-0.01927391	215.66699	-52.244957	0	0	14.0	10.779753	0.01287001	840000	2612.2380170822144
14	0.25	0.6614378	4.0	0.0	175.69643	125.752014	419.0	0.0	1000.0	146185.0	0.16242777777777778	0.0021619813	0.18517804	0.8916981	-0.55094755	17.278603	13.416618	54.14336	-14.033922	-6.519258e-09	-0.03715045	-6.7055225e-08	0.04734611	0.07670209	-0.021104805	213.4685	-51.149727	0	0	14.0	10.757328	0.013560243	900000	2785.3634145259857
15	0.26785713	0.55068374	2.0	0.0	177.28572	130.49832	435.0	0.0	1000.0	156579.0	0.163103125	-0.029190779	0.15697317	0.718399	-0.5384801	18.698362	12.488827	49.27453	-12.999521	-1.1175871e-08	-0.036885552	-1.4901161e-07	0.044139	0.072960824	-0.015643625	221.93112	-41.48085	0	0	14.0	10.739054	0.013560895	960000	2972.673578262329
16	0.26785713	0.55068374	3.0	0.0	192.5	135.6861	476.0	0.0	1000.0	167931.0	0.16463823529411764	0.0021964905	0.1781183	0.8001791	-0.5595843	17.850712	11.77253	49.782604	-9.023395	-1.0244548e-08	-0.038528897	-6.7055225e-08	0.04041692	0.06776953	-0.017326243	263.54773	-49.91706	0	0	14.0	10.705217	0.0140594235	1020000	3170.769201517105
17	0.3392857	0.8297329	4.0	0.0	183.625	119.447174	490.0	0.0	1000.0	178616.0	0.1653851851851852	-0.032286525	0.1636501	0.97214025	-0.5227178	20.55431	10.972523	52.399498	-14.996028	-1.8626451e-09	-0.03737602	2.9802322e-08	0.027164686	0.08317925	-0.021531448	230.65468	-39.19561	0	0	14.0	10.683313	0.013908306	1080000	3341.361778974533
18	0.19642857	0.5483626	3.0	0.0	154.5	138.41591	495.0	0.0	1000.0	187625.0	0.16458333333333333	-0.012618271	0.15746088	1.0066123	-0.5780391	15.206538	10.574514	45.73359	-21.272081	-2.6077032e-08	-0.03688222	-4.8428774e-08	0.024738394	0.0700753	-0.01883789	227.47949	-46.39599	0	0	14.0	10.65995	0.013822654	1140000	3529.3646862506866
19	0.21428572	0.41032586	1.0	0.0	154.83928	129.09656	439.0	0.0	1000.0	197298.0	0.164415	-0.037620854	0.13439798	0.7395008	-0.5122524	16.739029	11.09007	50.800938	-12.227373	-9.313226e-09	-0.03772751	1.0430813e-07	0.03537564	0.061802782	-0.010796389	225.11562	-61.965492	0	0	14.0	10.629471	0.01361101	1200000	3718.3240962028503
20	0.5	0.8451543	4.0	0.0	141.51785	113.08262	421.0	0.0	1000.0	206184.0	0.16363809523809525	0.024316275	0.14423288	0.67850935	-0.46723932	15.397583	11.527114	53.93472	-11.398941	1.5832484e-08	-0.035574026	1.2665987e-07	0.030145336	0.08858855	-0.031020187	205.68301	-61.254547	0	0	13.0	10.60346	0.013178307	1260000	3916.562668800354
21	0.375	0.769102	3.0	0.0	167.92857	124.46727	424.0	0.0	1000.0	216493.0	0.16400984848484848	-0.006364994	0.17653006	1.0952419	-0.6019111	16.282433	11.264725	48.907196	-11.891425	8.8475645e-09	-0.036640562	9.685755e-08	0.02331348	0.08308163	-0.023774493	235.80852	-57.645073	0	0	14.0	10.578497	0.014234325	1320000	4096.934736967087
22	0.375	0.8142152	4.0	0.0	168.67857	134.65565	501.0	0.0	1000.0	226473.0	0.1641108695652174	0.0057169837	0.19556971	1.1218169	-0.5657997	18.781664	13.452182	54.644135	-12.740159	6.519258e-09	-0.03790843	-2.2351742e-08	0.016957087	0.078374684	-0.021736661	237.01701	-79.452515	0	0	14.0	10.556688	0.014641702	1380000	4275.0121738910675
23	0.32142857	0.75845575	3.0	0.0	185.125	129.77097	679.0	0.0	1000.0	237461.0	0.16490347222222224	-0.011642712	0.18222412	1.0809152	-0.5668687	19.32002	12.489948	56.666687	-7.171274	-4.656613e-09	-0.036548838	-6.7055225e-08	0.010932663	0.06709283	-0.015558306	298.9743	-80.14462	0	0	14.0	10.530998	0.013664737	1440000	4462.263850688934
24	0.4107143	0.67551005	2.0	0.0	168.16072	124.52077	521.0	0.0	1000.0	247671.0	0.165114	-0.013749471	0.160133	0.93485045	-0.44549245	17.932512	10.891242	68.76482	-19.796951	3.259629e-09	-0.03509058	7.4505806e-08	0.027039435	0.079772	-0.018993773	244.80592	-65.99685	0	0	14.0	10.513697	0.013652399	1500000	4651.185209989548
25	0.26785713	0.55068374	2.0	0.0	209.28572	142.36394	514.0	0.0	1000.0	260043.0	0.16669423076923076	-0.017975086	0.15397778	0.87005645	-0.45747414	18.92033	11.003794	58.663708	-10.0066595	1.5832484e-08	-0.036341228	-2.9802322e-07	0.02188191	0.063326	-0.018769283	301.2915	-86.80907	0	0	13.0	10.484064	0.0132141365	1560000	4847.711374044418
26	0.53571427	0.9629621	4.0	0.0	163.25	129.81267	417.0	0.0	1000.0	269733.0	0.16650185185185185	-9.784953e-05	0.15363742	0.8560228	-0.43341544	18.549082	12.264145	55.959095	-15.804847	-6.519258e-09	-0.035711274	1.3411045e-07	0.014254161	0.09686172	-0.023357995	243.80792	-79.424065	0	0	14.0	10.446423	0.01386592	1620000	5044.072249412537
27	0.16071428	0.4130369	2.0	0.0	173.44643	104.77611	421.0	0.0	1000.0	280244.0	0.16681190476190477	0.009704384	0.14826088	1.0002401	-0.44813088	18.141148	11.998346	51.4978	-14.812318	1.8626451e-08	-0.03723322	7.8231096e-08	0.035732497	0.06136785	-0.016236288	251.95729	-83.257126	0	0	13.0	10.419189	0.013367266	1680000	5227.54038476944
