Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.17857143	0.42708072	2.0	0.0	150.01785	133.72447	556.0	0.0	1000.0	8991.0	0.14985	-0.2615123	0.5188211	2.0007136	-2.2891557	0.004936591	0.6560527	2.5652437	-2.5530171	-5.5879354e-09	-0.041091777	-1.4901161e-08	-0.0009262897	0.38814774	-0.29233533	515.3865	-319.74402	0	0	0.48051405	0.0	11.027262	0.008969844	60000	141.82447504997253
1	0.21428572	0.5248907	2.0	0.0	136.33928	123.26615	456.0	0.0	1000.0	17489.0	0.14574166666666666	-0.11289281	0.15809663	0.61729264	-0.7593072	12.302156	11.045078	30.958359	-14.0160885	-8.381903e-09	-0.045026917	-5.9604645e-08	0.013962179	0.09263728	-0.014038435	172.59653	-36.74015	0	0	0.47281662	0.0	11.028476	0.008957423	120000	282.81320357322693
2	0.17857143	0.42708075	2.0	0.0	156.375	119.71403	416.0	0.0	1000.0	26871.0	0.14928333333333332	-0.105603024	0.17256537	0.650576	-0.7497009	14.36087	12.311102	34.77223	-12.386146	-8.8475645e-09	-0.042831115	1.4901161e-08	0.013754357	0.09165262	-0.013344243	191.3213	-31.199776	0	0	0.48103327	0.0	11.036084	0.00899149	180000	436.15157175064087
3	0.30357143	0.7050745	3.0	0.0	114.85714	114.18475	444.0	0.0	1000.0	34047.0	0.1418625	-0.115224525	0.18111038	0.7606702	-0.8805525	13.534736	12.965089	37.12893	-9.469032	-7.450581e-09	-0.041641362	2.2351742e-08	0.031211581	0.09492515	-0.016148414	144.2258	-25.788214	0	0	0.4909059	0.0	11.033009	0.0089128055	240000	593.5568556785583
4	0.23214285	0.59734744	3.0	0.0	130.57143	131.12057	461.0	0.0	1000.0	42322.0	0.14107333333333333	-0.07489846	0.18825352	0.8044859	-0.6529547	12.853606	11.11068	36.660786	-8.393403	-1.1175871e-08	-0.042610876	4.4703484e-08	0.020135166	0.10457613	-0.019269925	153.68582	-27.15675	0	0	0.4818917	0.0	11.032668	0.008935109	300000	735.5017137527466
5	0.32142857	1.1355796	8.0	0.0	157.33928	125.5696	435.0	0.0	1000.0	51794.0	0.14387222222222223	-0.09073415	0.14430176	0.61814517	-0.60382384	13.582408	12.644268	40.13634	-8.320584	-1.6763806e-08	-0.043719035	5.9604645e-08	0.02935683	0.10154864	-0.018114572	212.12982	-55.97943	0	0	0.47769094	0.0	11.024378	0.008979098	360000	872.2790217399597
6	0.16071428	0.59090686	4.0	0.0	166.39285	124.38903	426.0	0.0	1000.0	62106.0	0.14787142857142857	-0.07723022	0.17954618	0.82749367	-0.63783705	17.876719	14.170704	43.196285	-7.280059	7.450581e-09	-0.04250726	1.0058284e-07	0.023348454	0.08928913	-0.017710282	185.42154	-35.141552	0	0	0.48879075	0.0	11.016468	0.008993673	420000	1011.0384788513184
7	0.4107143	0.90191823	4.0	0.0	147.92857	142.86705	482.0	0.0	1000.0	70990.0	0.14789583333333334	-0.075812176	0.18479653	0.8862575	-0.6250473	14.941342	13.1961355	43.88132	-7.7088428	1.0244548e-08	-0.04614929	-1.3411045e-07	0.020146333	0.10790807	-0.023708364	180.6666	-37.519596	0	0	0.48544672	0.0	11.018117	0.008978683	480000	1162.308753490448
8	0.10714286	0.36246043	2.0	0.0	119.92857	109.565834	481.0	0.0	1000.0	77990.0	0.14442592592592593	-0.06849284	0.22104807	0.8101253	-0.8007112	12.711291	13.342987	47.977615	-10.340831	-7.450581e-09	-0.041763045	-5.9604645e-08	0.037791923	0.08077027	-0.021316899	183.11331	-44.175495	0	0	0.48698145	0.0	11.013257	0.008942358	540000	1321.356213569641
9	0.35714287	1.2163848	8.0	0.0	137.28572	120.90325	416.0	0.0	1000.0	86451.0	0.144085	-0.08180539	0.17215085	0.82163227	-0.6285593	11.852378	10.712871	46.519184	-9.3317	1.4901161e-08	-0.04228145	-2.6077032e-08	0.028166154	0.11426119	-0.026873548	178.58487	-35.88696	0	0	0.49879003	0.0	11.02561	0.008957864	600000	1459.6555891036987
