Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.23214285	0.53422415	2.0	0.0	60.017857	83.01947	389.0	0.0	1000.0	3806.0	0.06343333333333333	-0.17564066	0.65414137	2.3526874	-2.5708368	0.1830196	0.78157943	3.187727	-2.5887716	8.381903e-09	-0.041409567	1.4901161e-08	0.0030272044	0.5407051	-0.44303775	184.58301	-77.12132	0	0	0.47956002	0.0	11.027262	0.008926241	60000	43.576411724090576
1	0.19642857	0.5147691	3.0	0.0	45.92857	66.764206	331.0	0.0	1000.0	6648.0	0.0554	-0.08373544	0.17239499	0.7487932	-0.73134226	5.054675	6.067205	24.344625	-11.400773	7.916242e-09	-0.04268477	-1.4901161e-08	0.017907094	0.09366721	-0.016624236	85.912575	-17.041748	0	0	0.47106373	0.0	11.027368	0.008979546	120000	102.9653263092041
2	0.17857143	0.42708072	2.0	0.0	41.94643	61.228325	282.0	0.0	1000.0	9576.0	0.0532	-0.09376009	0.17490394	0.89856094	-0.67640454	4.919702	6.1344776	31.38589	-9.689625	1.9557774e-08	-0.040837064	-7.450581e-09	0.0032004872	0.086737655	-0.012117242	108.4848	-25.106785	0	0	0.4957083	0.0	11.020488	0.008984087	180000	173.64405608177185
3	0.23214285	0.46256548	2.0	0.0	44.535713	56.542957	261.0	0.0	1000.0	12187.0	0.05077916666666667	-0.11101551	0.16964631	0.7888886	-0.6911777	4.026771	5.3697248	36.228676	-8.021501	-2.3283064e-09	-0.041909352	-1.4901161e-08	0.008275745	0.076289	-0.012915866	95.57217	-23.566095	0	0	0.48298168	0.0	11.015316	0.009012502	240000	250.63950204849243
4	0.23214285	0.5666654	3.0	0.0	52.05357	76.85525	297.0	0.0	1000.0	15378.0	0.05126	-0.10692336	0.19718997	0.7581449	-0.6637313	4.6211324	5.6131682	35.66157	-7.714797	1.21071935e-08	-0.04051654	0.0	0.011332507	0.0780809	-0.014836358	131.16824	-44.377388	0	0	0.5011461	0.0	11.023954	0.008992946	300000	320.1121406555176
5	0.16071428	0.36726722	1.0	0.0	37.25	50.2651	225.0	0.0	1000.0	17765.0	0.04934722222222222	-0.082698174	0.18279998	0.7361817	-0.7007358	5.318423	7.697174	47.962288	-11.028558	2.4214387e-08	-0.041152164	9.313226e-08	0.00044577988	0.076089315	-0.014128821	96.318016	-34.748726	0	0	0.48958823	0.0	11.021166	0.008945536	360000	406.6571559906006
6	0.19642857	0.51476914	2.0	0.0	54.107143	77.03123	469.0	0.0	1000.0	21073.0	0.05017380952380952	-0.09676742	0.18360089	0.69644475	-0.6687162	4.8010836	6.1704335	49.485214	-17.24665	5.122274e-09	-0.04087876	5.9604645e-08	0.00034431554	0.07453479	-0.009253849	125.33458	-37.53633	0	0	0.49712527	0.0	11.017534	0.009010786	420000	471.3667197227478
7	0.2857143	0.45175394	1.0	0.0	60.69643	74.43188	374.0	0.0	1000.0	24584.0	0.05121666666666667	-0.09485057	0.17501572	0.63950604	-0.60556394	5.0315285	6.0792103	49.461994	-9.96506	-7.916242e-09	-0.04036628	9.313226e-08	0.0043874737	0.08148726	-0.013101181	117.51605	-28.772575	0	0	0.50541776	0.0	11.015874	0.00902018	480000	550.3390910625458
8	0.125	0.38090587	2.0	0.0	62.964287	68.1393	232.0	0.0	1000.0	28220.0	0.05225925925925926	-0.06910527	0.18308616	0.7277303	-0.6214168	6.5000825	8.199466	52.911697	-11.64931	7.450581e-09	-0.040790275	1.4901161e-08	-0.013825097	0.06788474	-0.012032334	139.55026	-36.00956	0	0	0.495421	0.0	11.014579	0.0089816945	540000	641.284996509552
9	0.14285715	0.3499271	1.0	0.0	60.32143	76.70609	361.0	0.0	1000.0	31881.0	0.053135	-0.097230874	0.16473784	0.59410924	-0.6175157	5.817509	5.90559	51.85575	-8.038901	-1.4901161e-08	-0.041451953	7.450581e-09	0.0099128615	0.0686696	-0.01018763	130.69728	-26.942938	0	0	0.49163327	0.0	11.029161	0.00901237	600000	694.3623867034912
