Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	mmd_entropy	alpha	Time
1	0.0	0.0	0.0	0.0	13.0	13.546217	35.0	0.0	0.5	0.8062258	2.0	0.0	44.6	52.77348	126.0	0.0	1000.0	1000.0	3999	0.4649791	0.46507567	-0.49073368	0.10126225	0.7654339	0.11999999	120.32584238052368
2	0.25	0.4330127	1.0	0.0	7.75	13.423394	31.0	0.0	0.2	0.4	1.0	0.0	25.7	45.51934	148.0	0.0	1000.0	1000.0	7999	2.2152996	2.215266	-2.2820928	0.11398735	0.8275789	0.11999999	267.725403547287
3	0.0	0.0	0.0	0.0	83.0	85.66796	196.0	0.0	0.2	0.4	1.0	0.0	55.2	53.43557	153.0	0.0	1000.0	1000.0	11999	4.0937996	4.093743	-4.1405077	0.1349794	0.7303079	0.11999999	416.47884583473206
4	1.25	0.8291562	2.0	0.0	97.75	94.20821	204.0	0.0	0.3	0.64031243	2.0	0.0	48.8	56.55758	169.0	0.0	1000.0	1000.0	15999	3.446285	3.4463677	-3.341836	0.15533394	0.7933197	0.11999999	566.9578456878662
5	1.75	1.47902	4.0	0.0	47.5	35.33058	83.0	0.0	0.3	0.45825756	1.0	0.0	46.3	57.000084	193.0	0.0	1000.0	1000.0	19999	1.8445129	1.8445127	-1.7156382	0.20899743	0.86233115	0.11999999	717.9155647754669
6	0.0	0.0	0.0	0.0	10.75	17.483921	41.0	0.0	1.0	1.0954452	3.0	0.0	57.0	47.644516	143.0	0.0	1000.0	1000.0	23999	0.6089412	0.60884017	-0.4683219	0.23890412	0.93085235	0.11999999	872.4132301807404
7	1.5	1.6583124	4.0	0.0	68.25	51.426525	143.0	5.0	1.8	1.1661904	4.0	0.0	65.8	40.315754	145.0	15.0	1000.0	1000.0	27999	-0.4661834	-0.46631625	0.61444724	0.28057477	1.0158442	0.11999999	1026.623284816742
8	2.5	1.6583124	5.0	1.0	104.75	60.940033	183.0	16.0	2.6	1.56205	6.0	0.0	81.5	53.12109	195.0	0.0	1000.0	1000.0	31999	-1.2305174	-1.230569	1.3772656	0.33024585	1.1123852	0.11999999	1180.4069564342499
9	1.5	1.5	4.0	0.0	50.75	42.257397	112.0	0.0	0.1	0.29999998	1.0	0.0	3.1	9.3	31.0	0.0	1000.0	1000.0	35999	-0.5916031	-0.5916953	0.7028579	0.41771173	1.9023064	0.11999999	1336.4099502563477
10	0.5	0.5	1.0	0.0	136.0	224.72316	525.0	0.0	0.1	0.29999998	1.0	0.0	152.0	268.07797	825.0	0.0	1000.0	1000.0	39999	2.3313057	2.3314035	-2.2235115	0.502233	2.648221	0.11999999	1490.860195159912
11	0.5	0.5	1.0	0.0	48.75	49.256344	111.0	0.0	0.2	0.4	1.0	0.0	24.6	56.47513	185.0	0.0	1000.0	1000.0	43999	5.7410717	5.7411704	-5.6363926	0.58771914	3.0284917	0.11999999	1644.9066355228424
12	0.75	0.8291562	2.0	0.0	148.75	153.36456	392.0	0.0	0.5	0.8062258	2.0	0.0	146.8	131.25227	399.0	0.0	1000.0	1000.0	47999	8.932335	8.932225	-8.818119	0.7108301	3.2213936	0.11999999	1794.6992554664612
13	2.0	1.2247449	3.0	0.0	148.5	63.144676	241.0	68.0	0.8	0.6	2.0	0.0	72.9	88.80817	236.0	0.0	1000.0	1000.0	51999	11.41834	11.418339	-11.282758	0.81812394	3.1739054	0.11999999	1945.6156466007233
14	1.0	0.70710677	2.0	0.0	105.25	86.69306	242.0	4.0	0.6	0.66332495	2.0	0.0	24.3	38.356354	126.0	0.0	1000.0	1000.0	55999	12.879778	12.879772	-12.716756	0.8901772	3.1392286	0.11999999	2100.127934217453
15	1.25	0.8291562	2.0	0.0	126.25	82.2082	220.0	8.0	0.6	0.66332495	2.0	0.0	199.6	286.50977	869.0	0.0	1000.0	1000.0	59999	13.793676	13.793774	-13.625342	0.94886863	3.1354995	0.11999999	2256.7134721279144
16	2.5	0.5	3.0	2.0	123.0	63.517715	211.0	44.0	0.9	0.9433981	2.0	0.0	49.6	61.23757	169.0	0.0	1000.0	1000.0	63999	14.194423	14.194436	-14.005194	0.9260299	3.050326	0.11999999	2412.619112968445
17	4.25	1.0897248	6.0	3.0	108.25	83.88199	245.0	32.0	1.2	0.7483314	2.0	0.0	77.8	97.68705	229.0	0.0	1000.0	1000.0	67999	13.795227	13.795492	-13.584348	0.91660017	2.8642657	0.11999999	2566.146260023117
18	1.75	0.8291562	3.0	1.0	107.5	42.25222	173.0	66.0	0.2	0.4	1.0	0.0	55.0	70.72199	186.0	0.0	1000.0	1000.0	71999	13.030179	13.030212	-12.81048	0.88321394	2.7031515	0.11999999	2716.7574322223663
19	1.5	1.5	4.0	0.0	38.5	4.2720017	44.0	32.0	0.8	0.6	2.0	0.0	92.3	111.67905	321.0	0.0	1000.0	1000.0	75999	11.961125	11.961007	-11.735273	0.8438906	2.5564203	0.11999999	2867.1739242076874
