Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	mmd_entropy	alpha	Time
1	0.0	0.0	0.0	0.0	79.5	137.12129	317.0	0.0	1.2	0.9797959	3.0	0.0	71.7	75.32072	213.0	0.0	1000.0	1000.0	3999	0.2537568	0.25386015	-0.263683	0.04152064	0.5873019	0.100000024	100.16402983665466
2	0.25	0.4330127	1.0	0.0	0.0	0.0	0.0	0.0	0.3	0.64031243	2.0	0.0	19.6	31.803144	107.0	0.0	1000.0	997.4	7999	1.6994883	1.6994711	-1.78017	0.071257554	0.7280604	0.10000002	220.94690990447998
3	0.25	0.4330127	1.0	0.0	58.75	60.68515	139.0	0.0	0.5	0.5	1.0	0.0	43.0	27.924898	87.0	0.0	1000.0	1000.0	11999	3.863091	3.863076	-3.9261303	0.11314046	0.86437637	0.10000002	343.009991645813
4	0.75	0.8291562	2.0	0.0	175.25	128.20175	320.0	0.0	0.5	0.67082036	2.0	0.0	95.2	60.288975	208.0	14.0	1000.0	1000.0	15999	4.6861563	4.6861405	-4.643604	0.13094984	1.4676442	0.10000002	467.88047456741333
5	1.0	1.0	2.0	0.0	49.5	77.86366	184.0	0.0	0.0	0.0	0.0	0.0	29.2	87.6	292.0	0.0	1000.0	1000.0	19999	5.776443	5.7763605	-5.717016	0.16285941	2.1557784	0.10000002	593.8348596096039
6	1.75	1.0897248	3.0	0.0	334.25	84.33082	433.0	235.0	0.4	0.9165151	3.0	0.0	106.6	204.87666	592.0	0.0	1000.0	1000.0	23999	7.52445	7.5243874	-7.4669814	0.24665713	2.4931	0.10000002	719.3623578548431
7	0.75	0.8291562	2.0	0.0	165.5	124.72069	301.0	0.0	0.8	0.8717798	2.0	0.0	109.2	160.77673	504.0	0.0	1000.0	1000.0	27999	9.24911	9.249051	-9.17815	0.3004563	2.528816	0.10000002	843.5359573364258
8	1.0	0.70710677	2.0	0.0	165.25	221.4581	539.0	0.0	0.5	0.67082036	2.0	0.0	122.4	278.41342	945.0	0.0	1000.0	1000.0	31999	10.340056	10.339975	-10.247153	0.3151256	2.4936314	0.10000002	969.6129891872406
9	1.25	0.8291562	2.0	0.0	104.5	101.652596	233.0	0.0	1.5	1.024695	3.0	0.0	53.6	65.97757	225.0	0.0	1000.0	1000.0	35999	11.27386	11.273819	-11.174462	0.33982942	2.5933158	0.10000002	1094.4609582424164
10	1.75	1.47902	4.0	0.0	83.0	139.15819	324.0	0.0	0.9	1.2206556	4.0	0.0	49.8	105.57538	354.0	0.0	1000.0	1000.0	39999	11.875414	11.875379	-11.762129	0.3706416	2.614229	0.10000002	1219.4000391960144
11	1.75	0.8291562	3.0	1.0	60.5	30.335623	98.0	19.0	2.2	1.3266499	4.0	0.0	50.2	114.16286	385.0	0.0	1000.0	1000.0	43999	12.379957	12.379921	-12.257494	0.37591547	2.6777616	0.10000002	1339.8787574768066
12	4.5	2.1794496	8.0	2.0	114.25	74.49287	190.0	0.0	1.2	1.3266499	4.0	0.0	70.1	101.82872	307.0	0.0	1000.0	1000.0	47999	12.692109	12.692081	-12.557901	0.40942067	2.5912542	0.10000002	1464.0918345451355
13	3.0	2.1213202	6.0	1.0	65.75	29.490465	115.0	39.0	1.8	1.4	4.0	0.0	76.6	100.9586	321.0	0.0	1000.0	1000.0	51999	12.621861	12.621942	-12.476859	0.41663215	2.5510378	0.10000002	1589.485034942627
14	4.25	1.0897248	6.0	3.0	78.25	28.873648	123.0	47.0	3.3	2.5317976	9.0	0.0	24.7	27.466524	82.0	0.0	1000.0	1000.0	55999	12.535896	12.535976	-12.384976	0.45683604	2.5734727	0.10000002	1715.3322916030884
15	4.25	2.58602	8.0	1.0	97.25	65.396385	174.0	9.0	1.8	1.9899749	6.0	0.0	113.6	259.75073	878.0	0.0	1000.0	1000.0	59999	12.637849	12.638047	-12.48568	0.47592232	2.662095	0.10000002	1840.5700511932373
16	6.25	3.7666297	12.0	2.0	37.0	25.189283	70.0	0.0	4.3	3.2878563	11.0	0.0	16.4	17.3793	47.0	0.0	1000.0	1000.0	63999	12.725336	12.725472	-12.567484	0.52030945	2.5611236	0.10000002	1966.2308053970337
17	6.75	3.4186985	10.0	1.0	169.5	83.97172	300.0	89.0	1.9	1.9723083	5.0	0.0	28.1	67.16614	226.0	0.0	1000.0	1000.0	67999	12.585574	12.585525	-12.421774	0.5452194	2.4579444	0.10000002	2091.683811903
18	5.25	3.49106	11.0	2.0	36.0	16.29417	51.0	12.0	5.5	3.471311	10.0	0.0	65.8	67.823006	225.0	0.0	1000.0	1000.0	71999	12.363958	12.363941	-12.200811	0.561778	2.4023342	0.10000002	2217.229065179825
19	4.75	3.49106	9.0	0.0	96.5	133.76378	324.0	0.0	4.5	2.376973	9.0	1.0	99.0	236.06949	804.0	0.0	1000.0	1000.0	75999	12.224661	12.224777	-12.055937	0.58132815	2.4105403	0.10000002	2342.5312583446503
20	5.0	2.1213202	8.0	2.0	117.5	161.65009	392.0	0.0	4.1	3.3	10.0	0.0	129.1	278.66162	949.0	0.0	1000.0	1000.0	79999	12.107549	12.107642	-11.934186	0.61391705	2.5236962	0.10000002	2468.406757593155
21	2.25	1.6393596	5.0	1.0	44.75	68.04916	162.0	0.0	3.3	2.6476405	9.0	1.0	53.6	48.73233	133.0	0.0	1000.0	1000.0	83999	12.18365	12.183655	-12.007326	0.6249929	2.557127	0.10000002	2594.524643421173
22	9.5	4.092676	16.0	6.0	38.25	31.641546	70.0	0.0	2.8	2.521904	7.0	0.0	36.6	57.66316	183.0	0.0	1000.0	1000.0	87999	12.251892	12.25185	-12.070516	0.6576038	2.5911708	0.10000002	2720.5350527763367
