Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.08928572	0.2851557	1.0	0.0	90.48214	85.08588	381.0	0.0	1000.0	5350.0	0.08916666666666667	-0.17281826	0.64801997	2.4105911	-2.5040286	0.16153985	0.7849352	2.8731985	-2.5836494	1.1059456e-08	-0.038785953	-1.1175871e-07	-0.06147576	0.524762	-0.4325127	246.07915	-101.07074	0.07236994	0.0	0.08619125	0.017708706	0.06548214	0.086234845	0.0090319645	1.8713917	2.206166	0.07236994	1.0	0.0	0.0	11.027262	0.008968574	60000	91.04919219017029
1	0.17857143	0.46702486	2.0	0.0	71.92857	64.61447	253.0	0.0	1000.0	9628.0	0.08023333333333334	-0.07877946	0.14396949	0.55977565	-0.6978172	7.44425	6.1884117	21.652786	-9.762821	8.381903e-09	-0.039057832	1.8626451e-08	-0.045312505	0.09441914	-0.016512595	113.00272	-17.043798	0.0821503	0.0	0.0851036	0.018506447	0.046928573	0.08538855	-0.020497967	1.4745307	2.1444328	0.0821503	1.0	0.0	0.0	11.025787	0.008948596	120000	166.20999121665955
2	0.10714286	0.3092948	1.0	0.0	85.71429	63.06168	246.0	0.0	1000.0	14857.0	0.08253888888888888	-0.08511148	0.1757009	0.78946334	-0.7816753	8.612538	6.3193717	24.250494	-8.889209	1.1175871e-08	-0.03884293	-1.2665987e-07	-0.05881143	0.07964571	-0.0118093435	109.188835	-12.791151	0.09831332	0.0	0.08844968	0.017713506	0.060714286	0.08877289	-0.022827186	1.6121733	2.2345798	0.09831332	1.0	0.0	0.0	11.010228	0.008968965	180000	254.17241549491882
3	0.10714286	0.3092948	1.0	0.0	79.32143	63.612698	339.0	0.0	1000.0	19628.0	0.08178333333333333	-0.05392529	0.17278782	0.65333533	-0.60770935	8.058217	6.2042594	26.9047	-8.272988	0.0	-0.039143547	-2.9802322e-08	-0.055010207	0.071604416	-0.010606632	111.55157	-17.505476	0.08356354	0.0	0.084403165	0.018258082	0.054321427	0.08476513	-0.024762308	1.6940039	2.150066	0.08356354	1.0	0.0	0.0	11.002769	0.008992346	240000	342.6625199317932
4	0.05357143	0.22517	1.0	0.0	90.125	76.48554	309.0	0.0	1000.0	25003.0	0.08334333333333334	-0.07030498	0.14784212	0.5319763	-0.6222048	7.0460477	5.848864	29.421316	-7.9762077	7.450581e-09	-0.037697583	2.9802322e-08	-0.06222913	0.06921418	-0.010346482	134.20496	-26.132343	0.086345896	0.0	0.0828467	0.017728686	0.065125	0.08307073	-0.020453285	1.8673182	2.1617196	0.086345896	1.0	0.0	0.0	10.998047	0.008949832	300000	417.2767970561981
5	0.125	0.3307189	1.0	0.0	84.98214	78.29876	277.0	0.0	1000.0	30241.0	0.08400277777777777	-0.06463772	0.14139728	0.62428176	-0.6628819	8.83726	7.068824	34.001934	-8.478259	0.0	-0.038335748	3.3527613e-08	-0.056305774	0.07003554	-0.012768831	132.10481	-25.993202	0.07696917	0.0	0.084196806	0.018251728	0.05998214	0.084621646	-0.029568454	2.0579498	2.1478097	0.07696917	1.0	0.0	0.0	11.009739	0.009018358	360000	505.23842692375183
6	0.14285715	0.3499271	1.0	0.0	86.35714	86.180336	355.0	0.0	1000.0	35485.0	0.08448809523809524	-0.104338706	0.18591885	0.6501016	-0.7965868	8.6826315	7.5803576	35.846466	-9.17969	1.3038516e-08	-0.037689175	5.5879354e-08	-0.057563	0.06985748	-0.008928705	126.797516	-25.320015	0.075896315	0.0	0.08065421	0.018133791	0.06135714	0.08093277	-0.02370547	2.017298	2.1089642	0.075896315	1.0	0.0	0.0	10.991819	0.009005034	420000	593.4220590591431
7	0.10714286	0.3092948	1.0	0.0	97.875	71.899	264.0	0.0	1000.0	41187.0	0.08580625	-0.07049904	0.17752032	0.5668248	-0.65758836	8.819617	7.150867	38.747528	-7.7256784	9.313226e-10	-0.036024302	-1.1175871e-08	-0.07222412	0.064881966	-0.008240258	134.20456	-30.247162	0.093479365	0.0	0.07952565	0.017400086	0.072875	0.080130555	-0.035151463	2.0426702	2.1378534	0.093479365	1.0	0.0	0.0	10.984727	0.009021111	480000	667.9792420864105
8	0.14285715	0.3499271	1.0	0.0	78.05357	79.59123	421.0	0.0	1000.0	45955.0	0.08510185185185185	-0.07932432	0.16408442	0.64096075	-0.6000759	9.329778	8.003006	43.24528	-8.177813	-1.2572855e-08	-0.03930059	5.9604645e-08	-0.051699214	0.06278995	-0.010511797	135.04384	-43.440517	0.050527874	0.0	0.080335185	0.018820513	0.053053573	0.08038559	-0.010967244	2.3863592	2.0660326	0.050527874	1.0	0.0	0.0	10.98695	0.008998723	540000	756.2267155647278
9	0.16071428	0.36726722	1.0	0.0	82.32143	69.43448	326.0	0.0	1000.0	51194.0	0.08532333333333333	-0.09112266	0.17009348	0.7536659	-0.6678438	7.3231845	6.434659	44.825787	-11.334115	2.2351742e-08	-0.03829577	1.8626451e-08	-0.05410184	0.06664359	-0.011620919	141.78427	-40.208992	0.059263088	0.0	0.08133606	0.01866523	0.057321426	0.08161549	-0.026227286	2.4616559	2.0874925	0.059263088	1.0	0.0	0.0	10.992825	0.008998109	600000	844.5543103218079
10	0.10714286	0.36246043	2.0	0.0	82.55357	66.12513	253.0	0.0	1000.0	56145.0	0.08506818181818182	-0.07304699	0.1277893	0.5155031	-0.55025035	8.220707	6.963664	48.011078	-14.241232	-1.1175871e-08	-0.039922398	6.7055225e-08	-0.053865425	0.06498036	-0.009255955	105.19361	-20.740662	0.049697552	0.0	0.08353213	0.018330654	0.057553574	0.08382843	0.024247145	1.9842575	2.1347048	0.049697552	1.0	0.0	0.0	10.989	0.009025466	660000	919.2655262947083
11	0.08928572	0.34209365	2.0	0.0	70.35714	59.178127	297.0	0.0	1000.0	60453.0	0.0839625	-0.08261694	0.16711085	0.7063019	-0.6208206	7.555785	6.513379	49.391117	-16.37806	1.6763806e-08	-0.0376805	3.7252903e-09	-0.041947953	0.05890456	-0.009846486	94.59575	-17.627352	0.054668073	0.0	0.075759515	0.018750008	0.045357138	0.07576039	0.0011982599	1.6458266	2.0101008	0.054668073	1.0	0.0	0.0	10.98713	0.0090545975	720000	1007.5253639221191
12	0.16071428	0.49196345	3.0	0.0	79.35714	74.807236	306.0	0.0	1000.0	64993.0	0.08332435897435897	-0.05504391	0.15592349	0.5981734	-0.55068254	7.060099	6.0525575	47.93773	-13.283787	1.4202669e-08	-0.038379595	-8.381903e-08	-0.05433965	0.07122453	-0.008279451	106.60045	-20.189814	0.06264898	0.0	0.07901984	0.018443225	0.05435714	0.07904136	-0.006391375	1.8979605	2.0699012	0.06264898	1.0	0.0	0.0	10.992858	0.009014374	780000	1096.0373849868774
13	0.17857143	0.42708072	2.0	0.0	90.89286	83.506775	351.0	0.0	1000.0	70609.0	0.08405833333333333	-0.06808444	0.14695956	0.5333518	-0.5031899	9.2655525	6.692258	50.1577	-13.672864	-9.313226e-09	-0.038434207	1.4901161e-08	-0.065520495	0.06554948	-0.010128811	147.05359	-23.162464	0.074755535	0.0	0.08190033	0.017888185	0.06589286	0.08197882	-0.012703401	2.055989	2.1397336	0.074755535	1.0	0.0	0.0	10.994243	0.009022248	840000	1171.0856518745422
14	0.14285715	0.3499271	1.0	0.0	98.55357	81.54006	319.0	0.0	1000.0	76768.0	0.08529777777777778	-0.047858164	0.1749154	0.66084045	-0.67396885	9.4566345	6.4067326	43.20456	-10.858278	-1.8626451e-09	-0.036218777	5.2154064e-08	-0.0723016	0.06490583	-0.008960079	154.8209	-49.317654	0.07830031	0.0	0.07703321	0.01738127	0.07355358	0.07705636	-0.0069166804	2.0659356	2.1052237	0.07830031	1.0	0.0	0.0	10.994331	0.009031909	900000	1259.705504655838
15	0.10714286	0.3092948	1.0	0.0	83.83929	75.184006	349.0	0.0	1000.0	81742.0	0.08514791666666667	-0.063485384	0.16926648	0.5991735	-0.5419294	8.599021	7.775399	55.466747	-14.112073	2.7008355e-08	-0.038389865	4.0978193e-08	-0.061644845	0.06371078	0.008211381	135.69994	-39.06343	0.054887794	0.0	0.07968819	0.01863563	0.058839288	0.07981033	-0.017604357	2.5374827	2.067878	0.054887794	1.0	0.0	0.0	10.999934	0.009024145	960000	1347.7071449756622
16	0.08928572	0.34209365	2.0	0.0	81.16071	76.6238	346.0	0.0	1000.0	86757.0	0.08505588235294118	0.027223302	0.16369335	0.6700286	-0.4834524	8.700958	7.622486	60.08732	-10.959082	-9.313226e-09	-0.038582806	2.9802322e-08	-0.054988448	0.06954984	-0.022960423	142.68645	-50.253647	0.06376986	0.0	0.08118103	0.018811394	0.056160714	0.08222168	-0.052549154	2.6535501	2.077384	0.06376986	1.0	0.0	0.0	10.99841	0.009031611	1020000	1422.4741117954254
17	0.14285715	0.39769745	2.0	0.0	93.33929	78.1517	362.0	0.0	1000.0	92399.0	0.08555462962962963	-0.03873022	0.17434935	0.57472456	-0.5133019	8.238462	6.4586205	64.04402	-14.843377	1.3969839e-08	-0.03776693	-6.7055225e-08	-0.069216296	0.06695631	-0.012673719	142.92831	-29.869297	0.08112813	0.0	0.08075004	0.017725639	0.06833929	0.08095931	-0.02072995	2.0534372	2.1343734	0.08112813	1.0	0.0	0.0	10.985633	0.0090293195	1080000	1510.5443601608276
18	0.14285715	0.39769745	2.0	0.0	76.64286	68.23893	263.0	0.0	1000.0	96952.0	0.08504561403508772	-0.046565827	0.15108933	0.4451364	-0.5900941	8.464555	7.0929236	57.454216	-9.332613	1.8626451e-09	-0.039114427	1.2665987e-07	-0.047596507	0.06641129	-0.01424747	122.43192	-25.05353	0.058237072	0.0	0.08132565	0.01860056	0.05164286	0.081330374	-0.003000988	1.9057516	2.0909843	0.058237072	1.0	0.0	0.0	10.976899	0.008960362	1140000	1599.056051492691
19	0.16071428	0.36726722	1.0	0.0	79.58929	79.7191	313.0	0.0	1000.0	101710.0	0.08475833333333334	-0.025873734	0.1608061	0.6568064	-0.53160524	7.243397	6.1508307	44.112034	-7.0792823	5.5879354e-09	-0.03705938	-6.7055225e-08	-0.054486312	0.06526838	-0.012243823	122.80502	-30.117655	0.08274416	0.0	0.07722047	0.018258126	0.054589286	0.07772204	-0.029293127	1.7107966	2.0565445	0.08274416	1.0	0.0	0.0	10.976746	0.009004636	1200000	1673.7035655975342
20	0.125	0.3307189	1.0	0.0	81.46429	70.19513	298.0	0.0	1000.0	106492.0	0.08451746031746031	-0.052864056	0.16654024	0.56055325	-0.57696503	8.8182125	7.357835	59.57942	-19.952873	-7.450581e-09	-0.039166216	-1.1920929e-07	-0.05358845	0.06561893	-0.0152862035	124.95126	-31.553036	0.052061424	0.0	0.081972666	0.018698223	0.05646429	0.08200783	-0.00928035	2.4491272	2.093796	0.052061424	1.0	0.0	0.0	10.985619	0.009025268	1260000	1812.5678346157074
21	0.05357143	0.22517	1.0	0.0	87.35714	79.086395	410.0	0.0	1000.0	111748.0	0.08465757575757575	-0.066623874	0.16120018	0.53905725	-0.59052944	7.066204	5.593064	49.115677	-8.149022	9.313226e-10	-0.036432505	2.9802322e-08	-0.056575395	0.057393774	-0.0107524935	113.83288	-25.954903	0.075626805	0.0	0.075785264	0.017623272	0.06235714	0.075804316	0.0055827913	1.6360358	2.0737152	0.075626805	1.0	0.0	0.0	10.978248	0.00903157	1320000	2006.2505481243134
22	0.05357143	0.22517	1.0	0.0	66.125	56.10706	239.0	0.0	1000.0	115981.0	0.08404420289855072	-0.07684782	0.13459614	0.41947156	-0.5393821	8.044165	7.0466857	56.120033	-13.497632	1.3969839e-09	-0.040050976	4.4703484e-08	-0.041219413	0.059023235	-0.01110741	104.189804	-30.020178	0.056091357	0.0	0.08253867	0.019090066	0.041125	0.08272766	-0.01874242	1.8586675	2.0793376	0.056091357	1.0	0.0	0.0	10.967591	0.008958707	1380000	2179.679709672928
23	0.14285715	0.39769745	2.0	0.0	92.17857	95.51517	452.0	0.0	1000.0	121496.0	0.08437222222222222	-0.060575653	0.14556076	0.43137914	-0.5904288	7.6646156	6.939072	56.23865	-10.840335	-1.8626451e-09	-0.0385117	1.1920929e-07	-0.066966645	0.05869516	-0.010001862	163.78604	-47.895336	0.06754051	0.0	0.08053272	0.018066412	0.06717858	0.080639735	-0.015804203	2.3339832	2.1113014	0.06754051	1.0	0.0	0.0	10.968583	0.008980062	1440000	2371.907768011093
24	0.125	0.38090587	2.0	0.0	82.33929	67.43575	266.0	0.0	1000.0	126549.0	0.084366	-0.022849137	0.1711872	0.563573	-0.49949387	8.775749	6.9316454	64.16621	-14.8418045	5.5879354e-09	-0.039438624	3.7252903e-09	-0.062774174	0.061306506	-0.009242652	145.93515	-36.46389	0.06280041	0.0	0.08120482	0.018650854	0.05733929	0.08166248	-0.03339632	2.4369445	2.0866113	0.06280041	1.0	0.0	0.0	10.969674	0.0089927055	1500000	2537.7172994613647
25	0.08928572	0.34209365	2.0	0.0	75.875	69.4864	287.0	0.0	1000.0	131235.0	0.084125	-0.053210847	0.1622923	0.58253926	-0.50210106	8.431157	6.9038663	61.130272	-11.034483	-7.916242e-09	-0.03767714	7.8231096e-08	-0.0485065	0.05512193	-0.0086374115	114.100815	-26.636368	0.06644847	0.0	0.07912806	0.018746356	0.050875	0.07964491	-0.032666307	2.0645945	2.0545032	0.06644847	1.0	0.0	0.0	10.965299	0.008943892	1560000	2736.023303747177
26	0.071428575	0.25753936	1.0	0.0	73.07143	65.38754	302.0	0.0	1000.0	135719.0	0.08377716049382716	-0.04844119	0.14077006	0.5215864	-0.42852366	7.775008	6.4654164	59.431885	-12.009608	5.122274e-09	-0.039623793	1.4901161e-07	-0.043742172	0.054776944	-0.008389219	121.28149	-33.424255	0.054503612	0.0	0.082572855	0.018941043	0.048071425	0.08273085	-0.018568236	2.1822073	2.0879338	0.054503612	1.0	0.0	0.0	10.951357	0.009037018	1620000	2911.1820838451385
27	0.19642857	0.43995306	2.0	0.0	74.75	67.94201	281.0	0.0	1000.0	140292.0	0.08350714285714286	-0.034734685	0.1555643	0.5610545	-0.52261233	6.6194634	6.5466266	59.90164	-8.12169	3.7252903e-09	-0.03889756	1.8626451e-08	-0.049649253	0.060032655	-0.012808204	135.48193	-40.407257	0.060056627	0.0	0.07925404	0.018910257	0.04975	0.07977974	-0.034554068	2.2712343	2.047208	0.060056627	1.0	0.0	0.0	10.964812	0.009009404	1680000	3111.000065088272
28	0.125	0.3307189	1.0	0.0	89.64286	72.81985	396.0	0.0	1000.0	145749.0	0.08376379310344828	-0.028852046	0.15445751	0.56942147	-0.5415153	7.776902	6.4068847	47.069065	-10.231449	5.820766e-09	-0.037633464	0.0	-0.0627748	0.056483954	-0.011450833	146.76721	-39.43507	0.07106673	0.0	0.0799698	0.018166287	0.06464286	0.080273785	-0.026319748	2.2788174	2.098118	0.07106673	1.0	0.0	0.0	10.963457	0.009004897	1740000	3282.2839896678925
29	0.10714286	0.3092948	1.0	0.0	77.89286	68.045074	250.0	0.0	1000.0	150354.0	0.08353	-0.03018249	0.16859797	0.7100421	-0.5778655	9.501973	7.4026203	57.38867	-14.6346655	-6.2864274e-09	-0.03800309	1.1175871e-08	-0.055381082	0.05825804	-0.013457122	103.49353	-28.85336	0.061900776	0.0	0.07687719	0.018657902	0.05289286	0.077102445	-0.021669153	2.0845387	2.029866	0.061900776	1.0	0.0	0.0	10.961072	0.008975718	1800000	3482.338441848755
30	0.071428575	0.25753936	1.0	0.0	79.67857	73.938705	310.0	0.0	1000.0	155030.0	0.0833494623655914	-0.04641066	0.15372497	0.6563148	-0.49506685	7.694766	6.5989923	48.764927	-11.273956	-1.8626451e-09	-0.03781008	-2.9802322e-08	-0.052158527	0.052534223	-0.009816734	114.794556	-28.540113	0.06300207	0.0	0.07765913	0.01826532	0.054678574	0.07766917	0.004160714	1.7235138	2.0619714	0.06300207	1.0	0.0	0.0	10.961136	0.009001319	1860000	3650.54478931427
31	0.16071428	0.4130369	2.0	0.0	95.17857	68.02024	311.0	0.0	1000.0	160698.0	0.083696875	-0.032362428	0.14769605	0.5834033	-0.46468917	9.272694	6.9707103	54.69263	-15.406897	-1.4901161e-08	-0.038333505	3.7252903e-09	-0.068203524	0.06079659	-0.013532393	144.44327	-37.963993	0.052716285	0.0	0.0780071	0.018303052	0.070178576	0.078029804	-0.008117419	2.902289	2.0644546	0.052716285	1.0	0.0	0.0	10.956663	0.009004067	1920000	3847.3788068294525
32	0.23214285	0.59734744	3.0	0.0	90.71429	78.98185	338.0	0.0	1000.0	166095.0	0.08388636363636363	-0.021507625	0.14872655	0.6029223	-0.61477864	8.693236	5.3148527	48.29187	-14.916757	1.8626451e-09	-0.038304612	1.8626451e-08	-0.06697896	0.064873375	-0.012714408	125.962456	-31.869183	0.076813	0.0	0.08112696	0.01801905	0.065714285	0.0814869	-0.02801194	2.179949	2.1218596	0.076813	1.0	0.0	0.0	10.958073	0.009001914	1980000	4022.2502570152283
33	0.10714286	0.3092948	1.0	0.0	92.66071	76.84406	329.0	0.0	1000.0	171460.0	0.08404901960784314	-0.0042500356	0.1369455	0.75213975	-0.39448914	9.139159	7.7293034	59.712246	-18.258219	-4.656613e-09	-0.037439227	6.146729e-08	-0.06497174	0.05469469	-0.011978369	137.86978	-40.46338	0.06258433	0.0	0.079998806	0.01829136	0.06766071	0.080254674	-0.026182996	2.6793067	2.0913117	0.06258433	1.0	0.0	0.0	10.951154	0.008971037	2040000	4222.438035488129
34	0.10714286	0.3092948	1.0	0.0	76.30357	81.1821	296.0	0.0	1000.0	176140.0	0.08387619047619048	-0.048556373	0.13996354	0.7444091	-0.5307835	9.352366	6.5088363	52.709064	-11.097481	-1.5366822e-08	-0.038663585	-5.029142e-08	-0.05213839	0.05047123	-0.010688895	124.13345	-38.488773	0.06478571	0.0	0.08036659	0.01872309	0.051303573	0.080726825	-0.02724975	2.061269	2.0718057	0.06478571	1.0	0.0	0.0	10.9455385	0.008992799	2100000	4394.7542107105255
