Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.08928572	0.2851557	1.0	0.0	90.48214	85.08588	381.0	0.0	1000.0	5350.0	0.08916666666666667	-0.17281826	0.64801997	2.4105911	-2.5040286	0.16153985	0.7849352	2.8731985	-2.5836494	1.1059456e-08	0.003236502	-1.1175871e-07	0.0009037717	0.524762	-0.4325127	246.07915	-101.07074	0	0	1.0	11.027262	0.027593452	60000	90.68519163131714
1	0.16071428	0.4130369	2.0	0.0	83.17857	82.66371	305.0	0.0	1000.0	10337.0	0.08614166666666667	-0.080376655	0.14179586	0.5670182	-0.6800004	7.332138	6.42284	20.989782	-9.457188	-1.8626451e-09	0.013266592	-5.9604645e-08	0.010960362	0.090352565	-0.017003454	121.262924	-17.737698	0	0	1.0	11.029051	0.03209829	120000	238.14606022834778
2	0.071428575	0.25753936	1.0	0.0	92.41071	89.4251	379.0	0.0	1000.0	16051.0	0.08917222222222222	-0.086738884	0.18074837	0.81598216	-0.72287226	8.666062	6.915486	27.758512	-7.9610987	-1.3038516e-08	-0.040746063	7.4505806e-08	0.012443023	0.07347986	-0.012218539	164.05719	-28.220612	0	0	16.0	11.030819	0.013572453	180000	408.0841565132141
3	0.08928572	0.34209362	2.0	0.0	77.53571	74.147285	268.0	0.0	1000.0	20597.0	0.08582083333333333	-0.0803618	0.14431176	0.5806608	-0.6265359	9.177835	7.8057914	33.860264	-11.525311	-4.656613e-09	-0.040472314	-7.0780516e-08	0.017299078	0.079116054	-0.0116512645	118.7424	-26.700508	0	0	17.0	11.023808	0.013625351	240000	569.9666118621826
4	0.17857143	0.38299304	1.0	0.0	94.60714	89.32218	359.0	0.0	1000.0	26334.0	0.08778	-0.08643426	0.1514167	0.54582596	-0.60386693	7.9876304	6.4598455	35.338284	-7.553218	0.0	-0.038750954	-1.1920929e-07	0.014834294	0.075620145	-0.011091316	144.68898	-31.802902	0	0	16.0	11.00012	0.013472829	300000	735.2988238334656
5	0.125	0.3307189	1.0	0.0	100.55357	80.81216	322.0	0.0	1000.0	32446.0	0.09012777777777778	-0.056824353	0.18473831	0.692425	-0.63875777	9.369554	8.280473	42.75382	-16.676815	3.7252903e-09	-0.037844934	1.8626451e-07	0.015648723	0.06933083	-0.010839386	153.20377	-29.057854	0	0	15.0	10.97762	0.013545176	360000	894.9025504589081
6	0.16071428	0.36726722	1.0	0.0	85.76786	82.84064	354.0	0.0	1000.0	37782.0	0.08995714285714286	-0.074852504	0.1585154	0.6023869	-0.6787344	9.701514	9.270941	46.222664	-9.666565	3.7252903e-09	-0.037905976	1.4901161e-08	0.020149352	0.071817964	-0.010660596	131.94365	-32.509922	0	0	15.0	10.948742	0.013741316	420000	1064.662192106247
7	0.10714286	0.36246043	2.0	0.0	77.89286	70.171646	276.0	0.0	1000.0	42451.0	0.08843958333333334	-0.04311736	0.17753603	0.65276325	-0.62991524	8.965761	8.751379	47.981922	-9.257054	2.0489097e-08	-0.038530905	-1.1175871e-08	0.038358755	0.06881966	-0.012200415	109.53432	-29.00121	0	0	15.0	10.925039	0.014130689	480000	1230.2804577350616
8	0.14285715	0.3499271	1.0	0.0	77.25	66.89898	279.0	0.0	1000.0	47116.0	0.08725185185185186	-0.070339516	0.14098752	0.5006508	-0.5810634	8.096068	6.7347093	48.304405	-9.083778	4.656613e-09	-0.03831061	-3.7252903e-08	0.011772294	0.06374262	-0.008947336	115.65584	-28.26423	0	0	15.0	10.901365	0.014224384	540000	1387.3690037727356
9	0.125	0.3307189	1.0	0.0	74.125	60.87841	220.0	0.0	1000.0	51799.0	0.08633166666666667	-0.08456545	0.15831858	0.6124233	-0.65342706	7.179334	5.4334884	43.801903	-6.0062027	1.4901161e-08	-0.03584033	-9.685755e-08	0.0060192295	0.06362143	-0.010188738	107.74007	-21.490776	0	0	14.0	10.885909	0.013354749	600000	1546.7246992588043
10	0.08928572	0.28515568	1.0	0.0	86.48214	76.09439	286.0	0.0	1000.0	56818.0	0.08608787878787878	-0.07931039	0.15054494	0.6775423	-0.5832904	8.29262	6.113133	43.07043	-7.7637024	-2.7939677e-09	-0.036955997	0.0	0.01048132	0.059138197	-0.010508791	132.13553	-32.323692	0	0	14.0	10.852723	0.013394345	660000	1706.1542916297913
11	0.035714287	0.18557689	1.0	0.0	84.875	74.72523	333.0	0.0	1000.0	62089.0	0.08623472222222223	-0.06479029	0.13809088	0.55077267	-0.6292179	6.7333136	6.219086	45.051937	-10.590772	0.0	-0.03629008	-2.9802322e-08	0.018489994	0.05631411	-0.008747855	137.86696	-46.628826	0	0	14.0	10.827277	0.013154793	720000	1877.4959828853607
12	0.17857143	0.38299304	1.0	0.0	82.73214	79.62154	355.0	0.0	1000.0	66847.0	0.08570128205128205	-0.054133005	0.16090198	0.73941326	-0.6049229	10.384507	9.548903	55.726364	-12.627855	7.450581e-09	-0.0360393	1.1175871e-07	0.017956192	0.060781457	-0.009222735	147.39038	-50.750347	0	0	14.0	10.811377	0.0130686285	780000	2043.3188109397888
13	0.21428572	0.45175394	2.0	0.0	85.07143	74.49349	343.0	0.0	1000.0	72207.0	0.08596071428571428	-0.04123182	0.1654116	0.70659935	-0.6100857	8.595244	7.0370965	48.92295	-6.464143	-3.7252903e-09	-0.03688109	-4.4703484e-08	0.006750078	0.058289103	-0.008471355	180.17258	-35.92267	0	0	15.0	10.789063	0.013648258	840000	2211.301651239395
14	0.14285715	0.3499271	1.0	0.0	91.57143	85.37226	350.0	0.0	1000.0	77935.0	0.08659444444444445	-0.013023657	0.173903	0.7173386	-0.53292835	10.471413	5.529293	41.547966	-14.509054	-1.9557774e-08	-0.038146093	4.4703484e-08	0.004710383	0.058867306	-0.011348514	161.3082	-32.80423	0	0	14.0	10.768397	0.012968233	900000	2385.970203399658
15	0.26785713	0.481481	2.0	0.0	94.89286	81.58424	339.0	0.0	1000.0	83654.0	0.08713958333333334	-0.02293437	0.13146399	0.5422594	-0.44825023	8.695079	6.371999	51.867085	-21.483395	1.8626451e-09	-0.036973074	1.0430813e-07	0.0054689953	0.065125324	-0.011621389	171.03856	-48.72512	0	0	14.0	10.748005	0.013580479	960000	2544.7284791469574
16	0.25	0.4330127	1.0	0.0	100.32143	71.77298	338.0	0.0	1000.0	89623.0	0.0878656862745098	0.026088905	0.15799734	0.67933846	-0.43824553	10.378149	9.219606	60.79726	-12.133259	-6.519258e-09	-0.035031803	-4.4703484e-08	0.008593665	0.06104515	-0.010665104	176.11722	-44.7054	0	0	14.0	10.72765	0.0129977185	1020000	2712.9174869060516
17	0.19642857	0.43995306	2.0	0.0	110.32143	90.04386	364.0	0.0	1000.0	96602.0	0.0894462962962963	0.007397821	0.14218733	0.58285624	-0.45668608	10.6798935	5.876328	50.739555	-15.686352	2.142042e-08	-0.036692284	-4.4703484e-08	0.0038000513	0.054709278	-0.009364376	216.19962	-37.46965	0	0	14.0	10.708395	0.013294336	1080000	2868.910416126251
18	0.23214285	0.499681	2.0	0.0	90.94643	80.21521	326.0	0.0	1000.0	102092.0	0.08955438596491228	0.011048766	0.13513894	0.6004067	-0.4251915	11.134204	7.814571	56.124187	-14.420735	-2.2351742e-08	-0.037301783	7.450581e-09	0.0031815954	0.0632913	-0.0075017153	144.18932	-34.854816	0	0	15.0	10.6815	0.0141009465	1140000	3029.4385764598846
19	0.14285715	0.3499271	1.0	0.0	91.57143	85.59119	325.0	0.0	1000.0	107488.0	0.08957333333333334	0.037967797	0.14041147	0.64593095	-0.38213244	9.58655	7.4596453	53.35202	-9.225784	1.8626451e-09	-0.038107947	7.450581e-09	0.019565165	0.05280455	-0.010529492	176.65002	-36.149662	0	0	14.0	10.652529	0.014296918	1200000	3193.6479918956757
20	0.08928572	0.2851557	1.0	0.0	85.17857	68.112595	313.0	0.0	1000.0	112555.0	0.08932936507936508	0.002552516	0.1313716	0.55932677	-0.4474133	9.470716	4.8328595	39.38689	-10.031906	1.21071935e-08	-0.03758782	-8.940697e-08	0.004460308	0.053605802	-0.0077741677	140.09045	-34.962467	0	0	14.0	10.617538	0.01368813	1260000	3348.156923532486
21	0.30357143	0.45979974	1.0	0.0	117.5	102.8843	568.0	0.0	1000.0	119659.0	0.09065075757575758	0.0016594714	0.13804491	0.50565565	-0.41170055	9.976302	5.50283	49.184914	-7.738383	-6.9849193e-09	-0.035659514	1.0430813e-07	0.008743125	0.06066092	-0.010456916	242.1619	-75.22559	0	0	14.0	10.603863	0.013653416	1320000	3524.152979850769
22	0.16071428	0.4130369	2.0	0.0	84.75	84.80887	333.0	0.0	1000.0	124617.0	0.09030217391304347	0.03152021	0.12777463	0.55484784	-0.37173373	10.041567	7.8913183	61.72605	-10.720115	-1.6763806e-08	-0.036093593	5.5879354e-09	0.00412288	0.05705814	-0.010638535	172.07678	-49.433895	0	0	14.0	10.585312	0.013477748	1380000	3670.8564434051514
23	0.21428572	0.4517539	2.0	0.0	96.375	85.43075	300.0	0.0	1000.0	130323.0	0.09050208333333333	0.0059872274	0.1025198	0.5160136	-0.34827548	9.383954	6.63355	60.470505	-7.904074	7.450581e-09	-0.036356717	-1.1175871e-07	0.008688435	0.05939432	-0.010070324	173.89848	-30.491343	0	0	14.0	10.575542	0.013528967	1440000	3831.521795988083
24	0.125	0.38090587	2.0	0.0	95.05357	91.15086	416.0	0.0	1000.0	135945.0	0.09063	-0.0015177791	0.13064209	0.62884516	-0.3923858	9.813552	6.0036883	49.453354	-9.034295	7.450581e-09	-0.03662757	1.4901161e-08	0.0071526794	0.0596647	-0.013098735	182.96365	-48.25383	0	0	14.0	10.561659	0.014098212	1500000	3991.3717455863953
25	0.08928572	0.2851557	1.0	0.0	99.83929	83.51342	406.0	0.0	1000.0	142313.0	0.09122628205128205	-0.013563213	0.12368758	0.60283065	-0.42673156	9.373309	6.485537	51.852573	-12.365377	-1.8626451e-08	-0.029580196	-7.450581e-09	0.0064532086	0.04668677	-0.008040925	217.78122	-54.18453	0	0	10.0	10.539792	0.009591104	1560000	4154.617858171463
26	0.10714286	0.3092948	1.0	0.0	99.5	84.74626	356.0	6.0	1000.0	148204.0	0.09148395061728395	0.0016427765	0.114085555	0.52289236	-0.43001536	12.336155	7.308007	49.89863	-16.35548	6.9849193e-09	-0.0329056	-9.685755e-08	0.015673479	0.0500274	-0.007852145	196.50247	-48.47484	0	0	13.0	10.523578	0.013699197	1620000	4318.995219945908
27	0.23214285	0.46256548	2.0	0.0	85.96429	100.86907	494.0	0.0	1000.0	153370.0	0.09129166666666666	0.03514027	0.11548829	0.49679542	-0.37367997	8.566724	6.313621	47.678085	-15.806641	1.8626451e-09	-0.03493902	5.9604645e-08	-0.0033476753	0.062427327	-0.011989972	198.09091	-42.850304	0	0	14.0	10.499886	0.013734216	1680000	4488.405443906784
28	0.17857143	0.42708075	2.0	0.0	90.48214	84.24941	387.0	0.0	1000.0	158847.0	0.09129137931034483	0.0357274	0.11159553	0.5909586	-0.40367994	8.580609	5.3257766	44.663124	-8.018768	-1.8626451e-09	-0.037173375	-4.4703484e-08	0.0036895126	0.054996036	-0.01006652	168.41235	-34.169453	0	0	14.0	10.472146	0.013793629	1740000	4643.418697357178
29	0.125	0.38090587	2.0	0.0	85.75	75.34427	317.0	0.0	1000.0	163937.0	0.09107611111111111	0.019931683	0.104079284	0.51156414	-0.41394454	10.793881	7.2366247	54.753963	-13.669531	-5.5879354e-09	-0.037160583	-3.7252903e-08	0.0063610873	0.048281163	-0.009193834	145.2478	-36.75061	0	0	14.0	10.461645	0.013640991	1800000	4817.924582719803
30	0.125	0.38090587	2.0	0.0	96.94643	86.552505	394.0	0.0	1000.0	169809.0	0.09129516129032259	0.018610222	0.116807245	0.5006997	-0.40311044	9.151483	5.8199844	51.406113	-10.509418	-1.4901161e-08	-0.036716744	-2.9802322e-08	0.006880345	0.050997965	-0.009634417	180.89426	-59.78925	0	0	14.0	10.451093	0.014045261	1860000	4973.576005935669
31	0.17857143	0.42708075	2.0	0.0	97.60714	92.979774	382.0	0.0	1000.0	175830.0	0.091578125	0.017299723	0.10061272	0.49784955	-0.4147274	10.694642	8.931808	77.32854	-19.575634	-4.656613e-09	-0.03617611	-1.0430813e-07	-0.00068578124	0.049643062	-0.009748976	198.18436	-53.130825	0	0	14.0	10.434378	0.013915799	1920000	5124.51181435585
32	0.2857143	0.45175397	1.0	0.0	103.14286	74.966286	281.0	0.0	1000.0	182145.0	0.09199242424242424	0.039367	0.12640585	0.68008864	-0.40120167	10.070885	6.3075585	63.2833	-17.26024	8.8475645e-09	-0.03516689	2.6077032e-08	0.016563058	0.06165228	-0.012373062	191.90929	-54.5506	0	0	13.0	10.420986	0.013140948	1980000	5288.077320098877
