Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.08928572	0.2851557	1.0	0.0	90.48214	85.08588	381.0	0.0	1000.0	5350.0	0.08916666666666667	-0.17281826	0.64801997	2.4105911	-2.5040286	0.16153985	0.7849352	2.8731985	-2.5836494	-5.2154064e-08	-0.062155776	-1.1175871e-07	-0.20785719	0.524762	-0.4325127	246.07915	-101.07074	0.99999994	0.032052338	1.0	11.027262	0.12933426	60000	96.32877802848816
1	0.125	0.38090587	2.0	0.0	76.625	85.82989	407.0	0.0	1000.0	9923.0	0.08269166666666666	-0.07032033	0.14510722	0.6395099	-0.8256129	7.314227	6.070064	21.184301	-10.005632	2.0489097e-08	-0.028545765	2.9802322e-08	-0.0888226	0.08502306	-0.014065763	109.3252	-13.802075	1.0320523	0.032277584	1.0	11.026496	0.05184032	120000	199.39329051971436
2	0.10714286	0.3092948	1.0	0.0	88.26786	80.59721	344.0	0.0	1000.0	15103.0	0.08390555555555555	-0.08005087	0.1522438	0.65165496	-0.70061636	8.020065	6.249137	24.303032	-11.150608	-1.4901161e-08	-0.029458541	-1.4901161e-08	-0.09068867	0.08194349	-0.012137478	134.83823	-22.866465	1.0643299	0.033046007	1.0	11.026775	0.051573634	180000	310.6654055118561
3	0.10714286	0.3092948	1.0	0.0	77.42857	76.09929	267.0	0.0	1000.0	19653.0	0.0818875	-0.06914587	0.15141481	0.6618354	-0.57653207	7.249314	6.6318874	30.035294	-8.706609	-3.3527613e-08	-0.027877737	-5.2154064e-08	-0.078097925	0.068384424	-0.008446336	124.912735	-18.449274	1.0973759	0.033394933	1.0	11.027605	0.04203581	240000	427.33465242385864
4	0.08928572	0.2851557	1.0	0.0	91.21429	76.25748	391.0	0.0	1000.0	25083.0	0.08361	-0.068848036	0.117690094	0.45341873	-0.5402872	8.721441	6.092423	29.634226	-10.308124	-2.2351742e-08	-0.047866575	-7.4505806e-08	-0.13803674	0.06603649	-0.009626752	150.24283	-26.2365	1.1307708	0.034300327	2.0	11.027438	0.08026275	300000	530.7554507255554
5	0.14285715	0.39769745	2.0	0.0	75.35714	77.81788	408.0	0.0	1000.0	29656.0	0.08237777777777777	-0.079901025	0.14035822	0.49947697	-0.57641464	7.7966986	5.991022	33.682407	-12.136631	0.0	-0.031552635	1.4901161e-08	-0.09529075	0.07002273	-0.009915072	120.251434	-41.20346	1.1650711	0.034561634	2.0	11.026579	0.06014778	360000	641.5879874229431
6	0.125	0.38090587	2.0	0.0	76.67857	70.84316	273.0	0.0	1000.0	34445.0	0.08201190476190476	-0.07549913	0.14951362	0.4454162	-0.6308159	8.912123	7.853754	47.123913	-10.665195	-7.450581e-09	-0.048498187	1.4901161e-08	-0.13071251	0.074825466	-0.0136380205	133.14343	-36.300568	1.1996328	0.03493893	2.0	11.024999	0.07257432	420000	753.363157749176
7	0.08928572	0.2851557	1.0	0.0	81.875	81.074936	311.0	0.0	1000.0	39286.0	0.08184583333333334	-0.025081458	0.109435156	0.49742946	-0.42490122	8.058493	5.470662	43.871258	-10.937558	-3.7252903e-08	-0.029307008	-5.9604645e-08	-0.0871607	0.051928636	-0.0064635053	129.92036	-19.127834	1.2345717	0.035536766	2.0	11.022764	0.058597513	480000	856.9181966781616
8	0.05357143	0.22517	1.0	0.0	72.69643	79.4582	365.0	0.0	1000.0	43811.0	0.08113148148148148	-0.042802013	0.10085441	0.42604274	-0.53451097	7.824393	6.068758	35.04947	-10.595904	0.0	-0.037713967	-2.9802322e-08	-0.10412401	0.05532249	-0.006616634	153.58827	-33.350765	1.2701085	0.035730362	2.0	11.02073	0.06782246	540000	969.1146085262299
9	0.071428575	0.25753936	1.0	0.0	78.30357	79.65392	341.0	0.0	1000.0	48409.0	0.08068166666666667	-0.063162535	0.08442473	0.33763924	-0.41242644	6.76453	5.751426	47.54733	-11.644301	-1.4901161e-08	-0.042512022	-1.4901161e-08	-0.10926975	0.05591896	-0.007446616	147.86523	-32.840633	1.3058388	0.036224484	2.0	11.019819	0.065377854	600000	1080.0964903831482
