Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.0	0.0	0.0	0.0	30.625	61.08471	220.0	0.0	1000.0	2009.0	0.03348333333333333	-0.14501886	0.6384801	2.5767152	-2.6228745	0.05749017	0.7716374	2.8510785	-2.698376	-1.6298145e-08	0.007206803	5.9604645e-08	-0.0023273516	0.5356326	-0.4097702	122.96997	-32.020844	0	0	1.0	11.027262	0.032674886	60000	78.44840478897095
1	0.0	0.0	0.0	0.0	17.232143	48.1812	235.0	0.0	1000.0	3514.0	0.029283333333333335	-0.083186574	0.1247077	0.658018	-0.8120741	2.2127407	4.334668	20.789948	-12.18507	2.0489097e-08	0.016828015	-1.8626451e-09	0.0038582273	0.079114094	-0.015603489	89.937065	-23.865618	0	0	1.0	11.027026	0.036292158	120000	172.43340945243835
2	0.0	0.0	0.0	0.0	48.017857	104.27634	368.0	0.0	1000.0	6309.0	0.03505	-0.093582995	0.10164682	0.51235044	-0.5546294	3.484889	4.3606286	27.376404	-9.011307	5.5879354e-09	-0.0035831877	-5.2154064e-08	-0.0005845539	0.114431426	-0.014933119	207.17834	-101.010956	0	0	1.0	11.028437	0.01029171	180000	284.59897351264954
3	0.017857144	0.13243212	1.0	0.0	26.303572	65.03596	294.0	0.0	1000.0	7877.0	0.032820833333333334	-0.11001999	0.13195622	0.4515961	-0.67714447	4.325025	7.9824276	51.242214	-19.726463	7.799827e-09	-0.03375994	4.4703484e-08	0.0008293595	0.12257018	-0.019700704	115.8612	-62.329224	0	0	21.0	11.030325	0.012797572	240000	392.86985635757446
4	0.0	0.0	0.0	0.0	43.625	89.93898	469.0	0.0	1000.0	10449.0	0.03483	-0.079229996	0.13335405	0.5691207	-0.7816807	4.17528	8.6661825	56.019436	-10.793998	-5.820766e-09	-0.03423425	3.7252903e-09	-0.009543192	0.10947567	-0.019579988	154.19566	-80.21478	0	0	18.0	11.020851	0.012557996	300000	490.5330276489258
5	0.017857144	0.13243212	1.0	0.0	28.803572	63.242847	258.0	0.0	1000.0	12097.0	0.03360277777777778	-0.11316631	0.12314413	0.31243747	-0.7314191	4.9752684	9.642727	59.37687	-11.828139	-8.381903e-09	-0.03351096	-1.1175871e-07	0.012814391	0.09758097	-0.016971143	117.27841	-58.6756	0	0	17.0	10.998571	0.012966144	360000	598.7021133899689
6	0.017857144	0.13243212	1.0	0.0	52.625	102.70669	453.0	0.0	1000.0	15724.0	0.037438095238095236	-0.07133795	0.10955797	0.39830086	-0.5282336	3.056213	6.3111424	60.849426	-13.235375	4.656613e-10	-0.03362665	-1.1920929e-07	-0.0025105388	0.08255626	-0.014714485	205.48383	-78.26542	0	0	15.0	10.976059	0.013004018	420000	727.0902893543243
7	0.0	0.0	0.0	0.0	14.982142	29.027384	105.0	0.0	1000.0	16583.0	0.034547916666666664	-0.071697325	0.12614438	0.45937672	-0.6133983	5.178239	8.688788	58.61129	-10.63543	-3.7252903e-09	-0.029937662	-9.685755e-08	-8.175708e-05	0.12156657	-0.02103633	88.23477	-58.94554	0	0	17.0	10.9551735	0.012968826	480000	831.6789774894714
8	0.017857144	0.13243212	1.0	0.0	28.375	63.696144	369.0	0.0	1000.0	18226.0	0.03375185185185185	-0.1327807	0.1305447	0.35508198	-0.7348985	1.7197565	1.3588693	46.31036	-5.3278484	2.7008355e-08	-0.030192291	2.9802322e-08	-0.003779985	0.13416387	-0.021511378	89.67768	-10.774287	0	0	17.0	10.9357605	0.012967201	540000	937.0981245040894
9	0.0	0.0	0.0	0.0	51.82143	103.87701	459.0	0.0	1000.0	21445.0	0.035741666666666665	-0.07615827	0.13157612	0.40354073	-0.64736784	2.972706	2.8165872	29.745018	-8.4391165	6.519258e-09	-0.033541657	2.9802322e-08	0.0065200804	0.07532211	-0.014259993	217.61911	-72.46376	0	0	15.0	10.930437	0.012890001	600000	1053.3294761180878
