Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.0	0.0	0.0	0.0	47.714287	71.84103	276.0	0.0	1000.0	2939.0	0.04898333333333333	-0.14779794	0.6378259	2.4096668	-2.7934494	0.06600093	0.7736592	3.1221142	-2.8014867	-4.1909516e-09	-0.041088503	-1.7881393e-07	-0.022992477	0.48933363	-0.4079917	165.69853	-47.58946	0.028247196	0.0	0.086264506	0.019544967	0.022714287	0.08648167	0.015691618	1.13385	2.1008673	0.028247196	1.0	0.0	0.0	11.027262	0.008916474	60000	191.15931296348572
1	0.0	0.0	0.0	0.0	47.75	73.16768	313.0	0.0	1000.0	5633.0	0.046941666666666666	-0.07866022	0.11691903	0.56741405	-0.65735745	5.2329164	4.9531317	21.622572	-8.114129	1.21071935e-08	-0.037053313	0.0	-0.024313375	0.08368467	-0.012701474	135.9864	-26.948284	0.050300118	0.0	0.08071014	0.019629788	0.02275	0.0811287	-0.024189835	1.3980143	2.0277119	0.050300118	1.0	0.0	0.0	11.048868	0.008902284	120000	361.9629967212677
2	0.0	0.0	0.0	0.0	39.392857	75.88212	365.0	0.0	1000.0	7981.0	0.044338888888888886	-0.06900952	0.113944635	0.49136236	-0.6314897	3.9640234	4.674674	25.853199	-9.672852	-1.3038516e-08	-0.03656713	8.568168e-08	-0.015274742	0.08349275	-0.011110289	118.34418	-43.12818	0.021839935	0.0	0.080830425	0.019820493	0.0143928565	0.080843344	0.0038617474	1.1540195	2.0194364	0.021839935	1.0	0.0	0.0	11.046897	0.008957246	180000	538.4215197563171
3	0.0	0.0	0.0	0.0	44.767857	76.05614	342.0	0.0	1000.0	11069.0	0.04612083333333333	-0.0994053	0.09730381	0.34572506	-0.6048017	4.0873284	6.5949507	42.79059	-8.54121	5.5879354e-09	-0.035904095	-1.4901161e-08	-0.01844961	0.08274947	-0.011606142	176.5177	-73.57869	0.024981901	0.0	0.07785591	0.019779548	0.019767856	0.07787037	-0.00506314	1.7725713	1.9839815	0.024981901	1.0	0.0	0.0	11.063675	0.008989903	240000	738.9348888397217
4	0.0	0.0	0.0	0.0	66.875	98.130936	411.0	0.0	1000.0	14837.0	0.04945666666666667	-0.08326454	0.107599296	0.34560102	-0.49810264	6.5838146	9.027682	48.49936	-10.276228	3.7252903e-09	-0.03367285	-4.4703484e-08	-0.043115318	0.08387741	-0.011492319	190.56697	-65.08058	0.030369993	0.0	0.07237844	0.019313334	0.041875	0.07238326	0.003509768	2.5536637	1.9358691	0.030369993	1.0	0.0	0.0	11.053937	0.0089329565	300000	880.5478148460388
5	0.0	0.0	0.0	0.0	63.160713	109.01651	529.0	0.0	1000.0	18451.0	0.05125277777777778	-0.07964985	0.10759525	0.3429733	-0.5385503	7.3702855	9.65535	53.695206	-14.8259115	1.3504177e-08	-0.034736663	2.9802322e-08	-0.037205357	0.08164187	-0.009927113	187.89267	-83.400856	0.024795676	0.0	0.07632942	0.019481506	0.03816071	0.076341785	0.005894421	2.8085983	1.9794052	0.024795676	1.0	0.0	0.0	11.064802	0.0089970045	360000	1065.0662145614624
6	0.0	0.0	0.0	0.0	65.05357	111.53242	517.0	0.0	1000.0	22331.0	0.053169047619047616	-0.06791681	0.115793265	0.3903518	-0.56174725	5.0200896	7.158545	62.70114	-9.258737	-5.5879354e-09	-0.034134127	2.9802322e-08	-0.041163437	0.082939945	-0.011120275	235.94601	-94.507385	0.040438488	0.0	0.07693605	0.019364296	0.040053573	0.07713161	-0.022215035	2.5236416	1.9932606	0.040438488	1.0	0.0	0.0	11.068647	0.008943939	420000	1254.7051858901978
7	0.0	0.0	0.0	0.0	69.73214	96.61179	412.0	0.0	1000.0	26416.0	0.05503333333333333	-0.059983592	0.1043639	0.35958436	-0.4943067	9.776008	14.603814	69.29325	-13.901211	1.1175871e-08	-0.03746035	8.940697e-08	-0.04147205	0.051879834	-0.009404644	256.65363	-122.14964	0.014847701	0.0	0.07921222	0.019554945	0.04473214	0.07933271	0.0232749	4.4959917	2.0126479	0.014847701	1.0	0.0	0.0	11.061209	0.008928141	480000	1414.7354547977448
8	0.017857144	0.13243212	1.0	0.0	44.107143	76.13561	317.0	0.0	1000.0	28973.0	0.0536537037037037	-0.10163914	0.0964409	0.35007256	-0.49208575	8.144452	9.8167515	68.42454	-10.45984	-3.306195e-08	-0.03235793	1.0430813e-07	-0.017175907	0.09824567	-0.013993723	164.7341	-71.10033	0.016610572	0.0	0.07078884	0.019836023	0.019107144	0.07078919	-0.000887236	2.2264464	1.8891006	0.016610572	1.0	0.0	0.0	11.0516815	0.0089721875	540000	1607.4910342693329
9	0.0	0.0	0.0	0.0	53.25	93.503105	406.0	0.0	1000.0	32066.0	0.053443333333333336	-0.07763903	0.13043365	0.4514325	-0.7370487	4.028067	4.6080527	52.92638	-14.101633	1.21071935e-08	-0.037208624	2.9802322e-08	-0.024108334	0.06056202	-0.012141961	209.69336	-32.586124	0.02425236	0.0	0.076973654	0.019581968	0.02825	0.07702304	0.0097093675	1.909096	1.9826355	0.02425236	1.0	0.0	0.0	11.042582	0.008989381	600000	1776.439558506012
