Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.41666666	0.7021792	2.0	0.0	96.25	51.74235	175.0	0.0	1000.0	3059.0	0.10196666666666666	-0.22300649	0.33691552	1.5905501	-1.308351	-0.15385146	0.5007029	1.4262307	-1.5932815	-6.519258e-09	-0.0012686951	-1.0803342e-07	-0.04027019	0.34342152	-0.23408587	198.88254	-116.48862	0.47828496	0.0	0.0069299797	-0.03806484	0.07125	0.006996671	0.002414706	0.087429196	0.0	0.47828496	0.0	0.0	0.0	1.837877	0.008692356	30000	25.858378648757935
1	0.6666667	1.2133517	5.0	0.0	96.083336	59.8769	200.0	0.0	1000.0	6218.0	0.10363333333333333	-0.01103133	0.25069457	0.7237827	-0.8080181	7.459846	5.1462216	17.977554	-6.3649898	1.0244548e-08	-0.001223489	-1.1175871e-07	-0.0448486	0.14366353	-0.030407635	115.17693	-17.298687	0.39439884	0.0	0.0075961105	-0.01929858	0.07108334	0.0076920483	0.003512164	0.12857565	0.0	0.39439884	0.0	0.0	0.0	1.8085548	0.008651165	60000	50.41991114616394
2	0.6666667	1.0671873	4.0	0.0	69.333336	61.86724	211.0	0.0	1000.0	8495.0	0.09438888888888888	0.041839607	0.31910887	1.1168683	-0.7923923	9.17974	7.4529376	25.788189	-4.706598	-6.519258e-09	-0.0006619082	5.9604645e-08	-0.037362106	0.09875895	-0.013166382	72.69545	-12.418642	0.51696014	0.0	0.006337893	-0.006263039	0.044333335	0.0063379174	-4.2524796e-05	0.07483691	0.0	0.51696014	0.0	0.0	0.0	1.797524	0.008139587	90000	96.46769881248474
3	0.5833333	0.8122329	3.0	0.0	87.0	80.16234	369.0	0.0	1000.0	11065.0	0.09220833333333334	0.03721398	0.29055646	0.9572425	-0.6991226	6.3257656	5.492607	25.028131	-3.8619177	-1.8626451e-09	0.0018065677	2.9802322e-08	-0.037797872	0.1237719	-0.011005146	83.547066	-19.050282	0.5230577	0.0	0.006325828	-0.03258388	0.062	0.0065258187	-0.0038235835	0.07310225	0.0	0.5230577	0.0	0.0	0.0	1.7861922	0.008475448	120000	156.72964763641357
4	0.5	0.70710677	2.0	0.0	75.375	64.96076	208.0	0.0	1000.0	13355.0	0.08903333333333334	-0.0055340407	0.29908153	1.1711813	-0.7032687	8.16425	7.3534846	30.22847	-3.2778394	1.8626451e-08	0.00024590734	-4.4703484e-08	-0.039796464	0.08487047	-0.012254341	72.345116	-11.398404	0.50315917	0.0	0.0067251227	-0.012122623	0.050375	0.006743293	-0.0011980893	0.07899855	0.0	0.50315917	0.0	0.0	0.0	1.763016	0.008914179	150000	209.79551005363464
5	0.41666666	0.7021792	2.0	0.0	60.833332	75.46228	315.0	0.0	1000.0	15055.0	0.08363888888888889	-0.052999415	0.28695595	1.0706874	-0.86044866	5.413905	6.619701	30.549246	-3.4512804	1.8626451e-09	0.0007179575	-2.9802322e-08	-0.036625057	0.076048195	-0.01740254	52.033184	-8.383188	1.6126498	0.0	0.0063704345	0.0008205638	0.035833333	0.007355633	-0.008121406	0.066948146	2.786303	1.6126498	1.0	0.0	0.0	1.7620264	0.00844227	180000	271.75869059562683
6	0.20833333	0.40611646	1.0	0.0	31.583334	42.231422	148.0	0.0	1000.0	16017.0	0.07627142857142857	-0.087172985	0.27041095	1.0536796	-0.7687451	3.525933	5.7361574	32.76179	-2.7305727	-2.0489097e-08	-0.010562006	-5.2154064e-08	-0.008427914	0.047273308	-0.014272783	34.39056	-8.110456	0.22086607	0.0	0.007658692	0.018859545	0.006583334	0.008122481	-0.004198238	0.03800259	0.63725275	0.22086607	1.0	0.0	0.0	1.8009367	0.00848349	210000	326.481956243515
7	0.125	0.3307189	1.0	0.0	55.25	58.966976	206.0	0.0	1000.0	17734.0	0.07389166666666666	-0.118098035	0.32184678	0.8300098	-0.98630023	4.480934	5.197135	28.119135	-2.2345927	-1.1175871e-08	-0.006119138	-2.2351742e-08	-0.030876232	0.07845332	-0.01958989	49.852036	-11.456606	0.76559895	0.0	0.00770806	0.0039284863	0.03025	0.0077341255	-0.0012182333	0.05693692	1.4007478	0.76559895	1.0	0.0	0.0	1.8113828	0.008910523	240000	380.42175698280334
8	0.16666667	0.4714045	2.0	0.0	65.375	57.9934	217.0	0.0	1000.0	19584.0	0.07253333333333334	-0.05853873	0.27583194	0.840675	-0.7728772	4.85438	5.75721	32.202682	-2.2271087	-1.1175871e-08	0.003177866	-1.0430813e-07	-0.03652642	0.054565217	-0.013122227	67.85458	-15.611751	0.5542535	0.0	0.006420281	-0.0050387145	0.040375	0.007083463	-0.006570871	0.065104805	0.0	0.5542535	0.0	0.0	0.0	1.801352	0.008984149	270000	441.17908787727356
9	0.25	0.8291562	4.0	0.0	29.666666	37.407295	157.0	0.0	1000.0	20612.0	0.06870666666666667	-0.058231674	0.2787476	1.3219975	-0.82091725	3.8225515	5.433434	37.983875	-3.7215447	7.450581e-09	-0.008774051	-3.7252903e-09	-0.007471252	0.07387521	-0.01954269	34.227043	-9.669699	0.17526686	0.0	0.0048495266	0.01948783	0.004666666	0.005467122	-0.005124506	0.042520642	0.49884763	0.17526686	1.0	0.0	0.0	1.8291779	0.008473709	300000	494.1021683216095
