Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.375	0.80687153	3.0	0.0	138.375	82.61144	322.0	0.0	1000.0	4343.0	0.14476666666666665	-0.22436994	0.33792758	1.7486272	-1.3002656	-0.15193562	0.5016571	1.2066458	-1.6888416	1.4901161e-08	0.017324114	-3.5762787e-07	-0.011266999	0.3356351	-0.24104685	366.45288	-199.78006	0	0	1.0	1.837877	0.027858967	30000	67.10770463943481
1	0.33333334	0.6871843	3.0	0.0	121.333336	77.31681	266.0	0.0	1000.0	7880.0	0.13133333333333333	0.03967607	0.27151853	0.7826074	-0.70432544	13.047215	1.6967458	17.074163	7.7233615	3.7252903e-09	0.052261136	-2.9802322e-08	0.00904734	0.07163046	-0.014728021	118.67178	-24.680962	0	0	1.0	1.8389368	0.075260475	60000	133.06166291236877
2	0.45833334	0.95652	4.0	0.0	115.583336	71.12543	268.0	0.0	1000.0	11323.0	0.12581111111111112	0.0524086	0.25814041	0.86948407	-0.7343283	12.304671	6.004639	23.938591	-3.2796762	1.8626451e-09	0.0020879116	-2.0489097e-08	0.0020147078	0.11030202	-0.015383359	86.168724	-12.997707	0	0	1.0	1.8396702	0.0074599823	90000	200.1098358631134
3	0.625	0.99215674	3.0	0.0	124.583336	64.3214	263.0	0.0	1000.0	15329.0	0.12774166666666667	0.1035138	0.3535264	1.1662911	-0.8558312	12.143033	6.156653	26.38408	-3.6469595	-2.4680048e-08	-0.009879008	-3.5390258e-08	-0.004651295	0.090392925	-0.010105737	92.379456	-11.810429	0	0	79.0	1.8401264	0.0057480363	120000	275.2695097923279
4	0.5833333	0.8620067	3.0	0.0	153.04167	72.98429	276.0	5.0	1000.0	19949.0	0.13299333333333332	0.06752466	0.2913112	0.91207284	-0.82838076	13.188214	6.872881	29.985395	-3.7020712	1.3038516e-08	0.0042569367	-1.0430813e-07	0.0054533696	0.1225332	-0.011023503	121.1042	-20.224045	0	0	7.0	1.8163145	0.013556864	150000	336.97950291633606
5	1.0416666	1.306368	4.0	0.0	150.75	65.726234	319.0	33.0	1000.0	24371.0	0.13539444444444446	0.16677868	0.41888028	1.5471365	-0.831402	16.584177	6.2918878	33.61135	-4.0167866	-3.7252903e-09	-0.0007916929	5.2154064e-08	0.002133865	0.15171804	-0.0261947	95.98994	-14.822626	0	0	1.0	1.8143657	0.0026404806	180000	395.86399364471436
6	1.25	1.5343294	5.0	0.0	151.75	60.6192	280.0	26.0	1000.0	29336.0	0.1396952380952381	0.1804294	0.3284616	1.2101647	-0.66752285	16.35523	7.359919	36.40115	-0.38503855	-3.7252903e-09	-0.00024681306	5.9604645e-08	-0.0020959452	0.1841036	-0.033431266	132.91824	-16.645428	0	0	1.0	1.8137232	0.002752143	210000	454.70365381240845
7	0.75	1.3919411	6.0	0.0	138.33333	56.297325	274.0	50.0	1000.0	33432.0	0.1393	0.20514934	0.32676294	1.5479509	-0.5787464	17.610167	6.4527106	37.237522	-1.8385525	6.519258e-09	-0.0011006003	-7.450581e-09	0.00084262807	0.12989962	-0.027710432	102.901306	-18.725132	0	0	1.0	1.8131979	0.0008527228	240000	514.1082112789154
8	1.375	1.3787826	6.0	0.0	160.33333	67.42012	338.0	60.0	1000.0	38036.0	0.14087407407407407	0.18784554	0.32540536	1.4018254	-0.5411587	14.261791	5.643263	37.674168	-2.2341216	7.450581e-09	-0.010303605	7.450581e-09	0.004087086	0.1549581	-0.034760576	122.63115	-15.43801	0	0	79.0	1.812902	0.005941826	270000	592.6322550773621
9	1.4583334	1.6324614	7.0	0.0	145.75	66.19431	376.0	48.0	1000.0	42523.0	0.14174333333333333	0.30810592	0.4054181	1.9946755	-0.6366196	16.543404	6.9136014	39.843723	0.6641295	-1.1175871e-08	-0.010698965	5.9604645e-08	-0.0033872323	0.15500534	-0.037750695	105.70604	-18.245604	0	0	79.0	1.8054807	0.0062298225	300000	657.732527256012
10	0.9583333	1.306368	4.0	0.0	194.375	70.90123	368.0	70.0	1000.0	48179.0	0.1459969696969697	0.25406966	0.40870747	2.6575155	-0.8958332	16.967607	5.948421	38.554264	0.4524922	7.450581e-09	-0.010847952	-2.9802322e-08	-0.0032152599	0.16037688	-0.042842597	130.14944	-27.908535	0	0	79.0	1.787168	0.0058980715	330000	726.9142286777496
11	2.5833333	1.8911344	8.0	0.0	167.5	54.602352	303.0	67.0	1000.0	53058.0	0.14738333333333334	0.36136037	0.40549225	1.8628328	-0.72060966	18.835196	6.1385093	43.58129	2.3934014	3.7252903e-09	-0.01189	5.9604645e-08	-0.006440241	0.17765918	-0.046057165	92.309845	-16.924025	0	0	79.0	1.7726498	0.0061532822	360000	800.1313083171844
12	2.0833333	1.4117562	6.0	0.0	152.75	63.235836	293.0	42.0	1000.0	57630.0	0.14776923076923076	0.47399986	0.454484	2.472057	-0.7231297	16.214891	5.2924533	42.698017	-0.060963523	-1.1175871e-08	-0.010216614	1.4901161e-08	-0.0057918853	0.18398444	-0.05258899	98.64623	-15.004208	0	0	79.0	1.7414176	0.008214315	390000	880.3496685028076
13	2.625	1.8214577	6.0	0.0	178.54167	56.940014	287.0	69.0	1000.0	62839.0	0.14961666666666668	0.5211142	0.4816666	2.6456785	-0.703491	16.803843	5.275615	43.2689	0.80589724	-7.450581e-09	-0.011824766	-2.9802322e-08	-0.0035325459	0.20996885	-0.056186836	98.81343	-19.089725	0	0	79.0	1.717582	0.0069513256	420000	947.7906436920166
14	2.875	1.7868152	7.0	0.0	183.58333	57.51443	309.0	62.0	1000.0	68147.0	0.15143777777777778	0.5823479	0.53849417	3.0990684	-0.63162357	17.980621	5.8629174	41.52006	-2.0405035	0.0	-0.011490364	-4.4703484e-08	-0.010962484	0.24770443	-0.06421065	113.14285	-31.528786	0	0	79.0	1.6878824	0.0063848575	450000	1013.7196629047394
15	2.4583333	1.5805897	6.0	0.0	163.45833	48.991478	286.0	65.0	1000.0	73255.0	0.15261458333333333	0.5857451	0.52145267	2.87148	-0.8318641	18.033987	7.2830734	44.81377	0.1561993	5.5879354e-09	-0.0011334256	6.7055225e-08	-0.0016264673	0.18069226	-0.056219738	105.98937	-29.241428	0	0	8.0	1.671699	0.0068110786	480000	1077.2461638450623
16	3.0	1.8484228	8.0	1.0	160.20833	54.310818	289.0	31.0	1000.0	78061.0	0.1530607843137255	0.5973498	0.4653019	2.6020648	-0.5288798	17.170017	5.678859	46.658215	-3.9827101	-7.450581e-09	0.0210541	2.2351742e-08	0.012085065	0.21189325	-0.06056484	104.782196	-31.191502	0	0	1.0	1.6696415	0.03502416	510000	1143.431545495987
17	3.125	2.1077733	9.0	1.0	163.125	53.485443	321.0	77.0	1000.0	82996.0	0.1536962962962963	0.7114158	0.52081394	2.5817826	-0.7812305	16.860209	6.8086934	50.17245	-0.881458	0.0	-0.00034775585	-4.4703484e-08	0.0008314084	0.24619424	-0.07993053	108.961174	-33.686775	0	0	1.0	1.669066	0.0025399434	540000	1203.5384092330933
18	3.0833333	1.7775608	8.0	0.0	168.79167	52.882717	305.0	81.0	1000.0	87959.0	0.1543140350877193	0.69292384	0.517796	2.8440452	-0.727439	17.493145	6.713658	48.720783	0.2152738	3.7252903e-09	-0.0010705419	-2.2351742e-08	-0.0041211452	0.21751362	-0.065631256	108.14804	-36.948196	0	0	1.0	1.6686196	0.0036212835	570000	1263.0416679382324
19	2.5	1.5275252	7.0	0.0	198.625	61.12679	309.0	79.0	1000.0	93577.0	0.15596166666666667	0.6451989	0.4887026	2.9358773	-0.5458243	17.353662	6.4293513	46.24268	-0.4885832	-1.8626451e-09	-0.0008372128	5.2154064e-08	-0.00051321037	0.16075692	-0.02854845	131.92279	-43.21602	0	0	1.0	1.6685492	0.002231128	600000	1324.8022818565369
20	3.2916667	2.0099578	8.0	0.0	163.125	53.920708	274.0	61.0	1000.0	98568.0	0.15645714285714285	0.77501744	0.4775934	2.6978528	-0.4413621	17.70117	6.802283	56.141685	-0.7774136	-1.8626451e-09	-0.0019683307	3.5390258e-08	-0.0015824139	0.26679254	-0.094415836	112.251045	-36.568462	0	0	1.0	1.6686866	0.0041352017	630000	1381.7266952991486
21	3.3333333	1.6499158	7.0	1.0	183.29167	59.458305	306.0	90.0	1000.0	103911.0	0.1574409090909091	0.74694985	0.54315853	2.7986636	-0.57085115	18.059391	7.729004	47.540348	-10.20998	4.656613e-09	-0.0020723906	-7.4505806e-08	-0.00021149777	0.21707413	-0.06912288	114.03607	-41.783516	0	0	1.0	1.6688368	0.002479767	660000	1444.8389003276825
22	3.125	1.6909686	7.0	1.0	150.45833	60.55643	290.0	66.0	1000.0	108683.0	0.15751159420289856	0.7332948	0.521653	2.4823318	-0.7456212	18.881336	7.488571	57.618355	-2.9101706	0.0	-0.0010607017	1.1175871e-08	-0.005221919	0.19141094	-0.055498164	99.21111	-39.436653	0	0	1.0	1.6690602	0.006416513	690000	1506.46759557724
23	2.9166667	1.7539637	7.0	1.0	165.54167	65.16452	334.0	32.0	1000.0	113621.0	0.15780694444444446	0.6389353	0.48813212	2.1187332	-0.70651376	16.866636	6.3568015	48.25798	-2.579586	3.7252903e-09	-0.001473574	1.4901161e-08	-0.0030236356	0.2220941	-0.08992849	112.25026	-42.309647	0	0	1.0	1.6692392	0.0014919855	720000	1572.8386030197144
24	3.5416667	1.8252664	7.0	1.0	170.70833	45.161263	258.0	76.0	1000.0	118561.0	0.15808133333333332	0.753072	0.5196058	2.4120672	-0.5815829	16.570198	6.947668	51.510563	-0.82231224	-7.450581e-09	-0.0009564138	4.284084e-08	-0.0020767893	0.2442129	-0.07647045	109.09354	-45.948597	0	0	1.0	1.669415	0.001338647	750000	1637.86181807518
25	3.875	1.7154324	8.0	1.0	169.16667	54.705776	264.0	60.0	1000.0	123725.0	0.15862179487179487	0.8086581	0.4906656	2.4309275	-0.6218091	17.185837	6.4897423	51.48027	-4.960631	-1.8626451e-09	-0.002141498	8.195639e-08	0.0029914423	0.25130644	-0.072828226	114.7786	-53.246567	0	0	1.0	1.6695741	0.0017093181	780000	1703.6007022857666
26	3.5	2.2546248	7.0	0.0	145.41667	46.730537	283.0	73.0	1000.0	127902.0	0.1579037037037037	0.8669394	0.5780493	2.9356866	-0.5278473	17.125029	6.574462	48.826954	-2.2325745	0.0	-0.0014740257	4.0978193e-08	-0.0028002565	0.20435713	-0.06325401	111.65559	-53.503838	0	0	1.0	1.6694901	0.0015075423	810000	1771.6492185592651
27	3.9583333	2.820744	12.0	0.0	149.45833	54.061676	295.0	48.0	1000.0	132350.0	0.15755952380952382	0.863328	0.55666345	2.750509	-1.470184	15.408169	6.706277	51.402122	-2.8434439	7.450581e-09	-0.0011924802	3.7252903e-09	-0.0004120418	0.29290432	-0.09959525	101.09825	-45.38321	0	0	1.0	1.6694814	0.0016780975	840000	1834.4295794963837
28	5.4583335	2.7984989	14.0	2.0	130.29167	48.903374	243.0	31.0	1000.0	136434.0	0.1568206896551724	1.0269167	0.5792237	3.1488192	-0.79180884	14.75195	5.523833	46.639565	-3.3591344	2.2351742e-08	-0.0012486862	6.7055225e-08	-0.0035021675	0.37714118	-0.16198575	78.26149	-34.580475	0	0	1.0	1.6692704	0.0025211503	870000	1895.0948178768158
29	5.625	2.6110742	13.0	2.0	157.83333	49.581303	255.0	74.0	1000.0	141099.0	0.15677666666666668	1.1971881	0.60736966	3.1414855	-0.28527734	14.368565	5.8451214	46.18943	0.4750138	1.4901161e-08	0.0053069387	5.9604645e-08	0.00047207158	0.36455834	-0.14878136	97.124176	-39.008205	0	0	3.0	1.6688232	0.014442302	900000	1959.9795277118683
30	4.2916665	2.6532867	13.0	1.0	180.83333	56.381634	297.0	75.0	1000.0	146378.0	0.15739569892473118	1.0374155	0.62392646	3.3269336	-0.4625946	16.565975	6.3938656	56.009445	1.7195815	1.8626451e-09	0.0038661496	9.685755e-08	-0.0029193824	0.25475228	-0.095050424	106.34595	-48.878654	0	0	1.0	1.6680658	0.012168903	930000	2020.7260327339172
