Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.375	0.80687153	3.0	0.0	138.375	82.61144	322.0	0.0	1000.0	4343.0	0.14476666666666665	-0.22436994	0.33792758	1.7486272	-1.3002656	-0.15193562	0.5016571	1.2066458	-1.6888416	-1.4901161e-07	-0.026673455	-3.5762787e-07	-0.049987532	0.3356351	-0.24104685	366.45288	-199.78006	0.99999994	0.03189546	0.7151677	0.0	1.837877	0.0088541005	30000	63.86724305152893
1	0.5416667	0.8154327	3.0	0.0	145.95833	93.86803	356.0	0.0	1000.0	8640.0	0.144	0.046498004	0.2686347	0.8369474	-0.8251128	13.226768	1.8102214	17.323526	7.594973	0.0	-0.02433528	0.0	-0.044585377	0.09739746	-0.011473902	150.0462	-44.539677	1.0318954	0.032506704	0.7824585	0.0	1.8157208	0.008456951	60000	119.69469594955444
2	0.5	0.8164966	3.0	0.0	122.166664	70.71991	277.0	4.0	1000.0	12397.0	0.13774444444444445	0.03758112	0.25597042	0.7966252	-0.62935925	14.523728	7.369463	27.185555	-3.8945985	3.5390258e-08	-0.023656368	5.2154064e-08	-0.041594967	0.08698084	-0.011979487	90.75899	-10.432817	1.0644021	0.03272569	0.7907522	0.0	1.7978129	0.008370226	90000	178.27702736854553
3	0.45833334	0.7626253	3.0	0.0	120.666664	51.418762	218.0	39.0	1000.0	16253.0	0.13544166666666665	0.074224986	0.32492653	1.1163948	-0.7462808	13.360192	6.256206	28.248003	-2.0136569	-1.4901161e-08	-0.025405362	3.7252903e-09	-0.0454876	0.0875829	-0.008171963	92.59135	-9.606504	1.0971278	0.033095956	0.7680588	0.0	1.8276594	0.008601474	120000	233.39905166625977
4	0.5416667	0.95652	3.0	0.0	89.958336	68.55805	256.0	0.0	1000.0	19012.0	0.12674666666666667	0.06191011	0.2896613	0.9950263	-0.7266679	10.58624	6.877414	33.16363	-5.742608	3.7252903e-09	-0.024704866	2.2351742e-08	-0.044276394	0.09201218	-0.0146812685	82.9763	-10.671244	1.1302238	0.032590747	0.7777538	0.0	1.7947586	0.008757969	150000	295.6599259376526
5	0.5416667	0.644151	2.0	0.0	98.333336	41.264053	202.0	27.0	1000.0	22103.0	0.12279444444444444	0.10573296	0.33426973	1.295034	-0.8459087	8.451727	5.7266803	34.071682	-3.0892143	7.450581e-09	-0.023586221	0.0	-0.043015458	0.09700762	-0.018001556	81.59358	-11.219675	1.1628145	0.03271973	0.82762045	0.0	1.7754406	0.008876324	180000	350.31395959854126
6	0.8333333	1.0274024	4.0	0.0	92.5	63.086582	265.0	0.0	1000.0	24956.0	0.11883809523809524	0.08146052	0.31037584	0.9613939	-0.8393815	10.420799	6.128489	34.43462	-3.6997197	-2.9802322e-08	-0.023424149	-8.940697e-08	-0.040288165	0.119326994	-0.022295484	79.881134	-8.543767	1.1955342	0.032761335	0.8204409	0.0	1.7573663	0.0075882664	210000	406.83989238739014
7	0.625	0.90427226	3.0	0.0	86.75	63.97216	200.0	0.0	1000.0	27879.0	0.1161625	0.11669196	0.3125956	1.2486408	-0.6830053	9.544019	5.7911015	31.823881	-3.3100748	-4.8428774e-08	-0.022033311	-7.4505806e-08	-0.038249563	0.13899627	-0.02763535	76.46709	-11.625811	1.2282956	0.03270197	0.8987385	0.0	1.7559512	0.009365056	240000	469.42017912864685
8	1.1666666	1.490712	6.0	0.0	75.083336	51.75255	174.0	5.0	1000.0	29941.0	0.1108925925925926	0.084754646	0.3472977	1.4191219	-0.7876325	8.127681	6.331621	35.46928	-4.170382	-9.313226e-09	-0.02036466	-1.8626451e-09	-0.035024807	0.15191579	-0.037266865	52.26348	-9.117244	1.2609975	0.032274127	0.9441962	0.0	1.7221454	0.0084216725	270000	528.2223651409149
9	0.8333333	1.1785114	5.0	0.0	80.875	57.012653	193.0	0.0	1000.0	32563.0	0.10854333333333334	0.10917851	0.40641674	2.3900568	-0.76130134	8.4443445	5.945547	34.56959	-2.5041337	2.2351742e-08	-0.020683065	2.9802322e-08	-0.03524099	0.12258096	-0.040440477	66.91781	-8.017498	1.2932717	0.032246947	0.91244954	0.0	1.7135453	0.008493857	300000	582.1725568771362
10	0.5416667	1.4427742	7.0	0.0	57.208332	62.710297	253.0	0.0	1000.0	34543.0	0.10467575757575757	0.056125075	0.3081933	1.2988193	-0.911732	6.486749	6.1472497	36.31906	-3.1063018	1.4901161e-08	-0.021131705	2.2351742e-08	-0.034483902	0.11725322	-0.04267469	64.896805	-16.026443	1.3255186	0.031179905	0.92388463	0.0	1.7218258	0.009265499	330000	636.9394114017487
11	0.875	0.8809323	3.0	0.0	82.375	58.791164	206.0	0.0	1000.0	36852.0	0.10236666666666666	0.11235781	0.431666	2.3491962	-0.8384253	7.353097	7.0615106	38.67763	-4.0211177	0.0	-0.022835562	7.450581e-09	-0.039471067	0.112477705	-0.038690656	70.6555	-14.728652	1.3566985	0.03150308	0.8754194	0.0	1.7354449	0.009154735	360000	700.9672582149506
12	0.5416667	0.8650225	3.0	0.0	43.458332	52.376026	205.0	0.0	1000.0	38314.0	0.09824102564102564	0.018076042	0.34916475	1.8234979	-0.8342112	4.9878535	5.967031	35.871002	-4.0705423	-2.2351742e-08	-0.019379765	-2.9802322e-08	-0.031399105	0.093797624	-0.034656122	39.701126	-9.228377	1.3882016	0.029860973	1.0308698	0.0	1.7441843	0.008682815	390000	759.1309447288513
13	0.5	0.8164966	3.0	0.0	40.916668	35.526886	119.0	0.0	1000.0	39634.0	0.09436666666666667	-0.022821657	0.3324637	1.4600389	-0.9014688	4.392207	5.2701464	33.97501	-4.15681	-9.313226e-09	-0.016978625	-1.1175871e-08	-0.029767785	0.090672635	-0.032063074	34.762936	-8.424295	1.4180626	0.028259754	1.1841573	0.0	1.7279772	0.009155784	420000	813.8797717094421
14	0.375	0.80687153	3.0	0.0	47.958332	50.109447	185.0	0.0	1000.0	40986.0	0.09108	0.010732662	0.3883586	1.9835275	-1.1315013	3.9477725	4.5649843	26.244978	-3.62298	1.8626451e-09	-0.019500012	1.1175871e-08	-0.030793563	0.08279511	-0.035531264	38.793583	-8.39649	1.4463223	0.027273536	1.0143852	0.0	1.7482204	0.00913679	450000	869.5022215843201
15	0.125	0.43898556	2.0	0.0	31.083334	36.662785	146.0	0.0	1000.0	42174.0	0.0878625	-0.07392072	0.313225	1.3180002	-0.99589586	2.8871696	5.105629	39.984707	-3.5497584	1.8626451e-09	-0.01676947	-1.1175871e-08	-0.029510034	0.07473995	-0.024128076	37.2457	-13.14027	1.4735959	0.025326967	1.1725683	0.0	1.7452358	0.008928882	480000	929.159886598587
16	0.41666666	0.9090593	4.0	0.0	31.875	38.32461	146.0	0.0	1000.0	43168.0	0.08464313725490195	-0.019728962	0.33280614	1.6531135	-1.1100167	3.5652394	6.2160854	38.708195	-5.1372943	7.450581e-09	-0.021410841	0.0	-0.033664003	0.101662375	-0.04491974	32.523144	-12.687273	1.4989228	0.02361846	0.90731275	0.0	1.764855	0.009847445	510000	987.3999574184418
17	0.5	1.1547005	5.0	0.0	40.375	37.235527	115.0	0.0	1000.0	44215.0	0.08187962962962964	-0.06657821	0.36847323	2.2518294	-1.6490434	2.761429	4.365049	32.269253	-3.7308474	1.6763806e-08	-0.017331546	2.9802322e-08	-0.028581256	0.10490705	-0.040582046	30.130272	-11.147829	1.5225413	0.022652268	1.072136	0.0	1.7251309	0.008786287	540000	1044.4157102108002
18	0.16666667	0.372678	1.0	0.0	30.541666	43.81303	141.0	0.0	1000.0	45296.0	0.07946666666666667	-0.053131696	0.4097427	2.0675135	-1.3646038	3.8665974	5.669618	40.48993	-4.064771	-2.6077032e-08	-0.022118524	-5.2154064e-08	-0.03587787	0.098530844	-0.048020452	38.16078	-19.042511	1.5451936	0.021107674	0.9007986	0.0	1.6875391	0.009251166	570000	1100.542559146881
19	0.45833334	0.91191953	3.0	0.0	24.083334	28.815384	121.0	0.0	1000.0	45995.0	0.07665833333333333	-0.0608386	0.3717725	2.0637052	-1.2018623	2.3332593	3.539026	39.572033	-3.7863855	7.450581e-09	-0.014029009	7.450581e-09	-0.021928128	0.072745934	-0.026433565	23.33622	-10.719936	1.5663012	0.019230485	1.3552033	0.0	1.6750386	0.008441275	600000	1156.1138980388641
20	0.29166666	0.4545297	1.0	0.0	28.416666	33.15735	113.0	0.0	1000.0	46856.0	0.07437460317460318	-0.054165065	0.36687973	1.7873592	-1.1967978	2.6879344	4.2955227	31.887714	-2.199797	-9.313226e-09	-0.018180627	-1.1175871e-08	-0.028241806	0.06577212	-0.025274761	24.953857	-9.692592	1.5855317	0.01783526	1.112728	0.0	1.6497421	0.009134008	630000	1210.2615678310394
21	0.125	0.43898556	2.0	0.0	19.208334	25.719608	83.0	0.0	1000.0	47503.0	0.07197424242424243	-0.084021986	0.3543492	1.7064587	-1.1144586	2.3894458	3.7829595	31.821856	-2.6524656	-1.4901161e-08	-0.017860267	-2.2351742e-08	-0.028077167	0.062722966	-0.02583788	22.401651	-8.946495	1.603367	0.015859246	1.0885968	0.0	1.6475093	0.0083777495	660000	1273.2901072502136
22	0.375	0.7534642	2.0	0.0	18.125	20.618181	74.0	0.0	1000.0	48105.0	0.06971739130434783	-0.07023439	0.31694707	1.5628425	-1.0223095	1.6339717	2.6386654	27.663507	-3.3188286	-1.1175871e-08	-0.016212022	-3.7252903e-09	-0.023253702	0.06467687	-0.025246054	18.08626	-7.7219963	1.6192262	0.013958216	1.2338576	0.0	1.6620843	0.008384363	690000	1333.1593182086945
23	0.5416667	0.95652	4.0	0.0	29.041666	40.866123	144.0	0.0	1000.0	49058.0	0.0681361111111111	-0.014404916	0.37131146	2.0031128	-1.2292386	2.1882312	3.6241665	30.480299	-3.3823617	7.450581e-09	-0.019768134	7.450581e-09	-0.030665228	0.081630886	-0.043696437	43.692284	-19.434967	1.6331844	0.013069153	0.99225783	0.0	1.6637616	0.008865713	720000	1387.0141582489014
24	0.375	0.7534642	3.0	0.0	22.5	35.19233	161.0	0.0	1000.0	49813.0	0.06641733333333333	0.005966146	0.36007577	1.4644644	-1.0747772	2.2297962	4.7627325	44.097557	-3.8698025	-3.7252903e-08	-0.020945339	-7.0780516e-08	-0.031790383	0.07420231	-0.03754495	33.77314	-21.158005	1.6462536	0.0117406845	1.0050331	0.0	1.6584296	0.008870952	750000	1441.3773880004883
25	0.375	0.90427226	4.0	0.0	21.625	35.623978	117.0	0.0	1000.0	50637.0	0.06491923076923077	-0.050182912	0.33960503	1.8757384	-1.0723896	1.9404294	3.6049879	32.53436	-7.5532937	0.0	-0.017319672	5.5879354e-09	-0.025372226	0.07748109	-0.03142452	31.751362	-14.4930725	1.6579943	0.010450602	1.1370898	0.0	1.6588817	0.009374252	780000	1500.5577819347382
26	0.375	0.5636562	2.0	0.0	23.75	35.592896	140.0	0.0	1000.0	51270.0	0.0632962962962963	0.013373511	0.38433835	1.8111578	-1.2440597	2.4174943	4.0131044	28.574503	-4.6099777	-2.2351742e-08	-0.016116757	-3.3527613e-08	-0.026269663	0.072653495	-0.034347326	26.249184	-15.343987	1.6684449	0.009440899	1.1751584	0.0	1.6521459	0.009048756	810000	1563.4650506973267
27	0.5	1.0	3.0	0.0	28.125	39.47606	137.0	0.0	1000.0	52057.0	0.06197261904761905	0.013099957	0.38275778	1.627539	-1.0722136	2.6719656	4.8964148	36.37745	-5.2699146	-1.3038516e-08	-0.021215575	-1.4901161e-08	-0.032202102	0.08907412	-0.041638173	21.049093	-10.493218	1.6778858	0.0088790655	0.9065638	0.0	1.6400367	0.0089973435	840000	1618.4464468955994
28	0.8333333	1.5723301	6.0	0.0	30.208334	35.785213	121.0	0.0	1000.0	52967.0	0.0608816091954023	-0.022385499	0.38658878	1.7330385	-1.1896749	1.948747	3.6207495	35.895203	-3.9622884	9.313226e-09	-0.016945753	1.1175871e-08	-0.024523025	0.09414584	-0.038195226	28.811369	-12.597854	1.6867648	0.008543134	1.1606346	0.0	1.6358652	0.008843375	870000	1673.3358883857727
29	1.0416666	0.8887804	3.0	0.0	49.541668	36.898483	142.0	0.0	1000.0	54377.0	0.06041888888888889	0.0929537	0.4579916	1.8621427	-0.9707301	3.537044	4.1607437	27.849049	-2.1782033	-1.8626451e-09	-0.022557918	0.0	-0.035832066	0.112982884	-0.047345903	44.21653	-20.84744	1.695308	0.009856939	0.8589977	0.0	1.6271687	0.008817582	900000	1728.3987274169922
30	0.875	1.4807796	5.0	0.0	48.375	56.52714	207.0	0.0	1000.0	55742.0	0.05993763440860215	0.11720109	0.4229668	1.5721112	-1.1805876	4.932269	6.4232464	40.975185	-5.722843	-2.0489097e-08	-0.021071356	-2.2351742e-08	-0.032698564	0.120330825	-0.05330681	40.17742	-19.980389	1.7051649	0.010979414	0.9099301	0.0	1.6245066	0.009591253	930000	1795.3561480045319
31	0.5416667	0.76262516	3.0	0.0	27.791666	34.12597	115.0	0.0	1000.0	56493.0	0.058846875	0.04501919	0.41930568	2.0693994	-1.5050559	3.4975412	5.2159157	35.097855	-3.6336024	2.0489097e-08	-0.019544646	2.2351742e-08	-0.030024886	0.09540492	-0.0524439	23.53144	-13.671137	1.7161443	0.010268807	1.2163638	0.0	1.6199527	0.008970488	960000	1852.0399165153503
32	0.375	0.80687153	3.0	0.0	20.833334	36.54069	125.0	0.0	1000.0	57159.0	0.057736363636363634	-0.024926612	0.381986	1.329898	-1.2404628	1.740205	3.1183498	24.485018	-3.7756932	2.6077032e-08	-0.01680029	4.4703484e-08	-0.025659489	0.06873749	-0.026438635	35.477043	-22.639427	1.7264131	0.009003997	1.0757709	0.0	1.6598482	0.00850529	990000	1906.1837503910065
33	0.29166666	0.53845197	2.0	0.0	24.5	25.493464	96.0	0.0	1000.0	57963.0	0.05682647058823529	-0.047323585	0.3792868	1.633097	-1.2559805	2.596292	4.7994084	39.699585	-9.052876	0.0	-0.022503113	-3.7252903e-09	-0.03553952	0.074964084	-0.03467992	28.595566	-17.722023	1.7354171	0.008171558	0.8104555	0.0	1.6412089	0.008695047	1020000	1960.287467956543
