Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	mmd_entropy	alpha	Time
1	0.0	0.0	0.0	0.0	34.5	59.755753	138.0	0.0	0.1	0.29999998	1.0	0.0	190.9	344.76465	901.0	0.0	1000.0	1000.0	3999	0.047692202	0.047689237	-0.052172754	0.00064534333	0.24054867	0.050000012	70.9594943523407
2	0.0	0.0	0.0	0.0	24.25	42.00223	97.0	0.0	0.5	0.92195445	3.0	0.0	56.4	70.446014	227.0	0.0	1000.0	1000.0	7999	0.47347757	0.47348166	-0.5234115	0.01216426	0.81849533	0.05000001	158.88910603523254
3	1.0	1.2247449	3.0	0.0	69.5	51.504852	150.0	18.0	0.6	0.8	2.0	0.0	38.0	43.382023	131.0	0.0	1000.0	1000.0	11999	1.8671554	1.867152	-1.94525	0.039982382	1.2416493	0.05000001	248.31628108024597
4	2.25	1.299038	3.0	0.0	56.75	61.690254	159.0	0.0	2.1	1.868154	7.0	1.0	102.6	226.70828	779.0	0.0	1000.0	1000.0	15999	3.4725268	3.4725235	-3.5465991	0.07045365	1.3251948	0.05000001	338.1306800842285
5	6.25	2.1650636	9.0	3.0	128.0	155.31741	393.0	5.0	4.0	2.236068	9.0	1.0	45.0	40.98292	112.0	0.0	1000.0	1000.0	19999	5.074279	5.0740714	-5.153958	0.15286835	1.5359352	0.05000001	427.20746874809265
6	3.75	2.1650636	7.0	1.0	37.0	24.535688	77.0	15.0	1.9	1.4456832	5.0	0.0	89.5	210.17719	714.0	0.0	1000.0	1000.0	23999	6.9996743	6.999525	-7.08751	0.1739444	1.5911509	0.05000001	515.9388291835785
7	4.5	2.0615528	7.0	2.0	27.25	25.390697	68.0	0.0	2.5	2.376973	8.0	0.0	97.5	264.16937	886.0	0.0	1000.0	1000.0	27999	8.481807	8.4819765	-8.54164	0.20575598	1.5287802	0.05000001	604.6561808586121
8	6.0	2.1213202	9.0	3.0	14.5	9.604687	25.0	0.0	2.3	2.2825425	7.0	0.0	26.2	44.210403	129.0	0.0	1000.0	1000.0	31999	9.889137	9.889093	-9.955215	0.24237616	1.5752728	0.05000001	694.637689113617
9	5.5	3.2015622	10.0	1.0	56.5	64.31368	163.0	0.0	2.9	2.5865033	8.0	0.0	70.7	164.32533	562.0	0.0	1000.0	1000.0	35999	11.259027	11.259016	-11.307932	0.24285129	1.6437974	0.05000001	783.1361298561096
10	4.5	2.1794496	8.0	2.0	69.25	60.159683	143.0	0.0	2.9	2.1656408	7.0	0.0	171.1	262.62616	778.0	0.0	1000.0	1000.0	39999	12.301141	12.301197	-12.3441725	0.2460246	1.6327417	0.05000001	872.1000270843506
11	5.0	1.2247449	7.0	4.0	54.75	56.45961	129.0	0.0	2.9	3.0805843	9.0	0.0	74.3	134.06271	389.0	0.0	1000.0	1000.0	43999	12.991905	12.991897	-13.022079	0.27270433	1.6502839	0.05000001	961.1272752285004
12	6.25	2.8613808	11.0	4.0	27.75	18.471262	52.0	0.0	2.6	3.0397367	8.0	0.0	53.3	65.11382	176.0	0.0	1000.0	1000.0	47999	13.56481	13.564576	-13.590634	0.29540887	1.64706	0.05000001	1050.7262246608734
13	6.25	1.9202864	9.0	4.0	202.25	217.79047	577.0	37.0	3.8	2.2715633	7.0	0.0	33.9	35.12677	100.0	0.0	1000.0	1000.0	51999	13.930485	13.930448	-13.942221	0.32106927	1.6196563	0.05000001	1139.4362182617188
14	8.0	1.5811388	10.0	6.0	43.0	23.590252	68.0	17.0	2.5	1.3601471	5.0	1.0	51.1	69.019485	245.0	0.0	1000.0	1000.0	55999	13.997297	13.997275	-13.999585	0.37337318	1.6250492	0.05000001	1228.6856317520142
15	5.25	1.6393596	8.0	4.0	54.75	42.804058	105.0	7.0	3.9	2.9816103	9.0	0.0	54.3	76.52326	240.0	0.0	1000.0	1000.0	59999	13.757092	13.757028	-13.742246	0.40190607	1.5731604	0.05000001	1316.710109949112
16	4.75	3.0310888	9.0	1.0	115.5	191.48956	447.0	0.0	3.1	3.3896902	9.0	0.0	116.0	186.35397	659.0	0.0	1000.0	1000.0	63999	13.398607	13.398627	-13.380792	0.41044733	1.5662476	0.05000001	1405.6255195140839
17	3.5	1.8027756	6.0	1.0	140.75	112.2706	309.0	0.0	1.1	1.0440307	3.0	0.0	27.1	47.342266	154.0	0.0	1000.0	1000.0	67999	13.020336	13.020464	-12.996965	0.41650122	1.5680616	0.05000001	1495.1331160068512
18	5.75	2.58602	9.0	2.0	14.75	25.547749	59.0	0.0	0.8	1.2489997	4.0	0.0	45.6	95.110664	318.0	0.0	1000.0	1000.0	71999	12.479466	12.479504	-12.442801	0.4481755	1.5629663	0.05000001	1585.2593741416931
19	4.75	2.046338	8.0	3.0	47.5	30.744919	86.0	0.0	2.2	1.4696939	5.0	0.0	8.2	11.702991	30.0	0.0	1000.0	1000.0	75999	11.98987	11.989929	-11.954096	0.46538633	1.5623721	0.05000001	1674.5998361110687
20	4.25	1.299038	5.0	2.0	15.0	25.980762	60.0	0.0	2.5	2.0615528	7.0	0.0	5.9	10.876121	35.0	0.0	1000.0	1000.0	79999	11.67423	11.674215	-11.641231	0.44432178	1.5580813	0.05000001	1764.8749659061432
21	4.25	2.384848	7.0	1.0	13.75	17.151896	42.0	0.0	3.0	2.828427	10.0	0.0	36.4	63.125595	210.0	0.0	1000.0	1000.0	83999	11.460982	11.461018	-11.4261465	0.4584668	1.5624433	0.05000001	1853.818421125412
22	4.75	2.1650636	8.0	2.0	21.0	22.923786	55.0	0.0	2.5	2.5	8.0	0.0	115.9	240.40485	780.0	0.0	1000.0	1000.0	87999	11.287893	11.287867	-11.246219	0.48820764	1.5854881	0.05000001	1943.031584262848
23	7.25	2.1650636	10.0	4.0	117.5	149.8007	372.0	0.0	2.1	1.4456832	5.0	0.0	11.0	17.703108	61.0	0.0	1000.0	1000.0	91999	11.049587	11.049546	-11.002044	0.4883488	1.5673239	0.05000001	2031.7283618450165
24	5.5	2.291288	8.0	2.0	58.5	33.049206	112.0	23.0	3.0	3.193744	10.0	0.0	14.3	21.8039	64.0	0.0	1000.0	1000.0	95999	10.791439	10.791501	-10.739246	0.50683326	1.5622873	0.05000001	2119.963732481003
25	3.5	2.0615528	7.0	2.0	42.0	45.299007	108.0	0.0	3.8	4.093898	13.0	0.0	100.7	253.74043	859.0	0.0	1000.0	1000.0	99999	10.504208	10.504157	-10.447051	0.52931637	1.5531482	0.05000001	2209.5905306339264
26	7.5	2.1794496	10.0	4.0	39.0	32.9621	82.0	0.0	2.2	2.925748	10.0	0.0	14.0	16.673332	49.0	0.0	1000.0	1000.0	103999	10.169221	10.169301	-10.105165	0.5210541	1.5537126	0.05000001	2299.066545009613
27	5.25	0.8291562	6.0	4.0	63.25	36.62905	88.0	0.0	1.6	2.154066	7.0	0.0	98.9	266.10992	896.0	0.0	1000.0	1000.0	107999	9.768522	9.768766	-9.695754	0.5227936	1.5487622	0.05000001	2389.3259196281433
28	5.75	1.6393596	7.0	3.0	56.0	32.611347	112.0	31.0	3.1	3.5623026	11.0	0.0	66.9	94.16098	271.0	0.0	1000.0	1000.0	111999	9.371312	9.37142	-9.295889	0.5304597	1.548058	0.05000001	2479.1605587005615
29	6.0	1.7320508	9.0	5.0	75.25	61.438484	167.0	0.0	1.7	1.6763054	6.0	0.0	15.7	25.589256	83.0	0.0	1000.0	1000.0	115999	8.900287	8.900295	-8.812047	0.5607104	1.5085372	0.05000001	2568.7689023017883
30	5.5	1.8027756	8.0	3.0	73.75	83.87602	216.0	10.0	2.3	2.7586226	10.0	0.0	5.2	7.613147	19.0	0.0	1000.0	1000.0	119999	8.351201	8.351145	-8.2585745	0.59742105	1.5176853	0.05000001	2657.6370012760162
