Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	mmd_entropy	alpha	Time
1	0.0	0.0	0.0	0.0	9.5	16.454483	38.0	0.0	0.2	0.4	1.0	0.0	106.6	253.36504	858.0	0.0	1000.0	1000.0	3999	-0.0057000164	-0.0056961286	0.009549115	0.0004005693	0.22784005	0.050000012	103.57280135154724
2	0.25	0.4330127	1.0	0.0	2.0	3.4641016	8.0	0.0	0.6	0.8	2.0	0.0	73.5	50.174194	152.0	0.0	1000.0	1000.0	7999	0.55252373	0.5525015	-0.58326757	0.0112134265	0.5647104	0.05000001	232.00817036628723
3	0.25	0.4330127	1.0	0.0	24.5	30.211752	74.0	0.0	1.3	1.2688577	4.0	0.0	45.0	30.324907	119.0	19.0	1000.0	1000.0	11999	3.0000963	3.0001264	-3.1719244	0.0226599	1.2853779	0.05000001	358.91379141807556
4	1.0	1.7320508	4.0	0.0	24.25	20.01718	45.0	0.0	1.0	1.0	3.0	0.0	91.7	44.555695	167.0	38.0	1000.0	1000.0	15999	6.23709	6.2370567	-6.3266582	0.031393632	1.2933105	0.05000001	489.6727030277252
5	4.0	3.391165	9.0	0.0	22.5	21.26617	57.0	0.0	2.0	2.7202942	9.0	0.0	116.8	258.08713	883.0	0.0	1000.0	1000.0	19999	7.933228	7.933255	-8.010629	0.05217534	1.3753403	0.05000001	619.8593487739563
6	6.0	3.9370039	11.0	0.0	35.5	19.563997	65.0	15.0	8.0	2.8982754	13.0	3.0	86.0	45.261463	155.0	15.0	1000.0	1000.0	23999	9.626172	9.626169	-9.696965	0.07173221	1.3757893	0.05000001	748.1645226478577
7	8.75	1.9202864	11.0	6.0	77.25	34.52083	103.0	18.0	3.3	3.1953092	9.0	0.0	73.6	123.7588	427.0	0.0	1000.0	1000.0	27999	11.351956	11.351905	-11.40675	0.0899823	1.4361513	0.05000001	875.0135643482208
8	6.5	2.291288	10.0	4.0	91.5	70.91368	198.0	0.0	5.8	4.284857	13.0	1.0	47.3	31.962635	109.0	0.0	1000.0	1000.0	31999	12.858179	12.85808	-12.901216	0.1200384	1.4880667	0.05000001	993.6391158103943
9	5.0	4.690416	13.0	1.0	40.75	25.537962	69.0	0.0	7.8	4.0447497	13.0	1.0	103.0	197.46494	688.0	0.0	1000.0	1000.0	35999	14.244373	14.244363	-14.30236	0.15065943	1.6099724	0.05000001	1097.0594992637634
10	6.5	1.5	9.0	5.0	61.0	24.46426	93.0	33.0	10.9	1.0440307	13.0	9.0	60.3	27.444672	114.0	30.0	1000.0	1000.0	39999	15.641962	15.642014	-15.682807	0.14941356	1.6220541	0.05000001	1200.4036526679993
