Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.33333334	0.6236096	2.0	0.0	196.83333	75.52134	342.0	40.0	1000.0	5872.0	0.19573333333333334	-0.35674918	0.28275758	0.50606275	-1.2655997	-0.41292885	0.5420902	1.0340028	-1.7060723	1.44355e-08	-0.007847287	2.2351742e-08	-0.008236166	0.39671627	-0.30718344	556.67865	-339.36884	0	0	2.4846218	0.0	1.837877	0.008849858	30000	37.91552424430847
1	0.25	0.6614378	3.0	0.0	181.33333	124.005936	465.0	13.0	1000.0	10830.0	0.1805	0.0009487035	0.3397317	0.9989336	-0.999633	17.917784	0.46349603	18.903223	14.82352	1.8626451e-09	-0.009706498	1.1920929e-07	-0.005649727	0.059586145	-0.01438714	251.50752	-60.407898	0	0	2.0680735	0.0	1.8530583	0.0089579765	60000	87.06884670257568
2	0.20833333	0.49826086	2.0	0.0	201.16667	90.17329	452.0	60.0	1000.0	17298.0	0.1922	0.04147536	0.30095014	1.0675535	-0.87375736	16.854078	6.366499	25.870564	-1.2955086	7.450581e-09	-0.00918729	3.9115548e-08	-0.002067132	0.0688258	-0.010936543	244.3482	-60.478058	0	0	2.1946337	0.0	1.8685515	0.009167651	90000	144.44703221321106
3	0.5	0.70710677	2.0	0.0	215.25	86.67816	384.0	42.0	1000.0	24249.0	0.202075	0.08440594	0.3669109	1.1112832	-0.9130127	22.908604	8.83105	39.28688	-6.4033527	7.450581e-09	-0.012426363	8.940697e-08	0.008819886	0.072937325	-0.012008491	213.87103	-32.411503	0	0	1.7224551	0.0	1.8533047	0.009797209	120000	200.3263964653015
4	0.5833333	0.8122329	3.0	0.0	252.54167	81.82704	420.0	146.0	1000.0	31691.0	0.21127333333333334	0.13827208	0.34676567	1.2721413	-0.80377376	26.289446	8.150751	43.892036	2.2236135	-1.5832484e-08	-0.012369503	-1.1920929e-07	0.0054454436	0.108695425	-0.025897792	198.06917	-24.402645	0	0	1.724836	0.0	1.860466	0.008892056	150000	257.48766016960144
5	1.4166666	1.552328	5.0	0.0	246.125	99.14271	410.0	16.0	1000.0	39226.0	0.2179222222222222	0.3135522	0.47859064	1.8518722	-0.84653556	25.739283	9.789109	50.536587	1.6129706	-1.8626451e-09	-0.011969222	-6.7055225e-08	-8.94703e-05	0.13594925	-0.020930521	211.91592	-25.613106	0	0	1.7659903	0.0	1.8713152	0.009983182	180000	314.7821741104126
6	2.0	1.4142135	6.0	0.0	319.33334	98.04704	567.0	81.0	1000.0	48563.0	0.23125238095238096	0.42474398	0.48660693	2.0008776	-0.7754139	29.155632	11.213894	57.14104	-0.15703952	-2.7939677e-09	-0.011105286	1.1175871e-08	-0.0038756062	0.18541175	-0.030454893	236.62491	-36.096436	0	0	1.8292807	0.0	1.8478265	0.009137522	210000	365.30867767333984
7	2.2916667	1.3378829	5.0	0.0	270.875	78.37427	450.0	111.0	1000.0	56362.0	0.23484166666666667	0.5456136	0.48374858	2.0438006	-0.7828031	29.885983	10.825333	61.50695	-12.287526	-4.1909516e-09	-0.012041845	0.0	0.0015675742	0.16228276	-0.023730014	172.65544	-28.356464	0	0	1.7587548	0.0	1.850748	0.009948669	240000	418.1625940799713
8	3.0	1.4719602	6.0	0.0	274.08334	86.167435	492.0	116.0	1000.0	64570.0	0.23914814814814814	0.73358643	0.5326372	2.2014854	-0.64828527	26.727911	11.661967	62.673225	-2.8224423	0.0	-0.010425476	-8.195639e-08	-0.011163699	0.22978982	-0.045942113	178.2074	-24.494774	0	0	2.0385542	0.0	1.8414102	0.009905969	270000	474.7393560409546
9	3.2916667	1.2409394	5.0	0.0	272.625	86.53892	470.0	182.0	1000.0	72725.0	0.24241666666666667	0.75538296	0.5508507	2.157161	-0.9031912	27.751509	11.079229	66.785934	5.85265	-1.1175871e-08	-0.01135099	-2.2351742e-08	-0.009452915	0.2150712	-0.047108456	174.31155	-28.870892	0	0	1.4747555	1.0	1.8313246	0.006509427	300000	532.8376076221466
