Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.33333334	0.6236096	2.0	0.0	196.83333	75.52134	342.0	40.0	1000.0	5872.0	0.19573333333333334	-0.35674918	0.28275758	0.50606275	-1.2655997	-0.41292885	0.5420902	1.0340028	-1.7060723	2.2351742e-08	-0.027071431	2.2351742e-08	-0.050709374	0.39671627	-0.30718344	556.67865	-339.36884	0.99999994	0.03189546	0.7505848	0.0	1.837877	0.008921223	30000	36.17057514190674
1	0.29166666	0.53845197	2.0	0.0	174.75	97.56334	358.0	0.0	1000.0	11097.0	0.18495	0.0116540175	0.32063037	1.0112518	-0.9766377	17.923792	0.45846587	18.93447	14.916014	-2.9802322e-08	-0.028029624	-2.9802322e-08	-0.052517876	0.070496835	-0.009930432	216.01495	-53.26695	1.0318954	0.032274723	0.7221377	0.0	1.8432808	0.009157127	60000	79.765784740448
2	0.25	0.5204165	2.0	0.0	186.83333	113.2301	424.0	9.0	1000.0	16841.0	0.18712222222222222	0.036724966	0.34525517	1.2348443	-0.9694903	17.808292	6.2653017	25.872057	-0.8212684	-6.519258e-09	-0.031277772	7.450581e-09	-0.057730533	0.06462522	-0.009557425	215.64954	-57.405266	1.0641701	0.032910585	0.6292238	0.0	1.8418682	0.008486096	90000	126.46062803268433
3	0.16666667	0.372678	1.0	0.0	153.58333	102.86274	304.0	0.0	1000.0	21647.0	0.18039166666666667	0.037758537	0.34571785	1.2302488	-0.99961746	16.220552	9.454263	39.517727	-6.0221233	-2.9802322e-08	-0.02843362	-2.9802322e-08	-0.055038825	0.054869037	-0.009341893	152.04701	-16.937443	1.0970807	0.033057213	0.6969353	0.0	1.8536861	0.008573332	120000	174.0971863269806
4	0.125	0.3307189	1.0	0.0	146.625	91.113396	354.0	0.0	1000.0	26017.0	0.17344666666666667	0.026007157	0.2750004	0.9395763	-0.89029115	16.01151	8.999901	39.66529	-5.318527	-2.2351742e-08	-0.02477651	-1.4901161e-08	-0.047842707	0.066009164	-0.015447652	145.1926	-21.466648	1.1301379	0.03324306	0.8206422	0.0	1.8784387	0.0094292965	150000	223.23939275741577
5	0.25	0.595119	2.0	0.0	108.208336	93.15175	375.0	0.0	1000.0	29787.0	0.16548333333333334	-0.029603109	0.32004637	1.1541634	-0.94498295	12.112457	10.16956	45.98401	-4.1983733	-2.2351742e-08	-0.023477089	-2.2351742e-08	-0.0453398	0.061521366	-0.006517696	119.1796	-17.923393	1.163381	0.032619	0.8293979	0.0	1.8548121	0.008527049	180000	268.9835443496704
6	0.25	0.6614378	3.0	0.0	72.125	87.37625	325.0	0.0	1000.0	32460.0	0.15457142857142858	-0.016429354	0.29069182	1.2059554	-0.9175619	9.855406	10.227008	50.805096	-3.4806027	-3.7252903e-09	-0.025799535	-3.7252903e-08	-0.045223802	0.068353854	-0.010265644	112.51404	-26.082424	1.196	0.031047702	0.78365326	0.0	1.8083789	0.008657697	210000	315.6120662689209
7	0.29166666	0.7347997	3.0	0.0	56.291668	65.60074	237.0	0.0	1000.0	34194.0	0.142475	-0.083678775	0.28739536	1.2963631	-1.1170257	5.8498893	7.8783393	48.83929	-2.3322084	3.7252903e-09	-0.022115275	0.0	-0.04023967	0.07869338	-0.014897549	62.578003	-15.859558	1.2270477	0.029199481	0.91416323	0.0	1.7943802	0.008917542	240000	364.4833285808563
8	0.0	0.0	0.0	0.0	55.0	56.249443	186.0	0.0	1000.0	36087.0	0.13365555555555556	-0.0666632	0.32577097	1.2616863	-1.0142279	3.9789567	6.622351	51.758064	-1.681682	1.4901161e-08	-0.020297175	5.9604645e-08	-0.035935268	0.07066945	-0.028613433	65.90503	-19.99711	1.2562472	0.027641416	0.94302857	0.0	1.8040168	0.008377819	270000	407.7891571521759
9	0.16666667	0.37267798	1.0	0.0	45.541668	35.915386	120.0	0.0	1000.0	37617.0	0.12539	-0.17036328	0.25887525	0.6918524	-0.9911432	6.2022233	9.581555	53.031277	-1.1478578	-4.8428774e-08	-0.022309637	-8.568168e-08	-0.040596105	0.061063305	-0.015238391	65.3053	-25.720184	1.2838886	0.02592349	0.8768351	0.0	1.8268216	0.009257052	300000	456.46090030670166
