Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.0	0.0	0.0	0.0	41.75	49.841625	143.0	0.0	1000.0	1130.0	0.03766666666666667	-0.28785482	0.30682912	1.2269317	-1.1456378	-0.3420353	0.5460097	1.1099079	-1.4730015	1.3038516e-08	0.015618686	2.2351742e-08	0.003410302	0.2439709	-0.20132074	76.38242	-34.310997	0	0	1.0	1.837877	0.015997889	30000	18.404205083847046
1	0.0	0.0	0.0	0.0	37.125	62.09087	197.0	0.0	1000.0	2201.0	0.03668333333333333	-0.088314414	0.24425815	0.54727995	-0.7769116	2.993125	3.7077482	16.788504	-5.656674	-1.8626451e-09	0.0663713	-1.4901161e-08	-0.0023805993	0.035386376	-0.008475319	52.638268	-12.4900055	0	0	1.0	1.8377099	0.085440665	60000	35.46915054321289
2	0.0	0.0	0.0	0.0	38.666668	63.038128	203.0	0.0	1000.0	3624.0	0.040266666666666666	-0.040120244	0.22531587	0.5723657	-0.6566604	4.6462917	6.0319567	23.800512	-5.826677	-7.799827e-09	-0.010564502	-3.7252903e-09	0.0068175094	0.038822025	-0.010703921	49.880203	-12.711147	0	0	79.0	1.8383839	0.0060057705	90000	56.15871214866638
3	0.041666668	0.1998263	1.0	0.0	48.75	50.599945	152.0	0.0	1000.0	5075.0	0.042291666666666665	-0.049498506	0.31131396	0.5903721	-0.856212	5.5054145	6.872373	33.837048	-2.7292397	-9.313226e-09	0.0009140579	7.450581e-09	0.0047046365	0.051316164	-0.011742772	49.55789	-15.694275	0	0	4.0	1.8236825	0.010970786	120000	77.54315662384033
4	0.0	0.0	0.0	0.0	62.5	63.019176	201.0	0.0	1000.0	6679.0	0.044526666666666666	-0.0050180797	0.26499763	0.4920382	-0.64403933	5.523618	6.340393	35.866688	-2.4607558	1.1175871e-08	-0.0010877661	-2.9802322e-08	0.00042946427	0.029840982	-0.005878362	74.35069	-31.572151	0	0	1.0	1.8224777	0.0006430339	150000	97.29262280464172
5	0.0	0.0	0.0	0.0	46.666668	62.897182	245.0	0.0	1000.0	8057.0	0.04476111111111111	0.013253284	0.22250181	0.43504882	-0.5281585	5.4840283	7.416528	42.70628	-1.9867299	0.0	-0.0007828998	2.2351742e-08	0.000306285	0.02752919	-0.002723769	60.713676	-15.425695	0	0	1.0	1.8219745	0.0009953288	180000	116.69676899909973
6	0.0	0.0	0.0	0.0	57.458332	69.12969	268.0	0.0	1000.0	9539.0	0.045423809523809526	0.012496523	0.22058643	0.40492907	-0.5302364	5.5969605	7.5969663	45.433388	-12.483468	1.5366822e-08	-0.0020058402	-7.450581e-09	0.00083213486	0.024725493	-0.0045831483	76.818115	-34.020046	0	0	1.0	1.8216296	0.003453292	210000	137.0113251209259
7	0.0	0.0	0.0	0.0	36.208332	54.642002	183.0	0.0	1000.0	10789.0	0.04495416666666667	-0.010096681	0.24845387	0.517619	-0.5798025	4.8527713	7.073921	46.28222	-2.0599182	2.2351742e-08	-0.011393881	-2.2351742e-08	0.0087717995	0.02849605	-0.0061087133	71.5003	-26.276726	0	0	79.0	1.8213661	0.006348477	240000	161.76598858833313
8	0.083333336	0.2763854	1.0	0.0	78.25	69.64568	279.0	0.0	1000.0	12815.0	0.047462962962962964	0.0065219505	0.22415057	0.5866364	-0.5524335	6.568217	9.430501	59.599453	-1.0380234	1.1175871e-08	-0.011574481	-2.9802322e-08	0.0064057373	0.050258115	-0.009527415	125.39648	-54.238274	0	0	79.0	1.7987564	0.0068058083	270000	185.35770964622498
9	0.041666668	0.1998263	1.0	0.0	68.375	79.60518	286.0	0.0	1000.0	14840.0	0.049466666666666666	0.0555559	0.19547895	0.59200525	-0.4280913	6.2917504	7.9477735	55.666332	-2.0193908	-3.7252903e-09	-2.8351787e-05	7.4505806e-08	0.0051084515	0.043761604	-0.013070544	85.394745	-35.442562	0	0	6.0	1.7727909	0.0073499056	300000	205.54689598083496
10	0.20833333	0.64415103	3.0	0.0	52.666668	63.587646	221.0	0.0	1000.0	16414.0	0.04973939393939394	0.07116488	0.2098613	0.72830164	-0.42281237	7.4711776	9.252069	56.62498	-1.3247991	-2.6077032e-08	-0.0010392396	-1.4901161e-08	-0.0010446378	0.05613285	-0.017721921	73.8737	-33.415535	0	0	1.0	1.7728486	0.00091744063	330000	225.54540514945984
11	0.041666668	0.1998263	1.0	0.0	52.125	61.419537	232.0	0.0	1000.0	18145.0	0.050402777777777776	0.026003202	0.22630449	0.8481442	-0.59804595	4.208851	6.6778426	60.301678	-1.2170634	-7.450581e-09	-0.000759436	-2.2351742e-08	-0.0015740711	0.04407461	-0.016543178	74.31336	-33.95013	0	0	1.0	1.7729125	0.00042451473	360000	246.7750871181488
12	0.33333334	0.74535596	3.0	0.0	58.458332	57.52751	235.0	0.0	1000.0	19952.0	0.05115897435897436	0.06430332	0.2339591	0.8242341	-0.48940524	6.5589237	8.3316	58.586266	-2.0020444	2.2351742e-08	-0.0012704004	2.2351742e-08	-0.00053128414	0.054396793	-0.020945296	67.70827	-26.536785	0	0	1.0	1.7729628	0.0016153755	390000	269.06577157974243
13	0.20833333	0.40611646	1.0	0.0	72.75	48.580906	203.0	0.0	1000.0	22206.0	0.05287142857142857	0.10438088	0.2521428	1.0469775	-0.5563736	7.0575843	8.413674	63.04361	-0.88212967	-9.313226e-10	-0.00095828646	-3.3527613e-08	-0.0010862201	0.04527615	-0.011945562	70.80847	-25.487118	0	0	1.0	1.7729096	0.00036763315	420000	287.6006443500519
