Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.0	0.0	0.0	0.0	66.791664	72.3435	195.0	0.0	1000.0	2148.0	0.0716	-0.2705632	0.3150383	1.6448187	-1.241069	-0.32029277	0.5417723	1.1348195	-1.5508988	4.4703484e-08	0.009059846	3.7252903e-08	-0.020781431	0.2614497	-0.20744699	153.7076	-84.23538	0.99999994	0.03203696	1.0	1.837877	0.043287188	30000	23.59660768508911
1	0.0	0.0	0.0	0.0	36.875	43.86562	138.0	0.0	1000.0	3181.0	0.05301666666666666	-0.08262247	0.20915848	0.5134588	-0.71310645	6.1758	4.867703	18.91189	-5.586716	-1.4901161e-08	0.021136258	-4.4703484e-08	-0.026155345	0.0409992	-0.009713801	55.676502	-13.023176	1.0320369	0.027753234	1.0	1.8371208	0.10161005	60000	45.33246946334839
2	0.0	0.0	0.0	0.0	44.833332	50.9106	152.0	0.0	1000.0	4669.0	0.05187777777777778	0.019522795	0.19126222	0.73156494	-0.6296797	3.8067067	3.5249145	15.910296	-2.7660182	7.450581e-09	0.0033060387	2.9802322e-08	-0.0061622635	0.07517224	-0.01999875	41.351685	-10.523179	1.0597901	0.028602242	1.0	1.837521	0.020112727	90000	67.07553935050964
3	0.0	0.0	0.0	0.0	58.041668	60.422455	205.0	0.0	1000.0	6377.0	0.05314166666666666	-0.03723676	0.29600388	0.60830283	-0.8659697	4.6411667	4.6050715	23.975393	-3.2529886	3.7252903e-09	-0.0013904693	1.1175871e-08	-0.005624471	0.055964015	-0.012849316	56.863724	-11.168447	1.0883924	0.030650496	1.0	1.8381221	0.011363608	120000	89.11560702323914
4	0.041666668	0.1998263	1.0	0.0	39.041668	55.089684	175.0	0.0	1000.0	7508.0	0.05005333333333333	-0.03701627	0.2652756	0.53928995	-0.84588283	5.9583073	5.762527	28.324142	-3.4660704	2.9802322e-08	-0.0025258427	4.4703484e-08	-0.008470515	0.047021944	-0.007114752	46.46822	-18.238699	1.1190429	0.029995084	2.0	1.8385861	0.008201173	150000	111.93175983428955
5	0.0	0.0	0.0	0.0	53.416668	70.34256	220.0	0.0	1000.0	9296.0	0.051644444444444444	-0.025051713	0.23160791	0.557044	-0.69762594	4.108348	5.00549	31.309025	-2.3889809	7.450581e-09	-0.0034671621	1.4901161e-08	-0.015131668	0.036254905	-0.0071354583	73.76619	-19.424408	1.149038	0.031481504	3.0	1.8391283	0.017796367	180000	139.333158493042
6	0.0	0.0	0.0	0.0	59.375	73.225	294.0	0.0	1000.0	10879.0	0.0518047619047619	-0.021807754	0.25358322	0.47401354	-0.9273832	5.2753844	6.1120186	34.73815	-2.9806855	-2.7939677e-08	-0.003973604	-5.029142e-08	-0.022124507	0.05618326	-0.014167901	54.77265	-12.225786	1.1805195	0.032875657	2.0	1.8399241	0.027716674	210000	171.09600257873535
7	0.0	0.0	0.0	0.0	38.25	42.570774	145.0	0.0	1000.0	12172.0	0.05071666666666667	-0.040070634	0.24761032	0.6086195	-0.79332584	5.931148	5.9163623	39.55565	-1.5124729	-1.3038516e-08	-0.0027080383	-1.4901161e-08	-0.010496125	0.04190077	-0.008913745	53.35343	-19.976913	1.2133951	0.03201914	2.0	1.8406208	0.012602078	240000	206.61371636390686
8	0.0	0.0	0.0	0.0	26.666666	42.740173	131.0	0.0	1000.0	13109.0	0.04855185185185185	-0.024461947	0.30091137	0.7612807	-0.93337107	3.1297078	4.9509416	41.01654	-1.653243	-3.7252903e-09	-0.011887696	-5.5879354e-09	-0.026434252	0.059404355	-0.015498893	32.942127	-10.727574	1.2454143	0.030424833	19.0	1.8413453	0.014290398	270000	241.56661772727966
9	0.0	0.0	0.0	0.0	33.708332	56.66457	203.0	0.0	1000.0	13973.0	0.04657666666666667	-0.066272296	0.27704766	0.6991805	-0.83106565	2.8185778	5.150678	42.511166	-0.9024646	4.4703484e-08	-0.0034301244	7.4505806e-08	-0.008061386	0.05122541	-0.011835678	34.078957	-12.217419	1.2758391	0.028396368	3.0	1.8428793	0.0065174378	300000	276.3187870979309
