Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.0	0.0	0.0	0.0	66.791664	72.3435	195.0	0.0	1000.0	2148.0	0.0716	-0.2705632	0.3150383	1.6448187	-1.241069	-0.32029277	0.5417723	1.1348195	-1.5508988	1.2572855e-08	0.0010057813	3.7252903e-08	-0.032896735	0.2614497	-0.20744699	153.7076	-84.23538	0.5822164	0.0	0.0056168805	-0.009601808	0.041791663	0.0057542482	-0.0028469036	0.059001233	0.0	0.5822164	0.0	0.0	0.0	1.837877	0.008552767	30000	42.26431488990784
1	0.0	0.0	0.0	0.0	38.125	55.02599	197.0	0.0	1000.0	3247.0	0.05411666666666667	-0.060705543	0.21466273	0.59409624	-0.749901	4.8784375	4.8675413	18.814703	-8.661082	1.4901161e-08	-0.009721533	-1.4901161e-08	-0.012674366	0.049922362	-0.010592205	54.235497	-18.056595	0.17168356	0.0	0.0055859634	0.016131602	0.013125	0.0055861003	7.8089266e-05	0.04453151	0.58845097	0.17168356	1.0	0.0	0.0	1.7880461	0.0088227345	60000	82.95675945281982
2	0.0	0.0	0.0	0.0	42.625	58.61443	226.0	0.0	1000.0	4499.0	0.04998888888888889	0.017523061	0.21377796	0.8167812	-0.7071151	4.8827915	5.328987	20.374422	-4.288158	-1.839362e-08	-0.006941325	-2.2351742e-08	-0.01777053	0.05570575	-0.012404308	54.224968	-10.782172	0.21587454	0.0	0.004179132	0.01356885	0.017625	0.004187769	-0.00064589095	0.0483025	0.5549726	0.21587454	1.0	0.0	0.0	1.7644169	0.008572925	90000	124.71781659126282
3	0.0	0.0	0.0	0.0	56.833332	53.22489	199.0	0.0	1000.0	6227.0	0.05189166666666667	-0.00853612	0.26209614	0.67115915	-0.7750988	4.2514205	4.113621	25.069956	-1.6485244	5.5879354e-09	0.002323238	-4.4703484e-08	-0.02961789	0.05317148	-0.013462403	60.92714	-10.545032	0.63365114	0.0	0.0052692764	-0.00034392282	0.031833332	0.005887608	-0.0055497764	0.049811486	0.0	0.63365114	0.0	0.0	0.0	1.7810587	0.00821597	120000	165.87407803535461
4	0.0	0.0	0.0	0.0	45.625	58.52408	180.0	0.0	1000.0	7506.0	0.05004	-0.014912317	0.24222015	0.5387691	-0.695025	5.145168	4.9566865	28.703646	-1.6677125	-3.7252903e-09	-0.0072000516	-2.9802322e-08	-0.021786477	0.051571984	-0.010997454	46.01597	-12.948854	0.48009688	0.0	0.0062125633	0.008791873	0.020625	0.0062331483	-0.000883904	0.037953768	0.84061027	0.48009688	1.0	0.0	0.0	1.7656528	0.009558462	150000	205.78894972801208
5	0.0	0.0	0.0	0.0	21.166666	24.773418	81.0	0.0	1000.0	8357.0	0.046427777777777776	-0.03137094	0.21656564	0.4963605	-0.74863476	3.569273	4.432956	34.329178	-3.6071842	-2.2351742e-08	-0.009172628	1.1175871e-08	-0.00014990033	0.055371992	-0.00815521	30.565271	-10.198547	0.0	0.0	0.004225653	0.019624442	-0.003833334	0.0042573563	-0.0011137497	0.039126903	0.461376	0.0	2.0	0.0	0.0	1.73156	0.009086223	180000	246.71149373054504
6	0.0	0.0	0.0	0.0	37.75	56.889694	254.0	0.0	1000.0	9416.0	0.04483809523809524	0.00035335694	0.22420666	0.6289626	-0.7513916	3.0436895	4.4826603	33.921288	-1.5416284	-2.2351742e-08	-0.009247923	-6.519258e-09	-0.0130167985	0.058646172	-0.0082543325	34.880688	-9.969843	0.18328196	0.0	0.0048603876	0.0148594715	0.01275	0.0049311486	0.0014959003	0.031623695	0.571918	0.18328196	1.0	0.0	0.0	1.7176135	0.008959526	210000	288.7901153564453
7	0.0	0.0	0.0	0.0	52.0	57.6151	250.0	0.0	1000.0	10758.0	0.044825	0.03515172	0.22365709	0.5672417	-0.6561133	4.4996605	6.02742	38.78938	-1.175039	5.5879354e-09	-0.0039022355	9.685755e-08	-0.028327862	0.06453321	-0.013833612	68.92849	-24.983994	0.5707331	0.0	0.0055229906	0.006155495	0.027	0.005903717	-0.0044774585	0.05265627	0.94723046	0.5707331	1.0	0.0	0.0	1.7350106	0.009023701	240000	329.9907720088959
8	0.041666668	0.1998263	1.0	0.0	25.458334	34.99045	160.0	0.0	1000.0	11502.0	0.0426	0.054974824	0.22990383	0.6386605	-0.6446962	3.7325392	4.4229627	35.923332	-2.3817792	-5.5879354e-09	-0.010021481	1.4901161e-08	-0.0006532101	0.06834857	-0.018537808	32.1369	-13.554706	0.09797932	0.0	0.004855599	0.019993754	0.00045833396	0.0051357686	-0.0030698646	0.03363702	0.492804	0.09797932	1.0	0.0	0.0	1.731503	0.009060651	270000	371.48230051994324
9	0.041666668	0.1998263	1.0	0.0	57.916668	62.497944	214.0	0.0	1000.0	13158.0	0.04386	-0.012034867	0.19802988	0.5374147	-0.59484124	3.1074412	3.070096	37.595196	-1.8367398	1.8626451e-08	-0.00036913325	-3.7252903e-08	-0.033214122	0.0704745	-0.01993984	72.07078	-33.321037	1.3906331	0.0	0.004968403	0.0009409348	0.03291667	0.0051739844	-0.0034186696	0.056849957	2.2978868	1.3906331	1.0	0.0	0.0	1.7394524	0.0087284725	300000	409.8047354221344
