Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.0	0.0	0.0	0.0	66.791664	72.3435	195.0	0.0	1000.0	2148.0	0.0716	-0.2705632	0.3150383	1.6448187	-1.241069	-0.32029277	0.5417723	1.1348195	-1.5508988	4.4703484e-08	-0.017710714	3.7252903e-08	-0.033252917	0.2614497	-0.20744699	153.7076	-84.23538	0.99999994	0.03189546	1.0878084	0.0	1.837877	0.008458516	30000	28.172950744628906
1	0.0	0.0	0.0	0.0	44.041668	61.807816	223.0	0.0	1000.0	3301.0	0.055016666666666665	-0.06593119	0.2029122	0.49221176	-0.74483395	5.028173	4.9938245	19.687965	-8.748896	-6.519258e-08	-0.0152031025	-1.1175871e-07	-0.027232556	0.04582839	-0.011948786	64.830734	-15.094138	1.0318954	0.0297966	1.237714	0.0	1.7848595	0.008341463	60000	53.994043588638306
2	0.0	0.0	0.0	0.0	24.0	46.436337	206.0	0.0	1000.0	4152.0	0.04613333333333333	0.010823359	0.2353411	0.8056182	-0.71981275	3.844976	4.2326064	19.312046	-4.245743	3.7252903e-08	-0.015028351	7.4505806e-08	-0.027600596	0.052185524	-0.011352731	32.525932	-10.580929	1.061692	0.022893667	1.3091096	0.0	1.7826903	0.008969046	90000	79.52013921737671
3	0.0	0.0	0.0	0.0	21.083334	33.788456	141.0	0.0	1000.0	4731.0	0.039425	-0.03420925	0.24000525	0.5604432	-0.86704206	1.9851385	2.7028618	17.05747	-2.266708	-7.450581e-09	-0.0102210585	0.0	-0.014956538	0.049784373	-0.012464678	23.918537	-3.648704	1.0845857	0.017234802	1.8769639	0.0	1.8043382	0.008724982	120000	112.38031363487244
4	0.0	0.0	0.0	0.0	18.458334	22.054815	67.0	0.0	1000.0	5216.0	0.03477333333333334	-0.029364046	0.2389493	0.5803631	-0.7232283	2.1263494	2.3621185	16.409441	-1.7876313	1.8626451e-09	-0.008816748	3.7252903e-09	-0.012102254	0.053159013	-0.009040013	15.222828	-2.421197	1.1018205	0.011956811	2.1736557	0.0	1.7624862	0.008848832	150000	149.4676971435547
5	0.0	0.0	0.0	0.0	26.541666	39.872692	143.0	0.0	1000.0	6090.0	0.03383333333333333	-0.036928736	0.22022602	0.591628	-0.82633674	1.4160049	1.893992	21.166368	-1.8510759	2.9802322e-08	-0.011705529	5.9604645e-08	-0.017193615	0.05129812	-0.0065296013	36.253044	-10.207514	1.1137773	0.010940552	1.6966218	0.0	1.7154416	0.008809776	180000	186.33954453468323
6	0.0	0.0	0.0	0.0	21.083334	21.68893	72.0	0.0	1000.0	6699.0	0.0319	-0.01980854	0.22239535	0.5561612	-0.934807	3.074166	3.651826	25.941551	-1.4141797	-5.5879354e-09	-0.011952518	-1.8626451e-08	-0.019056715	0.058090653	-0.006494248	23.990593	-8.766085	1.1247178	0.008125424	1.6796397	0.0	1.773412	0.008959131	210000	223.30994606018066
7	0.0	0.0	0.0	0.0	38.041668	30.616552	100.0	1.0	1000.0	7816.0	0.03256666666666667	0.0131761385	0.22671421	0.5736924	-0.6592086	2.9398646	2.1217794	24.283926	-1.324329	-2.0489097e-08	-0.014547791	-2.2351742e-08	-0.025657287	0.06344338	-0.0093198875	39.585472	-9.718588	1.1328433	0.011471152	1.3507335	0.0	1.8007405	0.009230479	240000	260.0455162525177
8	0.0	0.0	0.0	0.0	17.5	27.0108	123.0	0.0	1000.0	8279.0	0.03066296296296296	0.0086732255	0.25762203	0.71140295	-0.7514462	2.4005704	2.5928845	24.595295	-2.3875291	-4.0978193e-08	-0.00957851	-6.7055225e-08	-0.015366713	0.056589156	-0.016957762	14.896747	-4.0143833	1.1443144	0.0075511932	2.0355601	0.0	1.7957685	0.008976975	270000	297.31973910331726
9	0.041666668	0.1998263	1.0	0.0	35.416668	40.100826	157.0	0.0	1000.0	9270.0	0.0309	-0.013566281	0.2335058	0.50009364	-0.7992286	1.8502463	2.331376	29.306087	-1.9425038	-7.450581e-09	-0.014951018	0.0	-0.0255179	0.06295772	-0.01416892	34.41111	-10.819539	1.1518656	0.010076642	1.3234445	0.0	1.7476691	0.008567087	300000	336.59115958213806
10	0.041666668	0.1998263	1.0	0.0	14.25	23.30102	81.0	0.0	1000.0	9765.0	0.02959090909090909	0.0042227134	0.21323769	0.5959334	-0.6676093	2.7266066	3.3527856	33.34563	-1.815376	7.450581e-09	-0.012240607	1.8626451e-08	-0.019438788	0.04914908	-0.012842724	27.652527	-8.023477	1.1619422	0.0053732395	1.5372101	0.0	1.7842977	0.0084205745	330000	376.09171772003174
11	0.0	0.0	0.0	0.0	11.166667	17.918024	76.0	0.0	1000.0	10172.0	0.028255555555555555	-0.019338457	0.21696025	0.54358363	-0.8545409	1.4161787	1.8034137	26.173788	-1.2165678	-1.3969839e-08	-0.00992898	-5.5879354e-09	-0.015368471	0.05332004	-0.0129911695	16.012457	-4.979604	1.1673155	0.00033712387	2.0321524	0.0	1.7881174	0.009263269	360000	414.97093415260315
12	0.041666668	0.1998263	1.0	0.0	7.4166665	11.971901	40.0	0.0	1000.0	10389.0	0.026638461538461538	-0.0076286886	0.23417386	0.70837396	-0.7042296	1.1837279	1.7836212	22.338388	-1.4859613	-7.450581e-09	-0.007172973	-1.8626451e-08	-0.006518926	0.05736883	-0.019257715	5.3269067	-2.2623293	1.1676526	-0.0049409866	2.7984378	0.0	1.8302181	0.008856784	390000	455.4169592857361
13	0.041666668	0.1998263	1.0	0.0	18.583334	35.017754	124.0	0.0	1000.0	10880.0	0.025904761904761906	0.009432605	0.27242064	0.9270612	-0.7334783	0.9871276	0.9359399	8.650149	-0.5763254	-9.313226e-09	-0.011681234	0.0	-0.018372856	0.072935216	-0.03130795	22.396786	-7.7630854	1.1627116	-0.0063210726	1.6200567	0.0	1.8132932	0.008722161	420000	494.3178927898407
14	0.0	0.0	0.0	0.0	11.791667	21.007895	80.0	0.0	1000.0	11200.0	0.024888888888888887	0.020196084	0.22269556	0.7202789	-0.7198518	1.2778021	2.2692707	31.646965	-1.5851475	0.0	-0.009235661	1.3038516e-08	-0.013869353	0.064895846	-0.024968889	11.077481	-4.5820966	1.1563905	-0.009358287	2.063671	0.0	1.7552171	0.008808615	450000	532.2979843616486
15	0.0	0.0	0.0	0.0	16.916666	20.530296	86.0	0.0	1000.0	11671.0	0.024314583333333334	0.046150323	0.2852492	1.0333848	-0.77635485	1.5677112	3.2587347	30.925117	-1.0190012	7.450581e-09	-0.01200974	1.4901161e-08	-0.01775848	0.057776503	-0.021192808	13.439527	-6.3726177	1.1470323	-0.010673881	1.5850443	0.0	1.7995164	0.008905619	480000	570.7137503623962
16	0.0	0.0	0.0	0.0	17.375	22.42917	83.0	0.0	1000.0	12184.0	0.02389019607843137	0.029058507	0.23857439	0.91620463	-0.7589957	1.5064856	2.390392	24.057228	-1.7051995	1.8626451e-09	-0.011414131	1.1175871e-08	-0.016961958	0.052903473	-0.02024095	11.942364	-5.0993648	1.1363584	-0.011722088	1.9108512	0.0	1.8015343	0.009695241	510000	611.9167129993439
17	0.083333336	0.3996526	2.0	0.0	19.041666	24.732702	106.0	0.0	1000.0	12740.0	0.023592592592592592	0.008782556	0.2383648	1.1839131	-0.66570055	1.7493279	2.941827	30.66454	-1.632408	3.7252903e-09	-0.011421815	0.0	-0.017866636	0.056798656	-0.018208914	21.938248	-7.18486	1.1246363	-0.012222767	1.7582402	0.0	1.8282415	0.008929044	540000	652.5686893463135
18	0.083333336	0.2763854	1.0	0.0	23.458334	41.810066	199.0	0.0	1000.0	13435.0	0.02357017543859649	0.046625223	0.25186932	1.1650059	-0.7341428	2.1934361	3.307883	32.02115	-1.25048	-1.4901161e-08	-0.017480068	-2.9802322e-08	-0.028675567	0.046228297	-0.014954853	34.404385	-16.029493	1.1124135	-0.011480331	1.0477355	0.0	1.8561294	0.008850118	570000	692.3954844474792
19	0.083333336	0.2763854	1.0	0.0	9.125	12.676462	57.0	0.0	1000.0	13676.0	0.022793333333333332	0.06214482	0.2590331	1.0582683	-0.7431538	1.708372	2.3195243	38.716568	-1.332451	-7.450581e-09	-0.008885506	-1.3038516e-08	-0.013822619	0.05840204	-0.019529749	7.5422087	-4.376937	1.1009332	-0.014403105	2.3411794	0.0	1.8429602	0.00957625	600000	730.954692363739
