Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.41666666	0.7021792	2.0	0.0	96.25	51.74235	175.0	0.0	1000.0	3059.0	0.10196666666666666	-0.22300649	0.33691552	1.5905501	-1.308351	-0.15385146	0.5007029	1.4262307	-1.5932815	-6.146729e-08	0.013989044	-1.0803342e-07	-0.02189473	0.34342152	-0.23408587	198.88254	-116.48862	0.99999994	0.032049358	1.0	1.837877	0.070352085	30000	42.00004482269287
1	0.375	0.6332785	2.0	0.0	90.416664	54.60076	243.0	0.0	1000.0	5958.0	0.0993	-0.013112805	0.26275966	0.75633276	-0.7832826	7.8726134	5.4668636	17.986526	-5.6322727	-2.2351742e-08	0.025528822	-5.2154064e-08	-0.029000055	0.09669375	-0.013638776	71.829315	-8.810756	1.0320493	0.03262353	1.0	1.8382006	0.13928217	60000	92.99644827842712
2	0.75	1.1989579	5.0	0.0	82.791664	57.838123	233.0	0.0	1000.0	8455.0	0.09394444444444444	0.05558518	0.24554272	0.7622112	-0.72518915	8.188222	6.438288	22.0899	-5.0751805	-3.9115548e-08	-7.876009e-05	-6.519258e-08	-0.007510797	0.1528969	-0.02644185	68.810776	-8.902108	1.0646728	0.032916307	1.0	1.8386335	0.016227467	90000	139.3395984172821
3	0.7916667	1.1172572	4.0	0.0	101.708336	80.538025	369.0	0.0	1000.0	11369.0	0.09474166666666667	0.063692994	0.3722622	1.212162	-0.9458043	8.597045	5.2280264	24.468906	-2.5177689	2.2351742e-08	-0.0046043377	5.2154064e-08	-0.01770082	0.1289608	-0.016633004	106.98143	-24.105057	1.0975891	0.033774614	2.0	1.8391155	0.017127743	120000	186.59108066558838
4	0.5416667	0.7058781	2.0	0.0	105.625	62.860832	241.0	0.0	1000.0	14493.0	0.09662	0.050869703	0.31967798	0.8908379	-0.84751886	9.4086	7.232227	33.99381	-2.5122502	-1.3038516e-08	-0.004017675	-2.2351742e-08	-0.010028169	0.10041089	-0.010934455	75.081604	-14.365208	1.1313637	0.034484982	2.0	1.8393959	0.0075682043	150000	238.3366723060608
5	0.375	0.69597054	3.0	0.0	94.375	65.41968	254.0	0.0	1000.0	17158.0	0.09532222222222222	0.04396108	0.32132232	1.0289711	-0.85078305	9.001573	7.445467	34.57019	-3.0139997	-2.9802322e-08	-0.005012585	-5.9604645e-08	-0.017781775	0.07320533	-0.014811235	78.33504	-16.570856	1.1658487	0.035069704	4.0	1.8388413	0.017762985	180000	289.25397539138794
6	0.5	0.70710677	2.0	0.0	57.125	53.16665	225.0	0.0	1000.0	18900.0	0.09	0.002919279	0.330709	1.0314589	-0.9773197	9.049652	7.332743	37.520683	-3.6357543	-2.0023435e-08	-0.009025224	-5.075708e-08	-0.021656925	0.06201168	-0.011953885	58.42649	-23.418617	1.2009184	0.034083843	8.0	1.8383268	0.010249971	210000	339.58876514434814
7	0.25	0.7216878	3.0	0.0	68.125	67.90637	302.0	0.0	1000.0	20993.0	0.08747083333333333	-0.033201452	0.31660295	0.94263786	-0.86621267	4.274096	5.594086	38.66792	-2.16716	2.514571e-08	-0.009625578	2.9802322e-08	-0.022557132	0.07876818	-0.011967054	81.2695	-25.657814	1.2350023	0.03389907	8.0	1.8368019	0.011694279	240000	385.2603530883789
8	0.6666667	0.9860133	3.0	0.0	66.875	45.914154	169.0	0.0	1000.0	22928.0	0.08491851851851852	-0.016738899	0.3321742	1.056919	-0.79470885	6.5486655	7.5017805	42.7507	-3.085808	-2.9802322e-08	-0.0071846154	-5.2154064e-08	-0.021937322	0.10756507	-0.024066864	43.92706	-12.221995	1.2689013	0.033529878	4.0	1.835428	0.01946437	270000	436.9516725540161
9	0.5	0.91287094	4.0	0.0	40.166668	44.892155	182.0	0.0	1000.0	24256.0	0.08085333333333333	-0.010396395	0.35495844	1.5207089	-0.9907519	3.7510276	5.313154	38.311	-2.8104355	1.8626451e-08	-0.006669379	3.5390258e-08	-0.017352603	0.08473461	-0.026628723	27.31357	-6.8024454	1.3024312	0.032134533	11.0	1.8353529	0.011963651	300000	483.2668251991272
