Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.41666666	0.7021792	2.0	0.0	96.25	51.74235	175.0	0.0	1000.0	3059.0	0.10196666666666666	-0.22300649	0.33691552	1.5905501	-1.308351	-0.15385146	0.5007029	1.4262307	-1.5932815	-6.146729e-08	-0.022720005	-1.0803342e-07	-0.0402698	0.34342152	-0.23408587	198.88254	-116.48862	0.99999994	0.03189546	0.861953	0.0	1.837877	0.007973496	30000	45.45830512046814
1	0.45833334	0.644151	2.0	0.0	105.458336	70.53603	271.0	0.0	1000.0	6038.0	0.10063333333333334	-0.010178437	0.25025567	0.7155034	-0.72934467	7.5671124	5.2263002	18.028893	-5.5325794	1.4901161e-08	-0.023657825	2.9802322e-08	-0.045567043	0.089018285	-0.023406848	102.12312	-17.110159	1.0318954	0.03251195	0.81656843	0.0	1.8146099	0.008915387	60000	89.52592349052429
2	0.5416667	0.8154327	3.0	0.0	69.625	58.327248	229.0	0.0	1000.0	8032.0	0.08924444444444445	0.0609525	0.29680946	0.9670942	-0.76601535	8.2839155	7.3345757	25.168621	-4.5838885	2.2351742e-08	-0.019616662	3.3527613e-08	-0.03497619	0.09407978	-0.009814944	69.37898	-16.158207	1.0644073	0.031698704	0.99604034	0.0	1.800476	0.008748651	90000	136.95850443840027
3	0.625	0.99215674	4.0	0.0	85.458336	71.58211	276.0	0.0	1000.0	10491.0	0.087425	0.04104009	0.30372623	0.97387683	-0.75920695	6.2760587	4.7747946	24.24104	-3.295852	-3.3527613e-08	-0.022797523	-4.4703484e-08	-0.041101616	0.08433556	-0.012121247	80.74397	-14.468109	1.096106	0.032408357	0.85269374	0.0	1.8025496	0.008976642	120000	182.83808183670044
4	0.45833334	0.76262516	2.0	0.0	60.208332	48.435505	185.0	0.0	1000.0	12335.0	0.08223333333333334	0.027384194	0.29343885	1.0726012	-0.6790756	7.3826957	6.4874306	28.719007	-3.125938	3.9115548e-08	-0.020310951	7.4505806e-08	-0.03585225	0.09324835	-0.010408124	62.531128	-17.026236	1.1285144	0.031688333	0.97031146	0.0	1.8309596	0.008620491	150000	227.62378311157227
5	0.6666667	0.942809	3.0	0.0	79.375	61.311237	229.0	0.0	1000.0	14401.0	0.08000555555555555	0.015856002	0.31764337	1.1619108	-0.6744994	5.645081	5.627526	28.312288	-3.830357	-7.450581e-09	-0.02246836	0.0	-0.03901448	0.091057055	-0.011222091	54.113174	-13.628801	1.1602027	0.032443643	0.8902767	0.0	1.8269843	0.008278025	180000	273.650288105011
6	0.5	0.7637626	2.0	0.0	49.416668	39.39217	135.0	0.0	1000.0	15922.0	0.07581904761904762	0.023854839	0.32357633	0.99111396	-0.8337379	5.911746	6.3564014	29.256878	-2.0859125	-7.450581e-09	-0.018787852	-2.0489097e-08	-0.033211924	0.0931588	-0.016213734	42.188477	-9.823193	1.1926464	0.03126502	1.0292156	0.0	1.8380678	0.008498349	210000	316.7457067966461
7	0.5	0.95742714	4.0	0.0	50.458332	55.978405	214.0	0.0	1000.0	17373.0	0.0723875	0.013900541	0.26966602	1.2991412	-0.7207344	3.9470015	4.4236274	28.793692	-2.8329644	0.0	-0.016335443	1.4901161e-08	-0.027314551	0.08128685	-0.021673307	40.464478	-7.6504254	1.2239114	0.030501246	1.168461	0.0	1.8169395	0.008583259	240000	363.71549892425537
8	1.0833334	1.4695992	6.0	0.0	53.541668	48.91232	137.0	0.0	1000.0	18937.0	0.07013703703703704	0.053515524	0.3700699	1.3415445	-0.77748877	5.2305374	5.26997	30.881622	-3.0197875	-9.313226e-09	-0.020390332	-1.1175871e-08	-0.034546643	0.13383366	-0.02903471	53.972588	-11.444935	1.2544127	0.03020823	1.031818	0.0	1.8101442	0.0086267805	270000	407.85855436325073
9	0.375	0.7534642	2.0	0.0	40.583332	44.85339	151.0	0.0	1000.0	20111.0	0.06703666666666666	0.030265173	0.36445653	1.6832714	-0.8026751	3.6183667	4.531648	32.00621	-2.8991644	1.8626451e-08	-0.01586482	2.6077032e-08	-0.024970032	0.07592424	-0.024035022	36.31224	-8.855913	1.2846209	0.028915048	0.99118435	0.0	1.8473065	0.008295296	300000	454.69410943984985
