Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.41666666	0.6400955	2.0	0.0	84.458336	60.67123	213.0	0.0	1000.0	2542.0	0.08473333333333333	-0.3270858	0.27804473	0.46231997	-1.2539672	-0.37403327	0.5200781	1.0650415	-1.6328111	3.7252903e-09	-0.0011720987	9.313226e-08	-0.035143062	0.35594165	-0.27610463	148.27187	-89.515076	0.55536973	0.0	0.003624699	-0.03452052	0.059458338	0.0038104195	0.0034702634	0.06484336	0.0	0.55536973	0.0	0.0	0.0	1.837877	0.008581893	30000	31.210773229599
1	0.29166666	0.538452	2.0	0.0	91.083336	68.73252	271.0	0.0	1000.0	5207.0	0.08678333333333334	0.0071820565	0.33278266	0.8816732	-0.86287016	7.64378	3.8355327	15.837214	-2.4401395	-9.313226e-09	0.0022151559	-4.4703484e-08	-0.027926909	0.061904456	-0.010628066	63.004402	-13.348722	0.65484303	0.0	0.004849995	-0.073632896	0.066083334	0.0051857373	-0.0039571347	0.04663967	0.0	0.65484303	0.0	0.0	0.0	1.8318468	0.0086074285	60000	66.14404392242432
2	0.33333334	0.4714045	1.0	0.0	67.875	59.260242	205.0	0.0	1000.0	7533.0	0.0837	0.024114083	0.3221673	1.0185562	-0.8175517	8.541306	5.456493	21.720766	-4.4754086	2.7939677e-09	0.0023142851	7.450581e-09	-0.030714475	0.054992042	-0.0058015566	51.607048	-6.3505545	0.64604235	0.0	0.005300527	-0.01836192	0.042875	0.0057800417	-0.004793525	0.04791902	0.0	0.64604235	0.0	0.0	0.0	1.8218355	0.008690048	90000	105.36438274383545
3	0.29166666	0.6109533	2.0	0.0	60.375	54.145493	164.0	0.0	1000.0	9277.0	0.07730833333333334	0.0031338283	0.3322128	0.9861993	-0.860518	6.7293477	5.4175334	24.806398	-2.7383454	-5.5879354e-09	0.0019773655	4.4703484e-08	-0.03047512	0.065868646	-0.005639897	43.171875	-6.5358486	0.6592249	0.0	0.00610149	-0.007191319	0.035375	0.0065743667	-0.00466504	0.046021696	0.0	0.6592249	0.0	0.0	0.0	1.8420429	0.008545693	120000	138.3466272354126
4	0.41666666	0.7021792	2.0	0.0	42.958332	43.210224	162.0	0.0	1000.0	10633.0	0.07088666666666667	-0.0015452285	0.33738568	1.1557068	-0.9177299	4.0630007	4.57373	25.355389	-2.9067094	1.4901161e-08	-0.002681273	3.7252903e-09	-0.021395624	0.07218753	-0.015478	28.325224	-2.5625358	0.7225178	0.0	0.004493269	0.008006615	0.017958332	0.0058210907	-0.0059753717	0.026889963	0.74912924	0.7225178	1.0	0.0	0.0	1.8391256	0.009114067	150000	172.15310955047607
5	0.16666667	0.372678	1.0	0.0	25.791666	31.958279	121.0	0.0	1000.0	11657.0	0.06476111111111112	-0.041909505	0.3087114	0.8131785	-1.034139	3.760778	4.4052377	25.202215	-3.1714935	-7.450581e-09	-0.0092226835	1.4901161e-08	-0.0016508475	0.086601526	-0.018282657	25.846777	-3.4581308	0.09323724	0.0	0.004153619	0.01998041	0.00079166604	0.0043684985	-0.0026219254	0.03199236	0.4559436	0.09323724	1.0	0.0	0.0	1.8011479	0.008839988	180000	208.02559542655945
6	0.5416667	1.0793196	5.0	0.0	37.208332	36.981956	116.0	0.0	1000.0	12751.0	0.06071904761904762	-0.045618348	0.40386543	1.0985696	-1.1714908	3.5145845	4.3453307	27.649143	-2.7717924	-3.7252903e-09	-0.0045090085	9.313226e-09	-0.011987511	0.08421874	-0.021225277	21.477499	-3.2005842	0.39190626	0.0	0.0036438562	0.014609154	0.012208332	0.004455855	-0.0047381152	0.027647495	0.49942246	0.39190626	1.0	0.0	1.0	1.7765688	0.006536888	210000	238.76220417022705
7	0.5416667	0.76262516	2.0	0.0	44.375	32.887196	100.0	0.0	1000.0	14040.0	0.0585	0.031252883	0.340791	1.1328905	-0.7975489	4.240487	4.279904	27.758554	-2.8211513	-6.519258e-09	-0.0032527053	-1.1175871e-08	-0.024342055	0.07184041	-0.011557944	29.490343	-6.106877	0.46381754	0.0	0.003398986	0.011159129	0.019375	0.0053070667	-0.009001037	0.04246082	0.5518989	0.46381754	1.0	0.0	0.0	1.7631946	0.00915952	240000	277.91235613822937
8	0.7916667	0.9119195	3.0	0.0	28.458334	27.146177	97.0	0.0	1000.0	14955.0	0.05538888888888889	0.050585255	0.4191515	1.4820228	-0.96969247	4.1287174	4.230785	30.68379	-2.1893222	-1.4901161e-08	-0.011013707	7.4505806e-08	-0.005569854	0.08503936	-0.010072371	26.197304	-7.252204	0.0	0.0	0.005013836	0.019577542	0.003458334	0.005542173	0.0038675074	0.028310742	0.5264111	0.0	1.0	0.0	0.0	1.8223162	0.009495644	270000	313.6860673427582
9	1.3333334	1.2133516	4.0	0.0	48.708332	43.830624	128.0	0.0	1000.0	16375.0	0.05458333333333333	0.14181243	0.51135343	1.6920274	-1.1322184	3.942555	4.222297	29.938755	-1.1746134	-5.5879354e-09	-0.0022011586	-3.3527613e-08	-0.023533462	0.10386916	-0.01845783	34.37479	-9.874489	1.1821135	0.0	0.005013668	0.0023590182	0.023708332	0.00531565	-0.003101915	0.031862456	1.4578476	1.1821135	1.0	0.0	0.0	1.8057443	0.009751686	300000	345.7609577178955
