Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.41666666	0.6400955	2.0	0.0	84.458336	60.67123	213.0	0.0	1000.0	2542.0	0.08473333333333333	-0.3270858	0.27804473	0.46231997	-1.2539672	-0.37403327	0.5200781	1.0650415	-1.6328111	5.029142e-08	-0.018862274	9.313226e-08	-0.033973534	0.35594165	-0.27610463	148.27187	-89.51507	0.99999994	0.03189546	1.0235971	0.0	1.837877	0.008098741	30000	19.153975248336792
1	0.41666666	0.9090593	4.0	0.0	90.541664	69.60902	252.0	0.0	1000.0	5179.0	0.08631666666666667	0.0023031281	0.31829345	0.9489259	-0.8713673	7.3722053	3.755213	15.789015	-2.3475626	3.7252903e-08	-0.016973719	6.7055225e-08	-0.031428616	0.08079919	-0.014961587	66.62877	-12.465992	1.0318954	0.032512903	1.1111252	0.0	1.8390534	0.00964308	60000	36.52077293395996
2	0.5416667	0.95652	4.0	0.0	82.291664	68.967674	242.0	0.0	1000.0	7838.0	0.08708888888888888	0.07622009	0.39271167	1.2333853	-0.8372434	9.807393	5.5370436	22.843449	-2.5703192	0.0	-0.017958844	-2.9802322e-08	-0.03396137	0.0680017	-0.009381682	72.300156	-7.48637	1.0644083	0.032933235	1.1357013	0.0	1.8237045	0.009009799	90000	58.19168019294739
3	0.41666666	0.6400955	2.0	0.0	76.833336	70.095566	290.0	0.0	1000.0	10180.0	0.08483333333333333	0.09087147	0.31943905	0.9774903	-0.66739726	8.307243	5.8063526	26.745178	-3.5263004	7.450581e-09	-0.016563235	0.0	-0.02935937	0.048886433	-0.0060034543	46.82875	-7.414833	1.0973415	0.033227563	1.2612766	0.0	1.8245213	0.009646725	120000	77.38500952720642
4	0.5833333	0.7592028	3.0	0.0	68.458336	55.50749	242.0	0.0	1000.0	12251.0	0.08167333333333333	0.053297088	0.33993262	1.1916046	-0.7519892	6.508019	5.3757043	28.959608	-3.5899858	7.450581e-09	-0.016439384	-3.7252903e-09	-0.029374994	0.06530142	-0.0054944414	42.751427	-7.4417467	1.1305691	0.03322208	1.2784504	0.0	1.871007	0.0096952515	150000	104.87783932685852
5	0.5833333	0.95379364	3.0	0.0	47.875	45.551537	160.0	0.0	1000.0	13799.0	0.07666111111111111	0.05508549	0.3534326	1.1718302	-0.84085953	6.5229635	5.3620343	29.056944	-2.9888299	-4.0978193e-08	-0.017064942	-7.0780516e-08	-0.030708764	0.08024709	-0.009619908	40.700752	-8.502499	1.1637912	0.031839013	1.1659948	0.0	1.8354046	0.008903213	180000	123.94585132598877
6	0.5	0.6454972	2.0	0.0	36.291668	33.85075	115.0	0.0	1000.0	14926.0	0.07107619047619047	0.056733094	0.3587477	1.2393104	-0.9355814	4.4029446	3.833613	28.258772	-1.5016539	0.0	-0.014422057	7.450581e-09	-0.025369816	0.081730396	-0.014567891	28.855232	-4.225479	1.1956302	0.029641509	1.3486503	0.0	1.8118714	0.0089370515	210000	155.96058058738708
7	0.375	0.48412293	1.0	0.0	32.583332	31.12196	95.0	0.0	1000.0	15863.0	0.06609583333333334	-0.014183439	0.35531837	1.0967387	-0.9643141	3.495726	4.228722	28.78496	-3.0236151	0.0	-0.011334715	0.0	-0.018074527	0.058906544	-0.010175608	23.7808	-4.4272676	1.2252717	0.02744186	1.6649742	0.0	1.8205163	0.008253392	240000	178.30052065849304
8	0.75	0.9242114	3.0	0.0	44.166668	27.076538	96.0	0.0	1000.0	17032.0	0.06308148148148149	0.017170135	0.39142454	1.279589	-0.98608357	3.1741579	3.7738318	28.520315	-2.4501476	-1.8626451e-09	-0.0142690195	0.0	-0.024218995	0.099507876	-0.016868442	25.173042	-4.27026	1.2527136	0.026960254	1.4010592	0.0	1.7754362	0.009530734	270000	207.4360568523407
9	0.7916667	0.95652	3.0	0.0	31.333334	20.877953	68.0	0.0	1000.0	17907.0	0.05969	0.09618602	0.4451151	1.4658796	-1.0473669	3.625123	3.7199645	29.909431	-2.1566863	1.8626451e-09	-0.011833953	-7.450581e-09	-0.018943077	0.106521666	-0.02735613	22.801697	-6.022614	1.2796738	0.02513659	1.437687	1.0	1.7434037	0.0064593162	300000	235.26193976402283
