Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.0	0.0	0.0	0.0	41.75	49.841625	143.0	0.0	1000.0	1130.0	0.03766666666666667	-0.28785482	0.30682912	1.2269317	-1.1456378	-0.3420353	0.5460097	1.1099079	-1.4730015	1.1175871e-08	0.008089549	2.2351742e-08	-0.024364587	0.2439709	-0.20132074	76.38242	-34.310997	0.99999994	0.032040298	1.0	1.837877	0.07273731	30000	18.477835655212402
1	0.0	0.0	0.0	0.0	22.333334	50.278114	215.0	0.0	1000.0	1859.0	0.030983333333333335	-0.10346048	0.25636443	0.52854824	-0.7946999	3.1790733	3.9493752	16.482162	-5.34689	-2.2351742e-08	0.0041671074	-3.7252903e-08	-0.0013849167	0.037238333	-0.017711565	53.613575	-8.463523	1.0320402	0.01784265	1.0	1.8381636	0.016578428	60000	35.84050154685974
2	0.0	0.0	0.0	0.0	14.375	26.172207	89.0	0.0	1000.0	2733.0	0.030366666666666667	-0.027730744	0.14686885	0.34890693	-0.43375418	2.5444021	3.5772371	17.261684	-5.5623727	-3.7252903e-09	0.008599262	-2.2351742e-08	-0.029027509	0.027874429	-0.0054785563	55.49373	-19.146572	1.0498829	0.0007662773	1.0	1.8388731	0.07976852	90000	53.695616006851196
3	0.0	0.0	0.0	0.0	18.0	69.03441	343.0	0.0	1000.0	3380.0	0.028166666666666666	-0.027260503	0.19225663	0.48774034	-0.54248166	1.8906757	4.499107	32.86163	-3.2416084	-2.2351742e-08	-0.002409407	-1.4901161e-08	-0.014558392	0.03421951	-0.016424341	97.39788	-49.969727	1.0506492	-0.005534172	2.0	1.8392403	0.018029224	120000	74.29687929153442
4	0.0	0.0	0.0	0.0	36.0	79.77312	322.0	0.0	1000.0	4714.0	0.031426666666666665	-0.034497943	0.0785131	0.22559614	-0.30809134	4.1798587	8.260766	44.58011	-1.7664936	-3.3527613e-08	-0.002730346	-3.7252903e-08	-0.0071346946	0.017173639	-0.0016715149	204.63324	-49.78513	1.045115	0.0040388107	2.0	1.8392506	0.003793312	150000	94.62397050857544
5	0.0	0.0	0.0	0.0	34.458332	86.605896	389.0	0.0	1000.0	5605.0	0.03113888888888889	-0.014578166	0.06615948	0.17274575	-0.507996	4.8748813	6.1744933	46.826107	-3.0649934	0.0	-0.0039765015	0.0	-0.02209301	0.016268898	-0.001179744	142.10538	-39.024025	1.0491538	0.009534001	2.0	1.8391283	0.02611398	180000	114.94481444358826
6	0.0	0.0	0.0	0.0	12.625	32.98587	124.0	0.0	1000.0	5933.0	0.028252380952380952	-0.0087009985	0.071768634	0.19938979	-0.45137733	3.1607068	4.974422	46.650723	-3.9587796	1.8626451e-09	-0.008208528	-3.7252903e-09	-0.021695837	0.0143293915	-0.000985135	41.521927	-17.3307	1.0586878	0.0008056164	10.0	1.8392287	0.014743933	210000	135.67284297943115
7	0.041666668	0.1998263	1.0	0.0	1.125	5.3953104	27.0	0.0	1000.0	6110.0	0.025458333333333333	-0.0058343494	0.056961372	0.19506644	-0.21522193	0.955109	1.4744856	27.929325	-4.514544	0.0	-0.010074094	-7.450581e-09	-0.014872637	0.017971324	-0.0022091172	25.571323	-2.7823796	1.0594934	-0.009190917	39.0	1.8393452	0.0119667025	240000	159.18357133865356
8	0.041666668	0.1998263	1.0	0.0	34.958332	78.943275	316.0	0.0	1000.0	6949.0	0.025737037037037037	0.010225115	0.06205868	0.20598523	-0.25765082	1.3824148	2.8465202	48.424007	-2.8647966	-1.1175871e-08	-0.0043493053	-4.0978193e-08	-0.013476877	0.020425256	-0.0038850561	117.57944	-40.29477	1.0503025	-0.004517436	2.0	1.8356218	0.009932231	270000	184.3388855457306
9	0.0	0.0	0.0	0.0	56.166668	96.77838	305.0	0.0	1000.0	8297.0	0.027656666666666666	0.06467904	0.062331263	0.24956517	-0.23365054	2.0777187	4.5604863	46.129314	-3.180503	3.7252903e-08	-0.001690302	5.9604645e-08	-0.005829878	0.01480107	-0.0021098831	220.69359	-54.011696	1.0457851	0.006791353	1.0	1.8353171	0.007025947	300000	212.42094087600708
