Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.0	0.0	0.0	0.0	41.75	49.841625	143.0	0.0	1000.0	1130.0	0.03766666666666667	-0.28785482	0.30682912	1.2269317	-1.1456378	-0.3420353	0.5460097	1.1099079	-1.4730015	1.1175871e-08	-0.013785307	2.2351742e-08	-0.027068745	0.2439709	-0.20132074	76.38242	-34.310997	0.99999994	0.03189546	1.367562	0.0	1.837877	0.008564016	30000	19.426400899887085
1	0.0	0.0	0.0	0.0	23.833334	50.945778	214.0	0.0	1000.0	1730.0	0.028833333333333332	-0.097559825	0.23770526	0.67185044	-0.74128747	1.8259015	3.5044265	14.983029	-6.1646595	-2.9802322e-08	-0.010130691	-4.4703484e-08	-0.016662592	0.036243677	-0.0070362734	34.192417	-4.7238503	1.0318954	0.01995647	1.906793	0.0	1.8359102	0.00825946	60000	37.24523615837097
2	0.0	0.0	0.0	0.0	10.916667	38.76738	179.0	0.0	1000.0	2452.0	0.027244444444444446	-0.06281504	0.22491579	0.55382967	-0.7048494	2.5782824	3.7806067	17.974989	-4.767497	0.0	-0.011440136	7.450581e-09	-0.019348715	0.033363167	-0.0056581134	37.322186	-13.395264	1.0518519	-0.0014853477	1.7344368	0.0	1.8750639	0.008341463	90000	55.80885910987854
3	0.0	0.0	0.0	0.0	5.8333335	11.516895	33.0	0.0	1000.0	2631.0	0.021925	-0.051552434	0.24817583	0.5244169	-0.7424671	1.539351	3.4850206	26.914274	-2.6238	-7.450581e-09	-0.011911275	-5.5879354e-09	-0.01844898	0.033634517	-0.0067913653	14.122367	-8.004825	1.0503665	-0.013311863	1.7332767	0.0	1.9100417	0.00978592	120000	78.56573510169983
4	0.041666668	0.1998263	1.0	0.0	7.3333335	20.871964	89.0	0.0	1000.0	2807.0	0.018713333333333332	-0.030825408	0.23380871	0.47465265	-0.6179984	0.7291843	1.0148119	7.9357033	-2.3028722	9.778887e-09	-0.00903237	9.313226e-09	-0.0088851955	0.035058945	-0.0034147503	13.426696	-1.5405571	1.0370547	-0.018625736	2.20976	0.0	1.905722	0.0086105885	150000	101.99595618247986
5	0.041666668	0.1998263	1.0	0.0	6.375	17.10461	62.0	0.0	1000.0	2998.0	0.016655555555555555	-0.030173589	0.21428475	0.45203584	-0.5764363	0.66133815	1.390571	24.521782	-1.6993533	3.7252903e-09	-0.009579734	1.8626451e-08	-0.012281898	0.03439976	-0.005886929	12.585775	-2.369019	1.0184289	-0.021879792	2.1233518	0.0	1.8791562	0.00880871	180000	124.34414744377136
6	0.0	0.0	0.0	0.0	3.625	12.552597	56.0	0.0	1000.0	3085.0	0.014690476190476191	-0.01770731	0.2031076	0.404475	-0.55263615	0.5040578	1.1713028	12.8166	-2.2333076	-5.5879354e-09	-0.007513373	-7.450581e-09	-0.0050237314	0.03233665	-0.0051745516	4.9940453	-1.6409663	0.9965491	-0.024165988	2.6143246	0.0	1.8669658	0.008952999	210000	151.41046690940857
7	0.041666668	0.1998263	1.0	0.0	15.75	40.017963	175.0	0.0	1000.0	3565.0	0.014854166666666667	-0.0085692275	0.18567929	0.43971446	-0.4694406	0.2346735	0.63535625	16.180069	-1.0774143	-7.450581e-09	-0.010528635	-1.4901161e-08	-0.01618755	0.04300958	-0.0113537405	45.934647	-12.788265	0.97238314	-0.02368337	1.8474674	0.0	1.8569251	0.008755811	240000	184.75703358650208
8	0.083333336	0.3996526	2.0	0.0	42.75	71.69569	230.0	0.0	1000.0	4680.0	0.017333333333333333	0.0023709235	0.18577318	0.58447856	-0.43215555	2.2280607	4.859736	36.8832	-1.0567911	-1.4901161e-08	-0.020231467	-3.7252903e-08	-0.039099135	0.043549415	-0.008558966	100.34688	-58.382935	0.9486998	-0.013886213	1.0025876	0.0	1.8711185	0.00913055	270000	220.3781909942627
9	0.0	0.0	0.0	0.0	25.291666	43.76688	153.0	0.0	1000.0	5354.0	0.017846666666666667	0.014455077	0.20289169	0.6290931	-0.4716935	2.8378398	6.8803725	45.83103	-2.403813	-5.5879354e-09	-0.015424446	-5.5879354e-09	-0.031155277	0.046567924	-0.014071807	59.967327	-26.592163	0.93481356	-0.012200892	1.30815	0.0	1.889868	0.009559354	300000	253.88533544540405
