Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.0	0.0	0.0	0.0	66.791664	72.3435	195.0	0.0	1000.0	2148.0	0.0716	-0.2705632	0.3150383	1.6448187	-1.241069	-0.32029277	0.5417723	1.1348195	-1.5508988	1.2572855e-08	-0.010579556	3.7252903e-08	3.6459416e-05	0.2614497	-0.20744699	153.7076	-84.23538	0	0	1.8643194	0.0	1.837877	0.008332759	30000	36.82291531562805
1	0.0	0.0	0.0	0.0	69.125	73.1114	264.0	0.0	1000.0	4156.0	0.06926666666666667	-0.07322423	0.22037596	0.5045497	-0.76851547	6.4678116	5.087907	19.743168	-6.002044	6.519258e-09	-0.009924345	9.313226e-09	0.0008246843	0.052714642	-0.013812848	80.7379	-21.941269	0	0	1.9043304	0.0	1.8408225	0.008569265	60000	70.86238932609558
2	0.0	0.0	0.0	0.0	67.958336	58.134525	258.0	0.0	1000.0	6267.0	0.06963333333333334	0.0044498784	0.23842396	0.79111075	-0.7085398	9.133437	7.391772	29.277084	-4.394189	1.4901161e-08	-0.009632827	5.5879354e-09	0.0018397551	0.05545496	-0.011496885	66.77405	-18.572357	0	0	2.0795004	0.0	1.8308756	0.008679665	90000	106.88976907730103
3	0.0	0.0	0.0	0.0	83.208336	62.76874	226.0	2.0	1000.0	8960.0	0.07466666666666667	0.01049044	0.24455172	0.6798657	-0.82757026	7.339675	5.407282	32.358627	-1.7937351	-6.519258e-09	-0.011354849	-5.5879354e-08	-0.0025637792	0.049419217	-0.014843198	97.47147	-22.27264	0	0	1.8566915	0.0	1.8187091	0.009180725	120000	145.00069165229797
4	0.0	0.0	0.0	0.0	94.458336	52.63473	182.0	0.0	1000.0	11704.0	0.07802666666666666	0.022802947	0.25567132	0.4909957	-0.72743165	10.202145	6.3564467	38.9582	-1.8907224	-1.5832484e-08	-0.011704309	2.9802322e-08	0.006948145	0.06025853	-0.013593541	78.83812	-21.02996	0	0	1.7277905	0.0	1.7914559	0.008858666	150000	180.4703938961029
5	0.0	0.0	0.0	0.0	77.541664	46.469505	172.0	3.0	1000.0	14377.0	0.07987222222222222	-0.0028272485	0.24832937	0.51018924	-0.7527272	8.577402	5.8931804	37.833492	-1.2740186	1.8626451e-08	-0.00979985	-3.3527613e-08	-0.0010984642	0.05125408	-0.008733522	65.53674	-14.199657	0	0	2.0596614	0.0	1.7651248	0.009184023	180000	217.05540919303894
6	0.041666668	0.1998263	1.0	0.0	86.083336	60.235588	186.0	8.0	1000.0	16823.0	0.08010952380952381	0.038290426	0.2545838	0.5651295	-0.74375474	9.429563	7.536577	37.168068	-4.580036	1.8626451e-09	-0.010570937	-3.1664968e-08	0.0040811384	0.069623716	-0.012625551	69.11223	-18.425585	0	0	1.9151219	0.0	1.7520373	0.009134585	210000	254.33605241775513
7	0.041666668	0.1998263	1.0	0.0	105.416664	67.14283	302.0	7.0	1000.0	19712.0	0.08213333333333334	0.010029891	0.24554174	0.54331905	-0.6987241	9.236468	6.7576203	39.134148	-2.969865	1.3038516e-08	-0.010359218	-7.4505806e-08	-0.0028840867	0.069697216	-0.016253132	81.2639	-24.67674	0	0	1.9696193	0.0	1.7947998	0.009083624	240000	291.14489674568176
8	0.041666668	0.1998263	1.0	0.0	85.958336	77.616295	319.0	0.0	1000.0	22382.0	0.0828962962962963	0.02271657	0.2537158	0.6854606	-0.6061806	8.441044	7.5323324	39.720276	-2.3694386	1.3969839e-08	-0.009592945	-2.9802322e-08	-0.004066501	0.08287291	-0.02146171	79.38553	-21.840902	0	0	2.0997264	0.0	1.8237059	0.009144587	270000	324.45846033096313
9	0.20833333	0.57584476	2.0	0.0	71.041664	68.39559	258.0	0.0	1000.0	24465.0	0.08155	0.03191506	0.22782569	0.67652476	-0.6050594	7.8650074	8.64642	41.603268	-1.3566219	7.450581e-09	-0.0087335035	-1.4901161e-08	-0.0012253211	0.11168672	-0.042742424	64.33633	-26.764431	0	0	2.2825425	0.0	1.8114179	0.009269163	300000	357.9179353713989
10	0.16666667	0.372678	1.0	0.0	67.708336	99.768265	482.0	0.0	1000.0	26698.0	0.08090303030303031	0.08260677	0.27881017	1.1734499	-0.88942707	5.6946273	7.358488	44.028862	0.05227705	-2.6077032e-08	-0.010010901	1.0430813e-07	0.0071550095	0.065617815	-0.022240419	136.44228	-62.901794	0	0	2.0210738	0.0	1.7958145	0.009267412	330000	391.5160958766937
11	0.083333336	0.2763854	1.0	0.0	71.125	69.050896	249.0	0.0	1000.0	29139.0	0.08094166666666666	0.046931505	0.29321238	0.9072889	-1.0380121	7.661383	9.207333	44.027023	-3.2541807	8.381903e-09	-0.009458751	-1.4901161e-08	0.002809852	0.08308828	-0.028253935	98.81784	-40.049274	0	0	2.1567364	0.0	1.7807372	0.00888985	360000	426.22715044021606
12	0.0	0.0	0.0	0.0	78.375	60.18569	228.0	0.0	1000.0	31375.0	0.08044871794871795	0.15338269	0.2849643	1.0601734	-0.88676673	8.482341	8.481392	52.993954	-2.5205343	1.0244548e-08	-0.009885088	7.450581e-09	0.0062133935	0.07958929	-0.031017952	87.51134	-37.808334	0	0	1.9895806	0.0	1.7377331	0.009089123	390000	460.2700562477112
