Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.41666666	0.7021792	2.0	0.0	96.25	51.74235	175.0	0.0	1000.0	3059.0	0.10196666666666666	-0.22300649	0.33691552	1.5905501	-1.308351	-0.15385146	0.5007029	1.4262307	-1.5932815	-6.519258e-09	0.013179824	-1.0803342e-07	-0.0018298058	0.34342152	-0.23408587	198.88254	-116.48862	0	0	1.0	1.837877	0.016268296	30000	44.49469566345215
1	0.41666666	0.6400955	2.0	0.0	86.958336	51.81737	162.0	0.0	1000.0	5921.0	0.09868333333333333	0.005688209	0.26227614	0.78576726	-0.82291555	8.238987	5.0692706	18.088923	-6.0834923	1.1175871e-08	0.07302634	-5.9604645e-08	-0.009593675	0.09905505	-0.019191612	81.13223	-7.227447	0	0	1.0	1.83833	0.11553748	60000	96.17715263366699
2	0.29166666	0.53845197	2.0	0.0	138.0	97.36144	373.0	13.0	1000.0	9593.0	0.10658888888888889	0.035571538	0.30022225	0.8292743	-0.86370546	10.650025	5.287889	21.0389	-1.2342503	-7.450581e-09	-0.008713935	2.9802322e-08	-5.849451e-05	0.06643719	-0.017758643	148.16666	-28.426813	0	0	79.0	1.8391595	0.0049723946	90000	154.73015308380127
3	0.7083333	1.0197699	4.0	0.0	127.416664	47.950424	212.0	20.0	1000.0	13503.0	0.112525	0.029915897	0.20519985	0.49792066	-0.53142667	12.943515	6.556057	30.305458	-3.281996	-5.5879354e-09	-0.010459535	-1.0430813e-07	0.013004213	0.10756593	-0.019991672	111.745285	-19.432495	0	0	79.0	1.8287523	0.006689841	120000	218.38966178894043
4	0.875	0.97093165	3.0	0.0	147.0	56.13451	237.0	44.0	1000.0	17594.0	0.11729333333333333	0.12147092	0.2800907	0.86499345	-0.51918495	14.355393	4.4120755	29.575605	0.8736121	7.450581e-09	-0.009465507	-1.4901161e-08	0.001150785	0.10811344	-0.01455479	118.54506	-11.380758	0	0	79.0	1.8151953	0.005573067	150000	274.2892723083496
5	1.5416666	1.4135996	5.0	0.0	145.58333	87.57136	373.0	18.0	1000.0	21710.0	0.12061111111111111	0.17796667	0.28606844	1.117471	-0.4499436	13.575824	5.4424934	32.90069	-0.72051066	9.313226e-10	-0.010680074	-2.9802322e-08	-0.0009893961	0.1652528	-0.026627108	149.18112	-20.330141	0	0	79.0	1.7992918	0.0062623415	180000	332.65708780288696
6	1.7916666	1.8479531	7.0	0.0	121.541664	63.432365	276.0	15.0	1000.0	25500.0	0.12142857142857143	0.27107972	0.29637757	1.2759163	-0.3996788	14.382582	6.5054164	38.87306	-7.2863293	-5.5879354e-09	-0.009942528	1.1175871e-08	-0.0064289905	0.17260063	-0.019599572	143.94751	-33.155113	0	0	79.0	1.7828152	0.007108303	210000	388.8491475582123
7	1.4583334	1.5269568	6.0	0.0	131.625	64.92741	267.0	3.0	1000.0	29291.0	0.12204583333333334	0.291089	0.31944212	1.3814719	-0.4864475	13.607823	5.415936	40.44956	-4.48232	1.8626451e-09	-0.010904951	5.9604645e-08	-0.014093917	0.16117638	-0.023289163	121.69902	-27.173733	0	0	79.0	1.7459468	0.0059581148	240000	445.90314292907715
8	2.125	1.6661458	6.0	0.0	148.0	67.92827	315.0	26.0	1000.0	33541.0	0.12422592592592592	0.32283586	0.33559862	1.4978265	-0.5807244	13.443962	5.993923	43.624775	-4.4347353	3.7252903e-09	-0.0107007045	8.195639e-08	-0.019729724	0.22543618	-0.046034336	124.20692	-20.29918	0	0	79.0	1.7437536	0.006827534	270000	503.3223624229431
9	2.3333333	1.885618	7.0	0.0	128.58333	47.484135	233.0	57.0	1000.0	37574.0	0.12524666666666667	0.45143798	0.4059786	2.150261	-0.40940264	14.110132	6.101277	44.376568	-1.6894275	-8.381903e-09	0.0021955161	5.9604645e-08	-0.00015590899	0.21319437	-0.052731086	119.50869	-22.525135	0	0	5.0	1.7176888	0.011082886	300000	551.8214857578278
