Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.41666666	0.6400955	2.0	0.0	84.458336	60.67123	213.0	0.0	1000.0	2542.0	0.08473333333333333	-0.3270858	0.27804473	0.46231997	-1.2539672	-0.37403327	0.5200781	1.0650415	-1.6328111	3.7252903e-09	0.028879805	9.313226e-08	0.0014248444	0.35594165	-0.27610463	148.27187	-89.515076	0	0	1.0	1.837877	0.05722825	30000	16.559882402420044
1	0.20833333	0.49826086	2.0	0.0	80.125	84.14537	307.0	0.0	1000.0	5012.0	0.08353333333333333	-0.010216439	0.34664467	0.8688786	-0.85924965	7.8076468	3.7379386	16.312292	-1.797121	-1.0244548e-08	0.040635128	-1.4901161e-08	0.0146678	0.06186824	-0.016720742	86.494644	-19.478807	0	0	1.0	1.8389937	0.053995654	60000	32.28653144836426
2	0.45833334	0.8154328	3.0	0.0	96.333336	62.558414	197.0	0.0	1000.0	8115.0	0.09016666666666667	0.05511388	0.2469757	0.7317921	-0.5885932	9.520398	6.727323	24.371788	-6.562999	1.1175871e-08	0.0029946608	1.4901161e-08	0.0017820902	0.117482305	-0.019735672	59.00248	-7.432918	0	0	1.0	1.8399565	0.009294126	90000	47.89927530288696
3	0.16666667	0.4714045	2.0	0.0	88.708336	65.17059	257.0	0.0	1000.0	10988.0	0.09156666666666667	0.05652589	0.35374114	0.9895882	-0.7720556	10.054354	6.2572966	27.88416	-3.516644	8.381903e-09	-0.009040358	0.0	0.0031073836	0.05716915	-0.010274502	61.753166	-6.7181625	0	0	79.0	1.8405781	0.005341607	120000	68.84283494949341
4	0.7083333	1.0984522	4.0	0.0	92.583336	77.12323	303.0	0.0	1000.0	13772.0	0.09181333333333333	0.038412698	0.30913532	0.8314026	-0.6510328	9.9060545	6.645888	32.4886	-1.7076421	-1.4901161e-08	0.0015747435	7.450581e-09	0.0022080326	0.068920106	-0.009625349	62.138874	-7.549818	0	0	2.0	1.8333812	0.005202069	150000	83.69748115539551
5	0.5	0.70710677	2.0	0.0	102.666664	77.92928	274.0	0.0	1000.0	16936.0	0.09408888888888889	0.10316074	0.34187305	1.1711483	-0.6711954	10.888527	6.942651	35.47332	-2.2835732	9.313226e-10	-0.0007317483	1.4901161e-08	-0.0028702738	0.053905543	-0.0038814154	64.88717	-12.547453	0	0	1.0	1.8330085	0.004281451	180000	103.15140104293823
6	0.625	0.7534642	2.0	0.0	85.583336	53.704372	212.0	0.0	1000.0	19610.0	0.09338095238095238	0.069719866	0.30980998	1.0986581	-0.6414598	10.628866	7.3429365	37.154724	-1.1376238	1.6763806e-08	-0.0013602695	-1.8626451e-08	-0.0014690943	0.05964672	-0.005713055	59.20599	-13.501566	0	0	1.0	1.8324687	0.0018735963	210000	120.84541440010071
7	0.5833333	0.7592028	2.0	0.0	96.291664	57.991005	254.0	0.0	1000.0	22270.0	0.09279166666666666	0.08824072	0.35450128	1.0399584	-0.7248996	10.169581	6.1765203	35.091953	-3.716915	1.1175871e-08	-0.0012236834	4.4703484e-08	0.00051821396	0.06337932	-0.009031001	62.051453	-11.637505	0	0	1.0	1.8319616	0.0009846942	240000	143.1341576576233
8	0.6666667	0.98601323	3.0	0.0	113.125	65.617775	276.0	23.0	1000.0	25875.0	0.09583333333333334	0.12934424	0.32400027	1.2936499	-0.6086142	10.308858	6.8527117	37.331844	-1.5626168	9.313226e-09	-0.000675539	-2.9802322e-08	-0.0006928202	0.07181025	-0.0069023627	75.38345	-19.031689	0	0	1.0	1.8316213	0.0017290497	270000	173.98402643203735
9	0.7916667	1.0399987	4.0	0.0	93.916664	53.956707	198.0	0.0	1000.0	28789.0	0.09596333333333333	0.16193907	0.35024393	1.2595737	-0.62785995	11.261235	6.6720204	41.30241	-0.9789492	-7.450581e-09	-0.008954154	2.2351742e-08	-0.0010121767	0.06885201	-0.0077417977	52.75654	-11.062332	0	0	79.0	1.8313427	0.005687075	300000	211.00355768203735
