Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.375	0.80687153	3.0	0.0	138.375	82.61144	322.0	0.0	1000.0	4343.0	0.14476666666666665	-0.22436994	0.33792758	1.7486272	-1.3002656	-0.15193562	0.5016571	1.2066458	-1.6888416	-1.4901161e-07	0.012415156	-3.5762787e-07	-0.038348332	0.3356351	-0.24104685	366.45288	-199.78006	0.99999994	0.032068193	1.0	1.837877	0.13818438	30000	65.21566224098206
1	0.25	0.595119	2.0	0.0	126.416664	85.51458	326.0	0.0	1000.0	8057.0	0.13428333333333334	0.045479305	0.2865045	0.8658625	-0.83116984	13.157087	1.6924051	17.158108	7.5915728	-2.9802322e-08	0.012661763	-5.9604645e-08	-0.0047149877	0.07350867	-0.015071396	142.97342	-19.554615	1.0320681	0.03257191	1.0	1.8371845	0.04774347	60000	123.62874698638916
2	0.45833334	0.7626252	3.0	0.0	136.04167	68.27852	269.0	14.0	1000.0	12062.0	0.1340222222222222	0.0064321817	0.18266445	0.5243522	-0.54310566	14.161279	4.592622	23.693657	-1.0905064	4.4703484e-08	0.00034611882	7.4505806e-08	-0.003184949	0.07621797	-0.017775208	112.27608	-12.20661	1.06464	0.033201814	1.0	1.8367065	0.011357103	90000	182.15598273277283
3	0.20833333	0.49826086	2.0	0.0	128.70833	85.297264	319.0	7.0	1000.0	16376.0	0.13646666666666665	0.11429538	0.22611013	0.7898694	-0.5050847	12.077733	6.5966005	25.551254	-3.5518515	3.7252903e-08	-0.010597673	4.4703484e-08	-0.026488224	0.071035065	-0.010623534	135.2899	-24.81017	1.0978419	0.03398466	5.0	1.8365165	0.014528554	120000	248.0320529937744
4	0.75	1.8984643	8.0	0.0	145.45833	68.18417	266.0	13.0	1000.0	20769.0	0.13846	0.050652396	0.22676069	0.84712386	-0.5564597	14.311779	8.224902	34.180946	-1.3664418	-1.4901161e-08	-0.0057573477	-2.9802322e-08	-0.024544777	0.12205438	-0.011401271	128.2781	-17.810497	1.1318265	0.034422517	2.0	1.8357694	0.029576242	150000	311.7365093231201
5	0.625	0.85695684	3.0	0.0	117.458336	74.134995	308.0	17.0	1000.0	24470.0	0.13594444444444445	0.087227084	0.28326097	1.2903688	-0.5571559	15.404488	6.231936	34.307495	-2.3623438	-2.0489097e-08	-0.0035669226	-2.6077032e-08	-0.027871901	0.08185768	-0.007742462	119.96393	-19.542648	1.166249	0.03453791	1.0	1.8352871	0.038498648	180000	369.6282482147217
6	0.5833333	0.8122329	2.0	0.0	114.0	61.831085	264.0	0.0	1000.0	28064.0	0.13363809523809525	0.14648668	0.33174434	1.3461146	-0.588233	12.062688	6.6798697	36.11906	-3.2248406	-2.9802322e-08	-0.0012471675	-4.4703484e-08	-0.012774814	0.09276731	-0.016743373	90.53029	-14.670398	1.200787	0.0347898	2.0	1.8351136	0.02440704	210000	426.3051609992981
7	0.16666667	0.372678	1.0	0.0	124.458336	64.16059	273.0	0.0	1000.0	31498.0	0.13124166666666667	0.09978167	0.31133103	1.3337208	-0.7116728	14.302906	6.526465	38.059772	-0.9714746	-2.2351742e-08	-0.009323239	-3.3527613e-08	-0.02903426	0.07642714	-0.01613753	117.75829	-23.266708	1.2355767	0.035291553	2.0	1.8350055	0.02472381	240000	485.0326232910156
8	0.5416667	0.9119195	4.0	0.0	129.04167	74.37937	249.0	15.0	1000.0	35190.0	0.13033333333333333	0.10421444	0.27049688	1.098443	-0.65094936	11.971042	5.62286	37.792465	-3.0867047	0.0	-0.0068374006	2.9802322e-08	-0.024962604	0.06993812	-0.016319163	116.070694	-22.74646	1.2708683	0.035953164	3.0	1.8351285	0.028595407	270000	547.7656979560852
9	0.5	0.70710677	2.0	0.0	115.083336	74.36897	252.0	0.0	1000.0	38826.0	0.12942	0.10816859	0.2749808	1.1408458	-0.4842862	13.063006	7.4738092	40.44173	-3.4896827	1.4901161e-08	-0.004927706	2.9802322e-08	-0.01929945	0.06641716	-0.013586242	118.89746	-24.841866	1.3068215	0.03614998	2.0	1.8350532	0.02531587	300000	614.3648819923401
