Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.41666666	0.6400955	2.0	0.0	84.458336	60.67123	213.0	0.0	1000.0	2542.0	0.08473333333333333	-0.3270858	0.27804473	0.46231997	-1.2539672	-0.37403327	0.5200781	1.0650415	-1.6328111	5.029142e-08	0.024155702	9.313226e-08	-0.043289196	0.35594165	-0.27610463	148.27187	-89.515076	0.99999994	0.032031834	1.0	1.837877	0.16128111	30000	20.691121578216553
1	0.7083333	1.2068957	5.0	0.0	90.416664	64.889595	210.0	0.0	1000.0	5176.0	0.08626666666666667	0.0031250864	0.32403386	0.78996533	-0.8764279	7.7034807	3.600551	15.869081	-2.162922	-1.8626451e-08	0.013934284	-1.8626451e-08	-0.011920834	0.1251276	-0.029371476	61.01307	-11.420174	1.0320318	0.03275311	1.0	1.8378941	0.05721142	60000	36.42216944694519
2	0.875	1.2686114	5.0	0.0	88.166664	46.449497	172.0	0.0	1000.0	7793.0	0.0865888888888889	0.106171854	0.4233023	1.3802516	-0.97288626	9.0231285	5.627721	22.871132	-3.1851757	0.0	-0.0017373891	1.4901161e-08	-0.012681823	0.13062255	-0.01848149	40.67275	-6.2590375	1.0647849	0.03344786	3.0	1.8383212	0.015787583	90000	59.065922021865845
3	0.625	0.94923216	4.0	0.0	60.75	37.80239	134.0	0.0	1000.0	9604.0	0.08003333333333333	0.123259015	0.4951501	1.4107481	-1.1331353	7.1375313	5.137647	24.628794	-2.6704288	-1.1175871e-08	-0.0018619925	-2.2351742e-08	-0.004884432	0.15216029	-0.024014525	29.137924	-3.901197	1.0982327	0.032421947	1.0	1.8386402	0.006420633	120000	84.12667322158813
4	1.0416666	1.0984522	4.0	0.0	76.833336	45.10697	179.0	0.0	1000.0	11782.0	0.07854666666666667	0.11852307	0.4759886	1.3742825	-1.1697946	6.511235	5.331703	25.667398	-2.3638346	2.7008355e-08	-0.006406893	4.8428774e-08	-0.01509382	0.15207657	-0.014621987	34.01434	-5.8545127	1.1306547	0.033417344	7.0	1.8385158	0.010035429	150000	109.1240119934082
5	0.7916667	0.95652	3.0	0.0	79.0	41.68533	169.0	0.0	1000.0	14263.0	0.07923888888888889	0.08143725	0.49156815	1.5711749	-1.2622497	7.977702	5.354013	28.560719	-1.9064546	-3.7252903e-08	-0.008273658	-7.4505806e-08	-0.021638745	0.15424529	-0.013466888	39.366844	-5.0087004	1.164072	0.034157038	9.0	1.8387585	0.015186511	180000	139.75859355926514
6	0.75	1.266557	4.0	0.0	45.541668	40.823784	152.0	0.0	1000.0	15553.0	0.07406190476190476	0.15444118	0.4669413	1.5137967	-1.2855195	6.247365	5.1884637	29.622612	-0.9435182	1.6763806e-08	-0.009549944	3.5390258e-08	-0.026942514	0.19374493	-0.025704216	28.63993	-7.6938963	1.1982291	0.033057928	13.0	1.8407743	0.017046096	210000	167.50251579284668
7	0.375	0.48412293	1.0	0.0	22.833334	18.620478	57.0	0.0	1000.0	16226.0	0.06760833333333334	0.043941885	0.4820417	1.6628873	-1.3572149	2.8802602	3.7646897	30.47115	-1.6959635	3.7252903e-09	-0.011710316	3.7252903e-09	-0.025845971	0.14783001	-0.051354047	10.0231085	-2.7583988	1.231287	0.03098178	28.0	1.8443075	0.013548168	240000	205.79679489135742
8	0.5416667	0.7626252	2.0	0.0	16.541666	18.284739	85.0	0.0	1000.0	16704.0	0.06186666666666667	-0.027789813	0.49597237	1.3836727	-1.4889185	1.7276664	2.9421184	26.431767	-1.4473897	4.656613e-09	-0.0016197225	7.450581e-09	-0.004057299	0.15433273	-0.04167548	8.574917	-1.982969	1.2622688	0.024735093	2.0	1.8481097	0.0039857365	270000	230.7079463005066
9	0.45833334	0.7626253	3.0	0.0	9.291667	10.986656	39.0	0.0	1000.0	17046.0	0.05682	-0.042226024	0.5068747	1.5570103	-1.591049	1.0212778	2.2765286	23.122978	-0.8724028	3.7252903e-09	-0.008661462	1.8626451e-09	-0.017653547	0.14327183	-0.031283766	5.7969737	-1.2542686	1.2870039	0.022102594	25.0	1.8480378	0.012504639	300000	262.67098236083984
