Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.375	0.80687153	3.0	0.0	138.375	82.61144	322.0	0.0	1000.0	4343.0	0.14476666666666665	-0.22436994	0.33792758	1.7486272	-1.3002656	-0.15193562	0.5016571	1.2066458	-1.6888416	1.4901161e-08	-0.010775724	-3.5762787e-07	-0.0034676082	0.3356351	-0.24104685	366.45288	-199.78006	0	0	1.7692691	0.0	1.837877	0.007468773	30000	65.85902333259583
1	0.375	0.85695684	3.0	0.0	145.08333	60.153217	266.0	0.0	1000.0	8837.0	0.14728333333333332	0.05218449	0.2708028	0.8940773	-0.74623436	13.237206	1.7654912	17.496655	7.740411	1.1641532e-08	-0.012175043	7.450581e-09	0.0030956427	0.10205557	-0.013535084	142.31593	-31.023952	0	0	1.6758745	0.0	1.8441511	0.008977404	60000	130.24707579612732
2	0.75	0.96824586	3.0	0.0	152.04167	70.43524	291.0	19.0	1000.0	13457.0	0.14952222222222222	0.057442337	0.2847442	1.0118327	-0.69236815	16.080776	5.870261	25.945528	-1.2880259	8.381903e-09	-0.009072648	1.0058284e-07	-0.00039051007	0.14697376	-0.023571532	118.373474	-13.528017	0	0	1.8552961	1.0	1.8544351	0.006243469	90000	200.30419993400574
3	0.7916667	1.2240359	4.0	0.0	154.79167	52.63156	255.0	11.0	1000.0	17919.0	0.149325	0.17558187	0.30557546	1.098727	-0.6301904	16.735985	5.617517	30.363678	-0.72035766	-4.656613e-09	-0.010783818	-2.9802322e-08	-0.0058700386	0.12060912	-0.011666924	102.839935	-14.9737215	0	0	1.8717791	0.0	1.8491948	0.008886786	120000	270.99944257736206
4	1.0833334	1.2219065	4.0	0.0	143.91667	67.86256	321.0	36.0	1000.0	22418.0	0.14945333333333333	0.19636531	0.33634135	1.3975118	-0.68893594	14.606367	5.525578	30.982788	0.87096095	1.2340024e-08	-0.011735883	-2.9802322e-08	-0.008883868	0.14075603	-0.016072221	113.09145	-15.061302	0	0	1.7716395	0.0	1.8356323	0.008246381	150000	332.99890995025635
5	1.5	1.5545632	5.0	0.0	132.54167	48.88335	264.0	61.0	1000.0	26453.0	0.1469611111111111	0.27987045	0.36868206	1.4824884	-0.5961881	15.417097	4.904638	34.32969	-1.6663241	-6.519258e-09	-0.012512727	4.4703484e-08	-0.014745001	0.17542872	-0.018230628	107.11326	-13.506575	0	0	1.8707227	0.0	1.8400762	0.009203389	180000	394.32579922676086
6	2.0416667	2.0712147	9.0	0.0	148.45833	51.50807	235.0	43.0	1000.0	31065.0	0.14792857142857144	0.31040302	0.3942204	1.5584141	-0.7063068	14.123179	5.465065	35.060497	0.39445645	7.450581e-09	-0.011122499	-8.195639e-08	-0.00767102	0.23317075	-0.036393717	100.12256	-17.534718	0	0	1.8564807	0.0	1.849013	0.009356709	210000	456.6574954986572
7	2.1666667	2.1538079	8.0	0.0	129.16667	49.651844	225.0	54.0	1000.0	35094.0	0.146225	0.40600893	0.4122325	1.9393524	-0.52840084	16.063616	5.2957554	38.028923	1.687223	-5.5879354e-09	-0.010107492	3.7252903e-08	-0.0062008705	0.22591981	-0.04801695	89.843025	-13.013831	0	0	1.737438	0.0	1.8643004	0.009115823	240000	524.7344284057617
8	2.375	1.9107699	8.0	0.0	159.875	54.850792	271.0	65.0	1000.0	39906.0	0.1478	0.4528345	0.43954605	2.2824452	-0.5206042	15.022148	4.995018	36.085735	0.29339892	8.381903e-09	-0.010876156	1.4901161e-08	-0.004755248	0.20841181	-0.060620256	105.88841	-13.166924	0	0	1.8813459	0.0	1.8498333	0.009327714	270000	588.6915812492371
9	3.2083333	2.1790512	7.0	0.0	131.79167	46.6333	235.0	25.0	1000.0	44129.0	0.14709666666666665	0.6669602	0.51957947	2.4310622	-0.4743211	15.459617	4.893214	39.885067	0.29177275	2.4214387e-08	-0.010297265	-5.2154064e-08	0.0026001558	0.36222643	-0.09117372	92.14548	-11.750116	0	0	1.9500858	0.0	1.8653157	0.009029118	300000	655.6062557697296
10	2.5	1.8257419	7.0	0.0	154.04167	86.29768	378.0	35.0	1000.0	48491.0	0.14694242424242424	0.6200469	0.47357857	2.462243	-0.40585533	14.637652	5.226812	40.033405	1.9489834	-7.450581e-09	-0.011369985	0.0	-0.0027832985	0.309813	-0.07388092	166.42084	-35.001907	0	0	1.797478	0.0	1.8238198	0.008663477	330000	719.3946499824524
11	4.5416665	2.344838	10.0	1.0	141.125	60.041176	289.0	51.0	1000.0	52881.0	0.14689166666666667	0.7695367	0.5192659	2.706766	-0.4456086	15.639398	6.0159116	48.82433	1.423067	-3.7252903e-09	-0.010565115	0.0	0.0024854848	0.2851423	-0.09056589	102.461395	-20.711727	0	0	1.8275657	0.0	1.8297348	0.009045992	360000	785.7643871307373
12	4.4166665	1.9346977	10.0	0.0	158.54167	50.095722	246.0	52.0	1000.0	57441.0	0.14728461538461537	0.87513053	0.5853613	2.7784958	-0.6096098	15.378769	4.960258	43.11964	2.4274616	7.450581e-09	-0.012237964	-5.2154064e-08	-0.00013977289	0.2666944	-0.07993354	98.74158	-20.128225	0	0	1.6988637	0.0	1.8110852	0.009175934	390000	847.4115355014801
13	4.125	2.3507533	9.0	1.0	154.375	63.124752	265.0	51.0	1000.0	61881.0	0.1473357142857143	0.94026184	0.62256426	2.7580123	-0.54780865	15.418382	5.260233	42.8252	-0.08201906	0.0	-0.010406045	9.685755e-08	-0.011577785	0.30900612	-0.11316299	138.34332	-46.62041	0	0	1.9206079	0.0	1.8105099	0.008864483	420000	911.3621015548706
14	4.7083335	2.8059337	10.0	1.0	151.83333	35.410294	221.0	91.0	1000.0	66552.0	0.14789333333333332	0.9063379	0.58947146	2.9550195	-0.7211774	15.31414	5.456489	53.061275	2.5618327	1.1175871e-08	-0.009469738	-1.4901161e-08	-0.00428308	0.2683005	-0.0859855	90.64437	-28.77574	0	0	2.125267	0.0	1.7836437	0.009321053	450000	980.2830076217651
15	5.2083335	2.5491693	11.0	0.0	132.41667	41.70323	235.0	75.0	1000.0	70825.0	0.14755208333333333	1.0162289	0.5998485	2.8279755	-0.48952505	15.728725	5.235529	47.18959	-0.9157091	-9.313226e-09	-0.01068965	4.4703484e-08	-0.0052766916	0.27348965	-0.0942193	88.82184	-25.103226	0	0	1.8164833	0.0	1.8139366	0.009171393	480000	1053.8041052818298
16	4.2916665	2.5245326	9.0	0.0	160.08333	57.835194	306.0	62.0	1000.0	75642.0	0.14831764705882353	0.9864839	0.6142285	2.9559207	-0.3411387	14.924149	5.965216	48.30974	-3.513681	1.8626451e-08	-0.0103352	-6.3329935e-08	-0.0069222227	0.35596392	-0.15548253	131.61774	-46.060402	0	0	1.9330208	0.0	1.801548	0.009668651	510000	1117.4247074127197
17	4.7083335	2.9647815	13.0	0.0	142.08333	69.61197	317.0	56.0	1000.0	79970.0	0.14809259259259258	1.0591494	0.62273747	2.8902774	-0.4145871	15.9583645	5.7621818	56.697964	-8.275737	-4.656613e-09	-0.011165933	-1.8626451e-08	-0.006542951	0.3073439	-0.11603868	107.346176	-36.04256	0	0	1.7758273	0.0	1.7956777	0.009508273	540000	1180.169799566269
18	5.3333335	2.981424	13.0	0.0	164.83333	55.067127	285.0	59.0	1000.0	85049.0	0.14920877192982457	1.1173222	0.6549363	2.9282935	-0.39815298	14.640133	5.3740897	56.982758	1.2940202	-3.7252903e-09	-0.010240857	-1.4901161e-08	0.0010700794	0.3186309	-0.09425278	141.1423	-44.397644	0	0	1.8686548	0.0	1.7898017	0.009230529	570000	1243.2789824008942
19	6.0833335	2.481879	13.0	1.0	178.08333	62.48528	279.0	55.0	1000.0	90018.0	0.15003	1.2945052	0.6231349	2.9558249	-0.3061498	17.561132	6.706326	57.807873	-1.6395826	0.0	-0.010719252	-7.450581e-09	-0.013757092	0.23089717	-0.08006281	119.09387	-31.790092	0	0	1.796303	0.0	1.7479012	0.00937859	600000	1311.5168597698212
20	7.5833335	3.6732893	18.0	1.0	132.375	40.863403	238.0	62.0	1000.0	94092.0	0.14935238095238096	1.3384008	0.5882912	2.9459193	-0.3136083	16.039762	5.89526	55.30813	0.008104891	-1.1175871e-08	-0.0120312935	7.450581e-09	-0.009142682	0.48513806	-0.15335834	84.55721	-31.039387	0	0	1.7058975	0.0	1.7261411	0.009172451	630000	1380.3513114452362
21	6.3333335	3.6362371	18.0	2.0	157.83333	56.98221	323.0	88.0	1000.0	98702.0	0.14954848484848485	1.3936093	0.72480845	3.2513144	-0.6239274	14.55934	4.899945	42.472256	0.8994909	3.7252903e-09	-0.009947163	-4.4703484e-08	-0.0102826655	0.35661298	-0.120553	95.49193	-26.954332	0	0	1.9560719	0.0	1.7228775	0.009185873	660000	1443.1865165233612
22	6.9166665	3.1080093	17.0	1.0	155.08333	61.698135	289.0	35.0	1000.0	103288.0	0.1496927536231884	1.5239167	0.63703656	3.1449842	-0.43562198	15.825517	5.5337667	49.966164	1.05367	-5.5879354e-09	-0.011676372	-4.4703484e-08	-0.012379594	0.37151688	-0.15429819	89.55335	-33.504417	0	0	1.787019	0.0	1.7142547	0.009507886	690000	1508.1753203868866
23	7.2083335	2.3270004	14.0	2.0	152.58333	45.734665	265.0	82.0	1000.0	107704.0	0.14958888888888888	1.5455403	0.64053005	3.0970552	-0.34579772	15.850535	5.6881175	48.650932	2.8584075	-9.080395e-09	-0.011525274	-2.9802322e-08	-0.0007175505	0.27516478	-0.10274579	117.702995	-37.88903	0	0	1.7448969	0.0	1.6886132	0.009363838	720000	1574.0681459903717
24	7.875	2.1077733	12.0	4.0	135.70833	58.61348	288.0	41.0	1000.0	111854.0	0.14913866666666667	1.613839	0.52369267	2.8881907	-0.08711744	15.534314	6.0368676	58.254215	2.3931189	-1.1175871e-08	-0.010137226	-5.9604645e-08	-0.0052239643	0.23982608	-0.075482726	103.57207	-43.322422	0	0	2.007779	0.0	1.6459358	0.009456675	750000	1635.703489780426
