Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.41666666	0.6400955	2.0	0.0	84.458336	60.67123	213.0	0.0	1000.0	2542.0	0.08473333333333333	-0.3270858	0.27804473	0.46231997	-1.2539672	-0.37403327	0.5200781	1.0650415	-1.6328111	3.7252903e-09	-0.008456977	9.313226e-08	-0.006549645	0.35594165	-0.27610463	148.27187	-89.515076	0	0	2.2910156	0.0	1.837877	0.008065853	30000	18.071076154708862
1	0.5	0.7637626	2.0	0.0	87.041664	78.77789	243.0	0.0	1000.0	5028.0	0.0838	-0.0031056055	0.3246933	0.8675814	-0.8512155	7.144233	3.7444103	15.949426	-1.5970615	5.5879354e-09	-0.010267887	1.4901161e-08	0.0058482997	0.06721837	-0.012948517	70.190605	-15.036726	0	0	1.9505892	0.0	1.8645344	0.009010685	60000	35.38598704338074
2	1.125	1.092112	4.0	0.0	102.041664	64.15377	234.0	0.0	1000.0	8418.0	0.09353333333333333	0.09715561	0.3652056	1.0862252	-0.75898737	11.791875	5.808978	23.86472	-4.275696	-8.381903e-09	-0.011178481	-5.9604645e-08	-0.0020252261	0.13508388	-0.028711677	77.3619	-9.357407	0	0	1.8608207	0.0	1.8554815	0.00888125	90000	51.78738760948181
3	1.2916666	1.2068957	4.0	0.0	128.04167	63.567207	272.0	14.0	1000.0	11934.0	0.09945	0.24837863	0.4244167	1.4298743	-0.65638053	11.7480545	5.967549	30.316113	-3.329995	5.5879354e-09	-0.009544808	-4.4703484e-08	-0.0008552149	0.11562983	-0.01649608	71.41356	-9.475895	0	0	1.7510731	1.0	1.8743856	0.0062277694	120000	72.4103786945343
4	2.0833333	1.2555432	4.0	0.0	108.208336	62.969555	232.0	0.0	1000.0	15388.0	0.10258666666666667	0.39314425	0.45153898	1.7472559	-0.48597807	12.2459545	6.1212153	33.40496	-4.8214903	-3.7252903e-09	-0.012493631	-1.1920929e-07	-0.003468074	0.1317237	-0.011677092	78.0293	-9.214596	0	0	1.6823099	0.0	1.874691	0.009927241	150000	94.34683275222778
5	2.2916667	1.6703085	6.0	0.0	104.041664	59.953785	221.0	5.0	1000.0	18661.0	0.10367222222222222	0.5503552	0.50352913	1.8021342	-0.48830527	12.100202	6.04333	34.961185	-0.91778076	3.7252903e-09	-0.011702904	1.4901161e-08	-0.0024730982	0.2232875	-0.073646955	59.804626	-11.201923	0	0	1.7534288	0.0	1.869132	0.00985622	180000	127.28732371330261
6	3.375	1.9538957	9.0	1.0	100.25	38.969273	181.0	20.0	1000.0	21586.0	0.1027904761904762	0.584319	0.41534302	1.7797341	-0.54143965	10.865211	6.8269215	34.807922	-1.8512164	-7.450581e-09	-0.0102075	-5.5879354e-09	-0.0058388547	0.21895057	-0.042389244	48.49063	-9.991242	0	0	1.6352259	1.0	1.8611932	0.0063187964	210000	156.29289841651917
7	3.875	1.4807796	6.0	0.0	90.583336	39.294735	184.0	16.0	1000.0	24184.0	0.10076666666666667	0.7492634	0.51271677	1.9727283	-0.5920414	10.336794	5.5937157	32.237762	-0.5385828	-7.450581e-09	-0.011816563	-1.4901161e-08	-0.004983747	0.16579172	-0.021308329	40.42677	-6.1517177	0	0	1.7461962	0.0	1.8474207	0.009603776	240000	189.3299479484558
8	4.625	1.8666481	8.0	1.0	75.041664	37.04893	166.0	18.0	1000.0	26649.0	0.0987	0.8621517	0.48154205	1.9874123	-0.5796281	8.7334385	5.001507	30.854376	0.24916841	-3.7252903e-09	-0.011574529	1.4901161e-08	0.00011019746	0.2170115	-0.051904462	46.470787	-7.2425485	0	0	1.75965	0.0	1.8330733	0.009995301	270000	217.13533568382263
9	5.7083335	2.244979	9.0	0.0	78.541664	38.88228	176.0	23.0	1000.0	28852.0	0.09617333333333333	1.0544608	0.5546394	2.3227615	-0.60898286	8.075512	5.2921495	36.321415	-0.45376307	-7.450581e-09	-0.0101715475	-2.4214387e-08	0.004360197	0.20644714	-0.04162077	38.064453	-6.8291397	0	0	1.9250447	0.0	1.8084006	0.009539222	300000	249.8094186782837
