Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	34.5	43.29838	106.0	0.0	0.2	0.4	1.0	0.0	31.0	54.003704	155.0	0.0	860.75	1000.0	3999	0.49075073	1.1255126	5.6378436	-13.116563	-0.65296036	0.0115036415	49.97728896141052
2	0.2	0.4	1.0	0.0	37.2	36.07991	88.0	0.0	4.2	3.2496152	9.0	0.0	73.7	59.923367	173.0	0.0	781.0	735.1	7999	3.0037916	2.8069265	15.160178	-16.463072	-3.2883666	0.030142348	101.24610590934753
3	0.75	0.8291562	2.0	0.0	7.5	12.990381	30.0	0.0	1.4	1.6852299	5.0	0.0	19.0	23.400854	65.0	0.0	1000.0	1000.0	11999	5.5531273	3.4162483	17.344662	-24.04874	-5.8138094	0.04038	158.19212317466736
4	2.0	2.1213202	5.0	0.0	192.25	138.386	343.0	41.0	6.3	2.758623	10.0	2.0	46.7	32.557796	116.0	5.0	1000.0	1000.0	15999	7.3555193	4.344752	22.91812	-33.863865	-7.6169276	0.08480597	216.22043585777283
5	5.25	1.299038	6.0	3.0	83.0	42.491177	147.0	28.0	4.0	3.4058774	11.0	0.0	38.8	29.885782	87.0	0.0	1000.0	1000.0	19999	8.849756	5.071952	24.710651	-29.519682	-9.124029	0.14487784	274.11934304237366
6	3.75	1.7853571	6.0	2.0	76.75	67.20631	189.0	16.0	1.5	1.024695	3.0	0.0	164.2	163.73259	432.0	0.0	1000.0	1000.0	23999	10.167097	5.012271	31.893274	-21.702501	-10.428117	0.15976965	332.4872636795044
7	3.75	1.47902	6.0	2.0	96.25	86.34343	216.0	0.0	4.2	2.8213472	10.0	1.0	50.6	53.35204	163.0	0.0	1000.0	1000.0	27999	11.246714	5.693067	34.325695	-29.039059	-11.513637	0.20650107	391.04359459877014
8	3.75	1.7853571	6.0	1.0	73.25	76.26721	198.0	0.0	2.3	1.951922	7.0	0.0	74.4	141.67865	490.0	0.0	1000.0	1000.0	31999	12.746543	6.457839	37.71789	-34.030476	-13.04393	0.21660043	449.00196170806885
9	4.0	2.738613	7.0	0.0	73.5	57.725643	145.0	0.0	1.6	0.9165151	3.0	0.0	87.5	88.70203	242.0	0.0	993.0	1000.0	35999	14.2764635	6.885528	41.15042	-37.64552	-14.567991	0.25428182	507.4521119594574
10	5.0	2.1213202	8.0	2.0	112.5	68.24405	220.0	53.0	2.7	1.6763054	6.0	0.0	16.3	21.922817	69.0	0.0	1000.0	1000.0	39999	15.513588	7.2092366	41.173744	-35.70353	-15.8042965	0.30806234	565.6470463275909
