Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	8.25	14.289419	33.0	0.0	0.0	0.0	0.0	0.0	252.4	278.0159	781.0	0.0	862.0	554.0	3999	0.7493365	0.62397873	3.9185033	-0.5411419	-0.9066763	0.001999324	38.30606770515442
2	0.0	0.0	0.0	0.0	59.5	35.878265	95.0	0.0	0.2	0.4	1.0	0.0	339.6	315.00452	870.0	0.0	1000.0	698.4	7999	3.5461924	1.6530453	10.842467	-2.026485	-3.8064098	0.010539053	85.17816257476807
3	0.75	0.8291562	2.0	0.0	84.0	117.6414	287.0	0.0	0.3	0.90000004	3.0	0.0	216.4	209.33093	665.0	0.0	962.25	735.3	11999	8.100902	2.4889019	21.223938	-4.2421923	-8.448541	0.051068205	132.08345341682434
4	2.0	1.2247449	3.0	0.0	240.5	241.7783	633.0	33.0	0.9	0.83066237	2.0	0.0	334.2	276.2744	665.0	0.0	1000.0	1000.0	15999	11.54595	2.34423	25.840727	-5.372472	-11.794555	0.07443366	184.4445400238037
5	2.75	3.269174	8.0	0.0	157.5	140.10799	301.0	0.0	3.4	3.168596	12.0	0.0	395.8	300.93048	916.0	0.0	1000.0	1000.0	19999	13.66243	2.8348887	35.244286	-5.6313057	-13.905102	0.0898957	237.43870949745178
6	1.5	1.118034	3.0	0.0	479.25	284.48584	764.0	7.0	1.6	2.0099752	6.0	0.0	300.5	326.82846	861.0	1.0	1000.0	910.1	23999	15.55341	3.1635501	40.81474	-8.405011	-15.794764	0.11052378	288.58264350891113
7	0.5	0.8660254	2.0	0.0	652.75	199.16373	888.0	349.0	2.4	2.3323808	6.0	0.0	491.7	363.4328	962.0	7.0	1000.0	1000.0	27999	17.11356	3.2442827	37.680008	-7.302134	-17.321661	0.09911882	342.3390996456146
8	1.2	1.6	4.0	0.0	311.6	317.95197	866.0	0.0	1.6	1.2806249	4.0	0.0	521.6	227.04018	914.0	162.0	789.4	1000.0	31999	17.637568	3.2118232	37.36063	-5.8244114	-17.815058	0.10033366	395.60590291023254
9	1.25	1.0897248	3.0	0.0	484.0	263.81717	881.0	192.0	3.8	2.7856777	8.0	0.0	273.1	267.97366	795.0	0.0	1000.0	1000.0	35999	17.543638	3.3929236	37.870815	-13.978768	-17.695736	0.10350786	448.43181586265564
10	2.25	1.9202864	5.0	0.0	487.0	313.41986	919.0	51.0	1.8	1.8867962	6.0	0.0	189.9	169.45055	476.0	0.0	1000.0	1000.0	39999	17.366362	3.7132905	38.535896	-7.964016	-17.514399	0.10695519	501.5614335536957
11	2.75	2.1650636	6.0	0.0	188.5	171.33665	397.0	14.0	0.5	0.8062258	2.0	0.0	197.7	210.47853	553.0	0.0	1000.0	1000.0	43999	17.378508	3.8856423	36.804577	-9.436528	-17.527637	0.113206156	554.2304906845093
12	1.75	1.0897248	3.0	0.0	175.25	186.28255	462.0	5.0	2.1	2.3430748	7.0	0.0	290.0	192.73816	616.0	0.0	1000.0	1000.0	47999	17.193106	4.104612	43.640717	-6.499166	-17.328121	0.13731048	606.8492352962494
13	2.5	1.118034	4.0	1.0	445.5	93.926834	568.0	345.0	2.8	2.1354158	6.0	0.0	350.6	258.22943	840.0	30.0	1000.0	1000.0	51999	16.999435	4.4473825	43.823967	-5.6721263	-17.13168	0.14477591	659.5100271701813
14	1.5	1.6583124	4.0	0.0	371.0	96.822	531.0	271.0	4.8	4.68615	14.0	0.0	335.9	271.9862	792.0	6.0	1000.0	1000.0	55999	16.894934	4.566796	39.47597	-11.816274	-17.040672	0.15145314	712.5384271144867
15	1.5	1.5	3.0	0.0	679.75	184.4673	874.0	459.0	4.0	3.224903	9.0	0.0	408.4	249.21124	891.0	164.0	1000.0	1000.0	59999	16.763401	4.9524255	41.03128	-12.962004	-16.889076	0.15995099	765.6536157131195
16	5.25	3.344772	11.0	3.0	486.0	268.8001	712.0	27.0	1.8	1.9899747	6.0	0.0	519.7	231.65883	819.0	50.0	1000.0	1000.0	63999	16.438122	5.046927	40.73716	-6.9234014	-16.544847	0.16734613	818.7114701271057
17	3.0	1.0	4.0	2.0	403.25	164.11943	582.0	141.0	3.3	2.93428	10.0	0.0	483.9	172.57315	780.0	228.0	1000.0	1000.0	67999	15.915295	5.2585206	40.864964	-5.9441166	-16.02066	0.18213561	871.5371129512787
