Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	52.6	38.974865	104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	710.4	1000.0	3999	1.0966468	1.1603338	7.772411	-1.477905	-1.3576552	0.008144084	56.646488189697266
2	0.16666667	0.372678	1.0	0.0	22.833334	43.666985	120.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	685.5	1000.0	7999	9.91283	5.322148	30.387722	-5.2109036	-10.899006	0.10529958	120.62021374702454
3	0.0	0.0	0.0	0.0	20.166666	24.224072	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	711.6667	1000.0	11999	30.641352	9.852198	88.31168	-10.802894	-32.320343	0.43153363	185.71909928321838
4	0.0	0.0	0.0	0.0	0.5	0.8660254	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	15999	55.411514	21.611568	165.40062	-17.63461	-57.457443	1.2684401	250.9999086856842
5	0.0	0.0	0.0	0.0	29.0	50.229473	116.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	19999	95.08752	49.24674	358.11023	-45.30336	-98.85139	4.2648273	316.7856798171997
6	0.0	0.0	0.0	0.0	89.75	155.45155	359.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	23999	146.20949	93.27229	654.7681	-55.095642	-150.57896	10.839182	380.38442850112915
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.8	94.45189	238.0	0.0	1000.0	1000.0	27999	219.12025	123.40777	668.70905	-117.41842	-226.41412	25.75441	445.8142774105072
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.1	230.77065	773.0	0.0	1000.0	1000.0	31999	299.7954	139.03458	757.20154	-130.18353	-306.02652	34.593536	512.0787494182587
9	0.0	0.0	0.0	0.0	24.5	19.4615	54.0	0.0	0.0	0.0	0.0	0.0	99.4	200.37123	663.0	0.0	1000.0	1000.0	35999	329.69028	120.384384	749.7796	-171.48875	-334.02054	33.674828	577.2574815750122
10	0.0	0.0	0.0	0.0	29.0	49.081566	114.0	0.0	0.0	0.0	0.0	0.0	4.8	14.400001	48.0	0.0	1000.0	934.7	39999	331.1644	104.63088	691.9886	-151.53558	-334.38174	30.229223	641.668429851532
11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	887.0	1000.0	43999	323.51114	85.75973	620.41394	-109.57706	-326.6307	25.464504	707.9040331840515
12	0.0	0.0	0.0	0.0	2.75	4.7631397	11.0	0.0	0.0	0.0	0.0	0.0	162.6	325.20493	817.0	0.0	1000.0	1000.0	47999	322.54324	74.537346	602.2919	-118.37765	-326.26065	22.15375	772.903644323349
13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	51999	332.4036	69.83424	599.71204	-81.76079	-336.57632	24.944492	838.4316065311432
14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	55999	347.32028	74.5418	679.96796	-121.91305	-351.77286	25.262867	903.4779322147369
15	0.0	0.0	0.0	0.0	21.0	36.373066	84.0	0.0	0.0	0.0	0.0	0.0	0.2	0.59999996	2.0	0.0	1000.0	1000.0	59999	354.51913	81.10374	696.4585	-95.03716	-358.44974	24.37264	968.2168302536011
16	0.0	0.0	0.0	0.0	310.5	313.01477	677.0	0.0	0.0	0.0	0.0	0.0	1.5	3.6124785	12.0	0.0	1000.0	1000.0	63999	355.65036	81.45612	693.7351	-150.52808	-359.35562	22.44966	1033.6392755508423
17	0.0	0.0	0.0	0.0	15.25	14.271913	30.0	0.0	0.0	0.0	0.0	0.0	79.0	201.26897	674.0	0.0	1000.0	1000.0	67999	351.71216	79.0972	643.91895	-185.6078	-355.21075	21.479097	1098.7859008312225
