Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.8	89.34518	208.0	0.0	1000.0	1000.0	3999	0.35558385	0.35842013	2.7474008	-0.3442025	-0.41092467	0.0003262651	43.89290404319763
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.97979593	3.0	0.0	73.3	69.188225	186.0	0.0	1000.0	1000.0	7999	1.4213442	0.9092405	6.0661883	0.05168235	-1.5137182	0.00060987443	94.11991024017334
3	4.25	4.2646804	9.0	0.0	15.75	10.638962	30.0	0.0	8.2	1.720465	10.0	5.0	85.7	35.25351	147.0	32.0	1000.0	1000.0	11999	3.0177307	1.2100549	13.776434	-3.4101477	-3.1386547	0.019511795	144.58579111099243
4	2.75	2.6809514	7.0	0.0	67.75	45.860523	121.0	0.0	5.1	2.385372	11.0	2.0	27.9	34.013084	117.0	0.0	788.75	1000.0	15999	4.574271	1.7430533	19.798325	-12.873619	-4.677202	0.048391514	196.23689675331116
5	3.75	1.7853571	6.0	2.0	46.25	35.477985	107.0	18.0	0.6	0.66332495	2.0	0.0	126.3	230.84933	634.0	0.0	1000.0	1000.0	19999	6.4689026	2.906658	26.249311	-15.843127	-6.6412616	0.05915433	248.19385862350464
6	6.0	1.8708287	8.0	3.0	23.0	15.652476	44.0	0.0	3.9	2.8089144	10.0	0.0	29.8	27.472897	86.0	0.0	1000.0	881.0	23999	9.109074	3.7472527	30.297853	-14.207254	-9.320367	0.07728028	298.52681612968445
7	3.5	3.354102	9.0	0.0	62.166668	75.06978	221.0	0.0	3.1	3.176476	9.0	0.0	148.6	269.15323	927.0	0.0	726.8333	995.6	27999	11.893458	4.391301	37.50673	-8.329428	-12.119059	0.11600049	351.1900713443756
8	6.25	3.8324275	11.0	2.0	40.0	32.41142	90.0	5.0	3.0	3.224903	11.0	0.0	101.7	142.47389	501.0	0.0	1000.0	1000.0	31999	14.544606	5.1977916	43.872856	-7.9722977	-14.799937	0.1873733	403.7260468006134
9	5.5	1.118034	7.0	4.0	49.5	23.584953	86.0	25.0	4.0	3.1304953	11.0	0.0	21.8	22.071701	68.0	0.0	894.0	973.0	35999	17.666945	5.691654	53.50352	-9.303721	-17.970318	0.26988164	455.7602963447571
10	8.25	2.6809514	11.0	4.0	29.5	27.40894	73.0	0.0	3.7	4.148494	12.0	0.0	6.8	9.641577	30.0	0.0	1000.0	984.3	39999	20.940697	6.055885	54.83036	-7.429558	-21.253668	0.3532433	507.46225094795227
