Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	1.9621416	7.0	0.0	94.3	107.21385	305.0	1.0	1000.0	1000.0	3999	0.33956462	0.34934357	2.096709	-0.52743006	-0.41073173	0.0004431214	41.13658308982849
2	0.0	0.0	0.0	0.0	0.75	1.299038	3.0	0.0	1.7	1.5524174	5.0	0.0	90.0	103.708244	315.0	0.0	1000.0	800.9	7999	1.9196466	1.0851558	5.9367323	-0.048851438	-2.055912	0.0009486684	85.93294620513916
3	3.5	3.5	7.0	0.0	29.25	32.337093	78.0	0.0	3.3	2.7946377	8.0	0.0	177.2	159.50787	569.0	0.0	1000.0	915.7	11999	4.232525	2.0485542	16.456762	0.7086692	-4.408191	0.015579004	132.83170580863953
4	7.0	3.082207	11.0	4.0	83.75	66.829544	159.0	4.0	6.0	3.8729835	12.0	0.0	163.1	219.52016	783.0	3.0	1000.0	1000.0	15999	6.545423	2.3413734	22.212122	-0.27876723	-6.6940856	0.04208655	183.00166130065918
5	10.0	1.8708287	12.0	7.0	46.5	39.028835	114.0	21.0	6.8	3.789459	12.0	1.0	88.1	208.59505	713.0	0.0	1000.0	1000.0	19999	9.130804	2.9614587	27.797739	-0.30701482	-9.279087	0.05706543	233.02686476707458
6	7.0	2.345208	11.0	5.0	59.5	28.831406	95.0	21.0	5.3	3.522783	10.0	1.0	158.2	159.63383	562.0	14.0	1000.0	1000.0	23999	11.300213	3.246037	30.047308	0.28470984	-11.429037	0.071586736	282.73166584968567
7	5.0	3.082207	10.0	2.0	190.5	186.98863	460.0	14.0	9.7	3.0016663	15.0	4.0	36.0	28.117609	83.0	0.0	860.25	1000.0	27999	13.408379	3.4925864	33.118675	3.3461719	-13.554216	0.089308	331.7830173969269
8	7.75	3.6996622	14.0	5.0	88.75	56.66734	165.0	6.0	8.2	2.6000001	12.0	2.0	66.7	44.022835	143.0	5.0	1000.0	931.4	31999	15.347914	3.7091384	34.889496	3.546038	-15.4896755	0.112721376	380.4617831707001
9	6.4	3.2	10.0	2.0	87.2	95.61883	272.0	3.0	2.0	2.32379	7.0	0.0	11.8	10.656454	32.0	0.0	847.4	1000.0	35999	16.99372	3.9740174	37.70694	1.2362069	-17.124107	0.13607709	429.4932425022125
10	2.0	1.8708287	5.0	0.0	85.75	79.53733	206.0	12.0	4.7	4.0509257	13.0	0.0	237.9	163.19464	427.0	22.0	1000.0	1000.0	39999	18.093687	4.1757393	39.737183	-0.116693795	-18.22553	0.15036176	478.8554730415344
11	4.5	4.7169905	12.0	0.0	128.75	130.24857	336.0	4.0	7.3	4.0509257	12.0	0.0	119.5	140.02232	479.0	0.0	1000.0	1000.0	43999	19.020473	3.9482665	37.18779	-1.1009333	-19.149212	0.15648721	528.728277683258
12	6.0	2.828427	10.0	2.0	147.25	81.3461	231.0	26.0	7.1	4.526588	13.0	0.0	151.6	192.50517	646.0	4.0	1000.0	1000.0	47999	19.652636	4.0033464	40.90629	2.2296987	-19.779684	0.1681803	578.677473783493
13	6.5	3.2015622	9.0	1.0	109.75	82.808136	252.0	50.0	6.2	4.6	14.0	0.0	196.6	172.36601	463.0	1.0	1000.0	1000.0	51999	20.45359	4.290117	43.784515	1.672499	-20.582756	0.19605628	628.168478012085
14	8.0	4.0620193	14.0	3.0	73.25	52.608814	148.0	7.0	6.5	3.7749171	12.0	1.0	143.9	167.96753	566.0	5.0	1000.0	1000.0	55999	21.202822	4.38858	38.342056	-0.74696875	-21.337152	0.22265211	677.0070443153381
