Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	mmd_entropy	alpha	Time
1	0.0	0.0	0.0	0.0	11.75	20.351597	47.0	0.0	0.3	0.64031243	2.0	0.0	156.4	251.852	814.0	0.0	1000.0	1000.0	3999	-0.036358863	-0.036351472	0.038856074	0.004133118	0.23202023	0.100000024	90.35612297058105
2	0.0	0.0	0.0	0.0	45.5	47.44207	110.0	0.0	1.7	1.4866068	5.0	0.0	74.1	140.16737	472.0	0.0	1000.0	1000.0	7999	0.20506845	0.20507422	-0.21639884	0.00859915	0.30690056	0.10000002	203.67386889457703
3	1.0	1.7320508	4.0	0.0	138.5	140.11513	307.0	0.0	2.7	1.9	6.0	0.0	111.7	150.47462	488.0	0.0	1000.0	1000.0	11999	0.701412	0.7013907	-0.7185439	0.03341703	0.34424067	0.10000002	310.1406605243683
4	5.25	3.269174	9.0	2.0	88.75	67.846794	198.0	29.0	9.1	4.3462625	15.0	3.0	135.1	185.23415	601.0	0.0	1000.0	1000.0	15999	1.3486207	1.3487111	-1.3450171	0.11806071	0.65684813	0.10000002	418.5418803691864
5	8.25	3.344772	12.0	3.0	32.25	36.279297	93.0	0.0	3.5	2.6551836	8.0	0.0	39.0	42.04997	116.0	0.0	1000.0	1000.0	19999	3.4977653	3.4978158	-3.50315	0.1653325	1.3068289	0.10000002	525.4966354370117
6	9.75	2.4874685	12.0	6.0	39.5	14.534442	59.0	18.0	5.7	3.436568	12.0	2.0	103.8	106.52212	371.0	5.0	1000.0	1000.0	23999	6.151413	6.1514454	-6.132165	0.17327915	1.3757112	0.10000002	634.9235062599182
7	10.0	1.5811388	12.0	8.0	102.25	59.843025	168.0	29.0	12.1	3.9102428	16.0	3.0	37.6	39.108055	130.0	0.0	1000.0	1000.0	27999	8.572321	8.572556	-8.535912	0.18376938	1.4834194	0.10000002	743.6813328266144
8	13.5	0.5	14.0	13.0	74.25	43.309208	109.0	0.0	13.4	2.764055	18.0	9.0	97.1	73.85858	237.0	2.0	1000.0	1000.0	31999	10.874669	10.87466	-10.821749	0.20127462	1.5430634	0.10000002	849.0937559604645
9	13.75	0.8291562	15.0	13.0	66.0	9.137834	77.0	52.0	14.5	3.6945906	18.0	5.0	64.8	55.87271	171.0	0.0	1000.0	1000.0	35999	12.76706	12.766964	-12.681633	0.22350805	1.5015421	0.10000002	958.2663481235504
10	12.75	3.269174	16.0	9.0	71.5	35.8155	110.0	30.0	15.9	2.8442926	20.0	11.0	55.8	40.72788	153.0	0.0	1000.0	1000.0	39999	14.209671	14.209602	-14.102506	0.24228474	1.527427	0.10000002	1064.0670654773712
11	13.25	2.2776084	17.0	11.0	144.75	37.45247	181.0	82.0	15.3	1.9	19.0	11.0	59.1	37.227543	126.0	0.0	1000.0	1000.0	43999	15.4088	15.408711	-15.288356	0.25898394	1.5460184	0.10000002	1171.0073773860931
12	16.0	2.5495098	20.0	13.0	30.25	19.600702	52.0	0.0	14.9	2.2561028	18.0	11.0	50.7	41.646248	133.0	0.0	1000.0	1000.0	47999	16.627022	16.6269	-16.501143	0.2611378	1.6212187	0.10000002	1280.075133562088
13	14.25	0.8291562	15.0	13.0	97.5	50.865017	180.0	41.0	14.2	1.6613249	17.0	12.0	64.6	33.464012	111.0	0.0	1000.0	1000.0	51999	17.845478	17.845491	-17.711246	0.25371	1.639932	0.10000002	1389.022489309311
