Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	mmd_entropy	alpha	Time
3	0.16666667	0.37267798	1.0	0.0	34.333332	38.184494	129.0	0.0	1.6	0.66332495	3.0	1.0	106.3	92.795525	278.0	0.0	1000.0	1000.0	11999	-0.12537378	-0.12539203	0.16284052	0.111721955	0.48463944	0.11999999	84.79670596122742
4	1.25	1.6393596	4.0	0.0	162.5	159.63788	381.0	0.0	1.8	0.59999996	3.0	1.0	160.2	244.80351	820.0	0.0	1000.0	1000.0	15999	0.2789644	0.2788142	-0.25477457	0.1629553	0.83515894	0.11999999	191.90680813789368
5	1.25	1.6393596	4.0	0.0	80.0	109.080246	268.0	0.0	0.8	0.8717798	3.0	0.0	242.9	289.86945	719.0	0.0	1000.0	1000.0	19999	1.0625758	1.0626957	-1.0294515	0.25743574	1.131479	0.11999999	299.5361659526825
6	1.5	0.8660254	3.0	1.0	69.75	77.22168	192.0	0.0	0.7	1.0049876	3.0	0.0	101.2	121.0717	392.0	0.0	1000.0	1000.0	23999	2.5013554	2.501093	-2.4442542	0.25972363	1.7269619	0.11999999	406.7851209640503
7	3.5	0.5	4.0	3.0	36.25	34.441074	93.0	0.0	2.0	1.8439089	5.0	0.0	29.7	44.267483	140.0	0.0	1000.0	1000.0	27999	4.009243	4.009154	-3.9333367	0.3087976	1.653694	0.11999999	513.6028473377228
8	5.0	3.6055512	10.0	0.0	137.25	166.06833	422.0	4.0	1.7	1.0999999	3.0	0.0	52.4	109.37842	376.0	0.0	1000.0	1000.0	31999	5.076027	5.0759163	-4.9852977	0.3905768	1.7883576	0.11999999	622.5606262683868
9	3.5	1.5	5.0	1.0	61.25	72.10539	185.0	5.0	2.6	1.9078784	6.0	0.0	32.6	61.01836	191.0	0.0	1000.0	1000.0	35999	6.4613457	6.46118	-6.36126	0.46238458	2.2134657	0.11999999	741.3851008415222
10	2.75	2.4874685	7.0	1.0	108.0	70.09993	206.0	26.0	1.8	1.6	5.0	0.0	130.3	216.4126	665.0	0.0	1000.0	1000.0	39999	8.130333	8.130159	-8.016759	0.48611486	2.3752944	0.11999999	850.2764632701874
11	4.5	1.8027756	7.0	2.0	116.5	65.854004	213.0	29.0	2.6	1.8	5.0	0.0	28.5	30.16372	78.0	0.0	1000.0	1000.0	43999	9.464007	9.463911	-9.333242	0.5626468	2.4780436	0.11999999	956.6673166751862
12	2.75	1.7853571	5.0	1.0	61.5	55.328564	151.0	0.0	1.8	1.077033	3.0	0.0	88.5	144.83112	492.0	0.0	1000.0	1000.0	47999	10.418457	10.418402	-10.271937	0.6186464	2.463143	0.11999999	1062.1198017597198
13	3.75	2.9474566	8.0	1.0	74.75	64.9976	179.0	2.0	1.5	1.2041595	4.0	0.0	72.5	109.599495	367.0	0.0	1000.0	1000.0	51999	11.081355	11.081173	-10.92315	0.623823	2.5288618	0.11999999	1168.5240631103516
14	4.0	3.0	9.0	1.0	20.0	22.97825	56.0	0.0	1.0	0.8944272	3.0	0.0	62.1	107.879974	362.0	0.0	1000.0	1000.0	55999	11.70592	11.705701	-11.540215	0.67514354	2.6003768	0.11999999	1272.3885374069214
15	2.5	0.8660254	4.0	2.0	183.5	128.20589	344.0	0.0	0.9	0.83066237	2.0	0.0	32.0	54.57472	148.0	0.0	1000.0	1000.0	59999	12.249474	12.249357	-12.080097	0.68903	2.6610458	0.11999999	1375.4834430217743
16	3.75	2.4874685	8.0	2.0	65.5	70.71951	171.0	0.0	1.0	1.0954452	3.0	0.0	38.5	49.83021	138.0	0.0	1000.0	1000.0	63999	12.651487	12.651362	-12.476377	0.7122216	2.655273	0.11999999	1478.4185907840729
17	2.75	2.046338	6.0	1.0	82.0	142.02817	328.0	0.0	1.2	0.97979593	3.0	0.0	136.3	154.63509	463.0	0.0	1000.0	1000.0	67999	13.090286	13.090207	-12.916138	0.68884987	2.720066	0.11999999	1580.811045408249
18	4.0	1.5811388	6.0	2.0	60.5	26.205915	97.0	27.0	0.7	1.0049876	3.0	0.0	134.6	198.91013	511.0	0.0	1000.0	1000.0	71999	13.534657	13.534637	-13.363594	0.68687844	2.6722212	0.11999999	1682.8541233539581
