Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	mmd_entropy	alpha	Time
1	0.0	0.0	0.0	0.0	90.0	112.30539	275.0	0.0	0.4	0.8	2.0	0.0	38.9	61.576702	152.0	0.0	1000.0	1000.0	3999	0.050770912	0.050764594	-0.05037366	0.0005524213	0.18946503	0.100000024	75.32096242904663
2	0.0	0.0	0.0	0.0	14.5	25.114737	58.0	0.0	0.1	0.29999998	1.0	0.0	256.5	344.68658	921.0	0.0	1000.0	1000.0	7999	0.793063	0.79306346	-0.83944595	0.0010729388	0.28238153	0.10000002	163.4089856147766
3	0.5	0.5	1.0	0.0	6.5	11.25833	26.0	0.0	1.4	1.5620499	5.0	0.0	175.7	239.32657	859.0	2.0	1000.0	1000.0	11999	1.8940897	1.8941072	-1.9335726	0.0069277026	0.34063262	0.10000002	255.36534237861633
4	1.0	0.70710677	2.0	0.0	96.5	47.67861	179.0	66.0	2.7	2.1000001	5.0	0.0	85.0	60.044983	217.0	10.0	1000.0	1000.0	15999	2.6835597	2.68357	-2.7024171	0.028790737	0.59674746	0.10000002	345.5344502925873
5	3.75	2.8613808	7.0	0.0	99.0	38.542183	164.0	63.0	3.6	2.4576411	8.0	0.0	75.6	48.814342	163.0	14.0	1000.0	1000.0	19999	4.02436	4.0243926	-4.02942	0.06372458	0.91475207	0.10000002	434.81608748435974
6	6.75	2.8613808	10.0	3.0	83.25	56.94899	162.0	13.0	6.7	3.3481338	12.0	2.0	59.6	25.644493	99.0	30.0	1000.0	1000.0	23999	5.473569	5.473608	-5.462577	0.08154965	1.0478823	0.10000002	524.7411696910858
7	8.75	2.2776084	11.0	5.0	77.25	41.49925	127.0	30.0	9.2	1.720465	13.0	6.0	63.0	37.44596	131.0	8.0	1000.0	1000.0	27999	7.3619823	7.3620296	-7.357292	0.09862823	1.1540681	0.10000002	622.6906027793884
8	9.0	2.5495098	13.0	6.0	154.0	112.9646	349.0	77.0	7.3	4.670118	12.0	0.0	70.2	37.085846	131.0	0.0	1000.0	1000.0	31999	9.259226	9.25927	-9.237621	0.13263969	1.1979772	0.10000002	723.0526614189148
9	10.75	2.772634	13.0	6.0	89.5	14.044572	103.0	68.0	9.8	1.720465	14.0	8.0	63.2	44.532684	135.0	0.0	1000.0	1000.0	35999	11.11535	11.115342	-11.078802	0.16531183	1.277736	0.10000002	825.4920794963837
10	9.25	1.47902	11.0	7.0	62.25	20.932928	87.0	30.0	7.3	2.570992	11.0	4.0	36.8	24.028318	74.0	0.0	1000.0	1000.0	39999	12.609827	12.609737	-12.562157	0.18903461	1.2761853	0.10000002	928.2140264511108
11	6.5	1.6583124	8.0	4.0	34.25	34.251823	69.0	0.0	4.2	3.8157568	13.0	0.0	101.2	239.41963	816.0	0.0	1000.0	1000.0	43999	13.996155	13.996159	-13.950024	0.20715275	1.3480523	0.10000002	1033.2584500312805
12	6.5	1.5	9.0	5.0	38.5	29.483046	81.0	0.0	8.3	3.1	13.0	2.0	186.3	228.75185	791.0	0.0	1000.0	1000.0	47999	15.221306	15.221232	-15.167009	0.21046066	1.3155793	0.10000002	1137.86199259758
13	9.75	1.0897248	11.0	8.0	65.75	30.946526	113.0	27.0	7.6	4.1761227	12.0	0.0	76.5	48.80625	188.0	0.0	1000.0	1000.0	51999	16.257275	16.25731	-16.194817	0.21770978	1.3316809	0.10000002	1239.7169034481049
14	9.25	2.8613808	13.0	5.0	73.0	37.067505	113.0	35.0	6.9	3.7269292	12.0	1.0	44.6	50.014397	154.0	0.0	1000.0	1000.0	55999	17.079224	17.079262	-17.00383	0.22375351	1.326351	0.10000002	1343.2959730625153
15	10.0	1.2247449	12.0	9.0	111.5	30.85855	149.0	72.0	10.1	3.8587565	14.0	0.0	83.8	86.85597	296.0	0.0	1000.0	1000.0	59999	17.739798	17.739912	-17.65754	0.23344094	1.3612163	0.10000002	1446.2736299037933
16	10.25	1.9202864	13.0	8.0	104.75	73.39746	223.0	29.0	11.0	2.828427	13.0	3.0	48.4	32.98545	104.0	0.0	1000.0	1000.0	63999	18.199173	18.199144	-18.10752	0.2372037	1.3070161	0.10000002	1548.8732495307922
17	11.25	1.7853571	13.0	9.0	52.25	48.643475	130.0	0.0	10.1	3.6180108	13.0	1.0	105.2	184.6287	653.0	0.0	1000.0	1000.0	67999	18.42616	18.426125	-18.325895	0.23242493	1.2790996	0.10000002	1652.1635074615479
18	9.75	1.7853571	12.0	8.0	68.25	21.579794	99.0	43.0	10.7	1.6155494	13.0	7.0	47.4	28.40493	88.0	0.0	1000.0	1000.0	71999	18.551428	18.551353	-18.444094	0.24136573	1.2714846	0.10000002	1755.2421486377716
19	11.25	2.58602	15.0	8.0	67.75	40.88016	125.0	14.0	10.0	2.828427	12.0	2.0	43.6	24.731358	94.0	0.0	1000.0	1000.0	75999	18.668068	18.668043	-18.553226	0.25781086	1.2824167	0.10000002	1857.2323606014252
20	10.75	0.8291562	12.0	10.0	48.25	32.5682	100.0	15.0	10.9	1.6401219	13.0	9.0	74.0	45.93474	196.0	19.0	1000.0	1000.0	79999	18.694763	18.694624	-18.576046	0.25108916	1.2460136	0.10000002	1959.6159143447876
21	11.25	2.4874685	15.0	8.0	32.0	11.640447	42.0	13.0	9.9	2.9137604	13.0	4.0	104.2	149.99919	543.0	8.0	1000.0	1000.0	83999	18.704165	18.704168	-18.581535	0.25596187	1.2839258	0.10000002	2063.4596226215363
22	11.5	1.118034	13.0	10.0	50.5	47.22552	121.0	0.0	7.2	4.1182523	14.0	1.0	94.7	126.52908	452.0	0.0	1000.0	1000.0	87999	18.741335	18.741293	-18.613258	0.26333594	1.2879624	0.10000002	2168.3697607517242
23	11.0	1.5811388	13.0	9.0	62.25	34.578716	112.0	15.0	10.5	2.7658634	14.0	5.0	44.6	28.121878	110.0	0.0	1000.0	1000.0	91999	18.755657	18.755606	-18.62314	0.26628783	1.3107154	0.10000002	2270.1624205112457
24	11.75	1.299038	13.0	10.0	51.75	39.104828	100.0	0.0	10.1	3.176476	14.0	3.0	53.5	34.874775	118.0	0.0	1000.0	1000.0	95999	18.840414	18.840462	-18.7073	0.2575737	1.3266546	0.10000002	2373.03680062294
25	11.75	2.1650636	15.0	9.0	36.25	26.013218	75.0	3.0	11.1	3.5902648	15.0	1.0	40.6	29.574314	115.0	7.0	1000.0	1000.0	99999	18.8782	18.878197	-18.74256	0.25413302	1.3011882	0.10000002	2476.3385944366455
26	12.0	1.2247449	14.0	11.0	64.0	32.132538	111.0	22.0	13.0	1.183216	14.0	11.0	60.1	32.92552	127.0	22.0	1000.0	1000.0	103999	18.903854	18.903845	-18.767332	0.2531001	1.2941445	0.10000002	2577.628562927246
27	13.0	1.2247449	14.0	11.0	34.75	19.753164	57.0	3.0	10.2	2.6758175	14.0	5.0	79.3	101.49784	375.0	8.0	1000.0	1000.0	107999	18.942188	18.942253	-18.803894	0.25344115	1.2742372	0.10000002	2678.650634765625
28	11.25	1.47902	13.0	9.0	78.0	28.169132	121.0	42.0	10.7	3.606938	13.0	0.0	53.7	30.496067	103.0	0.0	1000.0	1000.0	111999	18.941385	18.941465	-18.80099	0.25405806	1.2700794	0.10000002	2778.948741912842
29	12.75	0.8291562	14.0	12.0	68.75	39.39781	127.0	21.0	12.5	2.4596748	16.0	7.0	26.7	17.38994	58.0	0.0	1000.0	1000.0	115999	18.946733	18.946747	-18.802351	0.25512412	1.2657319	0.10000002	2879.1520495414734
30	12.0	1.2247449	13.0	10.0	34.0	27.202942	68.0	0.0	10.6	3.4117444	15.0	2.0	118.8	237.41643	823.0	0.0	1000.0	1000.0	119999	18.882767	18.882708	-18.734566	0.25243813	1.2561374	0.10000002	2980.0439083576202
31	12.25	2.046338	14.0	9.0	55.0	42.467636	127.0	17.0	10.0	3.8729835	13.0	0.0	35.9	25.839697	72.0	0.0	1000.0	1000.0	123999	18.797476	18.797476	-18.64816	0.2597053	1.2299341	0.10000002	3081.905453443527
32	10.75	1.0897248	12.0	9.0	66.0	21.224985	96.0	36.0	11.7	1.8466185	14.0	9.0	56.9	30.761827	109.0	17.0	1000.0	1000.0	127999	18.769583	18.769674	-18.620165	0.2524877	1.2367399	0.10000002	3182.8945622444153
33	13.25	1.47902	15.0	11.0	46.5	41.11265	107.0	0.0	11.7	1.6763054	15.0	9.0	58.0	45.006664	132.0	0.0	1000.0	1000.0	131999	18.756462	18.75647	-18.606508	0.25081173	1.2421852	0.10000002	3283.4640731811523
34	12.0	1.4142135	14.0	10.0	48.0	16.324827	70.0	26.0	12.2	1.6613247	15.0	10.0	65.6	41.41304	125.0	0.0	1000.0	1000.0	135999	18.773355	18.773487	-18.623041	0.2533083	1.2504896	0.10000002	3384.88050365448
35	11.25	1.0897248	13.0	10.0	39.75	20.01718	61.0	13.0	11.7	1.1874342	13.0	10.0	56.1	25.66106	110.0	24.0	1000.0	1000.0	139999	18.810656	18.810596	-18.659853	0.25877252	1.2315124	0.10000002	3485.4007980823517
36	12.25	1.299038	14.0	11.0	48.75	1.7853571	51.0	47.0	11.6	0.9165152	13.0	10.0	57.4	29.668839	119.0	20.0	1000.0	1000.0	143999	18.817635	18.81767	-18.663782	0.26701555	1.2365069	0.10000002	3586.057275056839
37	11.25	0.4330127	12.0	11.0	81.25	33.04826	125.0	35.0	11.6	2.4576411	15.0	6.0	56.2	29.116318	95.0	14.0	1000.0	1000.0	147999	18.784388	18.784311	-18.62682	0.26871753	1.2325277	0.10000002	3686.2159922122955
38	12.0	1.2247449	13.0	10.0	50.5	9.233092	65.0	40.0	10.5	3.5	14.0	1.0	73.6	38.717438	119.0	16.0	1000.0	1000.0	151999	18.712833	18.712828	-18.554674	0.2597298	1.2214721	0.10000002	3787.0760514736176
39	11.75	2.8613808	14.0	7.0	34.25	34.3393	72.0	0.0	10.1	3.645545	13.0	0.0	60.4	34.797127	114.0	0.0	1000.0	1000.0	155999	18.654573	18.654566	-18.495586	0.25072268	1.2095279	0.10000002	3888.6600081920624
40	12.25	0.8291562	13.0	11.0	65.0	33.44398	97.0	12.0	11.6	1.2806249	14.0	10.0	70.2	34.05525	112.0	11.0	1000.0	1000.0	159999	18.586723	18.586761	-18.427431	0.25301194	1.2100146	0.10000002	3990.331621170044
41	10.25	1.7853571	13.0	8.0	55.5	11.757976	70.0	38.0	12.1	1.3747728	14.0	10.0	54.3	41.410263	114.0	0.0	1000.0	1000.0	163999	18.549803	18.549805	-18.389015	0.25607666	1.210112	0.10000002	4091.540667295456
42	11.5	0.5	12.0	11.0	70.0	24.010414	107.0	40.0	11.8	1.4696938	14.0	9.0	50.6	37.261776	122.0	0.0	1000.0	1000.0	167999	18.472872	18.472822	-18.31174	0.24924128	1.1725918	0.10000002	4191.738483905792
43	13.0	1.7320508	16.0	12.0	55.25	32.31389	109.0	29.0	11.3	1.7916472	14.0	8.0	54.6	35.606743	117.0	0.0	1000.0	1000.0	171999	18.355558	18.355682	-18.193253	0.24836874	1.1598847	0.10000002	4292.995369195938
44	11.25	1.47902	13.0	9.0	55.0	27.230497	83.0	10.0	11.2	3.8418746	17.0	2.0	37.1	29.32047	85.0	0.0	1000.0	1000.0	175999	18.295252	18.295296	-18.131683	0.24674001	1.1721306	0.10000002	4393.388651847839
45	12.5	1.5	14.0	10.0	59.0	12.0415945	78.0	46.0	11.2	1.9390719	15.0	8.0	42.2	39.36953	104.0	0.0	1000.0	1000.0	179999	18.24622	18.246252	-18.084286	0.24115604	1.164969	0.10000002	4493.701331138611
46	12.5	1.6583124	15.0	11.0	26.5	21.914606	59.0	0.0	11.3	1.1	14.0	10.0	72.3	41.07566	164.0	16.0	1000.0	1000.0	183999	18.20129	18.201275	-18.037525	0.23971729	1.1397146	0.10000002	4594.543614864349
