Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	mmd_entropy	alpha	Time
1	0.25	0.4330127	1.0	0.0	59.25	102.62401	237.0	0.0	0.4	0.48989797	1.0	0.0	161.6	265.06122	796.0	0.0	1000.0	1000.0	3999	-0.22238354	-0.22228622	0.22033134	0.04757714	0.37817496	0.100000024	81.7798707485199
2	0.0	0.0	0.0	0.0	147.25	99.64782	252.0	0.0	0.9	0.53851646	2.0	0.0	8.9	23.556103	79.0	0.0	1000.0	1000.0	7999	1.2662379	1.266319	-1.4097099	0.06847156	1.3912654	0.10000002	184.1782443523407
3	1.75	1.7853571	4.0	0.0	47.0	64.27286	156.0	0.0	2.1	1.6999999	6.0	0.0	17.5	27.04903	92.0	0.0	1000.0	1000.0	11999	4.0558906	4.055936	-4.1462564	0.10366665	1.523396	0.10000002	291.8981761932373
4	4.5	2.6925824	8.0	1.0	122.75	131.28285	339.0	0.0	3.3	3.5227828	10.0	0.0	76.1	122.805084	426.0	0.0	1000.0	1000.0	15999	5.854072	5.8540583	-5.908632	0.19107403	1.5769275	0.10000002	401.0180366039276
5	2.75	0.4330127	3.0	2.0	44.75	19.651653	61.0	12.0	2.2	2.6	9.0	0.0	25.2	25.806202	72.0	0.0	1000.0	1000.0	19999	7.4373026	7.437349	-7.4741006	0.26916906	1.5949006	0.10000002	505.22661900520325
6	4.25	3.7666297	10.0	0.0	83.25	57.84192	150.0	0.0	1.8	2.3151672	8.0	0.0	124.6	235.92339	687.0	0.0	1000.0	1000.0	23999	8.328405	8.328418	-8.325935	0.28690192	1.5383807	0.10000002	610.4470467567444
7	3.5	1.8027756	6.0	1.0	42.25	48.576614	123.0	0.0	1.6	1.2806249	4.0	0.0	58.0	104.05191	333.0	0.0	1000.0	1000.0	27999	9.147577	9.147633	-9.142591	0.27903277	1.5265765	0.10000002	716.3153960704803
8	1.75	1.7853571	4.0	0.0	26.0	35.41186	86.0	0.0	2.3	1.951922	6.0	0.0	28.0	36.13032	104.0	0.0	1000.0	1000.0	31999	9.794302	9.794411	-9.769616	0.2700891	1.515938	0.10000002	820.3214991092682
9	5.25	2.4874685	9.0	3.0	94.25	136.50343	330.0	0.0	2.0	2.0976176	6.0	0.0	65.8	140.5075	482.0	0.0	1000.0	1000.0	35999	10.202904	10.202977	-10.165641	0.28138524	1.5034739	0.10000002	924.5003490447998
10	5.75	3.9607449	11.0	0.0	116.0	117.81978	311.0	0.0	3.8	3.1874754	9.0	0.0	40.5	38.79755	116.0	0.0	1000.0	1000.0	39999	10.576955	10.576909	-10.522952	0.3052958	1.5164613	0.10000002	1028.039665222168
11	3.5	2.291288	7.0	1.0	51.5	30.236567	96.0	15.0	6.7	2.9342802	11.0	2.0	137.7	224.12589	755.0	0.0	1000.0	1000.0	43999	10.606446	10.606459	-10.546867	0.3286701	1.4990226	0.10000002	1133.8694026470184
12	4.25	1.47902	6.0	2.0	56.5	45.01944	110.0	0.0	4.1	3.4481878	11.0	0.0	33.5	34.940662	87.0	0.0	1000.0	1000.0	47999	10.700945	10.700863	-10.641473	0.34328082	1.4490126	0.10000002	1242.3008484840393
13	5.0	2.5495098	8.0	2.0	47.5	47.594643	129.0	14.0	5.1	2.9816103	12.0	0.0	30.6	38.41406	130.0	0.0	1000.0	1000.0	51999	10.659065	10.659109	-10.588994	0.37725914	1.4570274	0.10000002	1349.4054551124573
14	2.5	3.2787192	8.0	0.0	57.0	71.05631	174.0	0.0	2.0	1.8439089	6.0	0.0	21.4	27.426992	82.0	0.0	1000.0	1000.0	55999	10.628185	10.62819	-10.552527	0.39308557	1.4777532	0.10000002	1454.56148147583
15	4.0	3.391165	9.0	0.0	6.5	11.25833	26.0	0.0	3.1	2.9816103	9.0	0.0	10.7	16.480595	44.0	0.0	1000.0	1000.0	59999	10.555225	10.555239	-10.479073	0.37072894	1.4717188	0.10000002	1559.9764964580536
16	6.5	1.5	9.0	5.0	74.0	38.736286	141.0	50.0	5.0	3.9496837	10.0	0.0	35.7	36.61161	110.0	0.0	1000.0	1000.0	63999	10.688243	10.688292	-10.60717	0.40181673	1.507085	0.10000002	1664.478794336319
17	5.0	1.5811388	7.0	3.0	100.0	64.00391	188.0	17.0	3.3	2.3259406	7.0	0.0	13.4	21.923504	74.0	0.0	1000.0	1000.0	67999	10.5686035	10.568602	-10.471754	0.41962814	1.4122504	0.10000002	1770.1584565639496
18	3.5	3.2787192	9.0	1.0	23.5	26.244047	68.0	0.0	3.2	3.3406587	10.0	0.0	117.9	262.59036	889.0	0.0	1000.0	1000.0	71999	10.144343	10.144378	-10.040758	0.4396258	1.3764846	0.10000002	1875.0450296401978
19	3.0	2.5495098	7.0	0.0	57.5	88.962074	211.0	0.0	4.3	2.7946377	9.0	0.0	29.5	81.12367	272.0	0.0	1000.0	1000.0	75999	9.844367	9.844371	-9.739082	0.45221004	1.3735298	0.10000002	1979.9903361797333
20	6.75	2.8613808	10.0	3.0	54.75	36.840027	115.0	19.0	4.1	4.060788	11.0	0.0	34.5	45.61195	139.0	0.0	1000.0	1000.0	79999	9.565076	9.565003	-9.453488	0.46491823	1.3797216	0.10000002	2086.131287097931
21	4.75	1.47902	7.0	3.0	41.25	43.27456	101.0	0.0	2.3	4.4508424	15.0	0.0	5.2	8.316249	23.0	0.0	1000.0	1000.0	83999	9.30036	9.300314	-9.1895075	0.4649408	1.385218	0.10000002	2192.9954645633698
22	7.5	2.95804	11.0	3.0	40.75	44.784904	115.0	0.0	3.9	2.5865033	8.0	0.0	34.7	72.8355	244.0	0.0	1000.0	1000.0	87999	9.213584	9.213601	-9.096492	0.4875043	1.4036753	0.10000002	2299.046676635742
23	6.75	2.1650636	10.0	4.0	48.25	34.112865	101.0	11.0	3.2	2.7856777	8.0	1.0	19.1	29.683159	99.0	0.0	1000.0	1000.0	91999	8.915585	8.915474	-8.785742	0.48983264	1.3576803	0.10000002	2408.4366376399994
24	3.5	2.5	7.0	0.0	36.5	45.21891	114.0	0.0	2.6	2.2	8.0	0.0	14.0	28.569214	95.0	0.0	1000.0	1000.0	95999	8.6358	8.635835	-8.507438	0.50552124	1.3782493	0.10000002	2514.289661169052
25	4.25	3.7666297	10.0	0.0	21.75	18.899405	52.0	0.0	2.2	2.2271059	7.0	0.0	21.7	42.50424	143.0	0.0	1000.0	1000.0	99999	8.505752	8.505845	-8.374439	0.50466704	1.388584	0.10000002	2621.8672454357147
26	9.75	2.384848	13.0	7.0	24.25	21.890352	58.0	0.0	4.8	4.467662	12.0	0.0	21.8	26.346916	73.0	0.0	1000.0	1000.0	103999	8.389946	8.389819	-8.257387	0.520145	1.3841827	0.10000002	2728.9443984031677
27	7.0	1.2247449	8.0	5.0	63.75	66.062	152.0	0.0	3.6	3.231099	9.0	0.0	212.1	363.7668	938.0	0.0	1000.0	1000.0	107999	8.216195	8.216072	-8.077776	0.51855373	1.3481766	0.10000002	2835.1677441596985
28	5.25	1.7853571	7.0	3.0	33.0	33.48134	74.0	0.0	4.0	4.0	11.0	0.0	37.0	55.932102	184.0	0.0	1000.0	1000.0	111999	8.091927	8.091723	-7.9572268	0.52687526	1.3735652	0.10000002	2938.6066563129425
29	6.25	4.322904	13.0	1.0	71.5	48.293373	128.0	12.0	3.4	3.1048348	9.0	0.0	15.8	18.535372	49.0	0.0	1000.0	1000.0	115999	8.105492	8.105343	-7.9656873	0.53365284	1.3931887	0.10000002	3044.8947010040283
30	7.75	1.47902	10.0	6.0	42.0	18.854708	66.0	17.0	4.3	2.5317976	9.0	1.0	102.5	219.34778	750.0	0.0	1000.0	1000.0	119999	8.0097065	8.009527	-7.8608727	0.547356	1.3677456	0.10000002	3152.0649366378784
31	4.0	3.7416575	10.0	0.0	16.5	28.578838	66.0	0.0	2.7	3.2878563	11.0	0.0	11.7	19.235643	50.0	0.0	1000.0	1000.0	123999	7.8081427	7.808079	-7.658546	0.5409045	1.3748538	0.10000002	3259.488186120987
32	7.0	3.0	12.0	4.0	49.25	46.10518	128.0	14.0	2.6	2.87054	9.0	0.0	53.3	117.470894	397.0	0.0	1000.0	1000.0	127999	7.7792935	7.779235	-7.632215	0.563552	1.4159207	0.10000002	3370.564607858658
33	6.5	2.291288	9.0	3.0	42.75	20.327015	71.0	15.0	3.1	2.624881	7.0	0.0	20.0	36.493835	115.0	0.0	1000.0	1000.0	131999	7.72245	7.7223125	-7.569931	0.5663319	1.3955146	0.10000002	3476.5406234264374
34	9.75	2.58602	13.0	6.0	38.0	29.427877	74.0	0.0	3.1	2.3	8.0	0.0	105.3	186.37117	639.0	0.0	1000.0	1000.0	135999	7.594908	7.594957	-7.4362335	0.5637595	1.3848742	0.10000002	3582.2054946422577
35	7.0	2.345208	9.0	3.0	27.75	24.661457	64.0	0.0	4.3	1.7916472	8.0	1.0	97.4	163.61125	562.0	0.0	1000.0	1000.0	139999	7.4655	7.465347	-7.305038	0.56923485	1.400164	0.10000002	3687.609160423279
36	7.0	3.391165	11.0	2.0	49.75	35.569473	94.0	0.0	4.7	3.6891732	10.0	0.0	28.9	28.821692	78.0	0.0	1000.0	1000.0	143999	7.3631606	7.362945	-7.1973605	0.56117064	1.38988	0.10000002	3792.433032989502
37	7.75	4.6029882	12.0	0.0	40.25	39.435867	100.0	0.0	5.9	4.229657	11.0	0.0	55.2	68.89093	224.0	0.0	1000.0	1000.0	147999	7.180351	7.1801376	-7.0112143	0.5844214	1.3833606	0.10000002	3897.040852546692
38	5.75	3.269174	10.0	1.0	26.5	26.744158	67.0	0.0	3.4	3.555278	12.0	0.0	17.0	19.240582	51.0	0.0	1000.0	1000.0	151999	6.974662	6.9746804	-6.8013654	0.5866029	1.3606006	0.10000002	4002.7700645923615
39	6.75	3.5619516	12.0	2.0	56.25	72.80238	181.0	0.0	2.5	2.7658634	8.0	0.0	13.7	18.889414	62.0	0.0	1000.0	1000.0	155999	6.8006186	6.800453	-6.627981	0.59433335	1.3741969	0.10000002	4109.047913312912
40	7.25	3.9607449	12.0	2.0	34.0	22.102036	56.0	0.0	1.6	1.4966631	4.0	0.0	104.8	264.84518	895.0	0.0	1000.0	1000.0	159999	6.6077433	6.6078224	-6.429918	0.59666413	1.3425665	0.10000002	4215.6029324531555
41	5.0	3.391165	10.0	1.0	103.0	62.457985	206.0	42.0	2.7	1.9	6.0	0.0	14.3	18.232115	59.0	0.0	1000.0	1000.0	163999	6.3659024	6.3658843	-6.1837187	0.6101209	1.3309908	0.10000002	4320.510062217712
42	5.25	2.58602	9.0	2.0	10.75	18.619547	43.0	0.0	4.5	3.5846896	11.0	0.0	21.6	32.549038	100.0	0.0	1000.0	1000.0	167999	6.0427227	6.042802	-5.85429	0.63114524	1.309897	0.10000002	4424.72566819191
43	3.75	2.58602	8.0	1.0	64.5	37.339657	127.0	28.0	3.5	3.6674242	10.0	0.0	12.1	17.952436	57.0	0.0	1000.0	1000.0	171999	5.7759132	5.7759023	-5.591455	0.6229482	1.3343767	0.10000002	4527.579684019089
44	5.75	4.8669806	13.0	0.0	16.25	13.442005	37.0	0.0	3.3	3.8999996	11.0	0.0	105.2	276.44666	933.0	0.0	1000.0	1000.0	175999	5.607514	5.6074295	-5.4230804	0.6247325	1.3419323	0.10000002	4630.680161952972
45	6.0	1.4142135	8.0	4.0	65.5	73.506805	182.0	0.0	4.7	4.7549973	12.0	0.0	17.2	22.25219	60.0	0.0	1000.0	1000.0	179999	5.5206637	5.520614	-5.3337855	0.6481499	1.3537327	0.10000002	4734.662587404251
46	10.0	3.1622777	14.0	6.0	32.25	20.692692	57.0	0.0	1.5	2.5787594	9.0	0.0	3.5	7.1728654	21.0	0.0	1000.0	1000.0	183999	5.4225326	5.4224725	-5.231711	0.6629391	1.343289	0.10000002	4839.00080537796
47	7.0	0.0	7.0	7.0	12.75	12.794042	27.0	0.0	6.3	3.407345	11.0	0.0	25.8	26.20229	79.0	0.0	1000.0	1000.0	187999	5.2184687	5.2185483	-5.026338	0.6813396	1.326034	0.10000002	4945.721147060394
48	7.5	2.0615528	10.0	5.0	37.5	22.197973	73.0	13.0	5.0	4.404543	12.0	0.0	52.8	45.938652	107.0	0.0	1000.0	1000.0	191999	5.0540814	5.0541234	-4.8588924	0.6616703	1.3108797	0.10000002	5052.799180030823
