Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	mmd_entropy	alpha	Time
3	0.46153846	0.7457969	2.0	0.0	105.30769	173.2048	646.0	0.0	1.4	1.0198039	3.0	0.0	8.8	11.052601	31.0	0.0	920.8461	1000.0	11999	0.002200884	0.0020999524	0.015658999	0.07657071	0.1761271	0.10000002	65.75129675865173
4	0.75	1.299038	3.0	0.0	46.75	71.49606	170.0	0.0	3.7	1.6763054	5.0	0.0	162.5	147.98462	451.0	0.0	1000.0	1000.0	15999	0.45618755	0.45626572	-0.454463	0.079459	0.4540005	0.10000002	158.1812698841095
5	5.5	4.924429	14.0	2.0	14.25	23.541187	55.0	0.0	1.9	2.426932	7.0	0.0	396.9	243.54855	790.0	0.0	1000.0	971.7	19999	1.8994921	1.8995796	-1.8893602	0.11327379	1.1520649	0.10000002	252.13187885284424
6	2.25	1.9202864	5.0	0.0	223.25	180.18098	533.0	86.0	4.0	4.1472883	14.0	0.0	446.4	236.732	800.0	0.0	1000.0	1000.0	23999	4.2570662	4.257119	-4.2273407	0.1125704	1.3991653	0.10000002	346.2579538822174
7	1.5	2.0615528	5.0	0.0	374.75	191.01227	645.0	162.0	4.7	4.6914816	15.0	0.0	361.1	249.27434	903.0	69.0	1000.0	1000.0	27999	5.6941338	5.6941676	-5.6395392	0.11785126	1.3522203	0.10000002	439.11812925338745
8	4.75	3.8971143	10.0	1.0	255.0	198.42126	468.0	0.0	3.1	3.0149624	11.0	0.0	240.0	162.51215	577.0	28.0	1000.0	1000.0	31999	6.782208	6.7822456	-6.716136	0.14358127	1.3497295	0.10000002	533.3628430366516
9	3.0	2.5495098	7.0	0.0	261.25	93.37391	404.0	172.0	6.1	3.9610605	15.0	0.0	216.1	213.26108	666.0	0.0	1000.0	1000.0	35999	7.8841944	7.8842993	-7.8176537	0.16947769	1.4509591	0.10000002	625.4904432296753
10	3.5	2.1794496	6.0	0.0	278.75	96.37784	416.0	148.0	3.5	2.539685	9.0	1.0	388.3	187.92448	664.0	37.0	1000.0	1000.0	39999	8.661282	8.661332	-8.575209	0.1951243	1.3949027	0.10000002	717.7834875583649
11	7.75	4.085034	12.0	1.0	162.75	152.7864	410.0	9.0	2.8	2.7129319	10.0	0.0	208.3	289.53415	879.0	0.0	1000.0	1000.0	43999	9.115836	9.115829	-9.014617	0.22657979	1.3217415	0.10000002	810.903484582901
12	3.0	2.1213202	5.0	0.0	404.5	303.24124	874.0	36.0	1.9	2.4677925	8.0	0.0	501.6	378.1688	905.0	0.0	1000.0	966.6	47999	9.167127	9.167167	-9.054071	0.26082298	1.2722927	0.10000002	903.2153720855713
